Date/Time,Electricity:Facility [kW](Hourly),Gas:Facility [kW](Hourly)
 01/01  01:00:00,4.2280187684,0.02
 01/01  02:00:00,4.2280187684,0.45307492633999996
 01/01  03:00:00,4.2280187684,0.02
 01/01  04:00:00,4.2280187684,0.453063275093
 01/01  05:00:00,4.2280187684,0.453086420172
 01/01  06:00:00,4.2280187684,0.02
 01/01  07:00:00,4.2280187684,0.453086994684
 01/01  08:00:00,2.3088521017400003,0.453074995978
 01/01  09:00:00,1.9250187684,0.02
 01/01  10:00:00,1.9250187684,0.453086450848
 01/01  11:00:00,1.9250187684,0.45308886037699997
 01/01  12:00:00,1.9250187684,0.02
 01/01  13:00:00,1.9250187684,0.45309038995800005
 01/01  14:00:00,1.9250187684,0.453065655289
 01/01  15:00:00,1.9250187684,0.02
 01/01  16:00:00,1.9250187684,0.45308536259300003
 01/01  17:00:00,1.9250187684,0.45308531927
 01/01  18:00:00,4.2280187684,0.02
 01/01  19:00:00,4.2280187684,0.453085133793
 01/01  20:00:00,4.2280187684,0.453059933689
 01/01  21:00:00,4.2280187684,0.02
 01/01  22:00:00,4.2280187684,0.45309423459200004
 01/01  23:00:00,4.2280187684,0.02
 01/01  24:00:00,4.2280187684,0.45308472964100005
 01/02  01:00:00,4.7780241307999995,0.453075323582
 01/02  02:00:00,4.7780241307999995,0.02
 01/02  03:00:00,4.7780241307999995,0.453069610695
 01/02  04:00:00,4.7780241307999995,0.453063898586
 01/02  05:00:00,4.7780241307999995,0.02
 01/02  06:00:00,5.053026812,0.45306133918799996
 01/02  07:00:00,7.184681911739999,15.401301495
 01/02  08:00:00,6.36552596987,15.760799923499999
 01/02  09:00:00,12.0319260228,5.67180602258
 01/02  10:00:00,12.032947234000002,2.8230546011799995
 01/02  11:00:00,12.0646027581,1.5964578166299999
 01/02  12:00:00,12.205582964500001,0.993443808274
 01/02  13:00:00,11.702598560699998,0.868381661673
 01/02  14:00:00,12.382959731300001,0.453174875075
 01/02  15:00:00,12.4061613533,0.45313022225
 01/02  16:00:00,12.336559299600001,0.453139159758
 01/02  17:00:00,12.156765818599998,0.8863260768610001
 01/02  18:00:00,9.935907196810001,0.662837938011
 01/02  19:00:00,8.284692636539999,2.48780232305
 01/02  20:00:00,8.284692636539999,3.66588477731
 01/02  21:00:00,7.734687274139999,4.51341933135
 01/02  22:00:00,7.734687274139999,5.1986161204900005
 01/02  23:00:00,5.053026812,0.02
 01/02  24:00:00,4.7780241307999995,0.453077192001
 01/03  01:00:00,4.7780241307999995,0.453071533273
 01/03  02:00:00,4.7780241307999995,0.02
 01/03  03:00:00,4.7780241307999995,0.453065879414
 01/03  04:00:00,4.7780241307999995,0.45306022343400004
 01/03  05:00:00,4.7780241307999995,0.02
 01/03  06:00:00,5.053026812,0.45306354431699997
 01/03  07:00:00,7.184681911739999,9.33354229952
 01/03  08:00:00,6.36552596987,11.198750359100002
 01/03  09:00:00,12.0331893851,3.14752762853
 01/03  10:00:00,12.033052684400001,1.4521730042200003
 01/03  11:00:00,12.1115118816,0.851923777476
 01/03  12:00:00,12.2628058334,0.9438715659
 01/03  13:00:00,11.8057016551,0.457914120009
 01/03  14:00:00,12.453171113599998,0.453132432697
 01/03  15:00:00,12.452917238,0.453101364582
 01/03  16:00:00,12.4160425224,0.453138154546
 01/03  17:00:00,12.2959450324,0.453167051668
 01/03  18:00:00,9.936231781919998,0.686476675376
 01/03  19:00:00,8.284692636539999,1.52390643919
 01/03  20:00:00,8.284692636539999,2.1613321576599995
 01/03  21:00:00,7.734687274139999,3.2108632109900004
 01/03  22:00:00,7.734687274139999,4.34058751186
 01/03  23:00:00,5.053026812,0.45308498434600003
 01/03  24:00:00,4.7780241307999995,0.453077242939
 01/04  01:00:00,4.7780241307999995,0.02
 01/04  02:00:00,4.7780241307999995,0.45307165267300004
 01/04  03:00:00,4.7780241307999995,0.453066054785
 01/04  04:00:00,4.7780241307999995,0.02
 01/04  05:00:00,4.7780241307999995,0.453060454842
 01/04  06:00:00,5.053026812,0.45306793664300005
 01/04  07:00:00,7.184681911739999,8.52223562032
 01/04  08:00:00,6.36552596987,12.9977768993
 01/04  09:00:00,12.0317516229,5.28401539623
 01/04  10:00:00,12.0317516229,2.15085566264
 01/04  11:00:00,12.0321362531,1.14078629662
