Date/Time,Electricity:Facility [kW](Hourly),Gas:Facility [kW](Hourly)
 01/02  01:00:00,12.569683660399999,0.0
 01/02  02:00:00,12.569683660399999,0.0
 01/02  03:00:00,12.569683660399999,0.0
 01/02  04:00:00,12.569683660399999,0.0
 01/02  05:00:00,12.569683660399999,0.0
 01/02  06:00:00,12.569683660399999,0.0
 01/02  07:00:00,25.7988749642,188.90584813400002
 01/02  08:00:00,26.586333942899998,146.233966729
 01/02  09:00:00,39.7158673362,114.20589046799999
 01/02  10:00:00,56.9626094574,75.39130630140001
 01/02  11:00:00,56.9320790792,51.749221102700005
 01/02  12:00:00,56.9320790792,28.237528721300002
 01/02  13:00:00,57.015435712700004,12.5822145373
 01/02  14:00:00,57.2230756337,4.9031254327300005
 01/02  15:00:00,57.3458919329,3.4661139768699996
 01/02  16:00:00,57.3893326529,2.39574192004
 01/02  17:00:00,57.039536899,2.88685269916
 01/02  18:00:00,65.1980790792,14.389027224400001
 01/02  19:00:00,52.5647183174,34.1316944025
 01/02  20:00:00,52.735568198900005,48.2392927204
 01/02  21:00:00,47.821375439099995,56.4218877758
 01/02  22:00:00,20.693606815,0.0
 01/02  23:00:00,12.569683660399999,0.0
 01/02  24:00:00,12.569683660399999,0.0
 01/03  01:00:00,12.569683660399999,0.0
 01/03  02:00:00,12.569683660399999,0.0
 01/03  03:00:00,12.569683660399999,0.0
 01/03  04:00:00,12.569683660399999,0.0
 01/03  05:00:00,12.569683660399999,0.0
 01/03  06:00:00,12.569683660399999,0.0
 01/03  07:00:00,25.6996369551,177.441462608
 01/03  08:00:00,26.5139424293,138.464372118
 01/03  09:00:00,39.6386116008,105.975035457
 01/03  10:00:00,56.9418207317,64.6629102893
 01/03  11:00:00,56.9320790792,43.8178473387
 01/03  12:00:00,56.934537774300004,23.049774011799997
 01/03  13:00:00,57.1292910577,8.411147826539999
 01/03  14:00:00,57.3188295008,4.17646810172
 01/03  15:00:00,57.4897221879,2.7155063936699997
 01/03  16:00:00,57.511899505100004,1.82256645685
 01/03  17:00:00,57.177158911599996,2.32070386724
 01/03  18:00:00,65.1980790792,9.43945368875
 01/03  19:00:00,52.5405786402,25.6574281758
 01/03  20:00:00,52.63639090109999,40.2247899639
 01/03  21:00:00,47.7553996643,49.94582640270001
 01/03  22:00:00,20.693606815,0.0
 01/03  23:00:00,12.569683660399999,0.0
 01/03  24:00:00,12.569683660399999,0.0
 01/04  01:00:00,12.569683660399999,0.0
 01/04  02:00:00,12.569683660399999,0.0
 01/04  03:00:00,12.569683660399999,0.0
 01/04  04:00:00,12.569683660399999,0.0
 01/04  05:00:00,12.569683660399999,0.0
 01/04  06:00:00,12.569683660399999,0.0
 01/04  07:00:00,25.7355296442,182.483200673
 01/04  08:00:00,26.6675370238,149.950089758
 01/04  09:00:00,40.062071693,120.652782206
 01/04  10:00:00,57.402378005699994,80.9182700435
 01/04  11:00:00,57.2138302496,60.5896122926
 01/04  12:00:00,56.9477020427,34.8446253767
 01/04  13:00:00,56.9320790792,18.1591975158
 01/04  14:00:00,56.9320790792,7.655071341910001
 01/04  15:00:00,56.9320790792,4.599831715340001
 01/04  16:00:00,56.9320790792,4.194632197
 01/04  17:00:00,56.9440103142,9.24204722106
 01/04  18:00:00,65.3604281936,22.0355233419
 01/04  19:00:00,52.8145280235,34.4836675425
 01/04  20:00:00,52.8986951066,46.1483903438
 01/04  21:00:00,47.9609345273,57.20466622479999
 01/04  22:00:00,20.693606815,0.0
 01/04  23:00:00,12.569683660399999,0.0
 01/04  24:00:00,12.569683660399999,0.0
 01/05  01:00:00,12.569683660399999,0.0
 01/05  02:00:00,12.569683660399999,0.0
 01/05  03:00:00,12.569683660399999,0.0
 01/05  04:00:00,12.569683660399999,0.0
 01/05  05:00:00,12.569683660399999,0.0
 01/05  06:00:00,12.569683660399999,0.0
 01/05  07:00:00,25.7196454913,164.299596638
 01/05  08:00:00,26.605182767800002,136.374364397
 01/05  09:00:00,39.8004192459,101.492738475
 01/05  10:00:00,56.994902429700005,52.9656069181
 01/05  11:00:00,56.9320790792,31.1438320896
 01/05  12:00:00,56.9361184191,14.7218315773
 01/05  13:00:00,57.116789302,5.71104858217
 01/05  14:00:00,57.3086351047,3.1832672397299997
 01/05  15:00:00,57.488564870699996,1.86444016819
 01/05  16:00:00,57.545583086899995,0.994157833133
 01/05  17:00:00,57.1840753128,1.3847803798500002
 01/05  18:00:00,65.1980790792,3.4691516171300005
 01/05  19:00:00,52.5405786402,17.1950333907
 01/05  20:00:00,52.6365971682,33.989952517199995
 01/05  21:00:00,47.7607561045,44.399427437700005
 01/05  22:00:00,20.693606815,0.0
 01/05  23:00:00,12.569683660399999,0.0
 01/05  24:00:00,12.569683660399999,0.0
 01/06  01:00:00,12.569683660399999,0.0
 01/06  02:00:00,12.569683660399999,0.0
 01/06  03:00:00,12.569683660399999,0.0
 01/06  04:00:00,12.569683660399999,0.0
 01/06  05:00:00,12.569683660399999,0.0
