Date/Time,Electricity:Facility [kW](Hourly),Gas:Facility [kW](Hourly)
 01/02  01:00:00,15.1069992076,0.0
 01/02  02:00:00,15.1069992076,0.0
 01/02  03:00:00,15.1069992076,0.0
 01/02  04:00:00,15.128235177,0.536653365477
 01/02  05:00:00,15.1536674228,1.17354102126
 01/02  06:00:00,15.2538208834,3.5300047328300006
 01/02  07:00:00,23.5500471719,204.407848994
 01/02  08:00:00,21.2498638133,166.287158514
 01/02  09:00:00,32.978160184299995,125.66982186799999
 01/02  10:00:00,49.3704370771,77.85771624680001
 01/02  11:00:00,49.3704370771,46.146563152
 01/02  12:00:00,49.3704370771,14.4218115133
 01/02  13:00:00,49.3704370771,0.719020101306
 01/02  14:00:00,49.3704370771,0.0
 01/02  15:00:00,49.3704370771,0.0
 01/02  16:00:00,49.3704370771,0.0
 01/02  17:00:00,49.3704370771,3.18973753904e-05
 01/02  18:00:00,60.8554370771,7.61362677579
 01/02  19:00:00,49.010647863500004,35.737652219299996
 01/02  20:00:00,49.010647863500004,55.419676586
 01/02  21:00:00,44.4631601843,65.3802837042
 01/02  22:00:00,22.3776491824,0.0
 01/02  23:00:00,15.1069992076,0.0
 01/02  24:00:00,15.1069992076,0.0
 01/03  01:00:00,15.1069992076,0.0
 01/03  02:00:00,15.1069992076,0.0
 01/03  03:00:00,15.1069992076,0.0
 01/03  04:00:00,15.1069992076,0.0
 01/03  05:00:00,15.1389279823,0.805862374588
 01/03  06:00:00,15.1624931036,1.40126630413
 01/03  07:00:00,23.5500471719,195.522896531
 01/03  08:00:00,21.2498638133,156.64393538299998
 01/03  09:00:00,32.978160184299995,116.07372338200001
 01/03  10:00:00,49.3704370771,66.39864911020001
 01/03  11:00:00,49.3704370771,37.4593053635
 01/03  12:00:00,49.3704370771,9.093426271810001
 01/03  13:00:00,49.3704370771,0.024030973024400003
 01/03  14:00:00,49.3704370771,0.0
 01/03  15:00:00,49.3704370771,0.0
 01/03  16:00:00,49.3704370771,0.0
 01/03  17:00:00,49.3704370771,0.0
 01/03  18:00:00,60.8554370771,3.0366686877799998
 01/03  19:00:00,49.010647863500004,23.996197352
 01/03  20:00:00,49.010647863500004,45.652435126499995
 01/03  21:00:00,44.4631601843,58.330749908
 01/03  22:00:00,22.3776491824,0.0
 01/03  23:00:00,15.1069992076,0.0
 01/03  24:00:00,15.1069992076,0.0
 01/04  01:00:00,15.1069992076,0.0
 01/04  02:00:00,15.1069992076,0.0
 01/04  03:00:00,15.1069992076,0.0
 01/04  04:00:00,15.119651813900001,0.322285442632
 01/04  05:00:00,15.1640771053,1.4347100461000002
 01/04  06:00:00,15.1712216228,1.62064124028
 01/04  07:00:00,23.5500471719,200.58893565099999
 01/04  08:00:00,21.2498638133,170.287931448
 01/04  09:00:00,32.978160184299995,136.80499718299998
 01/04  10:00:00,49.3704370771,91.31018991469999
 01/04  11:00:00,49.3704370771,65.1578138212
 01/04  12:00:00,49.3704370771,32.8003594475
 01/04  13:00:00,49.3704370771,11.713734394100001
 01/04  14:00:00,49.3704370771,1.8287369188900002
 01/04  15:00:00,49.3704370771,0.095009405745
 01/04  16:00:00,49.3704370771,0.544789828225
 01/04  17:00:00,49.3704370771,6.68649208256
 01/04  18:00:00,60.8554370771,22.9067317129
 01/04  19:00:00,49.010647863500004,38.559481203000004
 01/04  20:00:00,49.010647863500004,52.2201733211
 01/04  21:00:00,44.4631601843,64.8393041839
 01/04  22:00:00,22.3776491824,0.0
 01/04  23:00:00,15.1069992076,0.0
 01/04  24:00:00,15.1069992076,0.0
 01/05  01:00:00,15.1069992076,0.0
 01/05  02:00:00,15.1069992076,0.0
 01/05  03:00:00,15.1069992076,0.0
 01/05  04:00:00,15.1069992076,0.0
 01/05  05:00:00,15.1069992076,0.0
 01/05  06:00:00,15.1069992076,0.0
 01/05  07:00:00,23.5500471719,179.410887826
 01/05  08:00:00,21.2498638133,150.71529587700002
 01/05  09:00:00,32.978160184299995,110.32952240600001
 01/05  10:00:00,49.3704370771,54.389255857200006
 01/05  11:00:00,49.3704370771,23.1176321436
 01/05  12:00:00,49.3704370771,1.6985787643399999
 01/05  13:00:00,49.3704370771,0.0
 01/05  14:00:00,49.3704370771,0.0
 01/05  15:00:00,49.3704370771,0.0
 01/05  16:00:00,49.3704370771,0.0
 01/05  17:00:00,49.3704370771,0.0
 01/05  18:00:00,60.8554370771,0.297244717746
 01/05  19:00:00,49.010647863500004,12.9628208856
 01/05  20:00:00,49.010647863500004,37.248161362
 01/05  21:00:00,44.4631601843,51.1071389066
 01/05  22:00:00,22.3776491824,0.0
 01/05  23:00:00,15.1069992076,0.0
 01/05  24:00:00,15.1069992076,0.0
 01/06  01:00:00,15.1069992076,0.0
 01/06  02:00:00,15.1069992076,0.0
 01/06  03:00:00,15.1069992076,0.0
 01/06  04:00:00,15.1069992076,0.0
 01/06  05:00:00,15.1279259659,0.5286855477319999
 01/06  06:00:00,15.153896288199999,1.18079927445
 01/06  07:00:00,23.5500471719,191.245603528
 01/06  08:00:00,23.16403048,157.483513702
 01/06  09:00:00,32.978160184299995,135.45288966200002
 01/06  10:00:00,49.3704370771,107.706928067
 01/06  11:00:00,49.3704370771,87.31538327540001
 01/06  12:00:00,49.3704370771,50.0601514147
 01/06  13:00:00,49.3704370771,20.0936820078
 01/06  14:00:00,49.3704370771,3.78326514926
 01/06  15:00:00,49.3704370771,0.6808233123690001
 01/06  16:00:00,49.3704370771,0.657345916297
 01/06  17:00:00,49.3704370771,12.0456108155
 01/06  18:00:00,60.8554370771,41.6599701983
 01/06  19:00:00,49.010647863500004,57.6781224714
 01/06  20:00:00,49.010647863500004,70.78041135640001
 01/06  21:00:00,44.4631601843,82.8865534371
 01/06  22:00:00,22.3776491824,0.0
 01/06  23:00:00,15.1069992076,0.0
 01/06  24:00:00,15.1069992076,0.0
 01/07  01:00:00,14.657580751600001,0.0
 01/07  02:00:00,14.680668748599999,0.583290159714
 01/07  03:00:00,14.7348337272,1.8947296060599998
 01/07  04:00:00,14.8495864751,4.58540303521
 01/07  05:00:00,14.849100231700001,4.52337958698
 01/07  06:00:00,14.930032616300002,6.455825409330001
 01/07  07:00:00,23.1006287159,207.940561278
 01/07  08:00:00,18.616542800799998,173.669245526
 01/07  09:00:00,23.883184825900003,137.845676056
 01/07  10:00:00,37.5256478635,104.70769582
 01/07  11:00:00,49.3704370771,74.06406371770001
 01/07  12:00:00,49.3704370771,40.9199861202
 01/07  13:00:00,49.3704370771,26.0439177242
 01/07  14:00:00,49.3704370771,21.509140342600002
 01/07  15:00:00,49.3704370771,17.717164530799998
 01/07  16:00:00,49.3704370771,19.8153980746
 01/07  17:00:00,49.3704370771,25.0910517438
 01/07  18:00:00,60.8554370771,38.4169190656
 01/07  19:00:00,44.4631601843,61.8169222279
 01/07  20:00:00,35.3681848259,71.5432100521
 01/07  21:00:00,35.3681848259,77.8086926289
 01/07  22:00:00,26.2732094675,95.0889735081
 01/07  23:00:00,14.657580751600001,0.0
 01/07  24:00:00,14.657580751600001,0.0
 01/08  01:00:00,14.657580751600001,0.0
 01/08  02:00:00,14.657580751600001,0.0
 01/08  03:00:00,14.657580751600001,0.0
 01/08  04:00:00,14.657580751600001,0.0
 01/08  05:00:00,14.6775301325,0.504879883035
 01/08  06:00:00,14.7018871275,1.11763432021
 01/08  07:00:00,14.7150125801,1.45105521286
 01/08  08:00:00,7.136193977939999,3.2391498322400003
 01/08  09:00:00,14.7882094675,182.00067791
 01/08  10:00:00,14.7882094675,121.325875093
 01/08  11:00:00,28.430672505100002,77.17793892600001
 01/08  12:00:00,28.430672505100002,49.062504994399994
 01/08  13:00:00,37.5256478635,21.0003753262
 01/08  14:00:00,37.5256478635,7.0210188536
 01/08  15:00:00,37.5256478635,2.15213418444
 01/08  16:00:00,37.5256478635,0.689771825675
 01/08  17:00:00,37.5256478635,3.6121844275
 01/08  18:00:00,39.915672505100005,39.767217629499996
 01/08  19:00:00,30.820697146700002,62.743614418
 01/08  20:00:00,14.657580751600001,0.0
 01/08  21:00:00,14.657580751600001,0.0
 01/08  22:00:00,14.657580751600001,0.0
 01/08  23:00:00,14.657580751600001,0.0
 01/08  24:00:00,14.657580751600001,0.0
 01/09  01:00:00,15.1069992076,0.0
 01/09  02:00:00,15.138818838399999,0.8019352296879999
 01/09  03:00:00,15.17139498,1.62263201648
 01/09  04:00:00,15.2140301004,2.56493932613
 01/09  05:00:00,15.312381146600002,4.88209129049
 01/09  06:00:00,15.3181579437,4.96352281547
 01/09  07:00:00,23.5500471719,207.18142096
 01/09  08:00:00,21.2498638133,171.119364977
 01/09  09:00:00,32.978160184299995,128.871709746
 01/09  10:00:00,49.3704370771,81.03273673560001
 01/09  11:00:00,49.3704370771,50.078110059
 01/09  12:00:00,49.3704370771,18.1718421785
 01/09  13:00:00,49.3704370771,1.9925222067400004
 01/09  14:00:00,49.3704370771,0.0
 01/09  15:00:00,49.3704370771,0.0
 01/09  16:00:00,49.3704370771,0.0
 01/09  17:00:00,49.3704370771,0.0
 01/09  18:00:00,60.8554370771,3.8852253674300004
 01/09  19:00:00,49.010647863500004,25.6844820635
 01/09  20:00:00,49.010647863500004,41.5469503986
 01/09  21:00:00,44.4631601843,44.2501376982
 01/09  22:00:00,22.3776491824,0.0
 01/09  23:00:00,15.1069992076,0.0
 01/09  24:00:00,15.1069992076,0.0
 01/10  01:00:00,15.1069992076,0.0
 01/10  02:00:00,15.1069992076,0.0
 01/10  03:00:00,15.1069992076,0.0
 01/10  04:00:00,15.1069992076,0.0
 01/10  05:00:00,15.128824251400001,0.5512089983699999
 01/10  06:00:00,15.1561145815,1.23387910837
 01/10  07:00:00,23.5500471719,198.800498358
 01/10  08:00:00,21.2498638133,165.785551283
 01/10  09:00:00,32.978160184299995,135.990250091
 01/10  10:00:00,49.3704370771,93.83466346670001
 01/10  11:00:00,49.3704370771,76.5275742067
 01/10  12:00:00,49.3704370771,62.331622365600005
 01/10  13:00:00,49.3704370771,44.6635051694
 01/10  14:00:00,49.3704370771,25.4717439665
 01/10  15:00:00,49.3704370771,8.69430362097
 01/10  16:00:00,49.3704370771,0.957037126714
 01/10  17:00:00,49.3704370771,7.60901167776
 01/10  18:00:00,60.8554370771,30.8623702623
 01/10  19:00:00,49.010647863500004,57.8037444604
 01/10  20:00:00,49.010647863500004,69.9409024931
 01/10  21:00:00,44.4631601843,78.2026462478
 01/10  22:00:00,22.3776491824,0.0
 01/10  23:00:00,15.1069992076,0.0
 01/10  24:00:00,15.1069992076,0.0
 01/11  01:00:00,15.1069992076,0.0
 01/11  02:00:00,15.1069992076,0.0
 01/11  03:00:00,15.1069992076,0.0
 01/11  04:00:00,15.1069992076,0.0
 01/11  05:00:00,15.1069992076,0.0
 01/11  06:00:00,15.1069992076,0.0
 01/11  07:00:00,23.5500471719,174.05062857099998
 01/11  08:00:00,21.2498638133,135.276597769
 01/11  09:00:00,32.978160184299995,105.772970464
 01/11  10:00:00,49.3704370771,71.3847335809
 01/11  11:00:00,49.3704370771,46.7466919581
 01/11  12:00:00,49.3704370771,27.9601696491
 01/11  13:00:00,49.3704370771,26.764503417399997
 01/11  14:00:00,49.3704370771,23.4817885995
 01/11  15:00:00,49.3704370771,22.188841866300002
 01/11  16:00:00,49.3704370771,26.7324959735
 01/11  17:00:00,49.3704370771,41.6521805431
 01/11  18:00:00,60.8554370771,57.0418005817
 01/11  19:00:00,49.010647863500004,67.38655683510001
 01/11  20:00:00,49.010647863500004,79.4150618154
 01/11  21:00:00,44.4631601843,85.8357479713
 01/11  22:00:00,22.3776491824,0.0
 01/11  23:00:00,15.1069992076,0.0
 01/11  24:00:00,15.1069992076,0.0
 01/12  01:00:00,15.1069992076,0.0
 01/12  02:00:00,15.1069992076,0.0
 01/12  03:00:00,15.1069992076,0.0
 01/12  04:00:00,15.137772458299999,0.7774014619390001
 01/12  05:00:00,15.174366288,1.7021572904299997
 01/12  06:00:00,15.2222750883,2.75915678541
 01/12  07:00:00,23.5500471719,203.204755632
 01/12  08:00:00,21.2498638133,167.351191231
 01/12  09:00:00,32.978160184299995,137.576425874
 01/12  10:00:00,49.3704370771,102.779597153
 01/12  11:00:00,49.3704370771,78.25321869
 01/12  12:00:00,49.3704370771,50.9635429997
 01/12  13:00:00,49.3704370771,38.2998923339
 01/12  14:00:00,49.3704370771,30.4973492796
 01/12  15:00:00,49.3704370771,27.464993429899998
 01/12  16:00:00,49.3704370771,26.3273210552
 01/12  17:00:00,49.3704370771,33.826113641999996
 01/12  18:00:00,60.8554370771,49.4525875177
 01/12  19:00:00,49.010647863500004,63.346460079799996
 01/12  20:00:00,49.010647863500004,71.4333585054
 01/12  21:00:00,44.4631601843,75.5507387655
 01/12  22:00:00,22.3776491824,0.0
 01/12  23:00:00,15.1069992076,0.0
 01/12  24:00:00,15.1069992076,0.0
 01/13  01:00:00,15.1069992076,0.0
 01/13  02:00:00,15.1069992076,0.0
 01/13  03:00:00,15.1069992076,0.0
 01/13  04:00:00,15.1069992076,0.0
 01/13  05:00:00,15.1069992076,0.0
 01/13  06:00:00,15.146283714800001,0.995377806837
 01/13  07:00:00,23.5500471719,184.938805968
