Date/Time,Electricity:Facility [kW](Hourly),Gas:Facility [kW](Hourly)
 01/01  01:00:00,16.2404505578,12.0244385472
 01/01  02:00:00,15.673052146300002,12.717776688199999
 01/01  03:00:00,15.4149347378,14.15600476
 01/01  04:00:00,15.3363584825,16.5076549556
 01/01  05:00:00,17.490747721199998,19.243317818
 01/01  06:00:00,22.0019378753,22.7175291227
 01/01  07:00:00,27.269466852399997,33.6346145008
 01/01  08:00:00,24.6502274191,34.3698064241
 01/01  09:00:00,22.441850285700003,32.4195055846
 01/01  10:00:00,19.7107240902,25.9272156833
 01/01  11:00:00,17.0060909799,21.969100206799997
 01/01  12:00:00,17.404192298199998,17.1550920151
 01/01  13:00:00,17.5603783324,14.2965158321
 01/01  14:00:00,17.2106638278,11.9896126296
 01/01  15:00:00,17.0852063084,9.9839426527
 01/01  16:00:00,18.1188364777,10.7377215432
 01/01  17:00:00,27.169562200100003,11.9995714352
 01/01  18:00:00,37.803187025,15.117772269400001
 01/01  19:00:00,40.0298752349,17.4414803211
 01/01  20:00:00,38.976550617,17.084975541
 01/01  21:00:00,38.4023727267,16.6200720082
 01/01  22:00:00,32.7984881781,15.2741059241
 01/01  23:00:00,25.7914216976,15.989477246300002
 01/01  24:00:00,19.9259992351,14.2352598042
 01/02  01:00:00,16.2574546075,12.9420769489
 01/02  02:00:00,15.6853799966,13.340977269000001
 01/02  03:00:00,15.421237519100002,14.342116839900001
 01/02  04:00:00,15.3424616468,16.6311007804
 01/02  05:00:00,17.4855283748,19.0157690913
 01/02  06:00:00,22.0522583612,24.187916314499997
 01/02  07:00:00,27.359012405799998,36.5939261157
 01/02  08:00:00,24.9049936175,36.1695321042
 01/02  09:00:00,24.1940185335,29.2323625495
 01/02  10:00:00,21.7718481985,20.4811829829
 01/02  11:00:00,19.4614199566,16.81860551
 01/02  12:00:00,20.2255232793,12.7385129065
 01/02  13:00:00,20.481672356500003,10.355992734500001
 01/02  14:00:00,20.6908485283,9.16239304796
 01/02  15:00:00,20.8163971048,8.02910882907
 01/02  16:00:00,21.8842861759,9.16239304796
 01/02  17:00:00,30.5378396101,10.6734386731
 01/02  18:00:00,39.3983998705,14.0732913298
 01/02  19:00:00,41.01547985,16.5287404707
 01/02  20:00:00,39.4917205551,15.7732176581
 01/02  21:00:00,38.989769341,14.4510527361
 01/02  22:00:00,33.499732660599996,11.806722892
 01/02  23:00:00,26.2699922635,10.2956772668
 01/02  24:00:00,20.056119391099998,6.15853266524
 01/03  01:00:00,16.0808593024,3.6831583893
 01/03  02:00:00,15.445314736099998,4.70109245712
 01/03  03:00:00,15.1670570092,5.716724533400001
 01/03  04:00:00,15.0378065888,6.7784765903299995
 01/03  05:00:00,17.127052475,7.393595117239999
 01/03  06:00:00,21.680831833699997,11.241321660699999
 01/03  07:00:00,27.022933151500002,23.192942299600002
 01/03  08:00:00,24.6613926604,22.6911865131
 01/03  09:00:00,24.052852446,20.7238299393
 01/03  10:00:00,21.880998516,17.012591101800002
 01/03  11:00:00,19.3555823562,14.7199812652
 01/03  12:00:00,19.711528652200002,11.829056301300001
 01/03  13:00:00,19.9005442417,10.3150817044
 01/03  14:00:00,20.2464773469,9.17960075671
 01/03  15:00:00,19.5561058015,8.04411980904
 01/03  16:00:00,20.6450583422,9.17960075671
 01/03  17:00:00,28.975262588099998,10.6935753536
 01/03  18:00:00,39.3580149669,14.1000181966
 01/03  19:00:00,41.3291642415,16.5602269165
 01/03  20:00:00,39.9245462834,15.8032396181
 01/03  21:00:00,39.1437384873,14.4785118458
 01/03  22:00:00,33.3462755838,11.829056301300001
 01/03  23:00:00,26.1477641725,10.3150817044
 01/03  24:00:00,19.9771323514,5.90662649798
 01/04  01:00:00,16.0697097599,2.5273115010400002
 01/04  02:00:00,15.410239629100001,2.37005676942
 01/04  03:00:00,15.088468580499999,3.2390224553099998
 01/04  04:00:00,14.9676730896,5.37899169165
 01/04  05:00:00,17.0816828815,7.5141497375899995
 01/04  06:00:00,21.6549577049,12.5425777103
 01/04  07:00:00,27.002432824899998,25.017370014
 01/04  08:00:00,24.6331204417,25.398569540700002
 01/04  09:00:00,24.0655119692,23.4696393489
 01/04  10:00:00,21.6031625182,19.518582996099997
 01/04  11:00:00,19.1181816276,17.2298211101
 01/04  12:00:00,19.7241886885,13.395670378299998
 01/04  13:00:00,19.8089039669,10.9505810789
 01/04  14:00:00,19.4332333554,9.4384433564
 01/04  15:00:00,19.225438529,8.09075635291
 01/04  16:00:00,20.237576243,9.196387318580001
 01/04  17:00:00,28.1964213605,10.9151129336
 01/04  18:00:00,38.2048832065,14.4577201608
 01/04  19:00:00,40.1754538627,17.343790085
 01/04  20:00:00,39.0260241407,17.663307840999998
 01/04  21:00:00,38.4359790962,17.3551165894
 01/04  22:00:00,32.8246171495,16.1921523779
 01/04  23:00:00,25.8001266516,17.769753071300002
 01/04  24:00:00,19.94601826,16.034966536400002
 01/05  01:00:00,16.286201664,14.5149853232
 01/05  02:00:00,15.752431859200001,16.3284333665
 01/05  03:00:00,15.4991796232,17.0376207917
 01/05  04:00:00,15.388526260199999,17.8756636928
 01/05  05:00:00,17.5615262932,21.224229836099997
 01/05  06:00:00,22.1173078021,26.0912421186
 01/05  07:00:00,27.3782169279,37.1284029549
 01/05  08:00:00,24.9218856545,37.7651590431
 01/05  09:00:00,24.255857291199998,38.8971924211
 01/05  10:00:00,21.4328081458,36.4266996746
 01/05  11:00:00,18.4934724926,34.239531279299996
 01/05  12:00:00,18.6971743276,33.2194310971
 01/05  13:00:00,18.467295147999998,34.2565566876
 01/05  14:00:00,18.2217966824,34.1400254303
 01/05  15:00:00,18.097779014,33.6502456491
 01/05  16:00:00,19.4682919538,34.9197975541
 01/05  17:00:00,27.7806530828,35.5342763294
 01/05  18:00:00,37.9278310371,36.448137605599996
 01/05  19:00:00,39.9296036429,37.0431135731
 01/05  20:00:00,38.9980317917,37.4020375767
 01/05  21:00:00,38.6003950174,37.3021631471
 01/05  22:00:00,33.183744805500005,35.918533467399996
 01/05  23:00:00,26.371292955500003,37.937958302800006
 01/05  24:00:00,20.6281967399,37.7243604842
 01/06  01:00:00,17.0473967075,37.127984615
 01/06  02:00:00,16.6371009854,41.2732793957
 01/06  03:00:00,16.4461428771,43.5054753776
 01/06  04:00:00,16.3675409978,45.4679594916
 01/06  05:00:00,18.5042013121,47.7216138538
 01/06  06:00:00,23.016067625500003,51.2825786959
 01/06  07:00:00,28.2489068222,61.622501988900005
 01/06  08:00:00,25.839301954099998,63.671075434799995
 01/06  09:00:00,25.2697153736,68.6661057809
 01/06  10:00:00,22.4982475383,67.29475256149999
 01/06  11:00:00,19.5962677142,65.82483001850001
 01/06  12:00:00,19.6941758839,61.335476205
 01/06  13:00:00,19.4137998485,60.880928410100005
 01/06  14:00:00,19.2658559401,63.3774358262
 01/06  15:00:00,19.131743587,62.5336198909
 01/06  16:00:00,20.4633383366,62.674470395200004
 01/06  17:00:00,28.9447470819,68.0736240952
 01/06  18:00:00,39.0011051379,66.0938374843
 01/06  19:00:00,40.7775447987,60.566534965600006
 01/06  20:00:00,40.046257894200004,66.4620267464
 01/06  21:00:00,39.6472211663,66.3737414966
 01/06  22:00:00,34.0205854509,59.063248890299995
 01/06  23:00:00,27.222452484899996,61.371814575600006
 01/06  24:00:00,21.5173404604,62.1936402501
 01/07  01:00:00,17.9871119327,62.9063018366
 01/07  02:00:00,17.4520986058,63.32570961729999
 01/07  03:00:00,17.2486273378,65.2314032446
 01/07  04:00:00,17.1914039017,67.7915148494
 01/07  05:00:00,19.3700293824,71.08234905319999
 01/07  06:00:00,23.8020700211,72.52125691970001
 01/07  07:00:00,28.8954795996,79.15826826909999
 01/07  08:00:00,26.2072827841,78.75576828359999
 01/07  09:00:00,24.1247151197,80.9622057462
 01/07  10:00:00,21.3000011874,78.5032915919
 01/07  11:00:00,18.384799627899998,76.7987319553
 01/07  12:00:00,18.3625279196,69.0713464771
 01/07  13:00:00,18.1478134226,65.8288840356
 01/07  14:00:00,17.6786826141,63.9280296205
 01/07  15:00:00,17.410030737899998,59.5183990779
 01/07  16:00:00,18.725940322899998,59.397489630699994
 01/07  17:00:00,27.0397148858,60.2678701299
 01/07  18:00:00,38.5875065209,59.9522225553
 01/07  19:00:00,40.7090093493,58.7079165929
 01/07  20:00:00,39.8151047702,60.0963037212
 01/07  21:00:00,39.470165199899995,61.392885313
 01/07  22:00:00,34.1048889869,61.3430516878
 01/07  23:00:00,27.3782500911,65.47055963310001
 01/07  24:00:00,21.7122118728,67.1442443506
 01/08  01:00:00,18.1648183696,67.1402168348
 01/08  02:00:00,17.634477655799998,67.7636962575
 01/08  03:00:00,17.3914240209,68.5478626455
 01/08  04:00:00,17.3433719423,71.41669737810001
 01/08  05:00:00,19.4016560394,71.4042278311
 01/08  06:00:00,23.8704972594,73.9240567036
 01/08  07:00:00,29.0748896475,83.7241848697
 01/08  08:00:00,26.498406768800002,86.3475163045
 01/08  09:00:00,24.376105003400003,87.4953237574
 01/08  10:00:00,21.3822720835,80.0686689457
 01/08  11:00:00,18.623515721,82.6860837974
 01/08  12:00:00,18.6929938168,77.7115949599
 01/08  13:00:00,18.3305354108,70.2983668876
 01/08  14:00:00,17.8213377625,67.1716531163
 01/08  15:00:00,17.5118482986,61.717824235200005
 01/08  16:00:00,18.7826939544,60.4860193892
 01/08  17:00:00,27.0123553733,58.7001512812
 01/08  18:00:00,38.5265793854,57.53056276109999
 01/08  19:00:00,40.5715014098,54.1441590169
 01/08  20:00:00,39.6352236819,54.3334257601
 01/08  21:00:00,39.3516880728,57.5188298279
 01/08  22:00:00,34.0037457879,58.0176204277
 01/08  23:00:00,27.221304565,60.4182591879
 01/08  24:00:00,21.554843578499998,62.0477478768
 01/09  01:00:00,18.1438341315,66.203540918
 01/09  02:00:00,17.742812283499998,70.8212786572
 01/09  03:00:00,17.5080456638,71.751822542
 01/09  04:00:00,17.451405221199998,74.211789367
 01/09  05:00:00,19.4582928424,72.5889214091
 01/09  06:00:00,23.953277626,75.8901197179
 01/09  07:00:00,29.2576806268,88.7845229162
 01/09  08:00:00,26.619872548000004,84.4612621592
 01/09  09:00:00,25.6642522982,79.7161102929
 01/09  10:00:00,22.541775908800002,68.09653418229999
 01/09  11:00:00,19.3246029252,57.77964961520001
 01/09  12:00:00,19.2514061111,48.411246134399995
 01/09  13:00:00,18.703528196,40.5110971058
 01/09  14:00:00,18.2553110823,34.7464395867
 01/09  15:00:00,17.9821430561,30.3231799133
 01/09  16:00:00,19.3246863684,31.060802468000002
 01/09  17:00:00,27.6689248554,32.7975816477
 01/09  18:00:00,37.9185875464,36.7215343981
 01/09  19:00:00,39.9434819673,38.073748283
 01/09  20:00:00,39.0725246289,39.8925757133
 01/09  21:00:00,38.869070797,45.1578830018
 01/09  22:00:00,33.491700154499995,44.5758529085
 01/09  23:00:00,26.6555242377,45.261675251999996
 01/09  24:00:00,20.9311696405,45.0680493552
 01/10  01:00:00,17.3541210014,44.126116108999994
 01/10  02:00:00,16.8662821166,46.0306702441
 01/10  03:00:00,16.7116677393,49.46660687520001
 01/10  04:00:00,16.8674688757,58.4887454569
 01/10  05:00:00,19.0844556077,63.1463492708
 01/10  06:00:00,23.475954318000003,63.1816979743
 01/10  07:00:00,28.6232757198,71.2257386097
 01/10  08:00:00,26.128843782199997,70.8336202869
 01/10  09:00:00,25.463954140300004,73.1892032278
 01/10  10:00:00,22.6594699485,70.69099951609999
 01/10  11:00:00,19.6451744375,66.33665118319999
 01/10  12:00:00,19.758485076,62.4567340657
 01/10  13:00:00,19.3909327551,59.474195461
 01/10  14:00:00,19.154246106800002,59.2887518212
 01/10  15:00:00,19.0549244113,59.387871339899995
 01/10  16:00:00,20.392281794400002,59.969504711999996
 01/10  17:00:00,28.7616053825,62.4912585371
 01/10  18:00:00,38.8342250944,61.360556424399995
 01/10  19:00:00,40.7406546137,59.429647279099996
 01/10  20:00:00,39.802172162199994,59.4668387337
 01/10  21:00:00,39.471502608499996,61.1974786696
 01/10  22:00:00,34.1348699614,62.0374856109
 01/10  23:00:00,27.3563926514,64.5950586762
 01/10  24:00:00,21.64107165,64.76902341520001
 01/11  01:00:00,18.1301712012,65.93762646729999
 01/11  02:00:00,17.6314025114,67.5778985067
 01/11  03:00:00,17.3952868521,68.5542568804
 01/11  04:00:00,17.2842947539,69.5167102676
 01/11  05:00:00,19.3003553056,68.2332077809
 01/11  06:00:00,23.722232095,69.32564483510001
 01/11  07:00:00,28.9308713171,79.392240032
 01/11  08:00:00,26.481586594699998,80.3395583649
 01/11  09:00:00,25.852685086999998,84.0048848009
 01/11  10:00:00,23.0476380934,81.4855805186
 01/11  11:00:00,20.1057489582,79.0941334417
 01/11  12:00:00,20.1420794896,72.876474092
 01/11  13:00:00,19.7613695195,69.3510131361
 01/11  14:00:00,19.5393161085,69.72707898649999
 01/11  15:00:00,19.4463676139,70.1130008999
 01/11  16:00:00,20.8543479476,72.5994019387
 01/11  17:00:00,29.195242725900002,74.3731652912
 01/11  18:00:00,39.3595623706,75.86639313010001
 01/11  19:00:00,41.4113866538,78.2503574368
 01/11  20:00:00,40.5876157145,81.7097972436
 01/11  21:00:00,40.3302266312,85.62304999359999
 01/11  22:00:00,35.043142256799996,87.8664537912
 01/11  23:00:00,28.3564248405,93.18307231899999
 01/11  24:00:00,22.8095275658,98.3702525706
 01/12  01:00:00,19.4448384368,103.777311078
 01/12  02:00:00,19.376875658,117.32670595200001
 01/12  03:00:00,19.1587991707,118.822056199
 01/12  04:00:00,18.8517460849,114.58945590200001
 01/12  05:00:00,21.451057453900003,129.344548559
 01/12  06:00:00,25.9836109048,133.605956519
 01/12  07:00:00,30.8819234236,135.236730589
 01/12  08:00:00,28.5719164456,139.56973221200002
 01/12  09:00:00,27.9354789184,144.506137832
 01/12  10:00:00,25.0921199085,141.066417042
 01/12  11:00:00,22.2380225002,140.998793287
 01/12  12:00:00,22.222652706599998,133.436006701
 01/12  13:00:00,21.7418198971,127.1373131
 01/12  14:00:00,21.4883782952,126.42203986700001
 01/12  15:00:00,21.364133286199998,125.809829025
 01/12  16:00:00,22.8174081975,129.413120006
 01/12  17:00:00,31.0949461923,129.07888798
