Date/Time,Electricity:Facility [kW](Hourly),Gas:Facility [kW](Hourly)
 01/01  01:00:00,55.3741554004,3.22568
 01/01  02:00:00,55.3641661171,3.22568
 01/01  03:00:00,56.430399083400005,8.651062358719999
 01/01  04:00:00,56.7833012608,8.06816721563
 01/01  05:00:00,57.3527055805,12.359667438399999
 01/01  06:00:00,58.080207964399996,32.3753093726
 01/01  07:00:00,59.003093810900005,43.3249723977
 01/01  08:00:00,50.605084181,26.2388663336
 01/01  09:00:00,48.733907827799996,14.9980359516
 01/01  10:00:00,47.900921787600005,8.4894383206
 01/01  11:00:00,47.0305958364,3.22568
 01/01  12:00:00,47.73994735189999,6.0897129873
 01/01  13:00:00,47.0667840809,3.22568
 01/01  14:00:00,47.1264419659,6.089781561440001
 01/01  15:00:00,47.1534828937,3.22568
 01/01  16:00:00,47.149525096400005,6.088303013069999
 01/01  17:00:00,47.041342041499995,3.22568
 01/01  18:00:00,54.1527678562,3.22568
 01/01  19:00:00,55.5571512549,6.08829144721
 01/01  20:00:00,55.751515474499996,3.22568
 01/01  21:00:00,55.718090312600005,3.22568
 01/01  22:00:00,55.5850544328,6.088352133659999
 01/01  23:00:00,55.412660816999995,3.22568
 01/01  24:00:00,56.12661790600001,6.08826840773
 01/02  01:00:00,55.3835893661,3.22568
 01/02  02:00:00,55.3710277823,6.08966652861
 01/02  03:00:00,55.3617945843,3.22568
 01/02  04:00:00,56.5404293753,9.13563633102
 01/02  05:00:00,57.354459580299995,9.48568139736
 01/02  06:00:00,56.981016627799995,14.340009747
 01/02  07:00:00,65.0649802187,630.121224398
 01/02  08:00:00,122.18349665299999,387.199471466
 01/02  09:00:00,165.843138141,250.43351466599998
 01/02  10:00:00,165.67772557799998,149.590736351
 01/02  11:00:00,169.494399041,96.45424595950001
 01/02  12:00:00,172.405963843,60.660728394399996
 01/02  13:00:00,177.751608625,55.712642641
 01/02  14:00:00,178.801157355,39.8741063712
 01/02  15:00:00,184.664406589,33.7979459022
 01/02  16:00:00,185.58251357700001,21.406323378699998
 01/02  17:00:00,174.11977078099997,11.3676620115
 01/02  18:00:00,131.540688853,18.9594247384
 01/02  19:00:00,129.298492842,28.5802811218
 01/02  20:00:00,128.814793316,42.3693428972
 01/02  21:00:00,128.806859014,58.2502404371
 01/02  22:00:00,55.5958891545,8.97814213428
 01/02  23:00:00,55.4680632257,6.09490900796
 01/02  24:00:00,56.2158750224,6.092629647000001
 01/03  01:00:00,55.4749354916,6.08983461962
 01/03  02:00:00,55.462368726,3.22568
 01/03  03:00:00,55.4464382171,6.08969351877
 01/03  04:00:00,55.432538469300006,3.22568
 01/03  05:00:00,56.482575167700006,6.08976957446
 01/03  06:00:00,56.300222736,6.08920890619
 01/03  07:00:00,64.97007189199999,379.81946513300005
 01/03  08:00:00,122.056913514,284.816891439
 01/03  09:00:00,165.772739995,175.88503867900002
 01/03  10:00:00,165.446171489,93.42676443479999
 01/03  11:00:00,171.426890936,72.1611168663
 01/03  12:00:00,177.93489550200002,52.562923788999996
 01/03  13:00:00,178.874801126,52.507484814399994
 01/03  14:00:00,175.999310455,43.2609510534
 01/03  15:00:00,174.947454986,39.8921095441
 01/03  16:00:00,174.79706906400003,29.6294191487
 01/03  17:00:00,169.176009625,17.1166024174
 01/03  18:00:00,128.424362979,24.6961570373
 01/03  19:00:00,128.593912813,37.3498682605
 01/03  20:00:00,128.605762692,54.123682752
