Date/Time,Electricity:Facility [kW](Hourly),Gas:Facility [kW](Hourly)
 01/01  01:00:00,13.659882115699999,37.9666995651
 01/01  02:00:00,9.494744113,3.59317119871
 01/01  03:00:00,9.51961135275,3.0211
 01/01  04:00:00,9.53028287984,3.5931512273000004
 01/01  05:00:00,9.67872244153,3.0211
 01/01  06:00:00,13.8006769674,48.10547325
 01/01  07:00:00,28.2749254213,52.8125879904
 01/01  08:00:00,26.3343133962,54.1438887664
 01/01  09:00:00,20.7240325138,40.3532836658
 01/01  10:00:00,20.777785843,30.5299534204
 01/01  11:00:00,25.8088984431,42.692161485700005
 01/01  12:00:00,26.964699878,45.041677131499995
 01/01  13:00:00,26.118475991799997,38.901258592
 01/01  14:00:00,25.9299706166,34.972599224899994
 01/01  15:00:00,20.9414896119,23.3609102171
 01/01  16:00:00,20.923364478099998,21.8199269564
 01/01  17:00:00,20.8197770175,25.7608887145
 01/01  18:00:00,28.311823965100004,30.8563291449
 01/01  19:00:00,28.285380480100002,33.304554586
 01/01  20:00:00,28.410227687800003,36.8946751672
 01/01  21:00:00,23.3774426975,37.4115388346
 01/01  22:00:00,23.2920590725,39.7725475249
 01/01  23:00:00,23.1720625178,39.2751155786
 01/01  24:00:00,24.3456142371,27.6079983518
 01/02  01:00:00,13.864942413900001,35.489745247399995
 01/02  02:00:00,9.5036615217,3.59316497242
 01/02  03:00:00,9.52578269652,3.0211
 01/02  04:00:00,9.53689662902,3.59317088709
 01/02  05:00:00,9.68549271456,3.0211
 01/02  06:00:00,13.8061642104,45.8136044613
 01/02  07:00:00,28.278568695900002,51.045544459700004
 01/02  08:00:00,26.336740071100003,55.8110609396
 01/02  09:00:00,20.7296428712,41.8432897799
 01/02  10:00:00,20.791278512,30.967465856399997
 01/02  11:00:00,25.8262828948,39.9339017966
 01/02  12:00:00,27.0068243436,44.551751179700005
 01/02  13:00:00,26.2015514714,38.901367903200004
 01/02  14:00:00,26.0131461543,34.3983106365
 01/02  15:00:00,21.0423719319,23.3204774471
 01/02  16:00:00,21.0322433632,22.3932821381
 01/02  17:00:00,20.9227148959,24.8213425846
 01/02  18:00:00,28.4137183547,28.9712235438
 01/02  19:00:00,28.375294526999998,29.548400766700002
 01/02  20:00:00,28.4831005867,30.499452841900002
 01/02  21:00:00,23.4340189546,29.6546095293
 01/02  22:00:00,23.3432423952,31.6338501135
 01/02  23:00:00,23.222180997600002,31.2118865848
 01/02  24:00:00,24.3733997502,18.934402344200002
 01/03  01:00:00,13.9105911097,26.261572941500003
 01/03  02:00:00,9.551599171260001,3.0211
 01/03  03:00:00,9.572107348560001,3.5931501233800005
 01/03  04:00:00,9.578081169139999,3.0211
 01/03  05:00:00,10.237340504199999,3.5931560617000002
 01/03  06:00:00,14.344904310699999,36.4993360481
 01/03  07:00:00,28.525462543299998,41.4788796065
 01/03  08:00:00,26.3615582943,47.4176269039
 01/03  09:00:00,20.7684715248,33.6202129219
 01/03  10:00:00,20.8300782317,24.2888663199
 01/03  11:00:00,25.8896598359,37.1148507719
 01/03  12:00:00,27.060863251799997,43.9771130767
 01/03  13:00:00,26.233211148899997,39.4744231465
 01/03  14:00:00,26.0023481199,34.3979856602
 01/03  15:00:00,20.9844618165,23.354362093200002
 01/03  16:00:00,20.9620593999,21.819781402100002
 01/03  17:00:00,20.8715976931,25.3946002685
 01/03  18:00:00,28.367976371599998,28.3974783176
 01/03  19:00:00,28.335238392399997,30.408260385100004
 01/03  20:00:00,28.309033414600002,32.1930822605
 01/03  21:00:00,23.282637854,31.817153874099997
 01/03  22:00:00,23.230195232800003,33.2928509984
 01/03  23:00:00,23.215131185,33.5444708375
 01/03  24:00:00,24.372260470300002,19.8302845953
 01/04  01:00:00,13.9105487047,27.2428797265
 01/04  02:00:00,9.55289612886,3.5931909941000004
 01/04  03:00:00,9.57508348415,3.0211
 01/04  04:00:00,9.583644146060001,3.5931658982699997
 01/04  05:00:00,9.72986518102,3.0211
 01/04  06:00:00,13.843097115299999,35.9142228782
