Date/Time,Electricity:Facility [kW](Hourly),Gas:Facility [kW](Hourly)
 01/01  01:00:00,649.162517932,597.357491001
 01/01  02:00:00,622.066087819,669.897553594
 01/01  03:00:00,605.596206827,704.495988071
 01/01  04:00:00,597.819718359,714.69970195
 01/01  05:00:00,604.502039584,701.688974283
 01/01  06:00:00,604.579388334,708.725923934
 01/01  07:00:00,674.728559629,656.89425252
 01/01  08:00:00,674.072501907,657.076762349
 01/01  09:00:00,762.201188457,584.469504149
 01/01  10:00:00,782.7295483089999,495.541080336
 01/01  11:00:00,830.917714813,484.812689161
 01/01  12:00:00,877.348876177,470.802293968
 01/01  13:00:00,908.8473305260001,476.86012048599997
 01/01  14:00:00,920.0148757869999,454.25196210300004
 01/01  15:00:00,932.96814428,422.750240651
 01/01  16:00:00,939.4165852,435.664263109
 01/01  17:00:00,909.53822027,477.257823944
 01/01  18:00:00,865.591831563,506.998669951
 01/01  19:00:00,804.848143398,535.865066186
 01/01  20:00:00,778.9968460660001,517.860988141
 01/01  21:00:00,728.3435813389999,558.9252674530001
 01/01  22:00:00,695.585519963,554.696773929
 01/01  23:00:00,684.330770872,567.199651204
 01/01  24:00:00,692.58460996,554.9347244209999
 01/02  01:00:00,673.132949986,573.546699407
 01/02  02:00:00,650.904517121,605.945188451
 01/02  03:00:00,653.7957343869999,603.77357156
 01/02  04:00:00,660.132978845,598.76017169
 01/02  05:00:00,748.2177322069999,561.806772336
 01/02  06:00:00,749.995086447,1198.38896581
 01/02  07:00:00,982.648386972,713.082306015
 01/02  08:00:00,1113.73472736,636.914985981
 01/02  09:00:00,1161.17612056,615.171885635
 01/02  10:00:00,1206.29982305,585.930284111
 01/02  11:00:00,1240.63615919,587.184604492
 01/02  12:00:00,1257.09939272,573.2292030159999
 01/02  13:00:00,1216.19291918,537.711787682
 01/02  14:00:00,1252.46570112,525.352898995
 01/02  15:00:00,1268.13446963,481.616217877
 01/02  16:00:00,1280.20614956,485.881223011
 01/02  17:00:00,1288.59301747,509.092577806
 01/02  18:00:00,1300.66435118,479.262322666
 01/02  19:00:00,1020.53018327,456.880339079
 01/02  20:00:00,997.610518983,424.92143707599996
 01/02  21:00:00,860.704346982,464.85889187
 01/02  22:00:00,809.250495747,458.810228988
 01/02  23:00:00,724.965191733,463.62360761300005
 01/02  24:00:00,718.949341195,455.031728607
 01/03  01:00:00,723.133488027,450.61350803199997
 01/03  02:00:00,755.9703352460001,451.414509763
 01/03  03:00:00,765.876213451,456.813725005
 01/03  04:00:00,727.217171122,464.11492834
 01/03  05:00:00,808.54499224,442.90674218
 01/03  06:00:00,815.60633503,844.0015955010001
 01/03  07:00:00,1035.15131325,545.849693685
 01/03  08:00:00,1146.83892766,512.623303955
 01/03  09:00:00,1179.91129442,508.94007140900004
 01/03  10:00:00,1218.06832715,474.86153340699997
 01/03  11:00:00,1245.66062623,466.69193438
 01/03  12:00:00,1272.24230732,451.226711036
 01/03  13:00:00,1239.63294223,427.94700540599996
 01/03  14:00:00,1277.80782669,412.36535057300006
 01/03  15:00:00,1285.82645901,365.754133849
 01/03  16:00:00,1290.04779896,361.05930008
 01/03  17:00:00,1289.21388664,416.260240468
 01/03  18:00:00,1297.93819416,408.211925856
 01/03  19:00:00,1011.39428802,421.598136691
 01/03  20:00:00,983.2668188680001,394.961212996
 01/03  21:00:00,829.870101202,442.172111298
 01/03  22:00:00,768.221781717,427.98284630000006
 01/03  23:00:00,694.3183321280001,432.831063974
 01/03  24:00:00,698.100582825,415.54572693800003
 01/04  01:00:00,686.8414401480001,420.503242086
 01/04  02:00:00,687.2306395139999,424.17453884300005
 01/04  03:00:00,682.832703049,429.370020411
 01/04  04:00:00,674.136523114,435.203837357
 01/04  05:00:00,762.006374551,415.72165197699996
 01/04  06:00:00,760.900020451,716.094910773
 01/04  07:00:00,983.5892717180001,494.565613976
 01/04  08:00:00,1099.41248867,470.12688513800003
 01/04  09:00:00,1140.46492473,447.78977607400003
 01/04  10:00:00,1189.35879352,423.14883121800005
 01/04  11:00:00,1225.88348231,443.22784210199995
 01/04  12:00:00,1252.85633405,432.47981034300005
 01/04  13:00:00,1227.45980323,403.080372978
 01/04  14:00:00,1275.13529037,393.262691678
 01/04  15:00:00,1282.49468249,366.52888732099996
 01/04  16:00:00,1295.70475765,361.248906029
 01/04  17:00:00,1309.39600626,397.47651045199996
 01/04  18:00:00,1300.1735985,406.31505406199994
 01/04  19:00:00,975.518778452,416.55035114300006
 01/04  20:00:00,959.782890458,393.609841696
 01/04  21:00:00,830.9869389910001,437.864812892
 01/04  22:00:00,791.888861416,421.25336342
 01/04  23:00:00,714.96619434,427.587370791
 01/04  24:00:00,708.227626452,421.77710309400004
 01/05  01:00:00,695.273735995,419.10979785
 01/05  02:00:00,707.282585267,422.218901471
 01/05  03:00:00,715.030222257,425.496260758
 01/05  04:00:00,720.740432316,429.973823045
 01/05  05:00:00,806.549053764,412.282729259
 01/05  06:00:00,793.002862458,691.115633414
 01/05  07:00:00,1007.87637636,483.083580175
 01/05  08:00:00,1121.90361668,467.12663974699996
 01/05  09:00:00,1166.73449648,456.647923955
 01/05  10:00:00,1225.00895257,420.87500113199997
 01/05  11:00:00,1227.56476686,459.989702335
 01/05  12:00:00,1200.42487701,425.691415898
 01/05  13:00:00,1192.15207886,410.02697819300005
 01/05  14:00:00,1286.29743851,392.459768133
 01/05  15:00:00,1306.78350554,355.14762116800006
 01/05  16:00:00,1298.94068381,352.72232393699994
 01/05  17:00:00,1283.02676274,402.15167666699995
 01/05  18:00:00,1252.29104732,412.126974636
 01/05  19:00:00,955.835528056,419.093534915
 01/05  20:00:00,936.4352559280001,405.62118276
 01/05  21:00:00,784.2060224510001,439.81523980699995
 01/05  22:00:00,727.7200333669999,452.383447087
 01/05  23:00:00,665.6474717780001,454.256715302
 01/05  24:00:00,654.485410495,480.266672612
 01/06  01:00:00,631.920144835,506.250245285
 01/06  02:00:00,612.3025753640001,551.1422572619999
 01/06  03:00:00,601.7923751659999,579.144573113
 01/06  04:00:00,592.522256751,605.508468585
 01/06  05:00:00,678.743998626,593.610692966
 01/06  06:00:00,670.80215572,864.4869846080001
 01/06  07:00:00,897.937175926,593.741668964
 01/06  08:00:00,1017.19927588,545.740583726
 01/06  09:00:00,1061.22832935,513.4001703490001
 01/06  10:00:00,1128.95411344,443.969818289
 01/06  11:00:00,1184.89444691,432.309703909
 01/06  12:00:00,1219.93188083,423.974929598
 01/06  13:00:00,1199.74242091,399.622777945
 01/06  14:00:00,1253.45771325,393.948062073
 01/06  15:00:00,1262.07321078,349.49665356599996
 01/06  16:00:00,1259.41216181,348.397741239
 01/06  17:00:00,1251.09932468,405.809450391
 01/06  18:00:00,1236.56403689,397.319325948
 01/06  19:00:00,949.088912842,423.96613232699997
 01/06  20:00:00,930.9760820639999,396.01715467400004
 01/06  21:00:00,779.1672086660001,459.19972869300005
 01/06  22:00:00,726.329916425,465.935896221
 01/06  23:00:00,642.669320547,511.77257809800005
 01/06  24:00:00,619.953393115,549.407832842
 01/07  01:00:00,587.283788506,572.5131691830001
 01/07  02:00:00,583.0724515859999,596.726795254
 01/07  03:00:00,584.0043908069999,599.39814615
 01/07  04:00:00,593.366911601,581.477202659
 01/07  05:00:00,593.727400439,612.338395828
 01/07  06:00:00,584.6203266580001,650.692511608
 01/07  07:00:00,654.383546022,605.753912524
 01/07  08:00:00,767.6910361089999,855.933404862
 01/07  09:00:00,789.823022853,651.766385766
 01/07  10:00:00,930.830572165,520.890626486
 01/07  11:00:00,972.5655745830001,512.0995271319999
 01/07  12:00:00,999.495654204,491.291818314
 01/07  13:00:00,994.929836177,477.417931993
 01/07  14:00:00,1016.38522277,458.832241041
 01/07  15:00:00,1027.24236789,425.712703025
 01/07  16:00:00,939.1540800719999,339.32961527
 01/07  17:00:00,927.5302887319999,394.89537194300004
 01/07  18:00:00,881.411847072,403.141091784
 01/07  19:00:00,837.8356932519999,433.59072709699996
 01/07  20:00:00,808.565722916,432.555236042
 01/07  21:00:00,686.445160708,491.932111777
 01/07  22:00:00,687.6774445230001,489.39474322800004
 01/07  23:00:00,672.4428177369999,508.91406010199995
 01/07  24:00:00,644.700909196,550.4187678330001
 01/08  01:00:00,598.210064502,595.5732434930001
 01/08  02:00:00,592.41019907,612.921802738
 01/08  03:00:00,577.336292295,664.784115779
 01/08  04:00:00,567.1548417390001,691.7554871460001
 01/08  05:00:00,569.0724073590001,691.918801629
 01/08  06:00:00,560.868263342,717.934231113
 01/08  07:00:00,637.118080681,649.259786427
 01/08  08:00:00,646.076140232,612.3785048340001
 01/08  09:00:00,739.941768783,534.529947732
 01/08  10:00:00,763.3158343919999,466.072354495
 01/08  11:00:00,804.822499866,447.07352995
 01/08  12:00:00,854.705535606,400.60592087
 01/08  13:00:00,889.367375785,398.03558923800006
 01/08  14:00:00,902.749809684,379.322296503
 01/08  15:00:00,911.01587663,355.050442416
 01/08  16:00:00,903.3321808339999,360.873894908
 01/08  17:00:00,857.2768087439999,419.984902101
 01/08  18:00:00,805.9477369069999,441.16733189900003
 01/08  19:00:00,759.71637339,479.78276628599997
 01/08  20:00:00,723.674534015,490.60869128699994
 01/08  21:00:00,663.928935368,559.621579141
 01/08  22:00:00,636.833084515,604.9307141209999
 01/08  23:00:00,617.091537304,631.739236291
 01/08  24:00:00,617.137144511,622.573754686
 01/09  01:00:00,604.660172919,642.187143175
 01/09  02:00:00,597.653325191,658.8506518840001
 01/09  03:00:00,600.446603324,660.90909833
 01/09  04:00:00,602.097031233,663.484524543
 01/09  05:00:00,683.0983413609999,657.631191535
 01/09  06:00:00,679.58612212,1107.5865755
 01/09  07:00:00,895.4262683430001,748.808822465
 01/09  08:00:00,1011.18495748,683.763094685
 01/09  09:00:00,1067.78079662,602.977473985
 01/09  10:00:00,1138.20271964,511.07898265800003
 01/09  11:00:00,1185.31367207,510.358883577
 01/09  12:00:00,1236.71473528,478.43538417900004
 01/09  13:00:00,1243.22197618,459.49560767
 01/09  14:00:00,1305.4572934,441.14974264
 01/09  15:00:00,1312.39264348,389.35816913900004
