Date/Time,Electricity:Facility [kW](Hourly),Gas:Facility [kW](Hourly)
 01/01  01:00:00,17.041290715,34.276907293200004
 01/01  02:00:00,16.709515741700002,40.604637032199996
 01/01  03:00:00,16.570936000499998,44.302753986800006
 01/01  04:00:00,16.5302058025,47.158158562
 01/01  05:00:00,18.6606958778,49.092931352200004
 01/01  06:00:00,23.1868867389,53.3255050075
 01/01  07:00:00,28.4186551582,64.54637671100001
 01/01  08:00:00,28.4097973965,64.3007796204
 01/01  09:00:00,23.3493960071,58.553953211599996
 01/01  10:00:00,20.3047469157,50.008603246899995
 01/01  11:00:00,17.180914249300002,42.6257554185
 01/01  12:00:00,17.1864379299,35.6729833969
 01/01  13:00:00,16.8956291091,30.34200548
 01/01  14:00:00,16.2988435208,25.286210620100004
 01/01  15:00:00,15.992854210099999,20.3725474209
 01/01  16:00:00,17.2921772842,20.109247640699998
 01/01  17:00:00,24.7478785548,21.964628040300003
 01/01  18:00:00,37.2878807161,24.674304678899997
 01/01  19:00:00,39.515743536500004,26.6149063354
 01/01  20:00:00,38.6062961185,27.2521886191
 01/01  21:00:00,38.257801536799995,28.0440656167
 01/01  22:00:00,32.9354539741,28.740192255100002
 01/01  23:00:00,26.157734206100002,30.990937007600003
 01/01  24:00:00,20.418766796099998,29.859984680300002
 01/02  01:00:00,16.9691251255,32.1533802471
 01/02  02:00:00,16.5744664097,36.5599034138
 01/02  03:00:00,16.359582973,37.8500010121
 01/02  04:00:00,16.249113889500002,38.5838578341
 01/02  05:00:00,18.3637289672,40.0992994084
 01/02  06:00:00,22.8541987379,43.493977357700004
 01/02  07:00:00,28.0178606853,53.0095432129
 01/02  08:00:00,28.176866731399997,51.9524987217
 01/02  09:00:00,24.877167650900002,52.6772295775
 01/02  10:00:00,22.0429280371,49.2195895843
 01/02  11:00:00,19.0380349706,44.861191994399995
 01/02  12:00:00,19.106716115999998,39.586680663
 01/02  13:00:00,18.7654436358,37.2872964775
 01/02  14:00:00,18.4104699499,34.0940834655
 01/02  15:00:00,18.1086082747,28.9839737844
 01/02  16:00:00,19.40080885,28.4098832446
 01/02  17:00:00,26.7947097157,28.8544323773
 01/02  18:00:00,37.6639145071,28.6571818169
 01/02  19:00:00,39.6564697406,29.663011624099997
 01/02  20:00:00,38.7165825397,29.625801806
 01/02  21:00:00,38.2894314082,28.5087129952
 01/02  22:00:00,32.9083893002,27.662270485300002
 01/02  23:00:00,26.1255726615,29.7261108098
 01/02  24:00:00,20.363769443,28.0586101325
 01/03  01:00:00,16.7630319259,26.0963664452
 01/03  02:00:00,16.1604746629,24.5997816756
 01/03  03:00:00,15.9265898974,25.4639329988
 01/03  04:00:00,15.909239409400001,29.0102551347
 01/03  05:00:00,17.9969683727,29.9320837659
 01/03  06:00:00,22.443811042600004,32.274409997199996
 01/03  07:00:00,27.643278084600002,43.085931583699995
 01/03  08:00:00,27.8515918077,43.5725477138
 01/03  09:00:00,24.571285070500004,44.22497844
 01/03  10:00:00,21.574826529,37.3355909646
 01/03  11:00:00,18.4262810348,30.1346047611
 01/03  12:00:00,18.4069101055,23.161644710999997
 01/03  13:00:00,18.0214468817,19.796723546099997
 01/03  14:00:00,17.6378201009,16.267551328499998
 01/03  15:00:00,17.4041348283,13.153378876
 01/03  16:00:00,18.7256650979,13.385496336400001
 01/03  17:00:00,26.1731015617,15.037779965999999
 01/03  18:00:00,37.1761022554,17.9139393532
 01/03  19:00:00,39.231370887800004,20.298222239
 01/03  20:00:00,38.3094334357,20.5457117743
 01/03  21:00:00,37.9385000447,20.693019837999998
 01/03  22:00:00,32.6120348126,21.0792873768
 01/03  23:00:00,25.8364822319,23.245544832399997
 01/03  24:00:00,20.062230909,21.1824320504
 01/04  01:00:00,16.4912431654,20.018220307300002
 01/04  02:00:00,15.9844515241,21.1147448394
 01/04  03:00:00,15.7755876421,22.617697614
 01/04  04:00:00,15.740432363399998,25.5054671309
 01/04  05:00:00,17.8324227764,26.4233079067
 01/04  06:00:00,22.346840513000004,30.5009952053
 01/04  07:00:00,27.6177721092,43.0717853367
 01/04  08:00:00,27.815854800300002,43.2522734429
 01/04  09:00:00,24.395545048800003,40.227844661300004
 01/04  10:00:00,21.491454516100003,35.6679020807
 01/04  11:00:00,18.5264493159,32.6576308933
 01/04  12:00:00,18.5283304222,26.1076085156
 01/04  13:00:00,18.0743406972,20.6406077999
 01/04  14:00:00,17.7655919382,19.149733079100002
 01/04  15:00:00,17.530085629200002,15.7540543046
 01/04  16:00:00,18.8833548579,15.027552758399999
 01/04  17:00:00,26.289671070100002,17.3623111333
 01/04  18:00:00,37.3278308123,21.0176691574
 01/04  19:00:00,39.4454176977,24.5984587202
 01/04  20:00:00,38.5116438873,25.0254840004
 01/04  21:00:00,38.102041568699995,24.4538619045
 01/04  22:00:00,32.7101566487,23.250565111100002
 01/04  23:00:00,25.9269648675,25.2528703871
 01/04  24:00:00,20.1880914229,24.1644833758
 01/05  01:00:00,16.6180473564,23.078383044000002
 01/05  02:00:00,16.0745786007,23.206597383400002
 01/05  03:00:00,15.8096768957,23.1872410852
 01/05  04:00:00,15.7004025115,24.0646307506
 01/05  05:00:00,17.7904413189,24.977971571399998
 01/05  06:00:00,22.3227249404,29.6272153946
 01/05  07:00:00,27.569103915,41.671390014800004
 01/05  08:00:00,27.7810122088,42.230139655900004
 01/05  09:00:00,24.484497498400003,42.2157610063
 01/05  10:00:00,21.560789771,37.1279331777
 01/05  11:00:00,18.6952995063,36.7891749893
 01/05  12:00:00,18.7387291566,31.5468278673
 01/05  13:00:00,18.399264713900003,26.803353595700003
 01/05  14:00:00,18.1043794372,22.4214624416
 01/05  15:00:00,17.9112352765,19.0295606466
 01/05  16:00:00,19.2136452771,19.3526194258
 01/05  17:00:00,26.591383715,23.0099970677
 01/05  18:00:00,37.638192035799996,27.298251623899997
 01/05  19:00:00,39.6919088876,29.238031133699998
 01/05  20:00:00,38.7504236756,29.7891274329
 01/05  21:00:00,38.3748151176,30.8931228702
 01/05  22:00:00,33.0198833551,31.1229743671
 01/05  23:00:00,26.213684724,32.603359734099996
 01/05  24:00:00,20.5477158661,33.7216887908
 01/06  01:00:00,17.094059788499997,36.1483847825
 01/06  02:00:00,16.6950929214,40.5770126468
 01/06  03:00:00,16.5631704246,44.416671790200006
 01/06  04:00:00,16.560557741,48.366576969300006
 01/06  05:00:00,18.7319015149,51.554530157100004
 01/06  06:00:00,23.2929530567,56.959072657
 01/06  07:00:00,28.5194013568,68.0295013856
 01/06  08:00:00,28.695244192399997,67.4260458729
 01/06  09:00:00,25.2149626995,62.8359165146
 01/06  10:00:00,22.1619093158,53.6234048291
 01/06  11:00:00,19.011286771800002,45.3577322513
 01/06  12:00:00,19.0602328348,37.2258619201
 01/06  13:00:00,18.7137520601,31.6430544885
 01/06  14:00:00,18.3649911909,26.6757644691
 01/06  15:00:00,18.123112797,22.5161695444
 01/06  16:00:00,19.372727051800002,21.5842262149
 01/06  17:00:00,26.6833728614,23.806055467199997
 01/06  18:00:00,37.6919335598,27.3054689679
 01/06  19:00:00,39.747942445300005,29.7195072905
 01/06  20:00:00,38.8257484292,31.0850682515
 01/06  21:00:00,38.4611278435,32.702388879299995
 01/06  22:00:00,33.0977952277,33.2341886396
 01/06  23:00:00,26.393220549200002,37.712815491
 01/06  24:00:00,20.7699206384,40.298984791399995
 01/07  01:00:00,17.3123513638,42.7835167931
 01/07  02:00:00,16.8958153078,46.5527385817
 01/07  03:00:00,16.7330278268,49.30326284270001
 01/07  04:00:00,16.6529242699,50.7358780037
 01/07  05:00:00,18.8329158145,54.3211117058
 01/07  06:00:00,23.4057548655,60.1834363649
 01/07  07:00:00,28.6385558823,71.50406078430001
 01/07  08:00:00,28.6370025173,71.42787798020001
 01/07  09:00:00,23.5361363051,64.2829146133
