Date/Time,Electricity:Facility [kW](Hourly),Gas:Facility [kW](Hourly)
 01/01  01:00:00,55.4286223015,3.22568
 01/01  02:00:00,55.406239971000005,3.22568
 01/01  03:00:00,55.381406916,6.08835065764
 01/01  04:00:00,55.3595442004,3.22568
 01/01  05:00:00,56.9637974653,6.750767068019999
 01/01  06:00:00,57.29566498810001,12.2211362689
 01/01  07:00:00,57.7862268001,24.859761660700002
 01/01  08:00:00,49.083789288,18.334000701500003
 01/01  09:00:00,48.3377615382,10.6132808677
 01/01  10:00:00,47.708272188500004,7.416754294489999
 01/01  11:00:00,47.0357957593,3.22568
 01/01  12:00:00,47.74362524399999,6.08971594001
 01/01  13:00:00,47.0716814067,3.22568
 01/01  14:00:00,47.1269582812,6.0897845010300005
 01/01  15:00:00,47.1594182587,3.22568
 01/01  16:00:00,47.1600046365,6.08830592141
 01/01  17:00:00,48.4792082045,3.22568
 01/01  18:00:00,55.5788024866,3.22568
 01/01  19:00:00,55.551121574300005,6.08829436107
 01/01  20:00:00,55.7406194767,3.22568
 01/01  21:00:00,55.72448396520001,3.22568
 01/01  22:00:00,55.6339341029,6.0882828302
 01/01  23:00:00,55.472777140699996,3.22568
 01/01  24:00:00,56.1546029858,6.0882713207000005
 01/02  01:00:00,55.4367967708,3.22568
 01/02  02:00:00,55.41748930399999,6.08966945419
 01/02  03:00:00,55.4002538518,3.22568
 01/02  04:00:00,55.3883709368,6.08974197178
 01/02  05:00:00,55.5867677876,3.22568
 01/02  06:00:00,55.6501181,6.0898143213300004
 01/02  07:00:00,66.4571421334,289.322859489
 01/02  08:00:00,121.459694631,121.089474362
 01/02  09:00:00,166.93758203,60.984652583999996
 01/02  10:00:00,168.632022154,59.6862631114
 01/02  11:00:00,175.099738358,58.2274168509
 01/02  12:00:00,179.253838237,52.4682910795
 01/02  13:00:00,181.741653663,55.4288983833
 01/02  14:00:00,180.903994737,36.7289417283
 01/02  15:00:00,183.74266747299998,33.4954584257
 01/02  16:00:00,181.120983161,24.646240948400003
 01/02  17:00:00,171.901581415,15.1691257402
 01/02  18:00:00,129.196789802,36.3944315643
 01/02  19:00:00,128.43923801100001,77.083165741
 01/02  20:00:00,128.732818383,138.239844606
 01/02  21:00:00,129.077922258,190.520787777
 01/02  22:00:00,55.4971506043,8.97858476357
 01/02  23:00:00,55.3753926006,6.094912347869999
 01/02  24:00:00,56.16680189310001,6.092633104500001
 01/03  01:00:00,55.396910941099996,6.08983813268
 01/03  02:00:00,55.398204397600004,3.22568
 01/03  03:00:00,55.3901562614,6.08969703141
 01/03  04:00:00,55.3810938502,3.22568
 01/03  05:00:00,58.0617140339,7.00940910356
 01/03  06:00:00,57.6569491722,7.2234061262100004
 01/03  07:00:00,65.1763924256,495.28583521900003
 01/03  08:00:00,120.583749266,395.588763065
 01/03  09:00:00,165.67679432399999,271.407183179
 01/03  10:00:00,165.625962534,178.20368805900003
 01/03  11:00:00,169.55884612399998,91.768762075
 01/03  12:00:00,178.71950573799998,53.181709947600005
 01/03  13:00:00,186.798268775,52.507496314099996
 01/03  14:00:00,185.102619597,39.4434097005
 01/03  15:00:00,186.795909035,33.493505341399995
 01/03  16:00:00,185.64655740700002,20.6892471405
 01/03  17:00:00,176.777103912,7.1762255576
 01/03  18:00:00,134.871374564,13.305071218800002
 01/03  19:00:00,131.91206223,22.6681164107
 01/03  20:00:00,131.293810933,24.5235690684
 01/03  21:00:00,131.66426870700002,27.217129207
 01/03  22:00:00,55.5098819144,8.978629202210001
 01/03  23:00:00,55.542676609,6.094777680240001
 01/03  24:00:00,56.260124535299994,6.09275227734
 01/04  01:00:00,55.5145152297,6.0896639337
 01/04  02:00:00,55.4901957529,3.22568
 01/04  03:00:00,55.4674448296,6.089743576340001
 01/04  04:00:00,55.448322195500005,3.22568
 01/04  05:00:00,55.6332786027,6.08982302882
 01/04  06:00:00,55.603006290399996,3.22568
 01/04  07:00:00,64.4371511074,357.623905443
 01/04  08:00:00,120.458027289,296.053110376
 01/04  09:00:00,165.68255788,198.592902487
 01/04  10:00:00,165.383272941,111.80743273
 01/04  11:00:00,169.882530901,90.90450674530001
 01/04  12:00:00,171.315105592,67.40890088729999
 01/04  13:00:00,171.112208685,61.1038458847
 01/04  14:00:00,168.207821934,58.723279213999994
 01/04  15:00:00,169.379766796,51.4214130278
 01/04  16:00:00,167.363279412,41.7626331624
 01/04  17:00:00,165.118245569,28.1539141733
 01/04  18:00:00,128.434687138,44.4640114425
 01/04  19:00:00,128.474629617,77.8167436959
 01/04  20:00:00,128.776641722,109.82014116799999
 01/04  21:00:00,128.954995513,135.892524219
 01/04  22:00:00,55.5386388098,11.854667893699999
 01/04  23:00:00,55.4276285366,6.0949112194
 01/04  24:00:00,56.190822941899995,6.09277575878
 01/05  01:00:00,55.4355385867,3.22568
 01/05  02:00:00,55.4361894434,6.0897573969300005
 01/05  03:00:00,55.410429137600005,3.22568
 01/05  04:00:00,55.392771919,6.08984022956
 01/05  05:00:00,55.599606604399995,6.08970517329
 01/05  06:00:00,55.5788776563,3.22568
 01/05  07:00:00,64.5077407327,338.493585701
 01/05  08:00:00,120.113576015,180.63180650099997
 01/05  09:00:00,166.06735117,79.5057786503
 01/05  10:00:00,171.047206368,54.383903321999995
 01/05  11:00:00,180.134290892,51.5325986557
 01/05  12:00:00,191.301203557,52.495620707
 01/05  13:00:00,211.109524495,52.5065337484
 01/05  14:00:00,217.416223003,39.4356299836
 01/05  15:00:00,214.604870576,33.4884081378
 01/05  16:00:00,207.64356342,20.6891816543
