Date/Time,Electricity:Facility [kW](Hourly),Gas:Facility [kW](Hourly)
 01/01  01:00:00,18.7457869892,54.6633253753
 01/01  02:00:00,18.1595900377,44.942555394799996
 01/01  03:00:00,19.1658286578,61.5935997941
 01/01  04:00:00,18.3459933508,48.0592332777
 01/01  05:00:00,19.5589107926,68.2578462286
 01/01  06:00:00,18.6812849202,53.6576203246
 01/01  07:00:00,19.821763420899998,72.7170313978
 01/01  08:00:00,11.251928353699999,53.820813926099994
 01/01  09:00:00,10.456078976699999,65.25569990529999
 01/01  10:00:00,8.96586287256,40.5232394162
 01/01  11:00:00,9.001179474239999,40.9305093645
 01/01  12:00:00,7.84494108018,21.8661385467
 01/01  13:00:00,7.805128847939999,21.0210303719
 01/01  14:00:00,7.272747687689999,12.324546279000002
 01/01  15:00:00,7.413004117030001,14.614004913299999
 01/01  16:00:00,7.1718391404199995,10.775353136
 01/01  17:00:00,7.620474224600001,17.8484725484
 01/01  18:00:00,16.644614211900002,20.0047478446
 01/01  19:00:00,17.613280779500002,35.8573118655
 01/01  20:00:00,17.3708404781,31.977586953699998
 01/01  21:00:00,18.3350858873,47.765086940100005
 01/01  22:00:00,17.8214149857,39.4180737853
 01/01  23:00:00,18.877815813599998,56.7848045528
 01/01  24:00:00,18.1797497389,45.360875146000005
 01/02  01:00:00,19.1970476266,62.102351507399995
 01/02  02:00:00,18.318585980599998,47.646452241000006
 01/02  03:00:00,19.4014690572,65.5165542674
 01/02  04:00:00,18.5788277435,51.986376550100005
 01/02  05:00:00,19.7911098112,72.0504846605
 01/02  06:00:00,18.8613863253,56.695944414399996
 01/02  07:00:00,24.4985295715,101.77172493200001
 01/02  08:00:00,37.5527687396,85.07888353140001
 01/02  09:00:00,55.5440748963,66.3156947943
 01/02  10:00:00,67.51812376720001,39.704575137
 01/02  11:00:00,67.51812376720001,20.845982868900002
 01/02  12:00:00,67.51812376720001,9.64370304448
 01/02  13:00:00,61.02529949270001,5.8702137816499995
 01/02  14:00:00,67.51812376720001,4.08492608125
 01/02  15:00:00,67.51812376720001,3.07828661108
 01/02  16:00:00,67.51812376720001,2.6122864898
 01/02  17:00:00,67.51812376720001,3.62645291813
 01/02  18:00:00,29.9047045963,7.79902888893
 01/02  19:00:00,17.064464088399998,26.04335758
 01/02  20:00:00,17.1855043099,28.509339573800002
 01/02  21:00:00,18.1051740346,43.240032209
 01/02  22:00:00,17.7169770847,37.4739600332
 01/02  23:00:00,18.7650949304,54.2201233833
