Date/Time,Electricity:Facility [kW](Hourly),Gas:Facility [kW](Hourly)
 01/01  01:00:00,74.5184197727,1.11976121924
 01/01  02:00:00,69.6991864592,1.38727190527
 01/01  03:00:00,82.24707959310001,3.32607456244
 01/01  04:00:00,71.91072167739999,1.9503634902000002
 01/01  05:00:00,81.9982325862,3.5169117947099995
 01/01  06:00:00,71.5461714854,2.05801839225
 01/01  07:00:00,80.41072089,3.54732038758
 01/01  08:00:00,53.4727902979,1.86053757055
 01/01  09:00:00,57.6638414672,3.2356389544
 01/01  10:00:00,44.5453567363,1.0344844669
 01/01  11:00:00,47.793226687700006,0.8093560503849999
 01/01  12:00:00,40.0484140558,1.2969219419700002
 01/01  13:00:00,44.4351620829,0.24412090428000002
 01/01  14:00:00,38.1478135772,1.1554732270799999
 01/01  15:00:00,43.756318389099995,1.12390232414
 01/01  16:00:00,39.882705419000004,0.02
 01/01  17:00:00,57.1813649482,1.13867497702
 01/01  18:00:00,56.55313431810001,0.0538400304955
 01/01  19:00:00,63.2707816437,0.109864387609
 01/01  20:00:00,57.4258659626,1.16722559345
 01/01  21:00:00,68.2962389933,0.286876966261
 01/01  22:00:00,64.0676955173,1.2976014837899998
 01/01  23:00:00,70.2755797816,0.461279949304
 01/01  24:00:00,65.33300383390001,1.41140265869
 01/02  01:00:00,76.3721413288,1.07520884774
 01/02  02:00:00,71.4659261132,2.02693531765
 01/02  03:00:00,78.4355387255,1.69155371845
 01/02  04:00:00,72.7933590855,2.4053355379799997
 01/02  05:00:00,79.5495945375,2.1339754960799997
 01/02  06:00:00,76.2305459644,2.6826604329799997
 01/02  07:00:00,280.795465229,0.36518413482
 01/02  08:00:00,240.49000033599998,48.1208986333
 01/02  09:00:00,242.333094,41.4521417093
 01/02  10:00:00,200.74949330400003,30.962693364
 01/02  11:00:00,191.18983008200001,27.3727007505
 01/02  12:00:00,185.24881879900002,28.945821760599998
 01/02  13:00:00,179.95239249,27.567181703400003
 01/02  14:00:00,164.948352225,27.6831131992
 01/02  15:00:00,149.087639404,24.844983961799997
 01/02  16:00:00,144.792394148,29.3651544465
 01/02  17:00:00,170.483784845,40.2087114302
 01/02  18:00:00,178.60305148400002,48.0197957655
 01/02  19:00:00,154.858150599,48.7864357483
 01/02  20:00:00,157.92211513200002,49.9169034158
 01/02  21:00:00,154.312402896,53.2438567707
 01/02  22:00:00,156.850434256,58.6826528543
 01/02  23:00:00,41.6166002114,1.10307249646
 01/02  24:00:00,41.7443875185,0.12840669955999998
 01/03  01:00:00,46.110673973000004,1.31894195317
 01/03  02:00:00,54.750578966000006,1.8556545639099997
 01/03  03:00:00,59.9561248739,3.4209671400999997
 01/03  04:00:00,70.5467028093,4.27458926306
 01/03  05:00:00,69.4741140926,4.15530220309
 01/03  06:00:00,83.671736991,7.6359532761699995
 01/03  07:00:00,247.950112683,2.0481782113299998
 01/03  08:00:00,192.301902584,102.227378967
 01/03  09:00:00,192.348017941,84.26324393590001
 01/03  10:00:00,167.730766293,63.4401049079
 01/03  11:00:00,162.27673861,49.3204502971
 01/03  12:00:00,157.060791043,37.8298683204
 01/03  13:00:00,157.615497949,27.471203128600003
 01/03  14:00:00,145.038202535,17.954412609400002
 01/03  15:00:00,131.48663095,15.634127015399999
 01/03  16:00:00,129.732040889,25.34817539
 01/03  17:00:00,152.223550197,43.1491068808
 01/03  18:00:00,159.015609696,51.041112590299996
 01/03  19:00:00,135.90515279,59.692769224399996
 01/03  20:00:00,140.666227029,70.0987137299
 01/03  21:00:00,141.605931911,79.1822901431
 01/03  22:00:00,147.622735511,83.7717894699
 01/03  23:00:00,41.6166002114,1.10310481699
 01/03  24:00:00,46.285643721199996,1.15694684339
 01/04  01:00:00,51.5299618395,3.20572211277
 01/04  02:00:00,67.6843108468,4.54143141685
 01/04  03:00:00,66.4486842467,5.45600400673
 01/04  04:00:00,77.9746574226,6.63283374728
 01/04  05:00:00,72.659303643,6.82764820475
 01/04  06:00:00,87.1714668355,8.09756762997
 01/04  07:00:00,241.801699222,2.70001622704
 01/04  08:00:00,188.082880653,101.61980280799999
 01/04  09:00:00,190.486817695,82.3076096071
 01/04  10:00:00,163.931627537,56.5312713252
 01/04  11:00:00,156.563702824,32.7206122856
 01/04  12:00:00,150.811561657,11.5548071948
 01/04  13:00:00,149.91766499,6.47505621235
 01/04  14:00:00,138.862959815,3.85067289857
 01/04  15:00:00,127.99577308799999,2.2446692728
 01/04  16:00:00,128.101583353,5.968625200730001
 01/04  17:00:00,146.156716746,14.430237204
 01/04  18:00:00,147.276579279,17.1695815271
 01/04  19:00:00,122.673781734,26.6419957956
 01/04  20:00:00,124.377462577,29.7245955763
 01/04  21:00:00,118.70017509200001,28.205995430599998
 01/04  22:00:00,121.03324234200001,26.766431426500002
 01/04  23:00:00,41.6166002114,0.02
 01/04  24:00:00,38.9361841996,1.1030352776299999
 01/05  01:00:00,38.9361841996,0.02
 01/05  02:00:00,38.9361841996,1.10303235642
 01/05  03:00:00,42.739872003,0.156399381142
 01/05  04:00:00,46.49359008770001,1.4109551012200001
 01/05  05:00:00,45.99357027479999,0.421899436154
 01/05  06:00:00,51.955646898199994,2.32623728445
 01/05  07:00:00,191.401501438,0.0564701689131
 01/05  08:00:00,150.911168339,75.2557531823
 01/05  09:00:00,162.633737286,54.56684042770001
 01/05  10:00:00,145.969386366,32.1057681213
 01/05  11:00:00,142.64425641100001,13.4651097011
 01/05  12:00:00,139.826344523,5.385206821819999
 01/05  13:00:00,140.67438179200002,3.2769258731099997
 01/05  14:00:00,132.500360879,3.2768030172000002
 01/05  15:00:00,122.020822689,2.1889232135900003
 01/05  16:00:00,121.532059928,2.18897476083
 01/05  17:00:00,140.740546183,6.39036702627
 01/05  18:00:00,141.881941031,14.5068140794
 01/05  19:00:00,116.367925605,33.9284635393
 01/05  20:00:00,122.36001684700001,48.6003302926
 01/05  21:00:00,116.740492353,50.6773810562
 01/05  22:00:00,121.922829736,52.6729791363
 01/05  23:00:00,41.6166002114,1.10303718656
 01/05  24:00:00,38.9361841996,0.02
 01/06  01:00:00,38.9361841996,1.10303269912
 01/06  02:00:00,45.7003625859,0.526671121436
 01/06  03:00:00,46.0425427494,1.83531656475
 01/06  04:00:00,49.748518129,2.0739672056400003
 01/06  05:00:00,48.2903876633,2.9634054877900002
 01/06  06:00:00,57.041751195,3.23665927637
 01/06  07:00:00,200.55641906,1.30634646481
 01/06  08:00:00,158.68757232299998,74.2185843184
 01/06  09:00:00,170.051863079,53.978340187
 01/06  10:00:00,147.82483636,25.9830310973
 01/06  11:00:00,141.920904163,5.67793609131
 01/06  12:00:00,137.074099426,3.2753325274400003
 01/06  13:00:00,136.06404434700002,3.27713001959
 01/06  14:00:00,126.831756311,3.27669006138
 01/06  15:00:00,121.058177601,2.18949033033
 01/06  16:00:00,125.206351111,2.1889015296000003
 01/06  17:00:00,142.328570347,4.64051101807
 01/06  18:00:00,142.718683785,13.6472466379
 01/06  19:00:00,116.27159632700001,29.646803092
 01/06  20:00:00,119.76401809999999,36.8576161691
 01/06  21:00:00,114.856617067,45.493973933199996
 01/06  22:00:00,120.51786823399999,52.1108298627
 01/06  23:00:00,41.6166002114,0.02
 01/06  24:00:00,38.9361841996,1.1030384963600002
 01/07  01:00:00,33.5753521762,0.02
 01/07  02:00:00,33.5753521762,1.10303730537
 01/07  03:00:00,39.8172079645,0.361987350724
 01/07  04:00:00,38.947533389899995,1.2430207204700001
 01/07  05:00:00,41.2151526507,0.345497999483
 01/07  06:00:00,40.064792898200004,1.30170908743
 01/07  07:00:00,175.899470431,0.135907230564
 01/07  08:00:00,138.892877679,40.4132732835
 01/07  09:00:00,141.914977101,29.7236090052
 01/07  10:00:00,132.058225374,18.2260048033
 01/07  11:00:00,120.678694479,8.547255471489999
 01/07  12:00:00,114.489676581,1.8216281529400002
 01/07  13:00:00,109.431918313,1.1038107579
 01/07  14:00:00,106.309709697,1.10380036881
 01/07  15:00:00,91.1103208401,2.1872603394
 01/07  16:00:00,93.9588719717,0.02
 01/07  17:00:00,109.28199464,4.906109381369999
 01/07  18:00:00,112.67859349700001,9.91547589332
 01/07  19:00:00,33.5753521762,1.10312386992
 01/07  20:00:00,33.5753521762,0.02
 01/07  21:00:00,33.5753521762,1.1029161258600002
 01/07  22:00:00,33.5753521762,0.02
 01/07  23:00:00,33.5753521762,1.1031431431899998
 01/07  24:00:00,33.5753521762,0.02
 01/08  01:00:00,33.5753521762,1.1030108355200001
 01/08  02:00:00,41.0069615249,0.0868416173262
 01/08  03:00:00,40.212470604699995,1.15326939213
 01/08  04:00:00,42.6232073519,0.191942150351
 01/08  05:00:00,41.0764624723,1.2225487554999999
 01/08  06:00:00,44.1689858881,0.440737279901
 01/08  07:00:00,42.1938658265,1.3716230609399997
 01/08  08:00:00,29.317720704699997,0.540922853565
 01/08  09:00:00,24.526555973,1.26284796029
 01/08  10:00:00,21.289371673199998,0.0974677594218
 01/08  11:00:00,18.7713521762,0.02
 01/08  12:00:00,18.7713521762,1.1030406110700002
 01/08  13:00:00,18.7713521762,1.1031204197
 01/08  14:00:00,18.7713521762,0.02
 01/08  15:00:00,18.7713521762,1.10308227092
 01/08  16:00:00,18.7713521762,0.02
 01/08  17:00:00,28.6406855095,1.10302699596
 01/08  18:00:00,33.5753521762,0.02
 01/08  19:00:00,33.5753521762,1.1029857167200001
 01/08  20:00:00,33.5753521762,0.02
 01/08  21:00:00,33.5753521762,0.02
 01/08  22:00:00,36.711051133699996,1.10305996085
 01/08  23:00:00,38.674886307399994,0.02
 01/08  24:00:00,41.0485512545,1.10298753237
 01/09  01:00:00,45.9649048077,0.02
 01/09  02:00:00,48.194408914300006,1.12429016677
 01/09  03:00:00,47.1961210107,0.172241860786
 01/09  04:00:00,49.1940204744,1.21574623426
 01/09  05:00:00,48.075990303599994,0.388175974669
 01/09  06:00:00,53.233830816899996,1.41844442258
 01/09  07:00:00,220.784406801,1.11252217906
 01/09  08:00:00,176.40629801,44.3272790055
 01/09  09:00:00,186.409374979,22.804455632699998
 01/09  10:00:00,158.081922232,3.5362953304699998
 01/09  11:00:00,145.15652974399998,2.18991967303
 01/09  12:00:00,141.363572267,3.2755925633099996
 01/09  13:00:00,146.23843475299998,3.27771282111
 01/09  14:00:00,137.363234631,3.2763689027
 01/09  15:00:00,127.919645289,2.1892497313
 01/09  16:00:00,124.789145784,2.18899061662
 01/09  17:00:00,134.37893523600002,3.27502914165
 01/09  18:00:00,134.546486693,1.10389550963
 01/09  19:00:00,106.996916807,2.18791888522
 01/09  20:00:00,111.929776108,4.75561851344
 01/09  21:00:00,109.38763830399999,10.52482624
 01/09  22:00:00,113.190299223,10.7389038401
 01/09  23:00:00,41.6166002114,1.10323720134
 01/09  24:00:00,38.9361841996,0.02
 01/10  01:00:00,38.9361841996,1.10304026423
 01/10  02:00:00,38.9361841996,0.02
 01/10  03:00:00,38.9361841996,1.10303931056
 01/10  04:00:00,38.9361841996,0.02
 01/10  05:00:00,38.9361841996,1.1030372471799998
 01/10  06:00:00,41.6166002114,1.10320144763
 01/10  07:00:00,147.394084406,0.02
 01/10  08:00:00,130.70630109200002,27.8960348644
 01/10  09:00:00,164.74119067200002,15.2880056474
 01/10  10:00:00,141.627768498,4.15167238408
 01/10  11:00:00,128.380383789,2.18969834357
 01/10  12:00:00,125.14303412,2.19024544602
 01/10  13:00:00,128.80836360200001,4.362912973349999
 01/10  14:00:00,126.698786973,3.27665265165
 01/10  15:00:00,120.94747931799999,2.1893260529900003
 01/10  16:00:00,119.86162396,2.1891667155400003
