Date/Time,Electricity:Facility [kW](Hourly),Gas:Facility [kW](Hourly)
 01/01  01:00:00,13.6411151915,19.8534691228
 01/01  02:00:00,9.56926418766,3.0211
 01/01  03:00:00,9.58639917393,3.5931800255699997
 01/01  04:00:00,9.584544728210002,3.0211
 01/01  05:00:00,9.72553491113,3.5931859303900002
 01/01  06:00:00,13.7401999953,34.7328845745
 01/01  07:00:00,28.209351425500003,39.5502339169
 01/01  08:00:00,25.6550278733,38.9182282229
 01/01  09:00:00,20.6894967197,25.041803922600003
 01/01  10:00:00,20.7393360126,19.1044802428
 01/01  11:00:00,25.782804559000002,37.6742492624
 01/01  12:00:00,26.947725209,45.129702941400005
 01/01  13:00:00,26.11896348,40.0500085196
 01/01  14:00:00,25.9003017181,34.9739394721
 01/01  15:00:00,20.9115894874,24.4679783998
 01/01  16:00:00,20.8857695591,22.394344781399997
 01/01  17:00:00,22.0190339344,25.4184122183
 01/01  18:00:00,28.2315478253,29.551148524699997
 01/01  19:00:00,28.1995190551,31.9530000057
 01/01  20:00:00,28.334351054699997,32.499579523099996
 01/01  21:00:00,23.3459194862,28.209488149400002
 01/01  22:00:00,23.269477348000002,28.455532962
 01/01  23:00:00,23.137306116599998,27.6945100063
 01/01  24:00:00,24.284799694,11.3236828307
 01/02  01:00:00,13.8386492303,19.9162504291
 01/02  02:00:00,9.58026498983,3.0211
 01/02  03:00:00,9.61197085445,3.59317220427
 01/02  04:00:00,9.61444213502,3.0211
 01/02  05:00:00,9.806683901389999,3.59319101617
 01/02  06:00:00,13.8645019648,10.965932066099999
 01/02  07:00:00,28.303749324899997,20.638949866500003
 01/02  08:00:00,25.6946988258,32.5397514898
 01/02  09:00:00,20.7085110148,25.5710855544
 01/02  10:00:00,20.7739394052,21.3670976606
 01/02  11:00:00,25.810776735700003,36.4748626131
 01/02  12:00:00,26.9517651623,45.128170878
 01/02  13:00:00,26.1102199388,39.476879315
 01/02  14:00:00,25.8729365508,34.9730558518
 01/02  15:00:00,20.878873223699998,23.9209057823
 01/02  16:00:00,20.8497512576,22.426590927
 01/02  17:00:00,22.002074961599998,25.4733999996
 01/02  18:00:00,28.2649913024,29.5463372482
 01/02  19:00:00,28.2718180178,30.699893271
 01/02  20:00:00,28.410083185799998,30.7016130494
 01/02  21:00:00,23.3804774029,28.494182093499997
 01/02  22:00:00,23.295756502600003,27.6709598247
 01/02  23:00:00,23.1776635429,26.3232955609
 01/02  24:00:00,24.320377915300003,10.2583944524
 01/03  01:00:00,13.8732911943,16.158503331
 01/03  02:00:00,9.60707105623,3.0211
 01/03  03:00:00,9.634720595569998,3.59314651566
 01/03  04:00:00,9.64723397293,3.0211
 01/03  05:00:00,10.3070663984,3.0211
 01/03  06:00:00,14.3204485599,23.8408993541
 01/03  07:00:00,28.4973286904,29.183007457800002
 01/03  08:00:00,25.6960896096,34.968182767399995
 01/03  09:00:00,20.7194427936,25.0901500162
 01/03  10:00:00,20.762789323699998,22.3524442531
 01/03  11:00:00,25.7826059609,37.592915769099996
 01/03  12:00:00,26.9018235055,45.1268344109
 01/03  13:00:00,26.039400875100004,39.4756237107
 01/03  14:00:00,25.8292865146,34.9726079877
 01/03  15:00:00,20.809315009000002,24.217901081100003
 01/03  16:00:00,20.7702923929,24.6940080703
 01/03  17:00:00,21.945986641300003,28.775184744
 01/03  18:00:00,28.2035544815,32.159694037600005
 01/03  19:00:00,28.194865794299997,34.1144108361
 01/03  20:00:00,28.1912687337,34.5382326782
 01/03  21:00:00,23.1823763527,32.6693183083
 01/03  22:00:00,23.1369436166,32.4151515271
 01/03  23:00:00,23.1235083133,32.697728535
 01/03  24:00:00,24.276454095100004,19.8700413053
 01/04  01:00:00,13.815280821099998,28.257846108600003
 01/04  02:00:00,9.552884134560001,3.0211
 01/04  03:00:00,9.57075609707,3.5931584732199995
 01/04  04:00:00,9.57108851748,3.0211
 01/04  05:00:00,9.741808314110001,3.0211
 01/04  06:00:00,13.7823420067,29.4084055885
 01/04  07:00:00,28.255859497,33.0847595157
 01/04  08:00:00,25.6907535138,37.735253371700004
 01/04  09:00:00,20.7067309557,27.2213018254
 01/04  10:00:00,20.7286109198,23.456129575100004
 01/04  11:00:00,25.744853937600002,38.354111868800004
 01/04  12:00:00,26.869707394499997,45.1271621645
 01/04  13:00:00,25.9964010019,39.47593589
 01/04  14:00:00,25.779742437800003,34.9730037469
 01/04  15:00:00,20.7592695783,26.0997060427
 01/04  16:00:00,20.724923809,28.075437466799997
 01/04  17:00:00,21.899903953899997,33.1065653888
 01/04  18:00:00,28.1646963758,37.1774404625
 01/04  19:00:00,28.1511891307,42.6721635658
 01/04  20:00:00,28.270682905,48.9569184304
 01/04  21:00:00,23.244385561199998,47.696269985200004
 01/04  22:00:00,23.1649271255,49.27876532810001
 01/04  23:00:00,23.0460182675,48.3185414253
 01/04  24:00:00,24.2445980986,33.1867804273
 01/05  01:00:00,13.7618621112,40.0620796065
 01/05  02:00:00,9.49966616774,3.0211
 01/05  03:00:00,9.52383653577,3.59315159792
 01/05  04:00:00,9.53459244205,3.0211
 01/05  05:00:00,9.683940891039999,3.59315753389
 01/05  06:00:00,13.707868488399999,46.6217553735
 01/05  07:00:00,28.179789562199996,51.356963891999996
 01/05  08:00:00,25.604968885500003,56.835255931599995
 01/05  09:00:00,20.624293746099998,44.054790500299994
 01/05  10:00:00,20.6495686789,39.8921317414
 01/05  11:00:00,25.6461341344,53.743052861
 01/05  12:00:00,26.7986855297,55.530471062
 01/05  13:00:00,25.905555979899997,45.528367931400005
 01/05  14:00:00,25.7069359521,39.2836375216
 01/05  15:00:00,20.7006204874,31.351443528
 01/05  16:00:00,20.6817029243,31.7849757224
 01/05  17:00:00,21.850194259400002,37.9061393028
 01/05  18:00:00,28.1075663138,44.2359223033
 01/05  19:00:00,28.1072787865,47.8396704559
 01/05  20:00:00,28.2488275702,48.530939527799994
 01/05  21:00:00,23.224166485,46.688506588
 01/05  22:00:00,23.1490618323,47.508488784799994
 01/05  23:00:00,23.043608822800003,44.608678380600004
 01/05  24:00:00,24.229973614400002,32.212564724699995
 01/06  01:00:00,13.753217729500001,38.1545415063
 01/06  02:00:00,9.49012593972,3.5931769214199996
 01/06  03:00:00,9.51647835798,3.0211
 01/06  04:00:00,9.52820642023,3.5931828170999998
 01/06  05:00:00,10.1890438373,3.0211
 01/06  06:00:00,14.2112944526,46.5330495854
