Date/Time,Electricity:Facility [kW](Hourly),Gas:Facility [kW](Hourly)
 01/01  01:00:00,260.64540475,383.932996269
 01/01  02:00:00,256.91038962,309.439736965
 01/01  03:00:00,261.678696688,412.726449579
 01/01  04:00:00,256.913699955,311.882320707
 01/01  05:00:00,273.899464926,409.154032665
 01/01  06:00:00,293.58053668400004,309.14039652599996
 01/01  07:00:00,347.225871228,399.789906484
 01/01  08:00:00,358.368976223,308.959324867
 01/01  09:00:00,320.40508383599996,395.103992419
 01/01  10:00:00,278.962649386,282.957759994
 01/01  11:00:00,234.80479156799998,341.869123708
 01/01  12:00:00,229.665054733,245.637844925
 01/01  13:00:00,233.259301733,292.560023248
 01/01  14:00:00,228.51536100200002,221.328195687
 01/01  15:00:00,232.87142101900002,280.37888156400004
 01/01  16:00:00,229.801066392,230.89093217200002
 01/01  17:00:00,300.758269534,321.479334036
 01/01  18:00:00,366.873057833,267.657025087
 01/01  19:00:00,371.63661732699995,367.706063981
 01/01  20:00:00,342.44978896099997,293.520230019
 01/01  21:00:00,347.21086441,389.766900715
 01/01  22:00:00,318.01741668299996,307.600752339
 01/01  23:00:00,298.338635937,408.15285762699995
 01/01  24:00:00,269.137752913,316.610238357
 01/02  01:00:00,311.500885223,390.54892568400004
 01/02  02:00:00,306.746307444,301.796962631
 01/02  03:00:00,311.51254025,403.64139871300006
 01/02  04:00:00,306.7463762,299.45324355900004
 01/02  05:00:00,323.721206306,382.774617191
 01/02  06:00:00,368.32425053,287.690915786
 01/02  07:00:00,431.86349432300005,3386.0997595
 01/02  08:00:00,546.132252847,2636.50325154
 01/02  09:00:00,1050.65884953,1781.70318281
 01/02  10:00:00,1013.65040653,1502.46274893
 01/02  11:00:00,964.5329895739999,1319.91147697
 01/02  12:00:00,964.331121153,1148.78350859
 01/02  13:00:00,914.454725086,1140.49698041
 01/02  14:00:00,964.11092685,978.6165335710001
 01/02  15:00:00,964.037068363,907.999908585
 01/02  16:00:00,963.992477376,862.1390424589999
 01/02  17:00:00,1029.93987913,834.7520728039999
 01/02  18:00:00,951.3623454689999,929.4581062760001
 01/02  19:00:00,752.149463859,1071.25544852
 01/02  20:00:00,727.735336618,1102.91825772
 01/02  21:00:00,578.396338327,1267.91160003
 01/02  22:00:00,553.985770724,1283.96050456
 01/02  23:00:00,349.356938085,2.19071458841
 01/02  24:00:00,299.992178948,4.36110379308
 01/03  01:00:00,287.769982387,2.19048829137
 01/03  02:00:00,289.35505703,9.97066810137
 01/03  03:00:00,289.753155441,13.602533018299999
 01/03  04:00:00,289.360195041,16.8667331252
 01/03  05:00:00,317.70626958400004,90.3977282871
 01/03  06:00:00,370.621160469,123.30385513
 01/03  07:00:00,429.453834876,1630.63979383
 01/03  08:00:00,545.542868624,2093.32633642
 01/03  09:00:00,1050.57135514,1447.49436407
 01/03  10:00:00,1013.94711378,1298.69775332
 01/03  11:00:00,964.91688925,1097.39537225
 01/03  12:00:00,964.7449843989999,968.4793174189999
 01/03  13:00:00,914.9324925510001,981.881474187
 01/03  14:00:00,964.760479345,958.018551917
 01/03  15:00:00,964.8779539760001,966.892256705
 01/03  16:00:00,964.938320905,952.136951066
 01/03  17:00:00,1031.03282233,989.367678719
 01/03  18:00:00,952.617040062,1069.71857286
 01/03  19:00:00,753.489400057,1148.85356095
 01/03  20:00:00,729.261735617,1230.3684109
 01/03  21:00:00,580.016515276,1333.30819083
 01/03  22:00:00,556.050014284,1497.20879821
 01/03  23:00:00,349.35693973800005,4.36112954307
 01/03  24:00:00,300.786682499,4.72844586833
 01/04  01:00:00,289.359984878,7.710758295560001
 01/04  02:00:00,289.767449846,13.304835353900001
 01/04  03:00:00,303.52745707,46.895396855600005
 01/04  04:00:00,309.479624172,87.78164445870001
 01/04  05:00:00,317.409168207,103.62120401700001
 01/04  06:00:00,371.17173711099997,166.60575048
 01/04  07:00:00,429.524789921,1292.16488756
 01/04  08:00:00,551.1212966830001,3189.84545212
 01/04  09:00:00,1056.02709562,1682.13775079
 01/04  10:00:00,1017.09915625,1068.88177639
 01/04  11:00:00,965.7252866189999,761.9969720319999
 01/04  12:00:00,964.865859197,670.8451498430001
 01/04  13:00:00,914.926045193,748.5770110210001
 01/04  14:00:00,964.5522811339999,701.239191324
 01/04  15:00:00,964.449447768,692.16172997
 01/04  16:00:00,964.595364897,771.842141869
 01/04  17:00:00,1030.78467463,873.090546863
 01/04  18:00:00,952.248304642,930.6122955430001
 01/04  19:00:00,753.106790215,1035.66970317
 01/04  20:00:00,728.7995026369999,1073.8700261
 01/04  21:00:00,579.419378952,1150.5734832
 01/04  22:00:00,555.018773872,1198.57221601
 01/04  23:00:00,349.35694113,2.1906338012099997
 01/04  24:00:00,300.78513287,4.51208421996
 01/05  01:00:00,289.357506551,7.66129582646
 01/05  02:00:00,289.76080688400003,14.476702868499999
 01/05  03:00:00,289.36473998900004,11.417318376099999
 01/05  04:00:00,299.197929683,37.6322627765
 01/05  05:00:00,317.31920592299997,57.9117051461
 01/05  06:00:00,371.040304658,91.8667567944
 01/05  07:00:00,429.17549291800003,1075.74462941
