Date/Time,Electricity:Facility [kW](Hourly),Gas:Facility [kW](Hourly)
 01/01  01:00:00,150.77285332,146.104283549
 01/01  02:00:00,133.576731605,132.645213472
 01/01  03:00:00,152.235160694,152.604394454
 01/01  04:00:00,131.975194412,128.317428428
 01/01  05:00:00,150.733103459,187.223700274
 01/01  06:00:00,129.635298021,101.797937853
 01/01  07:00:00,134.353884858,132.08624425600001
 01/01  08:00:00,121.082296843,74.8328220506
 01/01  09:00:00,114.396301954,106.486474497
 01/01  10:00:00,109.16117362600001,79.5509295988
 01/01  11:00:00,114.406744338,103.018075562
 01/01  12:00:00,106.289735167,77.4283313692
 01/01  13:00:00,107.87166287,95.126615794
 01/01  14:00:00,108.44620890200001,73.7314659675
 01/01  15:00:00,108.330212908,87.06926052930001
 01/01  16:00:00,104.581782027,76.8269771083
 01/01  17:00:00,119.680699007,89.7689075434
 01/01  18:00:00,126.174316373,70.10271833430001
 01/01  19:00:00,126.820261797,93.4637045066
 01/01  20:00:00,129.853715613,81.78415333310001
 01/01  21:00:00,126.45288483600001,98.5321470621
 01/01  22:00:00,134.827628331,90.22584799
 01/01  23:00:00,132.552395048,128.281910018
 01/01  24:00:00,129.037931929,97.9434873198
 01/02  01:00:00,132.071251181,141.148342116
 01/02  02:00:00,147.221091826,99.79706380459999
 01/02  03:00:00,128.664475116,131.16627006299998
 01/02  04:00:00,139.463359824,107.47894961200001
 01/02  05:00:00,146.072730466,144.963543452
 01/02  06:00:00,130.800719561,100.867196455
 01/02  07:00:00,196.971847642,2724.71473681
 01/02  08:00:00,367.713205609,2094.31720888
 01/02  09:00:00,446.571616061,1895.59835544
 01/02  10:00:00,446.452435383,1878.29379449
 01/02  11:00:00,452.40155425,1856.97815678
 01/02  12:00:00,453.35136280000006,1711.39108569
 01/02  13:00:00,452.312952781,1663.52422557
 01/02  14:00:00,446.31334685699994,1663.82055596
 01/02  15:00:00,446.277617916,1656.36396571
 01/02  16:00:00,438.387318221,1568.66897319
 01/02  17:00:00,445.36047084300003,1475.79413113
 01/02  18:00:00,371.62405460599996,1601.07327898
 01/02  19:00:00,371.639492395,1638.62632488
 01/02  20:00:00,372.04164529900004,1634.85014519
 01/02  21:00:00,372.00756108800005,1633.25505383
 01/02  22:00:00,119.122144919,24.1805114052
 01/02  23:00:00,119.24319289399999,7.774206199
 01/02  24:00:00,123.547240962,21.210493683800003
 01/03  01:00:00,121.48872769799999,13.7982067825
 01/03  02:00:00,124.818487103,32.446290824
 01/03  03:00:00,126.109859953,25.5897387329
 01/03  04:00:00,128.371539767,39.226614329
 01/03  05:00:00,127.635123921,49.9093348625
 01/03  06:00:00,138.816688312,58.3243126001
 01/03  07:00:00,197.50221296,2649.09494688
 01/03  08:00:00,366.57655842400004,2171.84007596
 01/03  09:00:00,446.37798292900004,1970.67520217
 01/03  10:00:00,446.420605541,1931.39995914
 01/03  11:00:00,452.38175302,1867.50853545
 01/03  12:00:00,453.31797007,1709.06420088
 01/03  13:00:00,452.293377277,1696.41359619
 01/03  14:00:00,446.31396870199995,1730.21178539
