Date/Time,Electricity:Facility [kW](Hourly),Gas:Facility [kW](Hourly)
 01/01  01:00:00,262.49112015599997,525.417542088
 01/01  02:00:00,257.778221374,491.44806001800004
 01/01  03:00:00,262.842550264,695.030416577
 01/01  04:00:00,257.810363903,492.740029391
 01/01  05:00:00,275.107286436,695.810901702
 01/01  06:00:00,294.504007726,490.80502674900004
 01/01  07:00:00,348.46928529300004,689.1193314039999
 01/01  08:00:00,359.32006475800006,495.225622366
 01/01  09:00:00,321.65832490900004,668.514456882
 01/01  10:00:00,279.81007421099997,371.77571563099997
 01/01  11:00:00,235.916286125,499.67274026800004
 01/01  12:00:00,230.88973118099997,349.555437532
 01/01  13:00:00,235.843109373,448.50368556800004
 01/01  14:00:00,230.81876840400002,299.704070957
 01/01  15:00:00,235.656701658,295.458109212
 01/01  16:00:00,230.683984713,181.74167406400002
 01/01  17:00:00,301.616794243,289.661965167
 01/01  18:00:00,367.595738503,278.882443075
 01/01  19:00:00,372.561985177,403.08027928300004
 01/01  20:00:00,343.168123018,306.093937875
 01/01  21:00:00,348.115862425,414.894607866
 01/01  22:00:00,318.721019315,313.123161292
 01/01  23:00:00,299.217786813,416.6382181
 01/01  24:00:00,269.82986061400004,317.674784418
 01/02  01:00:00,312.359867818,390.670313562
 01/02  02:00:00,307.41221349,284.06971850400004
 01/02  03:00:00,312.331175526,368.90363218199997
 01/02  04:00:00,307.40087433,276.681287453
 01/02  05:00:00,324.531097153,348.378354137
 01/02  06:00:00,368.965490316,256.919287139
 01/02  07:00:00,432.78051842400004,3230.39842024
 01/02  08:00:00,546.597194415,2263.45163304
 01/02  09:00:00,1051.04639008,1375.93983729
 01/02  10:00:00,1014.04904762,1103.34794019
 01/02  11:00:00,964.9647446739999,929.4415928239999
 01/02  12:00:00,964.8033568010001,783.212667174
 01/02  13:00:00,914.9482158469999,799.2680372269999
 01/02  14:00:00,964.6240770810001,628.720356865
 01/02  15:00:00,964.53642443,539.349810244
 01/02  16:00:00,964.490535053,490.432771601
 01/02  17:00:00,1021.93261712,505.926604933
 01/02  18:00:00,951.8879133260001,624.926691126
 01/02  19:00:00,752.640797755,772.308476715
 01/02  20:00:00,728.16456634,737.0239738539999
 01/02  21:00:00,578.72788824,850.575669251
 01/02  22:00:00,554.274327983,844.729902085
 01/02  23:00:00,349.356938095,2.19062233702
 01/02  24:00:00,299.992178945,4.36110345922
 01/03  01:00:00,287.769982385,2.1904881242
 01/03  02:00:00,287.769982378,2.19056805988
 01/03  03:00:00,287.769982733,2.19064794801
 01/03  04:00:00,287.76998272599997,4.3611665863699995
 01/03  05:00:00,299.99218016599997,2.19051904441
 01/03  06:00:00,349.35844724099996,4.36690236099
 01/03  07:00:00,429.802496671,1476.0660306
 01/03  08:00:00,545.040123501,1090.89652681
 01/03  09:00:00,1050.07441885,513.010592509
 01/03  10:00:00,1013.22746779,302.432885064
 01/03  11:00:00,964.34844673,314.09716759099996
 01/03  12:00:00,964.344216175,313.163718632
 01/03  13:00:00,914.5506014580001,371.897210549
 01/03  14:00:00,964.3400155019999,310.272923008
 01/03  15:00:00,964.3199317269999,290.422729632
 01/03  16:00:00,964.2936681269999,257.430752386
 01/03  17:00:00,1021.7076443,235.12616012400002
 01/03  18:00:00,951.607305472,285.435622419
 01/03  19:00:00,752.309049563,369.720757004
 01/03  20:00:00,727.88204112,392.646467964
 01/03  21:00:00,578.469756009,535.884402139
 01/03  22:00:00,554.037715991,555.196411314
 01/03  23:00:00,349.356939761,4.3611295424800005
 01/03  24:00:00,299.992180431,2.19053675352
 01/04  01:00:00,287.769983954,2.19062212164
 01/04  02:00:00,287.769984088,2.19070526082
 01/04  03:00:00,287.769984347,4.3609213718
 01/04  04:00:00,287.769984146,2.1905859864900004
 01/04  05:00:00,299.992181754,2.19066938883
 01/04  06:00:00,349.358449773,4.367225674019999
 01/04  07:00:00,429.27344313599997,929.817995743
 01/04  08:00:00,544.684080706,712.700214997
 01/04  09:00:00,1049.86699312,280.545732412
 01/04  10:00:00,1013.19596558,276.637747914
 01/04  11:00:00,964.298067167,265.699356928
 01/04  12:00:00,964.282260122,243.89998242299998
 01/04  13:00:00,914.468705438,279.904486158
 01/04  14:00:00,964.2741033789999,235.270532778
 01/04  15:00:00,964.258643912,220.049972435
 01/04  16:00:00,964.2415079880001,197.07794923400002
 01/04  17:00:00,1021.67174711,194.343489672
 01/04  18:00:00,951.566550933,239.32484382099997
 01/04  19:00:00,752.243937384,293.371305501
 01/04  20:00:00,727.804178856,301.580405171
 01/04  21:00:00,578.322733904,353.702746651
 01/04  22:00:00,553.894782845,376.793286041
 01/04  23:00:00,349.356941151,2.19063594559
 01/04  24:00:00,299.99218187099996,2.19071939356
 01/05  01:00:00,287.769985716,2.1904371148900004
 01/05  02:00:00,287.769985877,4.36113443298
 01/05  03:00:00,287.769985675,2.19069717564
 01/05  04:00:00,287.76998554,2.19041349916
 01/05  05:00:00,299.992183473,2.19050052262
 01/05  06:00:00,349.358452056,4.36724706274
 01/05  07:00:00,429.05248139400004,673.283302374
 01/05  08:00:00,544.551065569,560.6515576
 01/05  09:00:00,1049.8120101,215.810119187
 01/05  10:00:00,1013.08210251,129.08520430299998
 01/05  11:00:00,965.501555603,124.30558206
 01/05  12:00:00,968.30203926,123.595041043
 01/05  13:00:00,920.040295379,131.748835018
 01/05  14:00:00,1008.05841775,99.1325331533
 01/05  15:00:00,1033.87422582,50.563772762
 01/05  16:00:00,1041.53647323,46.3384076599
 01/05  17:00:00,1057.46897787,57.496712582600004
 01/05  18:00:00,951.462030147,103.57706116700001
 01/05  19:00:00,752.1373413910001,154.66964737
 01/05  20:00:00,727.6991486430001,162.656640087
 01/05  21:00:00,578.204362638,199.710380614
 01/05  22:00:00,560.2795656530001,208.389172688
 01/05  23:00:00,349.356942429,2.19067042003
 01/05  24:00:00,299.992183499,4.361229155119999
 01/06  01:00:00,287.769987049,2.19075027243
 01/06  02:00:00,287.769986899,2.19046912441
 01/06  03:00:00,287.769987133,2.1905591977700003
 01/06  04:00:00,287.76998733799996,4.36138822752
 01/06  05:00:00,299.992184825,2.19045803867
 01/06  06:00:00,349.358454625,4.366844764290001
 01/06  07:00:00,428.806449811,364.76581887599997
 01/06  08:00:00,544.3652342319999,330.571636288
 01/06  09:00:00,1049.75471488,145.425610753
 01/06  10:00:00,1013.08600282,143.14308247
 01/06  11:00:00,964.189890081,133.080399602
 01/06  12:00:00,964.1866957939999,126.046718341
 01/06  13:00:00,914.3620147639999,147.552427765
 01/06  14:00:00,964.6071800760001,96.9727295355
 01/06  15:00:00,964.2075017610001,69.8576726645
 01/06  16:00:00,964.138683444,67.7492979762
 01/06  17:00:00,1021.57948107,76.0273421954
 01/06  18:00:00,951.463289751,107.151057978
 01/06  19:00:00,752.135319867,152.729542718
 01/06  20:00:00,727.701754926,171.354786856
 01/06  21:00:00,578.223775707,229.143536123
 01/06  22:00:00,553.7868230390001,240.88049682
 01/06  23:00:00,349.35694389,2.19047025736
 01/06  24:00:00,299.99218499,2.19056057262
 01/07  01:00:00,237.92926177599998,4.36140062515
 01/07  02:00:00,237.929261443,2.19046813438
 01/07  03:00:00,237.92926134900003,2.1905614357900003
 01/07  04:00:00,237.929261679,2.1906546269200002
