Date/Time,Electricity:Facility [kW](Hourly),Gas:Facility [kW](Hourly)
 01/01  01:00:00,13.5288111844,43.984989859799995
 01/01  02:00:00,9.51276047668,3.0211
 01/01  03:00:00,9.54760048427,3.5931582013999996
 01/01  04:00:00,9.576824065830001,3.0211
 01/01  05:00:00,9.7149825237,3.5931641244
 01/01  06:00:00,13.737220723599998,34.558562171
 01/01  07:00:00,28.2060875627,41.622894797600004
 01/01  08:00:00,26.268359785999998,43.3441631133
 01/01  09:00:00,20.6628921426,32.7715302811
 01/01  10:00:00,20.6982763087,26.3234162669
 01/01  11:00:00,25.727860413800002,41.7773282155
 01/01  12:00:00,26.8544548824,45.2732335939
 01/01  13:00:00,25.9769920734,39.4763650305
 01/01  14:00:00,25.7362318579,35.9391155733
 01/01  15:00:00,20.7114896929,27.5334381778
 01/01  16:00:00,20.669544465,29.5679163575
 01/01  17:00:00,22.464004742800004,39.0728411506
 01/01  18:00:00,28.084245446999997,46.566249926000005
 01/01  19:00:00,28.0762269027,49.6665651147
 01/01  20:00:00,28.2043432829,54.344915641099995
 01/01  21:00:00,23.170636211999998,55.7357284654
 01/01  22:00:00,23.1003749467,60.1929037518
 01/01  23:00:00,22.9955869515,56.5679108142
 01/01  24:00:00,24.1938713284,42.165045730100005
 01/02  01:00:00,13.712212118699998,49.6854639604
 01/02  02:00:00,9.48641117579,3.5931930696300007
 01/02  03:00:00,9.51194865964,3.0211
 01/02  04:00:00,9.52460593614,3.59314724102
 01/02  05:00:00,9.67463908621,3.0211
 01/02  06:00:00,13.6650012082,55.7628206748
 01/02  07:00:00,28.14048201,57.00161247649999
 01/02  08:00:00,26.1979621289,66.7356563758
 01/02  09:00:00,20.56467727,58.855270843599996
 01/02  10:00:00,20.5795422742,52.5955227016
 01/02  11:00:00,25.592004481,62.062893983500004
 01/02  12:00:00,26.7462080948,63.1627186393
 01/02  13:00:00,25.8318392039,55.8407168925
 01/02  14:00:00,25.6327335515,53.2907052761
 01/02  15:00:00,20.6287433298,46.6398972736
 01/02  16:00:00,20.6118847621,47.63835952149999
 01/02  17:00:00,21.796980676999997,50.638776370600006
 01/02  18:00:00,28.065473567399998,51.1155254142
 01/02  19:00:00,28.0697681071,51.844338717700005
 01/02  20:00:00,28.2142883855,52.3791352101
 01/02  21:00:00,23.2005181364,49.5221891907
 01/02  22:00:00,23.130608128200002,50.8078042032
 01/02  23:00:00,23.031474266799997,47.632493249899994
 01/02  24:00:00,24.2199683103,33.1183887085
 01/03  01:00:00,13.756706573399999,38.2422673716
 01/03  02:00:00,9.533213695239999,3.59318094025
 01/03  03:00:00,9.55965732205,3.0211
 01/03  04:00:00,9.573776873589999,3.5931868496699995
 01/03  05:00:00,10.2464444122,3.0211
 01/03  06:00:00,14.242100880399999,38.4015018034
 01/03  07:00:00,28.444992793,38.2189127862
 01/03  08:00:00,26.2941327414,42.6394044421
 01/03  09:00:00,20.6644691597,36.350624193099996
 01/03  10:00:00,20.6856299805,34.4384448554
 01/03  11:00:00,25.6939947987,46.087984425600006
 01/03  12:00:00,26.805903391799998,51.0984550046
 01/03  13:00:00,25.9279437902,42.5745946416
 01/03  14:00:00,25.7477376525,37.0479664043
 01/03  15:00:00,20.747148737899998,29.454669885999998
 01/03  16:00:00,20.7139693363,31.1918230282
 01/03  17:00:00,21.8869484959,36.5528844618
 01/03  18:00:00,28.1513157661,38.5662782794
 01/03  19:00:00,28.1552687033,39.3775547949
 01/03  20:00:00,28.1562158194,39.8669082731
 01/03  21:00:00,23.144282945900002,38.4500926253
 01/03  22:00:00,23.0999388802,38.9407576086
 01/03  23:00:00,23.095265160300002,36.4822452096
 01/03  24:00:00,24.258402333699998,23.0436018175
 01/04  01:00:00,13.807384108599999,28.014180705300003
 01/04  02:00:00,9.58382463953,3.59318562569
 01/04  03:00:00,9.60645666424,3.0211
 01/04  04:00:00,9.6195559697,3.5931656936800005
 01/04  05:00:00,9.770490728,3.0211
 01/04  06:00:00,13.7485914299,34.2464593917
 01/04  07:00:00,28.215966255100003,38.5518992069
 01/04  08:00:00,26.2682247116,47.9107361866
 01/04  09:00:00,20.6374392809,41.5073798742
 01/04  10:00:00,20.6556812822,39.3212496359
 01/04  11:00:00,25.660749930100003,51.585641311
 01/04  12:00:00,26.789121143000003,55.1237900159
 01/04  13:00:00,25.88868303,48.113496000299996
 01/04  14:00:00,25.695391148899997,41.8772804039
 01/04  15:00:00,20.6977956075,33.1415866854
 01/04  16:00:00,20.6789529851,33.3446268724
 01/04  17:00:00,21.857241706999996,38.1966797364
 01/04  18:00:00,28.1272118642,40.5865307721
 01/04  19:00:00,28.1322645444,41.4407767942
 01/04  20:00:00,28.2674649398,43.608217466499994
 01/04  21:00:00,23.2475537471,41.416657895
 01/04  22:00:00,23.171010160500003,42.5543373013
 01/04  23:00:00,23.0539272352,43.1196898031
 01/04  24:00:00,24.2269709439,29.4020160455
 01/05  01:00:00,13.7563192231,37.2998716619
 01/05  02:00:00,9.533273384369998,3.0211
 01/05  03:00:00,9.5599889137,3.59318358199
 01/05  04:00:00,9.57277780278,3.0211
 01/05  05:00:00,9.717145785689999,3.0211
 01/05  06:00:00,13.698610423699998,42.8732747077
 01/05  07:00:00,28.1704287854,46.3746837396
 01/05  08:00:00,26.222714476300002,55.284362075299995
 01/05  09:00:00,20.5879036312,51.017289221000006
 01/05  10:00:00,20.5974040976,50.6612894965
 01/05  11:00:00,25.591629176599998,66.2536243943
 01/05  12:00:00,26.7421834732,71.07816085600001
 01/05  13:00:00,25.8137327697,64.420869834
 01/05  14:00:00,25.6152244338,59.9018192979
 01/05  15:00:00,20.6142698828,52.2854469338
 01/05  16:00:00,20.5965498657,52.824365631400006
 01/05  17:00:00,21.7764017935,56.312598977600004
 01/05  18:00:00,28.044106467,55.5771457855
 01/05  19:00:00,28.0414668411,58.3892424854
 01/05  20:00:00,28.1824396465,59.853017852700006
 01/05  21:00:00,23.1681902885,59.27166903649999
 01/05  22:00:00,23.101540571999998,60.940579559300005
 01/05  23:00:00,22.996623258000003,59.3263128345
 01/05  24:00:00,24.1939316995,47.3024407048
 01/06  01:00:00,13.7117262997,53.6401774624
 01/06  02:00:00,9.48385522173,3.59314807476
 01/06  03:00:00,9.50865819285,3.0211
 01/06  04:00:00,9.52221880213,3.59315401634
 01/06  05:00:00,10.188758825299999,3.0211
 01/06  06:00:00,14.177491702000001,58.780592071499996
 01/06  07:00:00,28.3679586985,62.3013889068
 01/06  08:00:00,26.197502151,69.5699719788
 01/06  09:00:00,20.564276302899998,63.733410387
 01/06  10:00:00,20.5740068672,62.5446790886
 01/06  11:00:00,25.5732586869,75.68743790239999
 01/06  12:00:00,26.733204784,77.4698767184
 01/06  13:00:00,25.8044389389,68.05919574159999
 01/06  14:00:00,25.6032495137,62.901817980699995
 01/06  15:00:00,20.6082030862,52.9308904059
 01/06  16:00:00,20.590023741099998,53.778191407899996
 01/06  17:00:00,21.7709872475,58.010407408599995
