Date/Time,Electricity:Facility [kW](Hourly),Gas:Facility [kW](Hourly)
 01/01  01:00:00,77.47886578,1.77125
 01/01  02:00:00,84.8403454112,18.0734577696
 01/01  03:00:00,88.6865557827,31.0582167694
 01/01  04:00:00,88.6457796576,30.7272677883
 01/01  05:00:00,91.6238978899,23.5587199689
 01/01  06:00:00,95.3199741092,39.1678045704
 01/01  07:00:00,124.296172155,476.60148266699997
 01/01  08:00:00,129.967668522,435.184137919
 01/01  09:00:00,155.262103154,385.546271739
 01/01  10:00:00,128.291006391,373.55534136800003
 01/01  11:00:00,162.924725333,345.674720714
 01/01  12:00:00,194.208904543,334.985578043
 01/01  13:00:00,201.6458137,310.846369588
 01/01  14:00:00,199.433900938,302.295055047
 01/01  15:00:00,195.526802515,296.379279755
 01/01  16:00:00,191.985272193,292.99632857299997
 01/01  17:00:00,198.64179215099998,291.022159583
 01/01  18:00:00,176.75199982400002,336.759203121
 01/01  19:00:00,182.671280078,354.84430811699997
 01/01  20:00:00,162.602178184,357.96540435599996
 01/01  21:00:00,153.95811997299998,358.611742819
 01/01  22:00:00,139.72866456,313.05992834200003
 01/01  23:00:00,79.3515831684,2.9155994014099997
 01/01  24:00:00,115.121477903,1.77125
 01/02  01:00:00,85.9724485938,2.355
 01/02  02:00:00,87.2449517536,17.5760000708
 01/02  03:00:00,91.1167516329,30.056542197800002
 01/02  04:00:00,90.9300328332,30.2785849046
 01/02  05:00:00,93.6059623908,23.2290020201
 01/02  06:00:00,97.25728169850001,37.6935794603
 01/02  07:00:00,138.50808783,426.895192331
 01/02  08:00:00,144.51026834700002,388.260570187
 01/02  09:00:00,210.97098929,348.849706013
 01/02  10:00:00,236.34568931400003,310.975733506
 01/02  11:00:00,227.15343313099999,297.050435971
 01/02  12:00:00,258.128732765,283.08239618
 01/02  13:00:00,238.62937081299998,276.021352751
 01/02  14:00:00,235.939754867,269.042220041
 01/02  15:00:00,231.974632764,265.433454772
 01/02  16:00:00,228.44016844,261.819940031
 01/02  17:00:00,235.030345677,263.740385076
 01/02  18:00:00,241.059621518,271.304648178
 01/02  19:00:00,239.202247503,282.441230162
 01/02  20:00:00,222.493415099,294.16917346
 01/02  21:00:00,196.70016669,304.418226646
 01/02  22:00:00,139.287292203,283.833955767
 01/02  23:00:00,80.5200650465,3.49948857996
 01/02  24:00:00,115.96727423899999,2.355
 01/03  01:00:00,84.218699415,2.355
 01/03  02:00:00,86.1572686982,21.4078124514
 01/03  03:00:00,90.12684552190001,34.4841359451
 01/03  04:00:00,90.4046633264,37.0594501947
 01/03  05:00:00,109.55802878200001,30.971007858000004
 01/03  06:00:00,116.12249061899999,49.8856072978
 01/03  07:00:00,154.68375307600002,475.643567714
 01/03  08:00:00,152.900070933,438.77775667099996
 01/03  09:00:00,209.76981449299998,401.910675184
 01/03  10:00:00,233.75670415599998,363.04389177
 01/03  11:00:00,224.062549701,351.248921485
 01/03  12:00:00,254.80568111,337.510131742
 01/03  13:00:00,234.489118948,329.257262141
 01/03  14:00:00,231.337527513,328.80659508599996
 01/03  15:00:00,227.482097484,327.952425091
 01/03  16:00:00,224.04145962099997,327.066250792
 01/03  17:00:00,230.812839102,334.61112128599996
 01/03  18:00:00,237.568683726,347.494255406
 01/03  19:00:00,236.97139291099998,366.259228399
 01/03  20:00:00,214.14017365,379.802434123
 01/03  21:00:00,189.67109198900002,389.719767985
 01/03  22:00:00,134.226639551,368.680623529
 01/03  23:00:00,79.0988217377,2.355
 01/03  24:00:00,123.24198647200001,31.704183624499997
