Date/Time,Electricity:Facility [kW](Hourly),Gas:Facility [kW](Hourly)
 01/01  01:00:00,18.519845562,87.49452325809999
 01/01  02:00:00,17.916678860999998,85.45282683229999
 01/01  03:00:00,17.6248413708,84.54405739270001
 01/01  04:00:00,17.444263403599997,82.9984390354
 01/01  05:00:00,19.4684962972,81.7572500052
 01/01  06:00:00,23.955991068000003,85.61250363229999
 01/01  07:00:00,29.1953406356,98.563119794
 01/01  08:00:00,29.2323508914,100.29410012700001
 01/01  09:00:00,24.224970913499998,95.67266877780001
 01/01  10:00:00,21.2574292831,88.42488780459999
 01/01  11:00:00,18.289091887,85.0038558748
 01/01  12:00:00,18.3324081012,78.4281876801
 01/01  13:00:00,18.061334791900002,72.58651691189999
 01/01  14:00:00,17.7021809946,73.9062026422
 01/01  15:00:00,17.6462311822,75.6084754127
 01/01  16:00:00,18.9420502265,75.0725856263
 01/01  17:00:00,30.0470589264,79.5829729981
 01/01  18:00:00,39.0015556087,81.5672757932
 01/01  19:00:00,41.2212125731,83.0477898295
 01/01  20:00:00,40.3202970881,84.2739228775
 01/01  21:00:00,40.0010220847,86.7963017331
 01/01  22:00:00,34.6763782553,88.28503608850001
 01/01  23:00:00,27.8981511645,91.2818415674
 01/01  24:00:00,22.1715586587,91.2090811463
 01/02  01:00:00,18.660131045299998,93.0524902787
 01/02  02:00:00,18.2310548347,98.0035635136
 01/02  03:00:00,18.0337212902,100.771863709
 01/02  04:00:00,17.9235664204,101.867523765
 01/02  05:00:00,19.9522802943,100.397883902
 01/02  06:00:00,24.3978481983,102.10438645200001
 01/02  07:00:00,29.6126011824,113.711468662
 01/02  08:00:00,29.8961599887,116.01869722
 01/02  09:00:00,26.5480935981,117.221176049
 01/02  10:00:00,23.6460118725,109.956754685
 01/02  11:00:00,20.5856658574,102.05575048899999
 01/02  12:00:00,20.5799379061,92.49632217930001
 01/02  13:00:00,20.1264488881,85.2910236476
 01/02  14:00:00,19.764629896600002,80.6508848905
 01/02  15:00:00,19.5474546652,76.9913192099
 01/02  16:00:00,20.693746126700002,71.5886025091
 01/02  17:00:00,31.6726363437,72.0828237432
 01/02  18:00:00,38.9108609434,69.11042879989999
 01/02  19:00:00,40.7866842122,66.2455646671
 01/02  20:00:00,39.778969965900004,64.2386327892
 01/02  21:00:00,39.3429632016,62.83771347689999
 01/02  22:00:00,33.912783356599995,60.726705319
 01/02  23:00:00,27.0828336129,62.1509299816
 01/02  24:00:00,21.3321671189,61.216357952799996
 01/03  01:00:00,17.7736199771,60.893558154
 01/03  02:00:00,17.2360737489,61.6813518793
 01/03  03:00:00,17.0040343489,63.1330045389
 01/03  04:00:00,16.9239768244,65.3900189806
 01/03  05:00:00,18.9834171932,65.4563431414
 01/03  06:00:00,23.431515833400002,67.69852628619999
 01/03  07:00:00,28.6513896192,79.8588470494
 01/03  08:00:00,28.9243120584,82.35828116489999
 01/03  09:00:00,25.6990306102,85.7423214212
 01/03  10:00:00,22.832425797800003,80.6340220313
 01/03  11:00:00,19.8524885591,76.5142979475
 01/03  12:00:00,20.0217391298,73.7588527879
 01/03  13:00:00,19.7132587519,72.0981305925
