Date/Time,Electricity:Facility [kW](Hourly),Gas:Facility [kW](Hourly)
 01/01  01:00:00,13.5788838442,73.203359079
 01/01  02:00:00,9.460230074830001,3.59316406193
 01/01  03:00:00,9.47921020788,3.0211
 01/01  04:00:00,9.494146809330001,3.0211
 01/01  05:00:00,9.64643949963,3.59316997805
 01/01  06:00:00,13.7260279072,70.59132028329999
 01/01  07:00:00,28.202514888699998,76.3311593575
 01/01  08:00:00,26.8872448204,82.7707199635
 01/01  09:00:00,20.6217665412,77.71492859909999
 01/01  10:00:00,20.6317104795,76.9242547124
 01/01  11:00:00,25.624810278600002,95.3311467303
 01/01  12:00:00,26.781689342199996,99.6204557053
 01/01  13:00:00,25.844213374899997,91.05351641770001
 01/01  14:00:00,25.6427045761,86.72831981549999
 01/01  15:00:00,20.6453936259,78.4505396529
 01/01  16:00:00,20.6319762233,79.8694878401
 01/01  17:00:00,22.447527328299998,84.03066917550001
 01/01  18:00:00,28.0823913028,87.74122076440001
 01/01  19:00:00,28.0829950538,87.72821931290001
 01/01  20:00:00,28.226031727,87.1509963013
 01/01  21:00:00,23.2143552137,87.9523023585
 01/01  22:00:00,23.151686493499998,88.06188356879998
 01/01  23:00:00,23.0487439098,84.6185101551
 01/01  24:00:00,24.252994923200003,69.53369320600001
 01/02  01:00:00,13.7779054265,77.4861432122
 01/02  02:00:00,9.456239081189999,3.0211
 01/02  03:00:00,9.47245800868,3.5931501227099996
 01/02  04:00:00,9.48520170377,3.0211
 01/02  05:00:00,9.63573407112,3.5931560610300006
 01/02  06:00:00,13.722991325499999,81.0628764791
 01/02  07:00:00,28.202216861799997,84.200288565
 01/02  08:00:00,26.886381513000003,91.4389150236
 01/02  09:00:00,20.6218043117,83.3762495957
 01/02  10:00:00,20.6328730997,78.4051617553
 01/02  11:00:00,25.6301571613,88.8754808875
 01/02  12:00:00,26.787557643499998,88.6953635897
 01/02  13:00:00,25.8536731571,77.2819638223
 01/02  14:00:00,25.653775679099997,70.676993489
 01/02  15:00:00,20.6537823853,63.7269856795
 01/02  16:00:00,20.639234178699997,63.1310828263
 01/02  17:00:00,22.4558384734,66.6962694998
 01/02  18:00:00,28.091393119099997,66.6394539243
 01/02  19:00:00,28.095939938,67.0865340323
 01/02  20:00:00,28.2412677621,68.0171615675
 01/02  21:00:00,23.2281705531,65.0096705768
 01/02  22:00:00,23.162798447399997,65.2955921821
 01/02  23:00:00,23.058191193400003,62.6262323113
 01/02  24:00:00,24.25713633,47.8259860138
 01/03  01:00:00,13.778392211,54.2437746628
 01/03  02:00:00,9.473717763069999,3.59317944885
 01/03  03:00:00,9.49661213225,3.0211
 01/03  04:00:00,9.51023373505,3.0211
 01/03  05:00:00,10.178228884600001,3.59318534052
 01/03  06:00:00,14.2442442753,58.920881154499995
 01/03  07:00:00,28.4380053887,63.56685671140001
 01/03  08:00:00,26.8987616475,72.6401929111
 01/03  09:00:00,20.6318964724,65.21861377569999
 01/03  10:00:00,20.642157298900003,62.788367334700006
 01/03  11:00:00,25.636951661599998,76.8505631029
 01/03  12:00:00,26.791920585,82.008109169
 01/03  13:00:00,25.856609949899998,74.69744652920001
 01/03  14:00:00,25.657669864499997,70.6017509685
 01/03  15:00:00,20.6560435176,62.6058061581
 01/03  16:00:00,20.6387270713,62.6506336403
 01/03  17:00:00,22.4540579509,70.1019338902
 01/03  18:00:00,28.0909587063,77.0476220728
 01/03  19:00:00,28.0907532234,84.123891653
 01/03  20:00:00,28.089607730700003,84.4430779194
 01/03  21:00:00,23.0843049444,84.8871114566
 01/03  22:00:00,23.049916791100003,88.23799879299999
 01/03  23:00:00,23.04877885,91.2033169236
 01/03  24:00:00,24.252986221,71.863008237
 01/04  01:00:00,13.776696206199999,73.7365723987
 01/04  02:00:00,9.45970416264,3.0211
 01/04  03:00:00,9.4767609577,3.59317002806
 01/04  04:00:00,9.48792393252,3.0211
 01/04  05:00:00,9.63494590393,3.0211
 01/04  06:00:00,13.721718858,94.8962355661
 01/04  07:00:00,28.2018695392,99.0421911369
 01/04  08:00:00,26.885748602,112.148121038
 01/04  09:00:00,20.6210313165,101.879488445
 01/04  10:00:00,20.632018863800003,86.63339264870001
 01/04  11:00:00,25.627697420700002,95.6755057749
 01/04  12:00:00,26.781351829600002,97.39803946229999
 01/04  13:00:00,25.8453814141,86.99317585889999
 01/04  14:00:00,25.6478212873,78.7137914811
 01/04  15:00:00,20.6519435814,68.7566891992
 01/04  16:00:00,20.638454557,66.8122152811
 01/04  17:00:00,22.4545762052,69.3246614434
 01/04  18:00:00,28.0917918094,68.5960272459
 01/04  19:00:00,28.0945444473,70.5891580344
 01/04  20:00:00,28.239531928,71.1366729741
 01/04  21:00:00,23.2279725075,67.8711544353
 01/04  22:00:00,23.16283954,67.0092876666
 01/04  23:00:00,23.058690083200002,64.973875596
 01/04  24:00:00,24.2587922916,49.270235728900005
 01/05  01:00:00,13.780049695599999,53.622675908599994
 01/05  02:00:00,9.47400284295,3.5931948773699998
 01/05  03:00:00,9.49739014748,3.0211
 01/05  04:00:00,9.51142505887,3.59318013295
 01/05  05:00:00,9.663261781769998,3.0211
 01/05  06:00:00,13.7325663401,56.9261668949
 01/05  07:00:00,28.20973126,59.7606448222
 01/05  08:00:00,26.9007366247,66.89615047859999
 01/05  09:00:00,20.636358841099998,61.2711002256
 01/05  10:00:00,20.6472018941,60.0928830625
 01/05  11:00:00,25.6420153653,74.6275750647
 01/05  12:00:00,26.7983783401,79.6329754578
 01/05  13:00:00,25.8660251615,72.2427127462
 01/05  14:00:00,25.666343256799998,67.5995027947
 01/05  15:00:00,20.666077710499998,59.3107138872
 01/05  16:00:00,20.6501374707,58.5024719707
 01/05  17:00:00,22.466329201700002,61.9056368224
 01/05  18:00:00,28.103030940100002,61.5775556319
 01/05  19:00:00,28.10522721,62.5091897978
 01/05  20:00:00,28.249401733499997,63.4824513504
 01/05  21:00:00,23.2361429213,60.207614873100006
 01/05  22:00:00,23.1702387654,59.806609086099996
 01/05  23:00:00,23.066831549699998,57.929982773
 01/05  24:00:00,24.2660630954,44.079460938900006
 01/06  01:00:00,13.786360614200001,48.7479657063
 01/06  02:00:00,9.48576352195,3.5931908428500003
 01/06  03:00:00,9.50969445172,3.0211
 01/06  04:00:00,9.52347761993,3.59314500823
 01/06  05:00:00,10.1908287984,3.0211
 01/06  06:00:00,14.2539442717,51.2166127967
 01/06  07:00:00,28.4465864471,54.7640238244
 01/06  08:00:00,26.910701032600002,63.029507504899996
 01/06  09:00:00,20.6445819467,57.194695662200004
 01/06  10:00:00,20.6548857232,54.5675975806
