Date/Time,Electricity:Facility [kW](Hourly),Gas:Facility [kW](Hourly)
 01/01  01:00:00,5.9953261889,5.0119066985
 01/01  02:00:00,5.7184466535,4.09644552304
 01/01  03:00:00,6.09105362477,4.2189173902
 01/01  04:00:00,5.7184466535,3.99332196785
 01/01  05:00:00,6.09105362477,4.46314929701
 01/01  06:00:00,5.7184466535,3.63324756822
 01/01  07:00:00,6.09105362477,4.9473652570399995
 01/01  08:00:00,4.5669466535000005,4.525933477180001
 01/01  09:00:00,3.78805362477,4.68372606358
 01/01  10:00:00,3.19739059533,2.86492305676
 01/01  11:00:00,3.4246268611699997,3.93043750386
 01/01  12:00:00,3.1247052426099997,2.63703961593
 01/01  13:00:00,3.33616709931,3.34698125217
 01/01  14:00:00,3.1689351235400003,2.9265884700200004
 01/01  15:00:00,3.62690851019,3.8247486099400003
 01/01  16:00:00,3.46756373899,3.07148445021
 01/01  17:00:00,5.16224184352,4.87298229321
 01/01  18:00:00,5.879591768080001,4.52506853764
 01/01  19:00:00,5.929908510190001,5.997303656919999
 01/01  20:00:00,5.879591768080001,5.2077945523
 01/01  21:00:00,5.929908510190001,6.01869945628
 01/01  22:00:00,5.879591768080001,5.694957555349999
 01/01  23:00:00,5.929908510190001,6.66791297754
 01/01  24:00:00,5.879591768080001,5.16848994383
 01/02  01:00:00,6.479913872590001,6.406304707139999
 01/02  02:00:00,6.4295971304799995,5.702810847159999
 01/02  03:00:00,6.479913872590001,6.53016498413
 01/02  04:00:00,6.4295971304799995,5.94526264402
 01/02  05:00:00,6.479913872590001,6.80656193929
 01/02  06:00:00,6.70459981168,5.14712546964
 01/02  07:00:00,7.28866863964,33.7076520173
 01/02  08:00:00,7.237179364439998,35.2886906715
 01/02  09:00:00,12.135738350799999,25.0882267827
 01/02  10:00:00,12.135738350799999,21.0821397082
 01/02  11:00:00,12.135738350799999,18.329850897100002
 01/02  12:00:00,12.135738350799999,16.420943114700002
 01/02  13:00:00,11.585732988399998,15.490426406600001
 01/02  14:00:00,12.135738350799999,12.8603208714
 01/02  15:00:00,12.135738350799999,11.8921320463
 01/02  16:00:00,12.135738350799999,10.2524734931
 01/02  17:00:00,13.671071684200001,10.905841023499999
 01/02  18:00:00,10.038695451599999,14.810339620799999
 01/02  19:00:00,8.38867936444,16.633433107000002
 01/02  20:00:00,8.38867936444,16.407518306
 01/02  21:00:00,7.83867400204,17.2287344099
 01/02  22:00:00,7.83867400204,17.2879525954
 01/02  23:00:00,5.053026812,0.45306442188999996
 01/02  24:00:00,4.7780241307999995,0.02
 01/03  01:00:00,4.7780241307999995,0.453064053417
 01/03  02:00:00,4.7780241307999995,0.45306374886699996
 01/03  03:00:00,4.7780241307999995,0.02
 01/03  04:00:00,4.7780241307999995,0.453063443095
 01/03  05:00:00,5.056936449569999,0.487612828675
 01/03  06:00:00,5.61048012202,0.0607585559335
 01/03  07:00:00,7.28866863964,23.5329582127
 01/03  08:00:00,7.237179364439998,24.7308371742
 01/03  09:00:00,12.135738350799999,16.2440872551
 01/03  10:00:00,12.135738350799999,13.2632469373
 01/03  11:00:00,12.135738350799999,11.6576330372
 01/03  12:00:00,12.135738350799999,11.0247586809
 01/03  13:00:00,11.585732988399998,12.3567473849
 01/03  14:00:00,12.135738350799999,10.118889655
 01/03  15:00:00,12.135738350799999,9.4994996216
 01/03  16:00:00,12.135738350799999,8.1369542468
 01/03  17:00:00,13.671071684200001,9.76399925865
 01/03  18:00:00,10.038695451599999,15.2832121421
 01/03  19:00:00,8.38867936444,18.7218713996
 01/03  20:00:00,8.38867936444,18.9309959869
 01/03  21:00:00,7.83867400204,20.3148427421
 01/03  22:00:00,7.83867400204,21.537740043200003
 01/03  23:00:00,5.053026812,0.453085697695
 01/03  24:00:00,4.7780241307999995,0.02
 01/04  01:00:00,4.7780241307999995,0.453085405628
 01/04  02:00:00,4.88292559974,0.47739947745399997
 01/04  03:00:00,5.76292229809,0.48258648609300003
 01/04  04:00:00,6.05991511476,2.13898685812
 01/04  05:00:00,6.053458031569999,3.10754533342
 01/04  06:00:00,6.334917795959999,3.6411459381499998
 01/04  07:00:00,7.28866863964,27.2723959197
 01/04  08:00:00,7.237179364439998,34.6790940039
 01/04  09:00:00,12.135738350799999,23.7163379244
 01/04  10:00:00,12.135738350799999,17.2648906678
 01/04  11:00:00,12.135738350799999,15.3455037535
 01/04  12:00:00,12.135738350799999,14.6299550449
 01/04  13:00:00,11.585732988399998,15.544082539300001
 01/04  14:00:00,12.135738350799999,12.5911243342
 01/04  15:00:00,12.135738350799999,10.9013396578
 01/04  16:00:00,12.135738350799999,9.65739785403
 01/04  17:00:00,13.671071684200001,10.1813475285
 01/04  18:00:00,10.038695451599999,13.8652359417
 01/04  19:00:00,8.38867936444,16.1439329454
 01/04  20:00:00,8.38867936444,16.038064467
 01/04  21:00:00,7.83867400204,16.6862900547
 01/04  22:00:00,7.83867400204,16.8247361992
 01/04  23:00:00,5.053026812,0.453076449428
 01/04  24:00:00,4.7780241307999995,0.02
 01/05  01:00:00,4.7780241307999995,0.453076245545
 01/05  02:00:00,4.7780241307999995,0.453076082977
 01/05  03:00:00,4.7780241307999995,0.02
 01/05  04:00:00,4.7780241307999995,0.453075920234
 01/05  05:00:00,4.7780241307999995,0.453075757615
 01/05  06:00:00,5.053026812,0.02
 01/05  07:00:00,7.28866863964,22.4321490108
 01/05  08:00:00,7.237179364439998,22.8143252767
 01/05  09:00:00,12.135738350799999,14.452123184500001
 01/05  10:00:00,12.135738350799999,12.1656909079
 01/05  11:00:00,12.135738350799999,10.9397049796
 01/05  12:00:00,12.135738350799999,10.085461461
 01/05  13:00:00,11.585732988399998,11.157980441600001
 01/05  14:00:00,12.135738350799999,9.01985504114
 01/05  15:00:00,12.135738350799999,8.38620382634
 01/05  16:00:00,12.135738350799999,7.993552981560001
 01/05  17:00:00,13.671071684200001,8.25810761281
 01/05  18:00:00,10.038695451599999,11.664221698099999
 01/05  19:00:00,8.38867936444,13.567952823699999
 01/05  20:00:00,8.38867936444,13.488557710999999
 01/05  21:00:00,7.83867400204,14.3198257332
 01/05  22:00:00,7.83867400204,14.369189540599999
 01/05  23:00:00,5.053026812,0.453072662981
 01/05  24:00:00,4.7780241307999995,0.02
 01/06  01:00:00,4.7780241307999995,0.45307253839199996
 01/06  02:00:00,4.7780241307999995,0.453072454525
 01/06  03:00:00,4.7780241307999995,0.02
 01/06  04:00:00,4.7780241307999995,0.45307237045000004
 01/06  05:00:00,4.7780241307999995,0.453072286453
 01/06  06:00:00,5.053026812,0.02
 01/06  07:00:00,7.28866863964,19.6078280643
 01/06  08:00:00,7.237179364439998,20.3024409728
 01/06  09:00:00,12.135738350799999,10.989735785899999
 01/06  10:00:00,12.135738350799999,8.320223422769999
 01/06  11:00:00,12.135738350799999,8.04912720405
 01/06  12:00:00,12.135738350799999,7.7786003172300004
 01/06  13:00:00,11.585732988399998,9.19753745754
 01/06  14:00:00,12.135738350799999,7.13706041952
 01/06  15:00:00,12.135738350799999,6.8486979336500005
 01/06  16:00:00,12.135738350799999,6.906165552030001
 01/06  17:00:00,13.671071684200001,7.3690723386300006
 01/06  18:00:00,10.038695451599999,10.7660146526
 01/06  19:00:00,8.38867936444,12.5881583824
 01/06  20:00:00,8.38867936444,12.5649026929
 01/06  21:00:00,7.83867400204,13.604021886099998
 01/06  22:00:00,7.83867400204,13.7330053358
 01/06  23:00:00,5.053026812,0.45307436739699997
 01/06  24:00:00,4.7780241307999995,0.02
 01/07  01:00:00,4.2280187684,0.45307431625
 01/07  02:00:00,4.2280187684,0.453074305
 01/07  03:00:00,4.2280187684,0.02
 01/07  04:00:00,4.2280187684,0.453074293478
 01/07  05:00:00,4.2280187684,0.45307428196599997
 01/07  06:00:00,4.2280187684,0.02
 01/07  07:00:00,7.28866863964,19.9990506551
 01/07  08:00:00,6.13716863964,22.6132544542
 01/07  09:00:00,6.63568472684,17.0530939786
 01/07  10:00:00,6.63568472684,14.6955944531
 01/07  11:00:00,6.63568472684,16.7731278213
 01/07  12:00:00,6.63568472684,17.4911726571
 01/07  13:00:00,4.98566863964,18.8554497806
 01/07  14:00:00,4.98566863964,18.780520256099997
 01/07  15:00:00,4.98566863964,16.9328591053
 01/07  16:00:00,4.98566863964,16.247414525499998
 01/07  17:00:00,6.52100197297,17.5544988087
 01/07  18:00:00,6.4636605960399995,20.1729980199
 01/07  19:00:00,4.2280187684,0.453065102992
 01/07  20:00:00,4.2280187684,0.02
 01/07  21:00:00,4.2280187684,0.453079284684
 01/07  22:00:00,4.82616450083,0.731191796648
 01/07  23:00:00,5.57613802189,1.8068887397
 01/07  24:00:00,5.43722439964,2.39998677921
 01/08  01:00:00,5.57613802189,3.89834471005
 01/08  02:00:00,5.43722439964,4.50593886392
 01/08  03:00:00,5.92997706932,5.383162211089999
 01/08  04:00:00,5.87952320894,6.11154708154
 01/08  05:00:00,5.92997706932,6.1978610003600005
 01/08  06:00:00,5.87952320894,6.7892632954900005
 01/08  07:00:00,5.92997706932,7.04700707508
 01/08  08:00:00,4.72802320894,5.891331922439999
 01/08  09:00:00,3.53851730747,4.17543515672
 01/08  10:00:00,2.84348298876,2.77279338068
 01/08  11:00:00,3.4667907263599997,2.7131135850800003
 01/08  12:00:00,3.13422439964,3.10719675497
 01/08  13:00:00,3.27313802189,2.95337720138
 01/08  14:00:00,2.91616834148,2.2624218085
 01/08  15:00:00,3.12776731645,1.85932452192
 01/08  16:00:00,2.84348298876,1.7980386525299998
 01/08  17:00:00,4.77212867886,2.24285467703
 01/08  18:00:00,5.43722439964,2.6797613904900004
 01/08  19:00:00,5.77517248607,3.3687322050099997
 01/08  20:00:00,5.66721978048,2.57605326409
 01/08  21:00:00,5.84151730747,3.34339095314
 01/08  22:00:00,5.70260368522,2.98912261681
 01/08  23:00:00,5.77074949798,2.75716624967
 01/08  24:00:00,5.43722439964,2.82216737869
 01/09  01:00:00,6.126143384290001,2.53739277345
 01/09  02:00:00,5.98722976204,1.96430039413
 01/09  03:00:00,6.126143384290001,2.59977400871
 01/09  04:00:00,5.98722976204,2.60237302725
 01/09  05:00:00,6.126143384290001,2.2608999886200003
 01/09  06:00:00,6.26223244324,2.63289607301
 01/09  07:00:00,7.28866863964,30.9905230766
 01/09  08:00:00,7.237179364439998,28.592864105900002
 01/09  09:00:00,12.135738350799999,16.7114813379
 01/09  10:00:00,12.135738350799999,12.7068041366
 01/09  11:00:00,12.135738350799999,12.280345843900001
 01/09  12:00:00,12.135738350799999,10.2377830328
 01/09  13:00:00,11.585732988399998,9.643025829739999
 01/09  14:00:00,12.138478352,7.08435219987
 01/09  15:00:00,12.135738350799999,5.68404247052
 01/09  16:00:00,12.135738350799999,4.66702812557
 01/09  17:00:00,13.671071684200001,6.11754773094
 01/09  18:00:00,10.038695451599999,10.2964772224
