Date/Time,Electricity:Facility [kW](Hourly),Gas:Facility [kW](Hourly)
 01/01  01:00:00,19.7312608064,90.43029280379999
 01/01  02:00:00,19.0461082277,77.3583573824
 01/01  03:00:00,20.1768271107,99.9762915143
 01/01  04:00:00,19.0498062125,77.4093682841
 01/01  05:00:00,20.1596816542,98.8593203277
 01/01  06:00:00,19.0186228132,75.4389707303
 01/01  07:00:00,20.1026998432,96.17804033819999
 01/01  08:00:00,15.987536065499999,72.3569614564
 01/01  09:00:00,11.012244880199999,89.95682252389999
 01/01  10:00:00,9.77678264778,62.211699466599995
 01/01  11:00:00,10.254841742,72.10721665930001
 01/01  12:00:00,8.98807966953,48.9388677038
 01/01  13:00:00,9.614785813960001,61.359407088400005
 01/01  14:00:00,8.70197659403,43.3553652171
 01/01  15:00:00,9.47377220541,58.5979322481
 01/01  16:00:00,8.80759421223,45.4197995479
 01/01  17:00:00,14.356247545699999,66.8517105322
 01/01  18:00:00,18.229163524,55.1542045112
 01/01  19:00:00,19.5419399566,81.1359027038
 01/01  20:00:00,18.9858887988,69.358990138
 01/01  21:00:00,20.2008323541,97.9659380797
 01/01  22:00:00,19.092284392,77.73285100529999
 01/01  23:00:00,20.2097860225,100.19572966
 01/01  24:00:00,19.0564127064,76.9376181223
 01/02  01:00:00,20.1597067653,98.3383945618
 01/02  02:00:00,19.0249712916,75.1226275071
 01/02  03:00:00,20.117386966199998,96.0719184484
 01/02  04:00:00,18.9863674731,72.8761662913
 01/02  05:00:00,20.0805904482,94.4853640795
 01/02  06:00:00,18.9889484132,73.228636119
 01/02  07:00:00,26.5241632843,122.218706829
 01/02  08:00:00,44.0399024524,93.83616191600001
 01/02  09:00:00,57.270814133500004,81.2813565667
 01/02  10:00:00,69.2944670645,71.2706668032
 01/02  11:00:00,69.3192690947,65.011940468
 01/02  12:00:00,69.3192690947,60.6116852393
 01/02  13:00:00,62.8264448202,60.9212688384
 01/02  14:00:00,69.3192690947,58.9004417244
 01/02  15:00:00,69.3192690947,59.1551530482
 01/02  16:00:00,69.3192690947,61.341049665
 01/02  17:00:00,73.7807690947,66.0725904989
 01/02  18:00:00,32.5280367952,59.43809013640001
 01/02  19:00:00,18.6165850262,62.2701624992
 01/02  20:00:00,20.0969643882,95.8669876312
 01/02  21:00:00,19.3582901359,90.55857753149999
 01/02  22:00:00,20.7030340279,124.520284335
 01/02  23:00:00,19.814497052100002,115.118365611
 01/02  24:00:00,21.152646251300002,145.88474991799998
 01/03  01:00:00,20.089548531400002,129.821952645
 01/03  02:00:00,21.4256211967,158.629250728
 01/03  03:00:00,20.3051292399,141.119963587
 01/03  04:00:00,21.702396091199997,171.676095848
 01/03  05:00:00,20.5124589428,151.88640293
 01/03  06:00:00,21.85117943,178.77245297599998
 01/03  07:00:00,26.5241632843,208.047998965
 01/03  08:00:00,44.0399024524,183.984817767
 01/03  09:00:00,57.5697086091,157.874685253
 01/03  10:00:00,69.54375748,130.512799149
 01/03  11:00:00,69.54375748,106.852776893
 01/03  12:00:00,69.54375748,86.92725654620001
 01/03  13:00:00,62.901485967700005,78.5322606642
 01/03  14:00:00,69.2448630043,75.8644167937
 01/03  15:00:00,69.2448630043,77.6291771848
 01/03  16:00:00,69.2448630043,81.1011580191
 01/03  17:00:00,73.75617875020001,88.49729040209999
 01/03  18:00:00,33.7618086888,98.2657050231
 01/03  19:00:00,19.6522226392,112.256281637
 01/03  20:00:00,21.0866411565,146.24218678399998
 01/03  21:00:00,20.0567682064,131.186709592
 01/03  22:00:00,21.4282939966,161.084782099
 01/03  23:00:00,20.3247058636,144.83270667
 01/03  24:00:00,21.7976576939,178.731960195
 01/04  01:00:00,20.6667026368,163.342187628
 01/04  02:00:00,22.1471582958,195.62057597400002
 01/04  03:00:00,20.8231587449,171.813098265
 01/04  04:00:00,22.1825629804,197.759242745
 01/04  05:00:00,20.818774784400002,172.04956006400002
 01/04  06:00:00,22.2710719997,202.19398190099997
 01/04  07:00:00,26.5241632843,241.366849024
 01/04  08:00:00,44.0399024524,221.865698564
 01/04  09:00:00,57.5697086091,194.60443717299998
 01/04  10:00:00,69.54375748,162.982843056
 01/04  11:00:00,69.54375748,133.580437594
 01/04  12:00:00,69.54375748,104.817124222
 01/04  13:00:00,63.0509332055,84.26378455380001
 01/04  14:00:00,69.2448630043,70.85654302409999
 01/04  15:00:00,69.26966503439999,68.6271176719
 01/04  16:00:00,69.2572640194,70.9875617756
 01/04  17:00:00,73.7187640194,78.72545218260001
 01/04  18:00:00,33.357333238,81.6715066695
 01/04  19:00:00,19.3982029109,99.96185276989999
 01/04  20:00:00,20.7880129685,133.695806377
 01/04  21:00:00,19.8005977327,119.34298399
 01/04  22:00:00,21.0869476745,146.362888734
 01/04  23:00:00,19.9549651158,125.74298238799999
 01/04  24:00:00,21.1381654138,147.38804003200002
 01/05  01:00:00,19.9342071433,123.281630315
 01/05  02:00:00,21.0979768957,144.777877842
 01/05  03:00:00,19.952003268800002,123.728028437
 01/05  04:00:00,21.1824868535,148.288668492
 01/05  05:00:00,20.0474709682,128.416300014
 01/05  06:00:00,21.2804727621,153.055710814
 01/05  07:00:00,26.5241632843,182.252584271
 01/05  08:00:00,44.0399024524,160.714018122
 01/05  09:00:00,57.5697086091,136.375056252
 01/05  10:00:00,69.54375748,110.38290353200001
 01/05  11:00:00,69.54375748,87.8256378823
 01/05  12:00:00,69.2448630043,73.0926021027
 01/05  13:00:00,62.764439744899995,66.64121527020001
 01/05  14:00:00,69.3068680796,59.7998491808
 01/05  15:00:00,69.3192690947,58.1222891792
 01/05  16:00:00,69.3192690947,60.617284848500006
 01/05  17:00:00,73.7683680796,70.1249605026
 01/05  18:00:00,33.0610974508,70.53305741
 01/05  19:00:00,19.359361443599997,94.4272768462
 01/05  20:00:00,20.8881960059,134.576919619
 01/05  21:00:00,19.9640615472,124.397811269
 01/05  22:00:00,21.364732983299998,156.654736245
 01/05  23:00:00,20.2883659705,141.505828579
 01/05  24:00:00,21.7417139158,174.64898481900002
 01/06  01:00:00,20.6030606142,158.310752385
 01/06  02:00:00,22.100657369,191.911811868
 01/06  03:00:00,20.8629080037,172.663656035
 01/06  04:00:00,22.3733277223,206.117614931
 01/06  05:00:00,21.0824471003,185.677350517
 01/06  06:00:00,22.633315245,219.965505047
 01/06  07:00:00,26.5241632843,261.74448160400004
 01/06  08:00:00,44.0399024524,239.198074967
 01/06  09:00:00,57.5697086091,206.29619895599998
 01/06  10:00:00,69.54375748,167.826968157
 01/06  11:00:00,69.54375748,131.724825563
 01/06  12:00:00,69.54375748,99.7971047284
 01/06  13:00:00,62.951301713599996,78.2036888407
 01/06  14:00:00,69.2572640194,65.6794533779
 01/06  15:00:00,69.2944670645,62.7790972594
 01/06  16:00:00,69.2944670645,64.97243081010001
 01/06  17:00:00,73.7311650344,74.5788585549
 01/06  18:00:00,33.3517520606,81.224270018
 01/06  19:00:00,19.5248879176,105.71935627
 01/06  20:00:00,21.0312935223,143.10276361200002
 01/06  21:00:00,19.9607023275,125.51545733
 01/06  22:00:00,21.1822156972,148.81192983
 01/06  23:00:00,19.9192003901,121.77529635399999
 01/06  24:00:00,20.9038045261,134.813594524
 01/07  01:00:00,19.5756254499,103.28078797399999
 01/07  02:00:00,20.4657722902,115.045991711
 01/07  03:00:00,19.3357396799,90.84355257530001
 01/07  04:00:00,20.2846859603,106.025553376
 01/07  05:00:00,19.2229231069,84.06723561359999
 01/07  06:00:00,20.161598736400002,99.9528579065
 01/07  07:00:00,19.1425381696,79.54370624170001
 01/07  08:00:00,23.5498299509,122.222576446
 01/07  09:00:00,18.6127629624,99.25032265969999
 01/07  10:00:00,28.1104137697,82.3765606444
 01/07  11:00:00,28.0107822778,74.1659453371
 01/07  12:00:00,28.060386338,67.0588459965
 01/07  13:00:00,17.3766748989,63.5875945781
 01/07  14:00:00,17.3766748989,59.9097385471
 01/07  15:00:00,17.3766748989,58.105376623299996
 01/07  16:00:00,17.3766748989,58.192243085600005
 01/07  17:00:00,13.5014418123,48.473696223500006
 01/07  18:00:00,17.9662241904,49.2466673176
 01/07  19:00:00,19.2891372552,75.16838588600001
 01/07  20:00:00,18.7385935608,63.5421828582
 01/07  21:00:00,20.0171823517,90.3176396313
 01/07  22:00:00,18.971158843199998,70.6255702112
 01/07  23:00:00,20.0460053225,92.54815328309999
 01/07  24:00:00,19.0513442504,75.6382849005
 01/08  01:00:00,20.282935131,103.277358186
 01/08  02:00:00,19.2693945818,86.69464427790001
 01/08  03:00:00,20.534482626,114.196582729
 01/08  04:00:00,19.433754776700003,94.9635873176
 01/08  05:00:00,20.721960605699998,122.33781331700001
 01/08  06:00:00,19.5484171021,100.67294561899999
 01/08  07:00:00,20.8342978072,127.38043575799999
 01/08  08:00:00,16.6365753838,103.89875822200001
 01/08  09:00:00,11.8878339336,127.258280324
 01/08  10:00:00,10.5289167002,98.5193342144
 01/08  11:00:00,11.4783784693,113.17737850799999
 01/08  12:00:00,10.1494629416,82.3576011063
 01/08  13:00:00,11.097797056300001,97.2569697476
 01/08  14:00:00,9.957527603210002,72.0753624492
 01/08  15:00:00,10.9011090656,87.8990392501
 01/08  16:00:00,9.85768254541,65.2566185462
 01/08  17:00:00,14.016661979,90.55912053879999
 01/08  18:00:00,19.1402337512,79.8856625807
 01/08  19:00:00,20.458115848,110.673420421
 01/08  20:00:00,19.363237448299998,91.605581935
 01/08  21:00:00,20.5978805322,117.03500757299999
 01/08  22:00:00,19.4407317527,95.3408139459
 01/08  23:00:00,20.7365252417,123.394341649
 01/08  24:00:00,19.6124358306,105.002051383
 01/09  01:00:00,21.029241847999998,137.152409543
 01/09  02:00:00,19.8178012327,115.82600201
 01/09  03:00:00,21.1726969348,143.813699222
 01/09  04:00:00,19.8546492563,118.25293986
 01/09  05:00:00,21.1996278807,145.415955255
 01/09  06:00:00,19.89161332,119.96181206799999
 01/09  07:00:00,26.5241632843,180.469550965
 01/09  08:00:00,44.0399024524,148.60089877
 01/09  09:00:00,57.5697086091,127.70372409999999
 01/09  10:00:00,69.54375748,110.48477604600001
 01/09  11:00:00,69.54375748,101.27961043799999
 01/09  12:00:00,69.54375748,93.20195105200001
 01/09  13:00:00,63.0509332055,90.7915980935
 01/09  14:00:00,69.2946787502,81.0416295402
 01/09  15:00:00,69.2448630043,76.8179833391
 01/09  16:00:00,69.2448630043,76.3138095583
 01/09  17:00:00,72.2191963376,80.4490506487
 01/09  18:00:00,33.2867806125,78.1337385238
 01/09  19:00:00,19.2829274521,92.15559460979999
 01/09  20:00:00,20.5620359521,121.089499215
 01/09  21:00:00,19.5981843641,105.71777212100001
 01/09  22:00:00,20.820944476199998,130.88713443700001
 01/09  23:00:00,19.781351833800002,113.374916778
 01/09  24:00:00,21.0121439542,138.619168772
 01/10  01:00:00,19.922066814,120.23043911299999
 01/10  02:00:00,21.1810749666,146.513931215
