Date/Time,Electricity:Facility [kW](Hourly),Gas:Facility [kW](Hourly)
 01/01  01:00:00,37.7038893652,32.3469686513
 01/01  02:00:00,38.6065286021,38.9286957923
 01/01  03:00:00,35.047512382600004,39.6173218137
 01/01  04:00:00,35.6237272649,40.111303705
 01/01  05:00:00,37.5932636678,40.4598307671
 01/01  06:00:00,42.2007615467,40.6328301158
 01/01  07:00:00,61.1191527741,39.9629230485
 01/01  08:00:00,75.99697638020001,49.5903039449
 01/01  09:00:00,94.1405050258,68.11116749840001
 01/01  10:00:00,79.7395888067,72.7547903867
 01/01  11:00:00,55.5949186358,73.17240245859999
 01/01  12:00:00,53.736694965299996,72.92430219010001
 01/01  13:00:00,53.6294119016,66.8937455905
 01/01  14:00:00,53.1982769686,63.5873629677
 01/01  15:00:00,52.8398002105,63.0242009974
 01/01  16:00:00,52.404495631,64.153484552
 01/01  17:00:00,56.165409918900004,46.930080261
 01/01  18:00:00,68.22992146050001,29.765797760500003
 01/01  19:00:00,84.76468821270001,33.2254692835
 01/01  20:00:00,85.5545370055,39.4634569683
 01/01  21:00:00,91.6688983594,40.4452645058
 01/01  22:00:00,89.24484681,40.7854538243
 01/01  23:00:00,66.6318330351,47.6021650296
 01/01  24:00:00,43.513515956499994,36.9595542954
 01/02  01:00:00,36.4826972643,38.100199332399995
 01/02  02:00:00,35.961387156,38.2018637164
 01/02  03:00:00,35.0018347153,39.1781023323
 01/02  04:00:00,35.4353159212,33.6187252477
 01/02  05:00:00,37.2394150284,39.2205693758
 01/02  06:00:00,44.66761178189999,44.1115843809
 01/02  07:00:00,72.4321876518,48.647330287299994
 01/02  08:00:00,92.3212954088,46.378426393599995
 01/02  09:00:00,72.0669794556,58.339662278999995
 01/02  10:00:00,69.15343362520001,69.3433978816
 01/02  11:00:00,53.238884568500005,63.059047447299996
 01/02  12:00:00,53.5081821926,63.02778212810001
 01/02  13:00:00,53.2018222163,61.423386182799995
 01/02  14:00:00,53.058356204700004,65.60855848050001
 01/02  15:00:00,52.5538562204,58.054830939
 01/02  16:00:00,51.891449809899996,58.5196519158
 01/02  17:00:00,55.1925780562,40.7635174372
 01/02  18:00:00,70.8619877029,22.3442837081
