Date/Time,Electricity:Facility [kW](Hourly),Gas:Facility [kW](Hourly)
 01/01  01:00:00,13.539343359,72.9017090225
 01/01  02:00:00,9.46281318273,3.0211
 01/01  03:00:00,9.47963896091,3.5931578103300006
 01/01  04:00:00,9.49036141994,3.0211
 01/01  05:00:00,9.63894065857,3.5931637352099997
 01/01  06:00:00,13.6838737743,83.8748536888
 01/01  07:00:00,28.1625493605,88.4442979037
 01/01  08:00:00,27.4788099579,94.6963546817
 01/01  09:00:00,20.581868388900002,87.28671670940001
 01/01  10:00:00,20.5920281498,83.9666852516
 01/01  11:00:00,25.5866320557,96.9485822702
 01/01  12:00:00,26.7447266316,96.0996354032
 01/01  13:00:00,25.805356897800003,88.3070730901
 01/01  14:00:00,25.6043452701,81.7344083552
 01/01  15:00:00,20.608067157,71.3038061272
 01/01  16:00:00,20.592556472200002,72.4112643367
 01/01  17:00:00,20.5117444056,77.45471482239999
 01/01  18:00:00,28.0446123562,79.65364368649999
 01/01  19:00:00,28.0455846654,79.6464382688
 01/01  20:00:00,28.1883250029,78.62594950270001
 01/01  21:00:00,23.176105898299998,75.2608273383
 01/01  22:00:00,23.112589097399997,76.1500086231
 01/01  23:00:00,23.0093580134,74.4443398741
 01/01  24:00:00,24.2134366346,61.675961862
 01/02  01:00:00,13.738083326500002,67.7727785033
 01/02  02:00:00,9.46130891512,3.5931925487900003
 01/02  03:00:00,9.48066071622,3.0211
 01/02  04:00:00,9.49458977298,3.5931467252
 01/02  05:00:00,9.6454724055,3.0211
 01/02  06:00:00,13.6861188142,72.6642699886
 01/02  07:00:00,28.163386625900003,74.1303190775
 01/02  08:00:00,27.4838573491,80.6290272972
 01/02  09:00:00,20.5859218524,75.8511432738
 01/02  10:00:00,20.5943086682,76.04010426720001
 01/02  11:00:00,25.5891293794,91.1887005703
 01/02  12:00:00,26.746541185599998,92.0183974308
 01/02  13:00:00,25.813387710100002,80.47563950979999
 01/02  14:00:00,25.6151644481,72.57593849
 01/02  15:00:00,20.6188284998,63.245780366999995
 01/02  16:00:00,20.6054079331,59.889257559700006
 01/02  17:00:00,20.5295629873,57.7712808644
 01/02  18:00:00,28.0769492221,54.4723445822
 01/02  19:00:00,28.0807942099,55.4702090725
 01/02  20:00:00,28.2311552365,55.383880081099996
 01/02  21:00:00,23.2240942015,52.016577078800005
 01/02  22:00:00,23.1644770308,50.085865845200004
 01/02  23:00:00,23.0662274228,46.600804164399996
 01/02  24:00:00,24.2505599641,33.1914982164
 01/03  01:00:00,13.7843181023,37.770812523000004
 01/03  02:00:00,9.51063618759,3.5931805253199993
 01/03  03:00:00,9.51966866582,3.0211
 01/03  04:00:00,9.5300261603,3.59318643067
 01/03  05:00:00,10.192885916,3.0211
 01/03  06:00:00,14.207165984500001,64.3406346788
 01/03  07:00:00,28.3922801568,67.6413857621
 01/03  08:00:00,27.4836252812,75.478405983
 01/03  09:00:00,20.585601593099998,70.2834506076
 01/03  10:00:00,20.5936727656,70.5079151021
 01/03  11:00:00,25.5875396463,84.9476213582
 01/03  12:00:00,26.744689654400002,90.3582914716
 01/03  13:00:00,25.8066037668,83.09016296109999
 01/03  14:00:00,25.6084749329,78.4446733335
 01/03  15:00:00,20.6106202841,71.3444828526
 01/03  16:00:00,20.5949683284,71.79053355970001
 01/03  17:00:00,20.5138231748,76.1101000566
 01/03  18:00:00,28.047939168499997,77.2580057773
 01/03  19:00:00,28.0480806286,79.2198440879
 01/03  20:00:00,28.046209625,80.6727065243
 01/03  21:00:00,23.043855457800003,78.55487616090001
 01/03  22:00:00,23.0116909835,79.8323722112
 01/03  23:00:00,23.009755765700003,79.649451452
 01/03  24:00:00,24.2134326775,65.4253770058
 01/04  01:00:00,13.737889643099999,70.1628752039
 01/04  02:00:00,9.46178562021,3.5931956014099997
 01/04  03:00:00,9.47971008375,3.0211
 01/04  04:00:00,9.491796055439998,3.59316460379
 01/04  05:00:00,9.64151737776,3.0211
 01/04  06:00:00,13.6845008021,83.1463888305
 01/04  07:00:00,28.1624945954,87.2365462744
 01/04  08:00:00,27.4787456593,97.3142911594
 01/04  09:00:00,20.5818742563,92.8660547501
 01/04  10:00:00,20.5919080542,91.34204380450001
 01/04  11:00:00,25.583930893,103.763281632
 01/04  12:00:00,26.739624212600003,106.31520047299999
 01/04  13:00:00,25.7996550888,99.4625469983
 01/04  14:00:00,25.599077782,93.68672114889999
 01/04  15:00:00,20.6043234872,86.26698305469999
 01/04  16:00:00,20.5919273429,88.2643974157
 01/04  17:00:00,20.5105327126,91.8695782091
 01/04  18:00:00,28.041484373699998,95.2798803381
 01/04  19:00:00,28.0420963205,97.4460196423
 01/04  20:00:00,28.183254359499998,97.9059752915
 01/04  21:00:00,23.1735333763,97.5402778242
 01/04  22:00:00,23.1118545628,98.2569212933
 01/04  23:00:00,23.0090093654,97.7531087224
 01/04  24:00:00,24.2134524471,85.37916430060001
 01/05  01:00:00,13.7382328536,93.60627353049999
 01/05  02:00:00,9.44636499546,3.0211
 01/05  03:00:00,9.45905515247,3.5931832596
 01/05  04:00:00,9.47042316313,3.0211
 01/05  05:00:00,9.61936707603,3.0211
 01/05  06:00:00,13.6787233659,103.060045427
 01/05  07:00:00,28.1622309036,106.07364463200001
 01/05  08:00:00,27.4782767869,112.401343795
 01/05  09:00:00,20.5813529211,106.076001721
 01/05  10:00:00,20.5916593318,102.348191115
 01/05  11:00:00,25.5822910299,114.43635042
 01/05  12:00:00,26.738220855599998,115.11412695899999
 01/05  13:00:00,25.7986607247,104.73823860799999
 01/05  14:00:00,25.597304999400002,96.03801588
 01/05  15:00:00,20.6026288255,86.67381511120001
 01/05  16:00:00,20.5918455961,85.9145233211
 01/05  17:00:00,20.5106225976,89.2402622645
 01/05  18:00:00,28.042423711799998,88.85059102620001
 01/05  19:00:00,28.043623957399998,91.4676628032
 01/05  20:00:00,28.185373233099998,92.92652210540001
 01/05  21:00:00,23.1739154953,90.1834951859
 01/05  22:00:00,23.112068833400002,88.5575001709
 01/05  23:00:00,23.0091305304,84.4827906999
 01/05  24:00:00,24.2134411042,69.8828985211
 01/06  01:00:00,13.7384808055,74.0221910646
 01/06  02:00:00,9.45580494902,3.5931475178199994
 01/06  03:00:00,9.47386395515,3.0211
 01/06  04:00:00,9.48879595386,3.5931534602900004
 01/06  05:00:00,10.158897084500001,3.0211
 01/06  06:00:00,14.1963063853,69.1112175468
 01/06  07:00:00,28.391876873,72.0131369412
 01/06  08:00:00,27.484607848699998,77.5180665761
 01/06  09:00:00,20.590012265,69.7518551328
 01/06  10:00:00,20.6026625695,67.4873864711
 01/06  11:00:00,25.598308751100003,79.4283841217
 01/06  12:00:00,26.7550618189,82.017373874
 01/06  13:00:00,25.819887341599998,72.3104955343
 01/06  14:00:00,25.621726926300003,66.8333668717
 01/06  15:00:00,20.626184578,58.3125280386
 01/06  16:00:00,20.6128045898,57.8435291686
 01/06  17:00:00,20.5313752156,60.3207747417
 01/06  18:00:00,27.4327622023,60.537327967399996
 01/06  19:00:00,28.0709040025,61.090688898
 01/06  20:00:00,28.073247105300002,61.6401571663
 01/06  21:00:00,23.069861594699997,60.656160605
 01/06  22:00:00,23.027702618800003,65.723978601
 01/06  23:00:00,23.0206765357,67.8889395303
 01/06  24:00:00,24.2187742868,55.5282264879
 01/07  01:00:00,13.73582418,63.0708342701
 01/07  02:00:00,9.467633813700001,3.0211
 01/07  03:00:00,9.4881311213,3.59315432703
 01/07  04:00:00,9.50042349052,3.0211
 01/07  05:00:00,9.64974458775,3.59318611877
 01/07  06:00:00,13.6865183595,78.4731009399
 01/07  07:00:00,28.1626751918,87.37035858440001
 01/07  08:00:00,27.4788760934,94.57008271030001
 01/07  09:00:00,20.581877226,89.01371012290001
 01/07  10:00:00,20.5926020199,79.7996470719
 01/07  11:00:00,25.5892706398,80.49432734060001
 01/07  12:00:00,26.7456520638,81.10545501770001
 01/07  13:00:00,25.8080076983,71.7634153388
 01/07  14:00:00,25.6230069252,59.600496540500004
 01/07  15:00:00,20.608619851300002,65.940227463
 01/07  16:00:00,20.592812629,79.1279153366
 01/07  17:00:00,20.5113351328,82.6881511655
 01/07  18:00:00,27.411713184099998,83.5008590186
 01/07  19:00:00,28.0468167316,81.82855155819999
 01/07  20:00:00,28.1916271066,80.74986881470001
 01/07  21:00:00,23.1789401821,78.9435496553
 01/07  22:00:00,23.1146104875,80.33087462350001
 01/07  23:00:00,23.009749826700002,80.3586532088
 01/07  24:00:00,24.2134340696,69.1737862943
 01/08  01:00:00,13.7379744419,76.35248949449999
 01/08  02:00:00,9.45985284077,3.0211
 01/08  03:00:00,9.477869420489998,3.59318772417
 01/08  04:00:00,9.491260189430001,3.0211
 01/08  05:00:00,9.64197577621,3.5931936027099995
 01/08  06:00:00,13.6850174047,81.7291149214
 01/08  07:00:00,28.1628046328,86.76114216110001
 01/08  08:00:00,27.479556908400003,91.23854924
 01/08  09:00:00,20.5825650378,85.2807108312
 01/08  10:00:00,20.5932521693,77.7050853074
 01/08  11:00:00,25.5950211373,88.75900190889999
 01/08  12:00:00,26.751526648600002,89.02614719379999
 01/08  13:00:00,25.814350218,82.2244940403
 01/08  14:00:00,25.615585209000002,75.4126064779
 01/08  15:00:00,20.6235812495,64.1292247784
 01/08  16:00:00,20.6108562657,60.709336464399996
 01/08  17:00:00,20.532009338800002,62.8480799873
 01/08  18:00:00,27.4320616173,64.7032836545
 01/08  19:00:00,28.068027741799998,63.0924139917
 01/08  20:00:00,28.211028012800003,63.643673032200006
 01/08  21:00:00,23.198790082,60.6990154789
 01/08  22:00:00,23.132864201100002,61.4802341388
 01/08  23:00:00,23.0266989809,61.2330982046
 01/08  24:00:00,24.220576715700002,52.3508272562
 01/09  01:00:00,13.7379912182,60.6509433355
 01/09  02:00:00,9.47169262156,3.0211
 01/09  03:00:00,9.49363236033,3.59316067815
 01/09  04:00:00,9.5070314073,3.0211
 01/09  05:00:00,9.65755442688,3.0211
 01/09  06:00:00,13.689325363699998,67.6678274913
 01/09  07:00:00,28.1653303204,71.2253067062
