Date/Time,Electricity:Facility [kW](Hourly),Gas:Facility [kW](Hourly)
 01/01  01:00:00,93.9165948528,1.77125
 01/01  02:00:00,95.9522872503,1.77125
 01/01  03:00:00,97.18237322879999,2.9155326022900003
 01/01  04:00:00,98.7150511509,1.77125
 01/01  05:00:00,106.694923896,1.77125
 01/01  06:00:00,106.675318949,2.91549306387
 01/01  07:00:00,146.415802168,174.40944244599999
 01/01  08:00:00,159.027934772,178.68121948099997
 01/01  09:00:00,182.044640193,160.918232424
 01/01  10:00:00,161.941755625,145.976752488
 01/01  11:00:00,198.712697073,112.91948390600001
 01/01  12:00:00,230.119016588,84.8963205482
 01/01  13:00:00,246.61038992299999,57.988159137
 01/01  14:00:00,249.014301605,36.0316578697
 01/01  15:00:00,244.86936278599998,18.2992438849
 01/01  16:00:00,236.683672815,15.777591226099998
 01/01  17:00:00,231.151658685,27.9651451349
 01/01  18:00:00,198.50253964799998,75.9989438966
 01/01  19:00:00,201.237471935,125.586983531
 01/01  20:00:00,180.205132976,149.730060654
 01/01  21:00:00,168.89033574,162.821975253
 01/01  22:00:00,151.85118912299998,140.67834016700002
 01/01  23:00:00,94.6458771412,1.77125
 01/01  24:00:00,128.154810816,2.9155429521900005
 01/02  01:00:00,100.69639639200001,2.355
 01/02  02:00:00,92.2179560401,2.355
 01/02  03:00:00,90.70174318379999,2.355
 01/02  04:00:00,89.0787504959,3.49924265625
 01/02  05:00:00,94.20049537850001,2.355
 01/02  06:00:00,92.8548977284,2.355
 01/02  07:00:00,143.409123317,291.561947523
 01/02  08:00:00,150.949000705,282.19476111299997
 01/02  09:00:00,216.449224755,229.54772611099997
 01/02  10:00:00,247.847062608,160.236922293
 01/02  11:00:00,249.55976401400002,95.0782810651
 01/02  12:00:00,289.429146133,36.1355917482
 01/02  13:00:00,281.26562740599996,12.4404232766
 01/02  14:00:00,282.820801835,11.6729065527
 01/02  15:00:00,284.686355918,11.672573928499999
 01/02  16:00:00,283.442391623,11.672506042
 01/02  17:00:00,281.63702746,11.672508768399998
 01/02  18:00:00,277.36964016400003,18.2783926462
 01/02  19:00:00,271.726524147,43.584803223
 01/02  20:00:00,257.532683639,59.0051978692
 01/02  21:00:00,223.398531264,83.52817009600001
 01/02  22:00:00,160.848238839,48.4967793448
 01/02  23:00:00,106.84446383,3.49939609324
 01/02  24:00:00,138.345240814,2.355
 01/03  01:00:00,113.10547592100001,2.355
 01/03  02:00:00,104.46896876,3.4992534476099997
 01/03  03:00:00,103.61042906799999,2.355
 01/03  04:00:00,103.416315845,2.355
 01/03  05:00:00,127.840066583,2.355
 01/03  06:00:00,127.593548002,3.4992757022900003
 01/03  07:00:00,179.444568996,126.703622902
 01/03  08:00:00,185.428765642,137.505075062
 01/03  09:00:00,243.49018605400002,107.06148905
 01/03  10:00:00,277.376982325,68.4738935859
 01/03  11:00:00,276.311065166,38.7160325326
 01/03  12:00:00,304.103613586,13.2352452893
 01/03  13:00:00,294.934739226,11.6728292602
 01/03  14:00:00,296.365463684,12.817956235899999
 01/03  15:00:00,298.31215568,11.6725675201
 01/03  16:00:00,304.447378785,11.6724621526
 01/03  17:00:00,303.677445128,11.6724736041
 01/03  18:00:00,310.42803147,11.990471857100001
 01/03  19:00:00,309.29235619900004,9.36
 01/03  20:00:00,287.052599291,10.504896540299999
 01/03  21:00:00,254.48417090200002,10.0038730636
 01/03  22:00:00,178.594521154,5.9782350095700005
 01/03  23:00:00,122.660043573,2.355
