Date/Time,Electricity:Facility [kW](Hourly),Gas:Facility [kW](Hourly)
 01/02  01:00:00,81.6447081654,96.41533253889999
 01/02  02:00:00,80.2175114743,81.3554518157
 01/02  03:00:00,94.626151278,101.442236219
 01/02  04:00:00,83.6929366988,81.8866700429
 01/02  05:00:00,122.649851508,113.935408174
 01/02  06:00:00,152.952127618,182.303802754
 01/02  07:00:00,209.127484192,147.390214956
 01/02  08:00:00,236.535085678,127.733575105
 01/02  09:00:00,237.916615877,121.381402972
 01/02  10:00:00,248.936115261,126.66210349299999
 01/02  11:00:00,249.264945061,115.547016468
 01/02  12:00:00,249.27133899400002,121.85991841
 01/02  13:00:00,223.21956094400002,112.34647262200001
 01/02  14:00:00,222.55813062200002,112.00747071299999
 01/02  15:00:00,218.722819452,120.507920842
 01/02  16:00:00,216.976640581,111.726645025
 01/02  17:00:00,216.14447315900003,120.24293142399999
 01/02  18:00:00,223.545398745,111.73739571799999
 01/02  19:00:00,136.032257382,83.9981406303
 01/02  20:00:00,141.403464155,89.2527398592
 01/02  21:00:00,114.17092999799999,102.38807223200001
 01/02  22:00:00,95.6651714299,94.54535950450001
 01/02  23:00:00,67.0439870655,78.6325578829
 01/02  24:00:00,85.7465754696,100.752354129
 01/03  01:00:00,73.6785458456,82.2304251269
 01/03  02:00:00,89.65506137540001,102.871110211
 01/03  03:00:00,82.0098781229,83.6740145617
 01/03  04:00:00,95.71895266879999,105.205828791
 01/03  05:00:00,114.589739094,118.41617209200001
 01/03  06:00:00,150.557018384,187.93388146900003
 01/03  07:00:00,190.597003964,157.129918356
 01/03  08:00:00,210.46948886099997,135.8128983
 01/03  09:00:00,208.90523089299998,129.119272629
 01/03  10:00:00,218.96032044900002,134.322073342
 01/03  11:00:00,217.365205963,123.317938204
 01/03  12:00:00,216.991078631,129.819119796
 01/03  13:00:00,204.51802292,119.58039483799999
 01/03  14:00:00,216.59482836400002,126.49796926100001
 01/03  15:00:00,216.72461476700002,116.292299485
 01/03  16:00:00,216.43323803099997,119.46727056200001
 01/03  17:00:00,216.32181094799998,119.179396629
 01/03  18:00:00,225.411620721,114.356209443
 01/03  19:00:00,138.258110109,86.4017204865
 01/03  20:00:00,142.63682593299998,91.3451397435
 01/03  21:00:00,117.583026143,112.641766481
 01/03  22:00:00,100.755592235,89.1854733499
 01/03  23:00:00,69.2020912581,79.2632417213
 01/03  24:00:00,86.0779286115,101.604875901
 01/04  01:00:00,85.683771995,81.7744529288
 01/04  02:00:00,92.27601291719999,103.286664679
 01/04  03:00:00,88.0169510424,83.7578463164
 01/04  04:00:00,95.2539424002,105.308595425
 01/04  05:00:00,123.90836540299999,119.737063098
 01/04  06:00:00,150.60738382899999,190.27545064400002
 01/04  07:00:00,199.27328174,158.129983426
 01/04  08:00:00,216.950132675,137.175278843
 01/04  09:00:00,215.058023862,130.85760201
 01/04  10:00:00,222.764986439,135.98201771200002
 01/04  11:00:00,219.527277646,124.721809362
 01/04  12:00:00,218.56058608900003,129.483375196
 01/04  13:00:00,207.116854198,122.05140276700001
 01/04  14:00:00,217.120765145,127.672023395
 01/04  15:00:00,216.692521863,117.68635838200001
 01/04  16:00:00,217.647697432,125.079849877
 01/04  17:00:00,220.048959892,115.52421691
 01/04  18:00:00,230.801180834,114.99718065
 01/04  19:00:00,143.793455593,87.26060234239999
 01/04  20:00:00,145.655324509,100.754402767
 01/04  21:00:00,119.88065797899999,104.96078337899999
 01/04  22:00:00,105.065590682,90.4961520822
 01/04  23:00:00,79.8858650279,80.2825348772
 01/04  24:00:00,99.6885913948,102.426018974
 01/05  01:00:00,89.07500903540002,83.2132039174
 01/05  02:00:00,105.892632656,105.42963360700001
 01/05  03:00:00,92.60929967870001,86.4030208842
 01/05  04:00:00,109.555489063,108.99780762
 01/05  05:00:00,129.155761339,121.81240880700001
 01/05  06:00:00,173.165960172,190.97374192700002
 01/05  07:00:00,214.864703045,173.75498360900002
 01/05  08:00:00,233.376798804,157.04802778
 01/05  09:00:00,233.671109789,164.824098437
 01/05  10:00:00,246.24118635,156.49956839799998
 01/05  11:00:00,245.94381169,155.671347055
 01/05  12:00:00,244.649460066,164.031402447
 01/05  13:00:00,233.09207772099998,155.605299015
 01/05  14:00:00,244.14365533,162.26167696
 01/05  15:00:00,243.270179199,150.96755956299998
 01/05  16:00:00,243.01545472900003,157.53796216700002
 01/05  17:00:00,244.108590285,147.891662836
 01/05  18:00:00,253.925764811,148.2865341
 01/05  19:00:00,161.389869102,93.3109347832
 01/05  20:00:00,166.295847093,103.83307840100001
 01/05  21:00:00,152.282834282,107.94639003399999
 01/05  22:00:00,133.52315836399998,93.71954606950001
 01/05  23:00:00,104.27909083700001,82.6872648753
 01/05  24:00:00,125.23628786399999,106.119485306
 01/06  01:00:00,107.86606140399999,86.49702075809999
 01/06  02:00:00,127.857964561,108.951022514
 01/06  03:00:00,109.161185136,88.44470934540001
 01/06  04:00:00,130.052650451,111.036131026
 01/06  05:00:00,149.131090296,127.065903974
 01/06  06:00:00,199.74121539799998,195.387986843
 01/06  07:00:00,246.82661218,197.772845447
 01/06  08:00:00,261.83320178,182.10440434900002
 01/06  09:00:00,255.89473265900003,183.515769965
 01/06  10:00:00,260.84929401799997,170.317048978
 01/06  11:00:00,251.71089634900002,173.45103538900003
 01/06  12:00:00,246.28997781400003,157.492655631
 01/06  13:00:00,230.765627411,149.10552492899998
 01/06  14:00:00,238.000310562,152.67016089
 01/06  15:00:00,236.34535729200002,136.89415385799998
 01/06  16:00:00,234.79378525200002,138.773294765
 01/06  17:00:00,233.746339019,127.261028019
 01/06  18:00:00,245.030853568,130.065539642
 01/06  19:00:00,161.13760153,95.6614721249
 01/06  20:00:00,160.019323562,91.4900587659
 01/06  21:00:00,139.31202512,104.94522496200001
 01/06  22:00:00,125.17373560600001,90.6205613424
 01/06  23:00:00,97.30412537040002,80.46631895029999
 01/06  24:00:00,116.24379396200001,103.218259567
 01/07  01:00:00,100.587868246,84.0743337737
 01/07  02:00:00,118.16314576100001,106.02793209200001
 01/07  03:00:00,101.480315545,85.9623875531
 01/07  04:00:00,119.265477242,107.946767705
 01/07  05:00:00,123.51824949,127.037488305
 01/07  06:00:00,129.104792441,128.25136065700002
 01/07  07:00:00,149.906341946,137.374166673
 01/07  08:00:00,225.53118644,192.914392946
 01/07  09:00:00,206.22447746900002,186.65545342099998
 01/07  10:00:00,219.386968755,179.970729216
 01/07  11:00:00,211.123187013,159.90820018600002
 01/07  12:00:00,204.262590737,151.468656396
 01/07  13:00:00,189.04349876900002,142.663015949
 01/07  14:00:00,187.116380217,138.703924339
 01/07  15:00:00,188.71160072799998,150.73752075299998
 01/07  16:00:00,145.588777768,90.8185442989
 01/07  17:00:00,148.520852145,94.125868446
 01/07  18:00:00,148.25662044700002,102.000652857
 01/07  19:00:00,111.810446589,107.58039539299999
 01/07  20:00:00,119.372345791,111.47964292
 01/07  21:00:00,116.02112923700001,119.974161772
 01/07  22:00:00,108.52557760299999,101.270220165
 01/07  23:00:00,97.24139974040001,87.4056074242
 01/07  24:00:00,115.47995206799999,109.93387504799999
 01/08  01:00:00,98.7503840999,89.79048050610001
 01/08  02:00:00,117.972471128,113.04908786
 01/08  03:00:00,101.6660109,91.5330503719
 01/08  04:00:00,121.474228901,114.70359654
 01/08  05:00:00,104.379597374,92.6735323285
 01/08  06:00:00,124.731979862,116.022779913
 01/08  07:00:00,106.793948539,93.7256755784
 01/08  08:00:00,122.035189642,117.120361769
 01/08  09:00:00,116.251793346,90.8128359703
 01/08  10:00:00,128.965347218,110.91035745
 01/08  11:00:00,109.037656426,91.1072617615
 01/08  12:00:00,123.98791476299999,104.197499991
 01/08  13:00:00,105.853299134,83.7104412298
 01/08  14:00:00,119.68336308200001,101.289695065
 01/08  15:00:00,103.632706654,81.1174563786
 01/08  16:00:00,115.578558986,98.8291177589
 01/08  17:00:00,83.3422347855,81.5690813129
 01/08  18:00:00,98.2900171948,107.348758928
 01/08  19:00:00,90.1168672902,89.55280197889999
 01/08  20:00:00,106.29420507399999,112.513029443
 01/08  21:00:00,91.99152621559999,91.4339753276
 01/08  22:00:00,106.871216781,114.205681519
 01/08  23:00:00,91.1422934531,92.5597591585
 01/08  24:00:00,106.646123658,115.40132120700001
 01/09  01:00:00,92.79035068120001,92.28075143870001
 01/09  02:00:00,106.83708108299999,114.24114871399999
 01/09  03:00:00,91.3342044885,92.2081346652
 01/09  04:00:00,106.27776240700001,114.512299967
 01/09  05:00:00,120.99776036799999,130.557173482
 01/09  06:00:00,175.403441225,200.792892553
 01/09  07:00:00,211.60417083099998,165.921206222
 01/09  08:00:00,226.467915982,143.941954651
 01/09  09:00:00,222.07019238900003,143.633951152
 01/09  10:00:00,228.71051463599997,127.858673609
 01/09  11:00:00,228.646154749,130.028752989
 01/09  12:00:00,231.635724096,116.037210251
 01/09  13:00:00,222.46330796799998,120.29306549399999
 01/09  14:00:00,236.181372778,107.872431711
 01/09  15:00:00,235.99805867,104.912884713
 01/09  16:00:00,235.034403132,111.58676502
 01/09  17:00:00,232.137391208,102.967372405
 01/09  18:00:00,236.978426479,114.278579546
 01/09  19:00:00,145.076004813,79.0520818065
 01/09  20:00:00,144.216567875,85.65725417520001
 01/09  21:00:00,116.044440565,100.16376473
 01/09  22:00:00,85.7995470866,71.9135574494
 01/09  23:00:00,77.0930867592,95.91902710069999
 01/09  24:00:00,68.5372353077,79.5990665918
 01/10  01:00:00,76.03975011840001,100.65143726
 01/10  02:00:00,68.2441222944,81.8669595155
 01/10  03:00:00,76.8408847383,102.863183959
 01/10  04:00:00,75.9243360844,82.9869152052
