Date/Time,Electricity:Facility [kW](Hourly),Gas:Facility [kW](Hourly)
 01/01  01:00:00,13.6175772139,55.0925006725
 01/01  02:00:00,9.467067366410001,3.0211
 01/01  03:00:00,9.488392899239999,3.59318015453
 01/01  04:00:00,9.50256155395,3.0211
 01/01  05:00:00,9.653893821699999,3.59318604509
 01/01  06:00:00,13.7664741777,57.273109679099996
 01/01  07:00:00,28.242348684,61.674988352700005
 01/01  08:00:00,26.929464728499998,66.9911382289
 01/01  09:00:00,20.6619213571,62.1924592396
 01/01  10:00:00,20.670830897000002,61.713398852299996
 01/01  11:00:00,25.6684318227,75.8921460558
 01/01  12:00:00,26.8324444875,76.0908888539
 01/01  13:00:00,25.898358381100003,65.4059435073
 01/01  14:00:00,25.6960422788,57.296042275
 01/01  15:00:00,20.6998762318,46.194844552
 01/01  16:00:00,20.69106081,43.48691825229999
 01/01  17:00:00,22.4983110721,49.3394672812
 01/01  18:00:00,28.131651403499998,55.385832621800006
 01/01  19:00:00,28.1368483358,57.3421470587
 01/01  20:00:00,28.2793818381,59.1627067129
 01/01  21:00:00,23.262081925900002,58.0509277642
 01/01  22:00:00,23.194219723699998,59.166206083599995
 01/01  23:00:00,23.0893793596,58.4333730459
 01/01  24:00:00,24.2916465053,44.896386637700004
 01/02  01:00:00,13.8155569375,52.8494211139
 01/02  02:00:00,9.467359344910001,3.0211
 01/02  03:00:00,9.48820710593,3.59317195893
 01/02  04:00:00,9.501393701489999,3.0211
 01/02  05:00:00,9.65177586418,3.5931778625
 01/02  06:00:00,13.7655682369,60.5798863368
 01/02  07:00:00,28.2409579845,65.06830286
 01/02  08:00:00,26.9273506886,72.139925009
 01/02  09:00:00,20.6644250176,65.0694457626
 01/02  10:00:00,20.6779462433,62.2376319921
 01/02  11:00:00,25.6735025689,72.9185221012
 01/02  12:00:00,26.835661613200003,75.14853931729999
 01/02  13:00:00,25.9054634946,63.3452856658
 01/02  14:00:00,25.70731419,55.855678158100005
 01/02  15:00:00,20.7060725208,46.6931943894
 01/02  16:00:00,20.6905629399,48.509329833900004
 01/02  17:00:00,22.5066657675,54.803079760699994
 01/02  18:00:00,28.1475051235,57.2243862295
 01/02  19:00:00,28.1534843459,58.3798596031
 01/02  20:00:00,28.2975983896,58.479295450600006
 01/02  21:00:00,23.280447934,55.838710444200004
 01/02  22:00:00,23.212093185900002,54.4217317778
 01/02  23:00:00,23.107789661199998,52.6168319816
 01/02  24:00:00,24.3072957404,38.1199311787
 01/03  01:00:00,13.8286846728,41.003876296
 01/03  02:00:00,9.524927494289999,3.0211
 01/03  03:00:00,9.570796484299999,3.5931718240800006
 01/03  04:00:00,9.5843152591,3.0211
 01/03  05:00:00,10.2430142936,3.0211
 01/03  06:00:00,14.3383451648,33.759386006599996
 01/03  07:00:00,28.52901202,37.209070330500005
 01/03  08:00:00,26.9905148235,44.728083676400004
 01/03  09:00:00,20.7277539848,39.2549844714
 01/03  10:00:00,20.7514205423,36.1570479334
 01/03  11:00:00,25.7549318096,49.155143493100006
 01/03  12:00:00,26.886298018,55.1817803522
 01/03  13:00:00,25.983693642800002,46.5318848597
 01/03  14:00:00,25.786086292100002,41.9877481143
 01/03  15:00:00,20.783655390899998,33.9349619225
 01/03  16:00:00,20.758351743800002,35.709310313
 01/03  17:00:00,22.561701110999998,41.3743218734
 01/03  18:00:00,28.1948350013,44.9227930274
 01/03  19:00:00,28.1961302065,46.962431947700004
 01/03  20:00:00,28.1931753578,48.2238295325
 01/03  21:00:00,23.1766634856,48.1645927924
 01/03  22:00:00,23.1319102187,47.4054460857
 01/03  23:00:00,23.1178771521,47.940729606400005
 01/03  24:00:00,24.3099104938,36.6786184416
 01/04  01:00:00,13.823621748299999,43.6056124621
 01/04  02:00:00,9.48797654966,3.0211
 01/04  03:00:00,9.51138474149,3.5931563782
 01/04  04:00:00,9.52372537762,3.0211
 01/04  05:00:00,9.673751961839999,3.0211
 01/04  06:00:00,13.7731883338,52.1344338092
 01/04  07:00:00,28.2470199742,55.4561849293
 01/04  08:00:00,26.9375520939,61.0060933572
 01/04  09:00:00,20.675877190599998,52.347079096899996
 01/04  10:00:00,20.6940227684,47.2787971271
 01/04  11:00:00,25.7006405662,58.2034753966
 01/04  12:00:00,26.8543370915,62.6121315322
 01/04  13:00:00,25.9271522216,54.22087022189999
 01/04  14:00:00,25.7257325138,49.930960532700006
 01/04  15:00:00,20.724327814200002,41.682200091300004
 01/04  16:00:00,20.7010648045,43.458120666000006
 01/04  17:00:00,22.504432157800004,50.869318910100006
 01/04  18:00:00,28.1451112595,56.7820610136
 01/04  19:00:00,28.150190725399998,58.301226584700004
 01/04  20:00:00,28.292244253499998,60.7498863696
 01/04  21:00:00,23.2741425448,58.999986646
 01/04  22:00:00,23.2054870828,59.2610120167
 01/04  23:00:00,23.099838760500003,57.9326527858
 01/04  24:00:00,24.2982410894,44.2678249679
 01/05  01:00:00,13.8166646363,49.8489224473
 01/05  02:00:00,9.47705447127,3.0211
 01/05  03:00:00,9.50074526883,3.5931484614199998
 01/05  04:00:00,9.51386496376,3.0211
 01/05  05:00:00,9.66449023435,3.59315440239
 01/05  06:00:00,13.7703570422,52.9680062218
 01/05  07:00:00,28.246923592199998,56.5863842134
 01/05  08:00:00,26.9373611427,63.8626582459
 01/05  09:00:00,20.673080142899998,55.776313988199995
 01/05  10:00:00,20.684508081500002,53.7400544044
 01/05  11:00:00,25.6810340306,65.561060948
 01/05  12:00:00,26.8414731644,69.0123184782
 01/05  13:00:00,25.911813890100003,60.836420448199995
 01/05  14:00:00,25.713700889899997,55.174048800200005
 01/05  15:00:00,20.7147677137,46.944943987399995
 01/05  16:00:00,20.6961250899,48.3134509003
 01/05  17:00:00,22.507648195599998,52.6131437615
 01/05  18:00:00,28.1475597754,54.5797281214
 01/05  19:00:00,28.153073049499998,56.271816073000004
 01/05  20:00:00,28.298899664,56.803208886899995
 01/05  21:00:00,23.2836235122,53.5584595328
 01/05  22:00:00,23.2157155927,53.9065445709
 01/05  23:00:00,23.109431327800003,52.439578674799996
 01/05  24:00:00,24.3066552426,39.3015631371
 01/06  01:00:00,13.8244146512,45.077153538299996
 01/06  02:00:00,9.48371551979,3.5931733587599997
 01/06  03:00:00,9.50690460279,3.0211
 01/06  04:00:00,9.51921149046,3.5931792601
 01/06  05:00:00,10.1847331697,3.0211
 01/06  06:00:00,14.2823966356,58.3222942371
 01/06  07:00:00,28.4703001773,64.3711289474
 01/06  08:00:00,26.9288448967,73.6378809839
 01/06  09:00:00,20.661430504000002,67.0687710305
 01/06  10:00:00,20.6743843378,63.1044229209
 01/06  11:00:00,25.6708034766,75.4619153165
 01/06  12:00:00,26.8311675773,77.8026918338
 01/06  13:00:00,25.8972014662,69.2004590183
 01/06  14:00:00,25.6969298898,63.28158364229999
 01/06  15:00:00,20.6934245317,54.652195117
 01/06  16:00:00,20.6754571946,55.8219516468
 01/06  17:00:00,22.491695045900002,60.9842200518
 01/06  18:00:00,28.130509135700002,64.1479975453
 01/06  19:00:00,28.1354584975,66.137394999
 01/06  20:00:00,28.1362454318,66.8167655691
 01/06  21:00:00,23.128705378299998,65.2630742766
 01/06  22:00:00,23.093403948699997,64.7578994578
 01/06  23:00:00,23.092324538099998,62.4792503197
 01/06  24:00:00,24.292605652800003,48.339474126300004
 01/07  01:00:00,13.8158893489,54.5790588022
 01/07  02:00:00,9.46980159885,3.0211
 01/07  03:00:00,9.49161817884,3.59317554195
 01/07  04:00:00,9.50546363011,3.0211
 01/07  05:00:00,9.65673522397,3.59318143982
 01/07  06:00:00,13.7677143869,57.0599737887
 01/07  07:00:00,28.2453684579,60.8359277913
 01/07  08:00:00,26.935534986500002,64.2403310451
 01/07  09:00:00,20.671952981900002,56.029051315
 01/07  10:00:00,20.6873872825,55.8172655646
 01/07  11:00:00,25.6872841711,66.3622043047
 01/07  12:00:00,26.8478843767,68.9786873011
 01/07  13:00:00,25.924755668099998,60.4995371674
 01/07  14:00:00,25.7310928017,54.6628890016
 01/07  15:00:00,20.7343263125,43.9208637271
 01/07  16:00:00,20.7170507684,43.6474080013
 01/07  17:00:00,22.520979496,49.306968991800005
 01/07  18:00:00,28.1485691058,55.133738092200005
 01/07  19:00:00,28.1516394742,56.5315755596
 01/07  20:00:00,28.2943220828,58.4751266275
 01/07  21:00:00,23.276103570900002,57.9241731992
 01/07  22:00:00,23.206289447600003,58.231075397
 01/07  23:00:00,23.1010331054,56.3772452118
 01/07  24:00:00,24.2993027565,44.3291243511
 01/08  01:00:00,13.8167981421,51.59043811270001
 01/08  02:00:00,9.47643858673,3.0211
 01/08  03:00:00,9.49912955298,3.5931740684800006
 01/08  04:00:00,9.51194108334,3.0211
 01/08  05:00:00,9.662069095349999,3.0211
 01/08  06:00:00,13.769170143599998,58.8152046934
 01/08  07:00:00,28.2451032585,63.0945700562
 01/08  08:00:00,26.9342346988,67.0491825296
 01/08  09:00:00,20.6693043677,61.219343325699995
 01/08  10:00:00,20.680717012,58.37520625
 01/08  11:00:00,25.6793294614,72.9357854285
 01/08  12:00:00,26.8400343042,74.8793227343
 01/08  13:00:00,25.9072728849,65.8130532288
 01/08  14:00:00,25.706836719800002,59.709318395100006
 01/08  15:00:00,20.7047119075,48.8732624895
 01/08  16:00:00,20.688800238699997,48.135171443400004
 01/08  17:00:00,21.8715076223,53.8910892034
 01/08  18:00:00,28.140603859400002,59.7662869672
 01/08  19:00:00,28.143951706,60.7825268007
 01/08  20:00:00,28.287405956399997,62.2805397763
