Date/Time,Electricity:Facility [kW](Hourly),Gas:Facility [kW](Hourly)
 01/01  01:00:00,760.992757087,582.257773507
 01/01  02:00:00,724.891351132,598.246508447
 01/01  03:00:00,733.554741118,600.38060427
 01/01  04:00:00,750.963524808,603.366277316
 01/01  05:00:00,776.759622749,595.367299086
 01/01  06:00:00,794.711030824,604.180442227
 01/01  07:00:00,866.1724484189999,550.805230542
 01/01  08:00:00,882.888730471,552.7401831880001
 01/01  09:00:00,951.6441843810001,543.909081537
 01/01  10:00:00,944.726804264,514.503593905
 01/01  11:00:00,954.094758805,544.501588898
 01/01  12:00:00,958.8757988560001,532.460341596
 01/01  13:00:00,959.399408722,539.4480572780001
 01/01  14:00:00,951.926324065,523.4167072719999
 01/01  15:00:00,952.387768832,508.036283912
 01/01  16:00:00,952.4171227969999,522.99813236
 01/01  17:00:00,941.877109386,549.052002053
 01/01  18:00:00,892.807622822,569.796821275
 01/01  19:00:00,862.7189919210001,594.8696693219999
 01/01  20:00:00,855.3891467669999,571.465774376
 01/01  21:00:00,827.283726613,606.727077555
 01/01  22:00:00,828.097981705,588.488069043
 01/01  23:00:00,814.639872795,596.562230357
 01/01  24:00:00,816.9773999610001,586.345939047
 01/02  01:00:00,818.172117419,575.39324496
 01/02  02:00:00,819.166146445,579.768098005
 01/02  03:00:00,817.2162861060001,583.2084049690001
 01/02  04:00:00,816.0448373339999,584.783477746
 01/02  05:00:00,903.05675035,547.241249759
 01/02  06:00:00,902.482331002,1180.64377749
 01/02  07:00:00,1128.25572818,731.945514862
 01/02  08:00:00,1228.1899376,664.292287267
 01/02  09:00:00,1251.30892581,649.4932070680001
 01/02  10:00:00,1273.48260569,621.851133451
 01/02  11:00:00,1293.73431728,621.359006709
 01/02  12:00:00,1285.94825623,613.337015332
 01/02  13:00:00,1250.9328986,580.079554713
 01/02  14:00:00,1298.05556275,572.537810025
 01/02  15:00:00,1299.22475661,540.312903459
 01/02  16:00:00,1300.04029397,546.585397925
 01/02  17:00:00,1311.28386025,566.825907054
 01/02  18:00:00,1304.42562233,534.722681814
 01/02  19:00:00,1029.94525643,501.321365481
 01/02  20:00:00,1011.20696379,469.97772790199997
 01/02  21:00:00,865.3054865089999,513.476556079
 01/02  22:00:00,814.4716400089999,506.76348228300003
 01/02  23:00:00,735.501273165,513.238791523
 01/02  24:00:00,725.768264759,504.84834653900003
 01/03  01:00:00,714.371118554,500.321025954
 01/03  02:00:00,720.147692696,504.29646977
 01/03  03:00:00,725.08346378,507.91598062800006
 01/03  04:00:00,762.8528356910001,510.570832508
 01/03  05:00:00,875.7898453089999,487.05564359199997
 01/03  06:00:00,876.9449094830001,913.537363097
 01/03  07:00:00,1099.36242638,596.807438117
 01/03  08:00:00,1213.06893258,564.055655739
 01/03  09:00:00,1251.75056608,561.365903663
 01/03  10:00:00,1292.85496186,547.900654858
 01/03  11:00:00,1312.15412956,560.879960116
 01/03  12:00:00,1322.5605542,556.7567584330001
 01/03  13:00:00,1267.64104073,529.413545079
 01/03  14:00:00,1294.94470066,524.16745838
 01/03  15:00:00,1295.55226541,500.112992305
 01/03  16:00:00,1296.54250712,508.645218085
 01/03  17:00:00,1313.91798409,534.118994927
 01/03  18:00:00,1314.39316276,508.06117310699995
 01/03  19:00:00,1045.14822692,492.13123897099996
 01/03  20:00:00,1029.14772913,461.96135742300004
 01/03  21:00:00,882.822756905,511.076357471
 01/03  22:00:00,839.966264412,495.04581820199996
 01/03  23:00:00,775.409923443,498.403630326
 01/03  24:00:00,782.9997430860001,479.991222815
 01/04  01:00:00,781.423931772,483.349803277
 01/04  02:00:00,786.7203291489999,487.59224832
 01/04  03:00:00,770.17897806,493.53370991
 01/04  04:00:00,765.643220365,498.566030151
 01/04  05:00:00,854.3084885410001,477.490806769
 01/04  06:00:00,850.525708327,828.645842339
 01/04  07:00:00,1092.507398,562.526282543
 01/04  08:00:00,1219.4439446,537.127717775
 01/04  09:00:00,1260.14315708,534.331285911
 01/04  10:00:00,1288.11918589,524.339707912
 01/04  11:00:00,1296.43326737,539.105093218
 01/04  12:00:00,1306.39918395,535.536348093
 01/04  13:00:00,1267.36608012,516.956136874
 01/04  14:00:00,1288.58604834,502.023094911
 01/04  15:00:00,1294.2621352,488.93062611
 01/04  16:00:00,1291.64355702,499.589729974
 01/04  17:00:00,1291.25426688,512.552125782
 01/04  18:00:00,1296.40047151,501.834948585
 01/04  19:00:00,1030.4841731000001,483.924668444
 01/04  20:00:00,999.6479442960001,461.245397899
 01/04  21:00:00,855.698766908,510.243904589
 01/04  22:00:00,855.7940765230001,491.36311869900004
 01/04  23:00:00,804.3479204460001,494.774035772
 01/04  24:00:00,806.1480570939999,486.576165056
 01/05  01:00:00,797.6276715710001,482.59477737300006
 01/05  02:00:00,791.359703159,487.37216029300004
 01/05  03:00:00,782.612612946,492.48743854199995
 01/05  04:00:00,783.784411833,497.361731332
 01/05  05:00:00,862.247171811,477.54977793800003
 01/05  06:00:00,828.389313638,805.7851389260001
 01/05  07:00:00,1046.95835627,562.792859525
 01/05  08:00:00,1145.36153035,547.9407282999999
 01/05  09:00:00,1173.9991195,532.273453436
 01/05  10:00:00,1211.32294201,502.583078559
 01/05  11:00:00,1224.83397191,532.866648385
 01/05  12:00:00,1218.07216828,500.454114354
 01/05  13:00:00,1178.12245009,490.486844174
 01/05  14:00:00,1237.73295395,463.48593241
 01/05  15:00:00,1235.3544960000002,429.92849724900003
 01/05  16:00:00,1237.5375900999998,460.28976024300005
 01/05  17:00:00,1258.31739579,491.709063505
 01/05  18:00:00,1258.87342972,484.59876847
 01/05  19:00:00,984.1529526339999,474.37413756
 01/05  20:00:00,966.5378842069999,459.55556998699996
 01/05  21:00:00,829.417578078,490.67334625
 01/05  22:00:00,779.004368173,489.133398278
 01/05  23:00:00,692.487732224,516.397096585
 01/05  24:00:00,672.947401405,536.601833875
 01/06  01:00:00,654.141979748,551.195341387
 01/06  02:00:00,632.4986997780001,598.061572085
 01/06  03:00:00,612.219147301,640.678904796
 01/06  04:00:00,605.030006987,669.299148041
 01/06  05:00:00,688.800139513,670.261395342
 01/06  06:00:00,687.340641777,954.468849286
 01/06  07:00:00,909.464334538,689.53459588
 01/06  08:00:00,1034.03266037,623.333468715
 01/06  09:00:00,1092.29696849,575.884992929
 01/06  10:00:00,1153.01537509,514.5854886459999
 01/06  11:00:00,1193.5163117999998,499.31304983300004
 01/06  12:00:00,1216.15592205,489.60048003300005
 01/06  13:00:00,1179.88315132,474.91879912800005
 01/06  14:00:00,1213.36785842,463.578036519
 01/06  15:00:00,1209.42926796,421.934772825
 01/06  16:00:00,1196.27934982,446.956678072
 01/06  17:00:00,1203.12843968,493.327668262
 01/06  18:00:00,1204.73131305,473.994796761
 01/06  19:00:00,936.10271432,491.29740710000004
 01/06  20:00:00,932.300238096,459.187624809
 01/06  21:00:00,803.460139704,508.331815352
 01/06  22:00:00,769.4872691730001,491.599329045
 01/06  23:00:00,708.379155058,496.53741510599997
