Date/Time,Electricity:Facility [kW](Hourly),Gas:Facility [kW](Hourly)
 01/01  01:00:00,40.6184169152,40.3029192965
 01/01  02:00:00,41.9141167844,46.602043799700006
 01/01  03:00:00,39.1527322742,47.3503549068
 01/01  04:00:00,40.365458522,42.2380882889
 01/01  05:00:00,43.000816561899995,49.190912177
 01/01  06:00:00,48.331624548,50.4918611067
 01/01  07:00:00,67.2304360787,56.050554194600004
 01/01  08:00:00,79.56224502020001,54.0595186029
 01/01  09:00:00,95.3982811183,67.8301416046
 01/01  10:00:00,79.9309738371,74.8849811301
 01/01  11:00:00,56.214545541599996,71.7251536096
 01/01  12:00:00,53.3721169227,62.7141785499
 01/01  13:00:00,52.7047728561,59.950296745600006
 01/01  14:00:00,51.7116734716,55.0362795282
 01/01  15:00:00,50.873714523100006,49.7197296798
 01/01  16:00:00,49.933619873999994,52.9040594782
 01/01  17:00:00,57.8248453005,39.2534458106
 01/01  18:00:00,70.3155805328,27.092074107600002
 01/01  19:00:00,84.9009331643,32.7475917758
 01/01  20:00:00,85.7518892944,41.468529156500004
 01/01  21:00:00,91.9062062547,43.587631771800005
 01/01  22:00:00,89.5073353617,40.5454265647
 01/01  23:00:00,67.1077858056,54.2116642171
 01/01  24:00:00,45.6364521457,44.7804112779
 01/02  01:00:00,39.6561351947,47.5740504474
 01/02  02:00:00,40.123240695300005,49.07633299770001
 01/02  03:00:00,40.1934869421,44.786272072399996
 01/02  04:00:00,41.569493989899996,51.562649649899996
 01/02  05:00:00,43.6234184114,50.634917826800006
 01/02  06:00:00,51.2562268588,49.7530865696
 01/02  07:00:00,77.1971327011,60.557062423000005
 01/02  08:00:00,92.309553711,57.9877153308
 01/02  09:00:00,77.3224908866,60.0798210321
 01/02  10:00:00,71.91307663180001,73.3891370356
 01/02  11:00:00,54.7217306534,65.0022423865
 01/02  12:00:00,53.156986543,62.594271463999995
 01/02  13:00:00,51.707400274099996,59.1261631345
 01/02  14:00:00,50.5657562022,50.0911687454
 01/02  15:00:00,49.7949890624,54.9417031354
 01/02  16:00:00,49.136255006899994,56.55033954899999
 01/02  17:00:00,57.2045324673,40.1505591869
 01/02  18:00:00,73.0287293362,24.748487744600002
 01/02  19:00:00,79.9601689822,37.1788468181
 01/02  20:00:00,82.6626598346,39.7324728161
 01/02  21:00:00,91.6154510676,41.175418402199995
 01/02  22:00:00,86.3074236131,41.889481303800004
 01/02  23:00:00,61.559144396899995,43.2736552243
 01/02  24:00:00,42.115622038400005,38.0329440398
 01/03  01:00:00,38.495420649699994,38.7428028966
 01/03  02:00:00,38.0555042976,38.9450566823
 01/03  03:00:00,36.9153288138,33.554677011799996
 01/03  04:00:00,37.4065334012,39.7174166155
 01/03  05:00:00,39.4248846442,40.2719540356
 01/03  06:00:00,46.616417748,38.6107849069
 01/03  07:00:00,73.08183026,48.408179284
 01/03  08:00:00,90.5914066396,46.8455737876
 01/03  09:00:00,72.5059115085,52.4724124467
 01/03  10:00:00,68.0666815153,69.4582443241
 01/03  11:00:00,52.0602356545,64.0220090232
 01/03  12:00:00,51.7692603651,63.638373576000006
 01/03  13:00:00,51.1547470278,56.293024305900005
 01/03  14:00:00,50.57448411439999,60.139851469300005
 01/03  15:00:00,49.9075497183,59.2541567878
 01/03  16:00:00,49.1541130196,60.3813620662
 01/03  17:00:00,56.99544944149999,42.6905928337
 01/03  18:00:00,72.6804414522,25.0384902742
 01/03  19:00:00,79.7598538237,34.344237483
 01/03  20:00:00,82.57686301220001,35.7444789777
 01/03  21:00:00,91.61482594389999,31.9836238163
 01/03  22:00:00,86.2712889882,44.0057199424
 01/03  23:00:00,61.239803814700004,39.165374152
 01/03  24:00:00,41.056465595300004,34.408078596399996
 01/04  01:00:00,36.4471890827,34.8702856835
 01/04  02:00:00,35.949446385,29.511932376300003
 01/04  03:00:00,35.0070902884,35.5564743482
 01/04  04:00:00,35.5795119496,35.8337746584
 01/04  05:00:00,37.5680056359,30.626421953
 01/04  06:00:00,44.9617306091,41.2100230494
 01/04  07:00:00,72.48867858220001,40.1695882805
 01/04  08:00:00,90.527818414,49.0865434741
 01/04  09:00:00,71.6204137672,49.1039806689
 01/04  10:00:00,66.7491414507,60.745751152
 01/04  11:00:00,50.7709080138,66.9352371999
 01/04  12:00:00,50.7387319641,54.632481443500005
 01/04  13:00:00,50.238197983,58.3075598924
 01/04  14:00:00,49.9724339499,56.791511142
 01/04  15:00:00,49.4592563168,56.1603295996
 01/04  16:00:00,48.749244438299996,57.2729251852
 01/04  17:00:00,54.6674062399,33.7569978174
 01/04  18:00:00,72.6626328903,27.3356762679
 01/04  19:00:00,79.9056398588,30.2459750514
 01/04  20:00:00,82.7725205313,31.550757454
 01/04  21:00:00,91.9221279443,27.756797231999997
 01/04  22:00:00,86.5773781519,39.7358564867
 01/04  23:00:00,61.2250912712,34.8712873667
 01/04  24:00:00,40.8025215737,30.0904383101
 01/05  01:00:00,35.7681508242,24.7864644003
 01/05  02:00:00,34.2787848726,30.904360950900003
 01/05  03:00:00,32.675253835599996,29.9744246365
 01/05  04:00:00,32.8110284659,22.382342702800003
 01/05  05:00:00,34.4858478665,26.956191668000002
 01/05  06:00:00,42.0168187526,32.7835368731
 01/05  07:00:00,72.5029316202,31.920543380300003
 01/05  08:00:00,90.6269592345,35.1603941908
 01/05  09:00:00,71.6702968929,46.7711453903
 01/05  10:00:00,66.8568640328,50.298166594399994
 01/05  11:00:00,48.5350240509,50.2792831887
 01/05  12:00:00,48.3136731951,51.0420283205
 01/05  13:00:00,48.51812846560001,48.955604164300006
 01/05  14:00:00,48.3455134515,48.2049709087
 01/05  15:00:00,48.2255984534,48.986196667799994
 01/05  16:00:00,47.9347781692,45.0850013952
 01/05  17:00:00,54.313570141599996,35.0572698682
 01/05  18:00:00,72.9577005728,26.7648944013
 01/05  19:00:00,80.244042531,30.2659611872
 01/05  20:00:00,83.303535706,23.3296103136
 01/05  21:00:00,92.558976858,30.0692577972
 01/05  22:00:00,87.3089863249,36.4584000105
 01/05  23:00:00,61.7988578557,26.4707526354
 01/05  24:00:00,40.9004904386,28.581415118800003
 01/06  01:00:00,35.7829027624,29.5032194114
 01/06  02:00:00,34.2163368919,31.1840342999
 01/06  03:00:00,32.3315402971,32.320481442399995
 01/06  04:00:00,32.3502408765,26.9173034113
 01/06  05:00:00,34.1263113989,32.9566324491
 01/06  06:00:00,41.7737942477,37.3184534075
 01/06  07:00:00,72.7579395151,36.7780748775
 01/06  08:00:00,90.6352677151,40.940103138000005
 01/06  09:00:00,71.8522431071,49.8431262172
 01/06  10:00:00,66.7696766101,58.8334851372
 01/06  11:00:00,48.387855414200004,56.3662799416
 01/06  12:00:00,48.2529549845,54.885461596000006
 01/06  13:00:00,48.4184110201,52.196964844499995
 01/06  14:00:00,48.566029377700005,50.6807121004
 01/06  15:00:00,48.2852460195,50.7580639151
 01/06  16:00:00,47.9381185078,46.0712850733
 01/06  17:00:00,54.3076454708,35.7394585781
 01/06  18:00:00,73.1058578334,19.384621155399998
 01/06  19:00:00,80.4014842376,34.11447809
 01/06  20:00:00,83.3374227159,23.416114775500002
 01/06  21:00:00,92.5893612683,30.5754036531
 01/06  22:00:00,87.3382290433,31.3401107773
 01/06  23:00:00,61.81963040310001,32.6948531807
 01/06  24:00:00,40.9130122388,28.0135448258
 01/07  01:00:00,37.0092865702,27.953068071799997
 01/07  02:00:00,37.0256851145,28.5744235334
 01/07  03:00:00,32.2812324963,30.4995865942
 01/07  04:00:00,32.266442862800005,25.8278870384
 01/07  05:00:00,33.8843109567,31.8486503665
 01/07  06:00:00,38.1758850244,31.3378911233
 01/07  07:00:00,58.54696327,36.4182851167
 01/07  08:00:00,72.2783778058,34.9730434344
 01/07  09:00:00,94.0502400949,53.290177054
 01/07  10:00:00,77.5182640447,64.1929249398
 01/07  11:00:00,52.111673203900004,64.3213028208
 01/07  12:00:00,49.4038350275,58.4993654218
 01/07  13:00:00,49.4917398893,58.3932498255
 01/07  14:00:00,49.6036200435,55.608886678500006
 01/07  15:00:00,49.496299588599996,54.8004563982
 01/07  16:00:00,49.0539351303,50.4011266372
 01/07  17:00:00,55.301480133000005,38.8390098347
 01/07  18:00:00,70.27417677380001,20.9149369598
 01/07  19:00:00,85.417290146,29.359258509
 01/07  20:00:00,86.3317022595,24.0843706816
 01/07  21:00:00,92.5939516769,30.9113277664
 01/07  22:00:00,90.5514173174,31.303462280700003
 01/07  23:00:00,67.4046120703,32.8370043608
 01/07  24:00:00,43.424805456899996,34.0545949591
 01/08  01:00:00,37.1975001852,22.4383450797
 01/08  02:00:00,37.1969981805,28.226068963400003
 01/08  03:00:00,32.450239722199996,28.5355991763
 01/08  04:00:00,32.4187484649,23.0677704799
 01/08  05:00:00,33.9996245714,29.0414823725
 01/08  06:00:00,38.134064623,28.5021485048
 01/08  07:00:00,58.6053355216,33.5630348682
 01/08  08:00:00,72.4620201974,32.045947602300004
 01/08  09:00:00,94.47242235729999,49.9000211861
 01/08  10:00:00,77.7767416139,62.8079630379
 01/08  11:00:00,52.2208066108,56.573648032799994
 01/08  12:00:00,49.87054416350001,50.4049298207
 01/08  13:00:00,50.101507524300004,49.910711445299995
 01/08  14:00:00,49.851859607,47.8121062218
 01/08  15:00:00,49.9193502051,47.051461722700004
 01/08  16:00:00,49.6203307012,47.898888717
 01/08  17:00:00,55.85438656189999,25.466309993000003
 01/08  18:00:00,70.8497523541,15.4347302425
 01/08  19:00:00,85.9576290942,24.506150641599998
 01/08  20:00:00,87.06282968709999,19.4500606851
 01/08  21:00:00,93.6416418278,26.549000128499998
 01/08  22:00:00,91.42900072209999,27.541086786100003
 01/08  23:00:00,67.93543614020001,28.843263560300002
 01/08  24:00:00,43.93634418600001,30.2612237602
 01/09  01:00:00,36.098756624800004,19.3495261475
 01/09  02:00:00,34.2442215472,25.990780462300002
 01/09  03:00:00,32.144585272,26.6262598463
 01/09  04:00:00,32.0747547603,21.1110858429
 01/09  05:00:00,33.6843093989,27.718213998000003
 01/09  06:00:00,41.4134477478,34.4136845151
 01/09  07:00:00,72.8286288296,34.3541033779
 01/09  08:00:00,89.20952323639999,44.5129762637
 01/09  09:00:00,71.940944644,44.937075238
 01/09  10:00:00,67.0751381612,54.827126002
 01/09  11:00:00,48.5700818118,60.0655708992
 01/09  12:00:00,48.671231515600006,47.008568705500004
 01/09  13:00:00,48.89917236229999,50.9891866508
 01/09  14:00:00,49.737166127600005,48.2748418957
 01/09  15:00:00,49.830828812200004,47.2236304063
 01/09  16:00:00,49.3772997265,48.6761566272
 01/09  17:00:00,55.4186058444,27.731662276999998
 01/09  18:00:00,74.0149196601,24.0053791405
 01/09  19:00:00,81.2431385228,28.706953295500004
 01/09  20:00:00,84.11137108310001,30.7941725173
 01/09  21:00:00,93.3548238285,28.5700539279
 01/09  22:00:00,87.958552093,42.1077745534
 01/09  23:00:00,62.2984455724,37.2280463552
 01/09  24:00:00,41.2416120012,32.7068036116
 01/10  01:00:00,35.8863628286,34.3339164757
 01/10  02:00:00,34.322935204299995,30.943956194400002
 01/10  03:00:00,32.524655972199994,37.2944519388
 01/10  04:00:00,32.7783506577,37.7539741219
 01/10  05:00:00,34.9455407918,33.2572901648
 01/10  06:00:00,42.7791548976,44.425803361199996
 01/10  07:00:00,72.9480328024,43.3013269881
 01/10  08:00:00,88.87285685209999,52.185693176099996
 01/10  09:00:00,72.1657704749,51.3786479547
 01/10  10:00:00,67.1798002396,61.903634987
 01/10  11:00:00,49.21388157649999,66.0707140565
 01/10  12:00:00,48.892276436,52.31269282069999
 01/10  13:00:00,48.6188402609,55.77200839819999
 01/10  14:00:00,48.543768697,54.7782399987
 01/10  15:00:00,48.3913893726,53.9576304449
 01/10  16:00:00,48.0324065811,54.7402025335
 01/10  17:00:00,54.3962007576,38.066344092399994
 01/10  18:00:00,73.1154221249,21.36339654
 01/10  19:00:00,80.3226349653,30.3180774885
 01/10  20:00:00,83.2773716549,31.0111986807
 01/10  21:00:00,92.541737063,26.8817344606
 01/10  22:00:00,87.32856425780001,38.9022906796
 01/10  23:00:00,61.8255436126,34.087828067800004
 01/10  24:00:00,41.0223645412,29.3792000448
 01/11  01:00:00,35.9213173085,29.8754714258
 01/11  02:00:00,34.308175675,24.5392283605
 01/11  03:00:00,32.3813596873,30.6166253414
 01/11  04:00:00,32.4262371206,30.713970808600003
 01/11  05:00:00,34.1933325495,25.4022266219
 01/11  06:00:00,41.8517096561,36.6950867663
 01/11  07:00:00,72.8000785504,35.6136441281
 01/11  08:00:00,88.92251943219999,44.813936077799994
 01/11  09:00:00,71.8432284579,45.421638046300004
 01/11  10:00:00,66.7817455564,57.707861856499996
 01/11  11:00:00,48.2968652229,61.5699063128
 01/11  12:00:00,48.123158842200006,56.3408430119
 01/11  13:00:00,48.2020997778,48.887820435200005
 01/11  14:00:00,48.3606375784,53.1986704875
 01/11  15:00:00,48.633529383100004,49.8266289072
 01/11  16:00:00,48.191549076099996,49.5627932247
 01/11  17:00:00,54.5483162507,32.118484349
 01/11  18:00:00,73.5568344994,15.050517448299999
 01/11  19:00:00,80.866984476,23.990479893000003
 01/11  20:00:00,83.7804409392,25.2532807524
 01/11  21:00:00,93.0745196584,27.290871585100003
 01/11  22:00:00,87.77481407639999,28.307903163600002
 01/11  23:00:00,62.1204140417,29.5073658058
 01/11  24:00:00,41.0970516637,24.6522053415
 01/12  01:00:00,35.6822675664,24.9638782448
 01/12  02:00:00,34.0107830706,20.2480757937
 01/12  03:00:00,32.099553801599995,26.1019951528
 01/12  04:00:00,32.076370476,27.386329736100002
 01/12  05:00:00,33.6807313158,29.064070584
 01/12  06:00:00,41.375552284899996,29.366428707199997
 01/12  07:00:00,72.5656328841,41.1065677219
 01/12  08:00:00,88.904032931,38.8165797711
 01/12  09:00:00,71.6837643758,45.0561991134
 01/12  10:00:00,66.61638866979999,62.0956793117
 01/12  11:00:00,48.241039619300004,56.618708161499995
 01/12  12:00:00,48.289850029700006,56.1788584686
 01/12  13:00:00,48.3173414222,54.3363505628
 01/12  14:00:00,48.2965615222,47.578433616000005
 01/12  15:00:00,48.232004169899994,53.130808153400004
 01/12  16:00:00,48.1626098983,53.5719545238
 01/12  17:00:00,54.3676585128,36.8576385362
 01/12  18:00:00,73.1146158451,20.982496168599997
 01/12  19:00:00,80.3383854187,30.6068083081
 01/12  20:00:00,83.2366054488,32.0905872498
 01/12  21:00:00,92.417221912,34.8105631661
 01/12  22:00:00,87.20219358530001,35.137639386
 01/12  23:00:00,61.757982677600005,35.8521758644
 01/12  24:00:00,41.0096863839,31.195402080700003
 01/13  01:00:00,35.9599666499,31.740131358400003
 01/13  02:00:00,34.3749879048,32.7552130533
 01/13  03:00:00,32.5301861448,28.412430834499997
 01/13  04:00:00,32.861270487,34.8849530871
 01/13  05:00:00,34.9273248329,35.1831304804
 01/13  06:00:00,42.6961833333,34.476231122
 01/13  07:00:00,72.8281567321,45.207714387399996
 01/13  08:00:00,88.7869267016,42.4886848234
 01/13  09:00:00,71.90007781850001,47.8336586899
 01/13  10:00:00,66.8521095588,64.3098063621
 01/13  11:00:00,48.5124697857,58.706668853900005
 01/13  12:00:00,48.413346775,58.041335852399996
 01/13  13:00:00,48.342644810799996,55.8252042375
 01/13  14:00:00,48.3770034474,54.1693800496
 01/13  15:00:00,48.2659579197,47.1126877502
 01/13  16:00:00,47.9694386021,53.568358529499996
 01/13  17:00:00,54.3605756065,35.7681770589
 01/13  18:00:00,73.236234633,17.9694585743
 01/13  19:00:00,80.5465808668,32.8990908212
 01/13  20:00:00,83.5036449634,21.911625771599997
 01/13  21:00:00,92.7419761147,29.8196573979
 01/13  22:00:00,87.4848935574,30.799845287600004
 01/13  23:00:00,61.889408574799994,32.334381762
 01/13  24:00:00,40.909485948400004,27.9666950321
 01/14  01:00:00,36.9776420461,28.482341251599998
 01/14  02:00:00,37.0153777306,28.332289111999998
 01/14  03:00:00,32.2547929597,28.3537698971
 01/14  04:00:00,32.2401059265,22.9201617067
 01/14  05:00:00,33.8283536404,28.9272868035
 01/14  06:00:00,37.9808328597,28.3927063043
 01/14  07:00:00,58.5600173592,33.445450604099996
 01/14  08:00:00,72.3300443361,31.9520440579
 01/14  09:00:00,94.4391012422,49.8863971153
 01/14  10:00:00,77.7670712167,61.015027866800004
 01/14  11:00:00,52.06461622729999,61.5458883829
 01/14  12:00:00,49.3910556013,55.1615542668
 01/14  13:00:00,49.5899928549,53.535049540799996
 01/14  14:00:00,49.7252433441,49.1594044303
 01/14  15:00:00,49.7450458456,48.3796792101
 01/14  16:00:00,49.421778136899995,49.5502242882
 01/14  17:00:00,55.677484201999995,27.0514254136
 01/14  18:00:00,70.6135318221,23.2984217506
 01/14  19:00:00,85.7076801183,22.2624702766
 01/14  20:00:00,86.4962205483,24.7402665561
 01/14  21:00:00,92.8335590962,31.765220928
 01/14  22:00:00,90.91621168379999,30.0149680598
 01/14  23:00:00,67.7405901179,30.621316364499997
 01/14  24:00:00,43.669632828299996,31.8573961315
 01/15  01:00:00,37.2435579265,26.364189960900003
 01/15  02:00:00,37.1365429364,20.9095061078
 01/15  03:00:00,32.3437022695,27.675946931
 01/15  04:00:00,32.3211363355,28.9446922435
 01/15  05:00:00,33.9260927137,23.2290757169
 01/15  06:00:00,38.082075636300004,33.189750953200004
 01/15  07:00:00,58.5665776242,27.0127521261
 01/15  08:00:00,72.4659256542,31.707593575300002
 01/15  09:00:00,94.480920327,56.6888057262
 01/15  10:00:00,77.7233711937,62.0649845412
 01/15  11:00:00,52.148748201800004,56.365323671000006
 01/15  12:00:00,49.5915071986,61.5543028422
 01/15  13:00:00,49.7086900057,54.67810504569999
 01/15  14:00:00,49.7932011586,45.2177671529
 01/15  15:00:00,50.299450229099996,49.2101269645
 01/15  16:00:00,49.849383429700005,50.3006366017
 01/15  17:00:00,55.8903875695,33.888891450100004
 01/15  18:00:00,70.83207149100001,17.7404406049
 01/15  19:00:00,86.0143293238,20.776561492
 01/15  20:00:00,87.19429824219999,26.957854350700003
 01/15  21:00:00,93.80173778870001,28.2138279151
 01/15  22:00:00,91.4484571156,23.5788155107
