Date/Time,Electricity:Facility [kW](Hourly),Gas:Facility [kW](Hourly)
 01/01  01:00:00,13.4435081779,43.946240971099996
 01/01  02:00:00,9.50082141288,3.0211
 01/01  03:00:00,9.52164212017,3.0211
 01/01  04:00:00,9.53303685135,3.5931634428300003
 01/01  05:00:00,9.6832215542,3.0211
 01/01  06:00:00,13.5880123124,51.91002014
 01/01  07:00:00,28.0607933763,56.351507275100005
 01/01  08:00:00,27.3837037208,58.9239111903
 01/01  09:00:00,20.4910889125,49.539953179799994
 01/01  10:00:00,20.5148913415,44.1567241083
 01/01  11:00:00,25.525851155500003,58.7023298259
 01/01  12:00:00,26.6770792032,59.6955919463
 01/01  13:00:00,25.776885512,50.4594344355
 01/01  14:00:00,25.5802887698,44.611590082
 01/01  15:00:00,20.5781652844,34.8753124348
 01/01  16:00:00,20.5628855553,34.9548581927
 01/01  17:00:00,21.1104795444,40.1447239067
 01/01  18:00:00,28.003637645,45.452442875699994
 01/01  19:00:00,27.998142590700002,47.521295719099996
 01/01  20:00:00,28.1342847341,48.9751282362
 01/01  21:00:00,23.110771060500003,48.5416838038
 01/01  22:00:00,23.036133953,50.7207260181
 01/01  23:00:00,22.925008908600002,50.098441128699996
 01/01  24:00:00,24.113576734099997,37.8138942758
 01/02  01:00:00,13.6305920519,46.634079674
 01/02  02:00:00,9.48842347339,3.0211
 01/02  03:00:00,9.51510799639,3.5931835740699993
 01/02  04:00:00,9.52957441147,3.0211
 01/02  05:00:00,9.682690238380001,3.5931894592
 01/02  06:00:00,13.5925678922,46.9530312887
 01/02  07:00:00,28.069726123800002,50.366065738
 01/02  08:00:00,27.397417721100002,56.3357540816
 01/02  09:00:00,20.5036092087,49.8235055332
 01/02  10:00:00,20.5176001246,48.6445306171
 01/02  11:00:00,25.525906057199997,60.35876711939999
 01/02  12:00:00,26.682432335100003,61.2698556404
 01/02  13:00:00,25.793540028899997,49.052426947200004
 01/02  14:00:00,25.603098183,42.9863979705
 01/02  15:00:00,20.6015479921,33.8615891632
 01/02  16:00:00,20.5882040655,34.7053727335
 01/02  17:00:00,21.136457631,38.5683513798
 01/02  18:00:00,28.0341621233,40.503593672
 01/02  19:00:00,28.0313936308,42.6912597825
 01/02  20:00:00,28.170573160700002,44.1407909879
 01/02  21:00:00,23.1536535635,41.9092746745
 01/02  22:00:00,23.0837627198,41.4072862249
 01/02  23:00:00,22.976495795599998,40.2322964177
 01/02  24:00:00,24.1467483866,27.0612202739
 01/03  01:00:00,13.684014998,33.6225010341
 01/03  02:00:00,9.54577483912,3.5931843120599996
 01/03  03:00:00,9.574073725169999,3.0211
 01/03  04:00:00,9.58877072221,3.59316437899
 01/03  05:00:00,10.2558632389,3.0211
 01/03  06:00:00,14.159984113299998,36.5165098715
 01/03  07:00:00,28.350580372800003,39.6030040364
 01/03  08:00:00,27.453593107600003,45.7609900748
 01/03  09:00:00,20.5638862224,39.278305193499996
 01/03  10:00:00,20.5811874007,37.014546638
 01/03  11:00:00,25.582798418699998,50.5853268676
 01/03  12:00:00,26.707780187199997,55.3544077584
 01/03  13:00:00,25.8150775385,47.146900295200005
 01/03  14:00:00,25.619287006300002,42.1131028996
 01/03  15:00:00,20.6182455678,34.5249419475
 01/03  16:00:00,20.601308914300002,35.06618675
 01/03  17:00:00,21.1521769655,37.7254523266
 01/03  18:00:00,28.05406506,39.8756717596
 01/03  19:00:00,28.056124193899997,40.5266057082
