Date/Time,Electricity:Facility [kW](Hourly),Gas:Facility [kW](Hourly)
 01/02  01:00:00,15.2052889478,2.8896535013899998
 01/02  02:00:00,15.2359538868,3.7981000928199995
 01/02  03:00:00,15.2679809146,4.74606549585
 01/02  04:00:00,15.373161124600001,7.86881683553
 01/02  05:00:00,15.6030858085,14.6065429305
 01/02  06:00:00,15.672799658699999,16.6581694048
 01/02  07:00:00,21.954155844499997,252.884368941
 01/02  08:00:00,25.396472486,211.033024126
 01/02  09:00:00,31.3822688569,190.106548632
 01/02  10:00:00,47.7745457497,157.196799188
 01/02  11:00:00,47.7745457497,141.012942774
 01/02  12:00:00,47.7745457497,120.903362948
 01/02  13:00:00,47.7745457497,117.014151309
 01/02  14:00:00,47.7745457497,119.05887258
 01/02  15:00:00,47.7745457497,122.176102935
 01/02  16:00:00,47.7745457497,120.622068876
 01/02  17:00:00,57.345379083000005,123.928125133
 01/02  18:00:00,59.2595457497,130.09714262
 01/02  19:00:00,47.41475653609999,137.788265796
 01/02  20:00:00,47.41475653609999,147.353709629
 01/02  21:00:00,42.8672688569,151.36279933
 01/02  22:00:00,22.3776491824,0.0
 01/02  23:00:00,15.1069992076,0.0
 01/02  24:00:00,15.1387697105,0.927594330497
 01/03  01:00:00,15.253591354700001,4.31514190958
 01/03  02:00:00,15.439377238399999,9.81550466339
 01/03  03:00:00,15.709575153,17.727012726199998
 01/03  04:00:00,15.8199907523,20.947691543199998
 01/03  05:00:00,15.9871333092,25.8299377874
 01/03  06:00:00,16.2132416878,32.4890129487
 01/03  07:00:00,21.954155844499997,290.095321583
 01/03  08:00:00,25.396472486,251.388064355
 01/03  09:00:00,31.3822688569,223.908801482
 01/03  10:00:00,47.7745457497,191.240662851
 01/03  11:00:00,47.7745457497,174.388249594
 01/03  12:00:00,47.7745457497,154.73637455
 01/03  13:00:00,47.7745457497,146.359495417
 01/03  14:00:00,47.7745457497,141.76202225
 01/03  15:00:00,47.7745457497,137.803774586
 01/03  16:00:00,47.7745457497,133.212725563
 01/03  17:00:00,57.345379083000005,134.925614989
 01/03  18:00:00,59.2595457497,140.088904261
 01/03  19:00:00,47.41475653609999,147.396056675
 01/03  20:00:00,47.41475653609999,156.66127685200001
 01/03  21:00:00,42.8672688569,160.33510899799998
 01/03  22:00:00,22.3776491824,0.0
 01/03  23:00:00,15.1069992076,0.0
 01/03  24:00:00,15.1685241508,1.7976492315500001
 01/04  01:00:00,15.2450505627,4.07594392019
 01/04  02:00:00,15.315474017,6.13997141641
 01/04  03:00:00,15.43892175,9.80885392165
 01/04  04:00:00,15.700096797999999,17.4496076833
 01/04  05:00:00,15.753655954200001,19.030873463800003
 01/04  06:00:00,15.870668495699999,22.414664500700002
 01/04  07:00:00,21.954155844499997,265.50427951
 01/04  08:00:00,25.396472486,224.433952101
 01/04  09:00:00,31.3822688569,202.41992074200002
 01/04  10:00:00,47.7745457497,177.77391109
 01/04  11:00:00,47.7745457497,164.923822825
 01/04  12:00:00,47.7745457497,150.44208364600001
 01/04  13:00:00,47.7745457497,144.920076051
 01/04  14:00:00,47.7745457497,138.733920204
 01/04  15:00:00,47.7745457497,136.571978875
 01/04  16:00:00,47.7745457497,135.49158730899998
 01/04  17:00:00,57.345379083000005,139.02103535
 01/04  18:00:00,59.2595457497,144.74375889700002
 01/04  19:00:00,47.41475653609999,150.529760241
 01/04  20:00:00,47.41475653609999,158.803280076
