Date/Time,Electricity:Facility [kW](Hourly),Gas:Facility [kW](Hourly)
 01/01  01:00:00,16.5379937009,24.0190235818
 01/01  02:00:00,15.992574958699999,24.379790186300003
 01/01  03:00:00,15.6978059615,23.7078511715
 01/01  04:00:00,15.5682723176,24.1712615898
 01/01  05:00:00,17.6384861154,24.5585472248
 01/01  06:00:00,22.1232620978,27.403030058200002
 01/01  07:00:00,27.333991072600003,37.051710454
 01/01  08:00:00,29.1295817316,37.1893215283
 01/01  09:00:00,22.5707373334,39.2530466165
 01/01  10:00:00,19.9234421587,41.8531649573
 01/01  11:00:00,17.0338738302,41.1843982529
 01/01  12:00:00,17.1416577946,37.329762418
 01/01  13:00:00,17.1125092058,38.9680832398
 01/01  14:00:00,16.6743444102,37.7766105003
 01/01  15:00:00,16.3895246921,32.9518262904
 01/01  16:00:00,17.777776298699997,34.7888390966
 01/01  17:00:00,27.8213438269,33.9083176389
 01/01  18:00:00,37.4837356436,30.627081069099997
 01/01  19:00:00,39.6215169029,29.7429788353
 01/01  20:00:00,38.6024226256,27.633907119
 01/01  21:00:00,38.1641890571,26.391733832600003
 01/01  22:00:00,32.7384689612,24.8111147925
 01/01  23:00:00,25.8895779173,25.6370633221
 01/01  24:00:00,20.0957620543,23.929065846799997
 01/02  01:00:00,16.5209128091,23.5786872873
 01/02  02:00:00,15.9976537814,24.6829769126
 01/02  03:00:00,15.7311879719,24.8694333904
 01/02  04:00:00,15.5697705628,24.353563161700002
 01/02  05:00:00,17.6204396213,24.1186301125
 01/02  06:00:00,22.1171198665,27.331579300999998
 01/02  07:00:00,27.3909562956,38.7610995263
 01/02  08:00:00,29.3916329651,39.2522428113
 01/02  09:00:00,24.237239240300003,40.7147308144
 01/02  10:00:00,21.481013104000002,39.7710917451
 01/02  11:00:00,18.492943799200003,36.1770388002
 01/02  12:00:00,18.5728054705,31.604258263800002
 01/02  13:00:00,18.0447355937,24.6029733402
 01/02  14:00:00,17.725182859500002,22.197668674099997
 01/02  15:00:00,17.4535052841,17.652007101400002
 01/02  16:00:00,18.7453765829,16.7976291125
 01/02  17:00:00,28.916843239200002,19.5727611668
 01/02  18:00:00,37.366659853099996,22.6902207931
 01/02  19:00:00,39.436947038,25.291395411999996
 01/02  20:00:00,38.5207352407,26.1101844748
 01/02  21:00:00,38.141003707399996,26.5697911079
 01/02  22:00:00,32.7827243131,27.0818902193
 01/02  23:00:00,25.9788021723,29.1061563379
 01/02  24:00:00,20.2525220363,29.3095329917
 01/03  01:00:00,16.7717615818,31.700058359299998
 01/03  02:00:00,16.3141012189,34.689198012199995
 01/03  03:00:00,16.1385034692,37.5706997442
 01/03  04:00:00,16.1455117229,41.8443267421
 01/03  05:00:00,18.2556405654,43.3574117247
 01/03  06:00:00,22.635570160500002,43.1455551137
 01/03  07:00:00,27.7532969361,49.8201780128
 01/03  08:00:00,29.734477290100003,49.619422803199996
 01/03  09:00:00,24.624559516199998,52.248308290699995
 01/03  10:00:00,21.7977813318,49.425348997
 01/03  11:00:00,18.6668997999,41.475575359299995
 01/03  12:00:00,18.6144785981,33.0654070789
 01/03  13:00:00,18.087722702,25.8410632661
 01/03  14:00:00,17.6910987969,21.4164646617
 01/03  15:00:00,17.481930165399998,18.5600303905
 01/03  16:00:00,18.8477576624,19.655650793299998
 01/03  17:00:00,28.9737207153,21.168364980899998
 01/03  18:00:00,37.360681828699995,22.4625562063
 01/03  19:00:00,39.3903531522,23.8463005592
 01/03  20:00:00,38.4533411684,24.0149496606
 01/03  21:00:00,38.0618110338,24.104847874
 01/03  22:00:00,32.730905245100004,25.513642533800002
 01/03  23:00:00,25.9543583175,28.848756957800003
 01/03  24:00:00,20.2550941298,29.8598357474
 01/04  01:00:00,16.7386870967,31.1200566734
 01/04  02:00:00,16.2515841608,33.1813641487
