Date/Time,Electricity:Facility [kW](Hourly),Gas:Facility [kW](Hourly)
 01/01  01:00:00,16.360295154,30.3698297049
 01/01  02:00:00,16.3657860049,30.4881453767
 01/01  03:00:00,16.8207316176,45.26247007520001
 01/01  04:00:00,16.506648105,35.0455218659
 01/01  05:00:00,16.9112583757,48.222442755100005
 01/01  06:00:00,16.5453739081,36.3074748675
 01/01  07:00:00,16.9557176006,49.680111501999995
 01/01  08:00:00,15.086496818199999,37.2201190561
 01/01  09:00:00,8.065021846339999,50.738402047600005
 01/01  10:00:00,7.61474409972,36.0522677576
 01/01  11:00:00,7.9190413798,45.980769861599995
 01/01  12:00:00,7.39397059635,28.861590711799998
 01/01  13:00:00,7.492281504069999,32.035360750500004
 01/01  14:00:00,7.069597959119999,18.3786347367
 01/01  15:00:00,7.12457332265,20.188352534
 01/01  16:00:00,6.93232017635,13.990021208
 01/01  17:00:00,10.0611859499,18.9553435334
 01/01  18:00:00,15.882585253299998,14.8717885801
 01/01  19:00:00,16.0388634629,19.9289388868
 01/01  20:00:00,15.9085175595,15.7316734171
 01/01  21:00:00,16.1206985192,22.5399730368
 01/01  22:00:00,15.9022491822,15.5382868355
 01/01  23:00:00,16.0718559716,21.026120379800002
 01/01  24:00:00,15.9467718808,16.9392237348
 01/02  01:00:00,16.1811760792,24.494700291999997
 01/02  02:00:00,16.008513379300002,18.9344747166
 01/02  03:00:00,16.2679850266,27.2954463522
 01/02  04:00:00,16.1216668312,22.579671521199998
 01/02  05:00:00,16.415141428,32.0765526962
 01/02  06:00:00,16.1702412179,24.1492239455
 01/02  07:00:00,19.8043494525,53.8678593895
 01/02  08:00:00,38.8072552874,42.511168926399996
 01/02  09:00:00,50.849894777399996,34.5298600131
 01/02  10:00:00,62.8239436482,29.8858676433
 01/02  11:00:00,62.8239436482,27.2283939259
 01/02  12:00:00,62.8239436482,21.3469414247
 01/02  13:00:00,56.3311193738,14.8161873232
 01/02  14:00:00,62.8239436482,6.35799988482
 01/02  15:00:00,62.8239436482,6.039797856030001
 01/02  16:00:00,62.8239436482,5.48445157557
 01/02  17:00:00,65.7982769816,7.510299423139999
 01/02  18:00:00,29.860171425999997,14.9591378681
 01/02  19:00:00,16.3544814585,30.8835468878
 01/02  20:00:00,16.5735162276,37.9416550381
 01/02  21:00:00,16.8895995118,47.9076051112
 01/02  22:00:00,16.9257739434,49.3556340079
 01/02  23:00:00,17.1601750235,56.53902207310001
 01/02  24:00:00,17.0204918172,52.357054634700006
 01/03  01:00:00,17.2311767462,58.6934896736
