Date/Time,Electricity:Facility [kW](Hourly),Gas:Facility [kW](Hourly)
 01/01  01:00:00,131.791295718,103.770665063
 01/01  02:00:00,132.79796870799998,94.9576482452
 01/01  03:00:00,131.067780363,129.411991967
 01/01  04:00:00,151.90804125100001,100.088153047
 01/01  05:00:00,133.200483629,144.248565649
 01/01  06:00:00,132.79491927200002,102.58054174
 01/01  07:00:00,146.031721833,142.025855045
 01/01  08:00:00,125.64365945600001,84.0646009704
 01/01  09:00:00,114.621510066,107.91028468399999
 01/01  10:00:00,103.878728009,82.8263107937
 01/01  11:00:00,104.886472855,87.7784411976
 01/01  12:00:00,104.785492145,56.3975765645
 01/01  13:00:00,104.808081124,71.3195622188
 01/01  14:00:00,103.84449911700001,42.7157088128
 01/01  15:00:00,104.887408845,49.434917176099994
 01/01  16:00:00,103.835633519,39.3112274928
 01/01  17:00:00,107.655245654,61.5300354624
 01/01  18:00:00,121.571329315,46.187637121499996
 01/01  19:00:00,122.603882841,64.4109757623
 01/01  20:00:00,122.007557881,55.1963207362
 01/01  21:00:00,123.01699327899999,76.8439352698
 01/01  22:00:00,126.55366113,87.727133366
 01/01  23:00:00,134.70915916,110.41557690200001
 01/01  24:00:00,125.973954597,86.0945416913
 01/02  01:00:00,133.928600501,120.379416801
 01/02  02:00:00,127.540896878,104.359021827
 01/02  03:00:00,134.355813691,131.113884227
 01/02  04:00:00,140.824526203,100.61759815299999
 01/02  05:00:00,142.809979995,147.078147737
 01/02  06:00:00,130.284704861,102.98426990600001
 01/02  07:00:00,196.63745399200002,2693.97076271
 01/02  08:00:00,370.15678936300003,1965.03611579
 01/02  09:00:00,446.45168379,1683.76503005
 01/02  10:00:00,446.417862904,1635.59585413
 01/02  11:00:00,452.376537668,1584.55892484
 01/02  12:00:00,453.35398729599996,1513.73410893
 01/02  13:00:00,452.28903293800005,1481.77254455
 01/02  14:00:00,446.297297789,1447.03830373
 01/02  15:00:00,446.268970561,1426.9251465
 01/02  16:00:00,438.39482136099997,1338.50496636
 01/02  17:00:00,436.37873160699996,1262.98164244
 01/02  18:00:00,371.586375267,1387.11554462
 01/02  19:00:00,371.597504062,1401.96598538
 01/02  20:00:00,371.997792151,1370.37003457
 01/02  21:00:00,371.96771712699996,1386.44834978
 01/02  22:00:00,118.412450569,13.9196998429
 01/02  23:00:00,119.16245279399999,14.7501491604
 01/02  24:00:00,119.914897125,6.072065660780001
 01/03  01:00:00,119.22169983799999,15.4494917999
 01/03  02:00:00,120.519231929,7.28058138795
 01/03  03:00:00,121.947098751,9.21568211245
 01/03  04:00:00,121.732008059,9.854043612989999
 01/03  05:00:00,124.444774105,22.7061826921
 01/03  06:00:00,123.529247219,16.3213764745
 01/03  07:00:00,196.5412814,2322.41703299
 01/03  08:00:00,369.166565159,1954.3455218
 01/03  09:00:00,446.279541729,1713.0248586
 01/03  10:00:00,446.289360947,1661.15895158
 01/03  11:00:00,452.273570754,1640.23447746
 01/03  12:00:00,453.28956650199996,1593.71222385
 01/03  13:00:00,452.23594113800004,1574.60744361
 01/03  14:00:00,446.26363451199995,1554.64174135
 01/03  15:00:00,446.24599003199995,1542.74436558
 01/03  16:00:00,438.375966372,1461.28183337
 01/03  17:00:00,436.35122047,1364.46509405
 01/03  18:00:00,371.561421646,1511.72460113
 01/03  19:00:00,371.579705685,1545.87753779
 01/03  20:00:00,371.557871686,1537.27875565
 01/03  21:00:00,371.560678369,1543.35520874
 01/03  22:00:00,118.68009456200001,14.498157558399999
 01/03  23:00:00,119.17514187200001,15.089219463800001
 01/03  24:00:00,119.93910561,6.93255235498
 01/04  01:00:00,121.235351194,17.8070710634
 01/04  02:00:00,122.21253309,11.8455777266
 01/04  03:00:00,121.89393440299999,13.244114426600001
 01/04  04:00:00,126.19959335,30.4430844775
 01/04  05:00:00,127.74361299600001,28.452687901100003
 01/04  06:00:00,132.265544376,44.9264075871
 01/04  07:00:00,196.562849152,2957.19706659
 01/04  08:00:00,369.550437149,2491.13918193
 01/04  09:00:00,446.42875693699995,2198.0495813
 01/04  10:00:00,446.402042068,2094.26768028
 01/04  11:00:00,452.36391256400003,2010.1502494000003
 01/04  12:00:00,453.36839689999994,1871.33026817
 01/04  13:00:00,452.296137145,1761.70521764
 01/04  14:00:00,446.30193089999995,1691.25223033
 01/04  15:00:00,446.273662311,1617.93429712
 01/04  16:00:00,438.402981347,1512.74482037
 01/04  17:00:00,436.38685034300005,1415.39399345
 01/04  18:00:00,371.600143283,1543.07307356
 01/04  19:00:00,371.61799476,1580.45628525
 01/04  20:00:00,372.02523396099997,1574.59832722
 01/04  21:00:00,372.00133300699997,1591.64034959
 01/04  22:00:00,119.073169759,23.7665156745
 01/04  23:00:00,118.827911578,6.75383996382
 01/04  24:00:00,121.19075019600001,18.3138748703
 01/05  01:00:00,121.76721388,10.086769500299999
 01/05  02:00:00,122.350437295,14.0919116692
 01/05  03:00:00,121.762901256,22.9333929658
 01/05  04:00:00,127.129265485,23.777467993800002
 01/05  05:00:00,125.77434318200001,23.358848975100003
 01/05  06:00:00,127.537990295,44.432187051599996
 01/05  07:00:00,196.078036003,2509.50949685
 01/05  08:00:00,369.253019791,2047.65815508
 01/05  09:00:00,446.316941382,1792.48001328
 01/05  10:00:00,446.299843674,1708.38416842
 01/05  11:00:00,452.269325863,1634.2056217
 01/05  12:00:00,453.27627333099997,1537.89390642
 01/05  13:00:00,452.23228318099996,1492.70378018
 01/05  14:00:00,446.25799725699994,1467.59709371
 01/05  15:00:00,446.232697841,1452.39487855
 01/05  16:00:00,438.367677912,1372.86886953
 01/05  17:00:00,436.335939058,1295.87376545
 01/05  18:00:00,371.54401202800005,1432.78389868
 01/05  19:00:00,371.56204602599996,1467.08364861
 01/05  20:00:00,371.97602118300006,1481.11206571
 01/05  21:00:00,371.963401256,1558.73912164
 01/05  22:00:00,119.057693268,14.696018680999998
 01/05  23:00:00,118.813868416,15.0069666939
 01/05  24:00:00,121.89936856,9.09868901544
 01/06  01:00:00,121.549147871,18.7566043147
 01/06  02:00:00,122.57863949700001,16.365068923800003
 01/06  03:00:00,128.246007112,24.7620762125
 01/06  04:00:00,131.138603106,51.823512157299994
 01/06  05:00:00,138.11253758,57.4363882523
 01/06  06:00:00,154.022584886,89.24455448559999
 01/06  07:00:00,197.44628107900002,3149.43812044
 01/06  08:00:00,369.834668491,2585.54395347
 01/06  09:00:00,446.436538225,2179.94046609
 01/06  10:00:00,446.361136064,1971.90942173
 01/06  11:00:00,452.29688767,1813.79703575
 01/06  12:00:00,453.285648569,1621.12112818
 01/06  13:00:00,452.22904429,1476.32257934
 01/06  14:00:00,446.24836865099996,1417.6506665
 01/06  15:00:00,446.223926579,1378.35444567
 01/06  16:00:00,438.35742611800003,1306.39278824
 01/06  17:00:00,436.315233916,1211.89479773
 01/06  18:00:00,371.50691533300005,1339.55148796
 01/06  19:00:00,371.52773136800005,1404.58247106
 01/06  20:00:00,371.510417342,1395.41530905
 01/06  21:00:00,371.518656564,1424.83644989
 01/06  22:00:00,118.68333100000001,22.9651685194
 01/06  23:00:00,119.172700279,6.1089824924
 01/06  24:00:00,119.93930874600001,14.843304353099999
 01/07  01:00:00,119.23823041899999,6.5337786935399995
 01/07  02:00:00,118.882990728,6.54546119665
 01/07  03:00:00,121.257552275,16.0890451984
 01/07  04:00:00,121.796578369,8.03053134952
 01/07  05:00:00,122.316806863,8.47869353101
 01/07  06:00:00,122.605575516,9.10592999129
