Date/Time,Electricity:Facility [kW](Hourly),Gas:Facility [kW](Hourly)
 01/01  01:00:00,157.523964436,224.98978346299998
 01/01  02:00:00,148.071921229,181.345451498
 01/01  03:00:00,125.710109026,176.579919578
 01/01  04:00:00,124.133296101,168.962921094
 01/01  05:00:00,132.238759154,209.572577405
 01/01  06:00:00,146.213222057,250.345086282
 01/01  07:00:00,226.036622144,338.421593792
 01/01  08:00:00,301.28521448099997,819.96014597
 01/01  09:00:00,364.80383167400004,1042.39088497
 01/01  10:00:00,306.655190198,843.181141817
 01/01  11:00:00,254.267539586,716.219777247
 01/01  12:00:00,252.1996131,641.1604331890001
 01/01  13:00:00,248.609927838,551.016354058
 01/01  14:00:00,231.95382562900002,539.259354206
 01/01  15:00:00,229.05771345099998,523.6387592169999
 01/01  16:00:00,219.904578706,531.121057423
 01/01  17:00:00,234.782989095,512.280083986
 01/01  18:00:00,269.331787475,544.201773916
 01/01  19:00:00,339.356357098,599.2996998680001
 01/01  20:00:00,354.92130257,652.4498074630001
 01/01  21:00:00,382.71465762,646.814966068
 01/01  22:00:00,354.220987176,643.112736411
 01/01  23:00:00,298.763336891,791.546117448
 01/01  24:00:00,210.713650127,618.829835643
 01/02  01:00:00,145.963557115,231.374801729
 01/02  02:00:00,130.366174919,173.393958945
 01/02  03:00:00,119.24096844700001,172.87144140400002
 01/02  04:00:00,116.260478785,163.89528460399998
 01/02  05:00:00,123.74931534299999,208.33180826400002
 01/02  06:00:00,159.62012702,317.63730578900004
 01/02  07:00:00,286.651908875,511.83027162699995
 01/02  08:00:00,366.009089814,925.888492045
 01/02  09:00:00,301.975438378,845.064239796
 01/02  10:00:00,279.218706501,715.9740718239999
 01/02  11:00:00,226.464339255,641.836211025
 01/02  12:00:00,225.90029448599998,553.511774888
 01/02  13:00:00,235.109875562,541.969373463
 01/02  14:00:00,229.63770675799998,522.790736269
 01/02  15:00:00,224.41841266,513.598717321
 01/02  16:00:00,218.20556743900002,520.045455461
 01/02  17:00:00,235.50062338400002,491.797231771
 01/02  18:00:00,282.520462282,546.1531681609999
 01/02  19:00:00,352.70989122699996,746.622283293
 01/02  20:00:00,358.871658051,623.208884926
 01/02  21:00:00,389.615313401,627.608251162
 01/02  22:00:00,377.9668107,781.277642164
 01/02  23:00:00,291.379362088,678.940952684
 01/02  24:00:00,199.66931981,543.462362002
 01/03  01:00:00,145.503050304,229.28657680400002
 01/03  02:00:00,132.139931954,172.59493570200001
 01/03  03:00:00,120.969361624,170.406603755
 01/03  04:00:00,119.47314744799999,160.39556572
 01/03  05:00:00,128.88517882899998,202.68338987099997
 01/03  06:00:00,164.77401558100001,310.932544932
 01/03  07:00:00,291.639099221,505.66420570400004
 01/03  08:00:00,371.48242787699996,868.298898525
 01/03  09:00:00,297.351576968,788.166893512
 01/03  10:00:00,271.21676796400004,698.00350232
 01/03  11:00:00,220.111317192,641.158585798
 01/03  12:00:00,228.790946663,555.641033352
 01/03  13:00:00,238.615656562,547.337849556
 01/03  14:00:00,233.17356474599998,531.834268871
 01/03  15:00:00,230.583772013,500.819418039
 01/03  16:00:00,219.460887147,505.24003427099996
 01/03  17:00:00,236.487223821,478.800904436
 01/03  18:00:00,282.937246265,544.80813271
 01/03  19:00:00,352.534030991,751.3563748319999
 01/03  20:00:00,358.87852479699995,612.740814451
 01/03  21:00:00,390.83624170400003,587.519880218
 01/03  22:00:00,379.484358915,742.889623422
 01/03  23:00:00,292.675145853,653.810447161
 01/03  24:00:00,201.484095298,511.64096261199995
 01/04  01:00:00,148.03986191299998,217.85959763900001
 01/04  02:00:00,134.85062280000002,171.134686094
 01/04  03:00:00,124.209062841,157.34916895799998
 01/04  04:00:00,121.065648432,161.216029684
 01/04  05:00:00,128.14125453,199.17634412900003
 01/04  06:00:00,163.494799439,308.835648697
