Date/Time,Electricity:Facility [kW](Hourly),Gas:Facility [kW](Hourly)
 01/02  01:00:00,12.569683660399999,0.0
 01/02  02:00:00,12.5715001825,0.0
 01/02  03:00:00,12.643691781300001,0.7855678189120001
 01/02  04:00:00,12.7374891742,2.14207117498
 01/02  05:00:00,12.873188311500002,5.2320542394
 01/02  06:00:00,12.9987731144,7.85593900725
 01/02  07:00:00,26.9376954132,235.839732727
 01/02  08:00:00,31.9037597555,188.58554519999998
 01/02  09:00:00,41.2338184933,167.666311783
 01/02  10:00:00,58.542169773299996,138.454804187
 01/02  11:00:00,58.25559730609999,123.67497279
 01/02  12:00:00,57.9003271808,107.109979261
 01/02  13:00:00,57.789919330500005,96.53624086120001
 01/02  14:00:00,58.1100687905,91.1425084734
 01/02  15:00:00,58.1655111302,84.6868476367
 01/02  16:00:00,57.96367057689999,76.6523468742
 01/02  17:00:00,58.0318428553,80.1517527892
 01/02  18:00:00,66.5133222509,87.85693465709998
 01/02  19:00:00,53.9444896573,94.45663930559999
 01/02  20:00:00,54.0116881461,101.076103935
 01/02  21:00:00,49.019400726099995,103.65291910299999
 01/02  22:00:00,20.693606815,0.0
 01/02  23:00:00,12.569683660399999,0.0
 01/02  24:00:00,12.569683660399999,0.0
 01/03  01:00:00,12.569683660399999,0.0
 01/03  02:00:00,12.569683660399999,0.0
 01/03  03:00:00,12.569683660399999,0.0
 01/03  04:00:00,12.569683660399999,0.0
 01/03  05:00:00,12.589786676900001,0.0
 01/03  06:00:00,12.6384001398,0.503139717799
 01/03  07:00:00,26.6563796785,191.880047907
 01/03  08:00:00,31.5875368241,142.069831657
 01/03  09:00:00,40.7735132814,117.056889131
 01/03  10:00:00,58.04408321020001,89.0136318536
 01/03  11:00:00,57.8152912661,74.25618686979999
 01/03  12:00:00,57.6714940402,54.56345133520001
 01/03  13:00:00,57.642072247399994,41.7425296385
 01/03  14:00:00,57.642072247399994,35.0489358521
 01/03  15:00:00,57.642072247399994,30.9519343748
 01/03  16:00:00,57.642072247399994,26.265369814499998
 01/03  17:00:00,57.6784634663,27.404944256999997
 01/03  18:00:00,66.1108251375,30.468261470199998
 01/03  19:00:00,53.515998151800005,33.7893631396
 01/03  20:00:00,53.5472375467,36.3482193803
 01/03  21:00:00,48.524425817200004,34.7714637217
 01/03  22:00:00,20.693606815,0.0
 01/03  23:00:00,12.569683660399999,0.0
 01/03  24:00:00,12.569683660399999,0.0
 01/04  01:00:00,12.569683660399999,0.0
 01/04  02:00:00,12.569683660399999,0.0
 01/04  03:00:00,12.569683660399999,0.0
 01/04  04:00:00,12.569683660399999,0.0
 01/04  05:00:00,12.569683660399999,0.0
 01/04  06:00:00,12.569683660399999,0.0
 01/04  07:00:00,25.7343709776,82.8408222854
 01/04  08:00:00,30.9298617048,58.1511409587
 01/04  09:00:00,40.330743620199996,42.2053074103
 01/04  10:00:00,57.8561975611,17.7081674278
 01/04  11:00:00,57.7322171929,4.84662501723
 01/04  12:00:00,57.6618298366,1.38596749018
 01/04  13:00:00,57.642072247399994,0.39819033960100003
 01/04  14:00:00,57.642072247399994,0.0
 01/04  15:00:00,57.648892270299996,0.0
 01/04  16:00:00,57.759191057399995,0.0
 01/04  17:00:00,57.6591350475,0.0
 01/04  18:00:00,65.9080722474,0.0
 01/04  19:00:00,53.250571808400004,0.0
 01/04  20:00:00,53.25910483,0.0010784273424300002
 01/04  21:00:00,48.2767686385,0.010768681573999999
 01/04  22:00:00,20.693606815,0.0
 01/04  23:00:00,12.569683660399999,0.0
 01/04  24:00:00,12.569683660399999,0.0
 01/05  01:00:00,12.569683660399999,0.0
 01/05  02:00:00,12.569683660399999,0.0
 01/05  03:00:00,12.569683660399999,0.0
 01/05  04:00:00,12.569683660399999,0.0
 01/05  05:00:00,12.569683660399999,0.0
 01/05  06:00:00,12.569683660399999,0.0
 01/05  07:00:00,25.722201846100003,77.6889531354
 01/05  08:00:00,31.0224611089,71.0654336876
 01/05  09:00:00,40.470364975,71.9481307756
 01/05  10:00:00,58.0336871489,59.134472896800006
 01/05  11:00:00,58.102264123699996,60.2748365527
 01/05  12:00:00,58.1263816151,57.380514122799994
 01/05  13:00:00,58.1388865008,57.5996429275
 01/05  14:00:00,58.142630876700004,57.031092856
 01/05  15:00:00,58.157746093,58.6299932078
 01/05  16:00:00,58.1629563293,58.898645353999996
 01/05  17:00:00,58.1974113298,62.5617904837
 01/05  18:00:00,66.5171657783,69.7776431792
 01/05  19:00:00,53.8858072396,74.00657200170001
 01/05  20:00:00,53.926487797200004,79.6470121662
 01/05  21:00:00,48.938152563500005,83.15452330789999
 01/05  22:00:00,20.693606815,0.0
 01/05  23:00:00,12.569683660399999,0.0
 01/05  24:00:00,12.569683660399999,0.0
 01/06  01:00:00,12.569683660399999,0.0
 01/06  02:00:00,12.569683660399999,0.0
 01/06  03:00:00,12.569683660399999,0.0
 01/06  04:00:00,12.569683660399999,0.0
 01/06  05:00:00,12.569683660399999,0.0
 01/06  06:00:00,12.5932827601,0.0
 01/06  07:00:00,26.635576132399997,180.27572227099998
 01/06  08:00:00,31.6075698369,138.558344504
 01/06  09:00:00,40.9856925013,120.11419347299999
 01/06  10:00:00,58.5170490265,98.20501308760001
