Date/Time,Electricity:Facility [kW](Hourly),Gas:Facility [kW](Hourly)
 01/01  01:00:00,13.5847464603,33.3768703706
 01/01  02:00:00,9.55437076613,3.0211
 01/01  03:00:00,9.588200765,3.59315820623
 01/01  04:00:00,9.62096576602,3.0211
 01/01  05:00:00,9.787933255510001,3.5931899752699996
 01/01  06:00:00,13.7961050681,23.903539540700002
 01/01  07:00:00,28.2838997086,26.885633635100003
 01/01  08:00:00,26.350752503600003,30.2206339179
 01/01  09:00:00,20.7283616498,23.676853237899998
 01/01  10:00:00,20.75429762,22.436566297800002
 01/01  11:00:00,25.7480458576,44.29342574
 01/01  12:00:00,26.824872927199998,51.1191281571
 01/01  13:00:00,25.9259669911,45.4043563918
 01/01  14:00:00,25.7086557622,44.7819587307
 01/01  15:00:00,20.6958247923,36.7876862644
 01/01  16:00:00,20.6786706302,36.3570078248
 01/01  17:00:00,22.4954658485,39.4257402805
 01/01  18:00:00,28.1343512109,40.365605125
 01/01  19:00:00,28.138245766199997,39.7635436131
 01/01  20:00:00,28.2796950936,40.9922625806
 01/01  21:00:00,23.260718476999998,37.7669915771
 01/01  22:00:00,23.1915762722,38.5833190349
 01/01  23:00:00,23.065746418699998,40.7297529709
 01/01  24:00:00,24.2395186589,26.7816864352
 01/02  01:00:00,13.787033570899998,30.1924277751
 01/02  02:00:00,9.58103857916,3.59319179815
 01/02  03:00:00,9.61688821652,3.0211
 01/02  04:00:00,9.63856006789,3.59314596763
 01/02  05:00:00,9.79453982101,3.0211
 01/02  06:00:00,13.786440598299999,26.2087090612
 01/02  07:00:00,28.2685747025,28.5042089518
 01/02  08:00:00,26.2963323818,42.398511220799996
 01/02  09:00:00,20.6204551308,44.0737676861
 01/02  10:00:00,20.623184228,44.5398909245
 01/02  11:00:00,25.6238225236,57.02305346479999
 01/02  12:00:00,26.7560597156,61.721261626899995
 01/02  13:00:00,25.8395771099,54.8158128043
 01/02  14:00:00,25.6327937478,52.0943503238
 01/02  15:00:00,20.6175808314,47.1414469026
 01/02  16:00:00,20.5896443282,49.636094826000004
 01/02  17:00:00,22.3989664579,54.270614594799994
 01/02  18:00:00,28.026021789699996,57.269967330200004
 01/02  19:00:00,28.023659709,59.10208221600001
 01/02  20:00:00,28.1644810414,60.6312326148
 01/02  21:00:00,23.1488614065,58.480668147299994
 01/02  22:00:00,23.0843193386,58.3022343357
 01/02  23:00:00,22.9810868007,56.7136219018
 01/02  24:00:00,24.1805956496,43.72100322359999
 01/03  01:00:00,13.7026101778,49.8630168766
 01/03  02:00:00,9.47570539881,3.5931795981
 01/03  03:00:00,9.50028420382,3.0211
 01/03  04:00:00,9.5138300785,3.5931855096599996
 01/03  05:00:00,10.1812401776,3.0211
 01/03  06:00:00,14.168553433,57.8547793101
 01/03  07:00:00,28.3584735368,60.276701361099995
 01/03  08:00:00,26.1850978312,67.02815434770001
 01/03  09:00:00,20.5541236954,59.0786335521
 01/03  10:00:00,20.5656456829,56.274365414799995
 01/03  11:00:00,25.5621284873,69.0968931625
 01/03  12:00:00,26.7200967405,73.48791029979999
 01/03  13:00:00,25.783166953600002,65.4193467118
 01/03  14:00:00,25.584710170100003,60.603979393900005
