Date/Time,Electricity:Facility [kW](Hourly),Gas:Facility [kW](Hourly)
 01/01  01:00:00,18.2615068169,56.60515615479999
 01/01  02:00:00,17.8282444921,47.90485034859999
 01/01  03:00:00,18.650636292999998,64.3758567209
 01/01  04:00:00,17.7375454978,46.11425527229999
 01/01  05:00:00,18.3233775393,57.8767669168
 01/01  06:00:00,17.4077196791,39.6034358446
 01/01  07:00:00,17.9054622339,49.610488637299994
 01/01  08:00:00,9.72674027243,34.7822243342
 01/01  09:00:00,8.69051560958,43.8485963055
 01/01  10:00:00,7.96706981339,29.4128653981
 01/01  11:00:00,8.36361184065,37.3874023356
 01/01  12:00:00,7.898720439410001,28.082592525
 01/01  13:00:00,8.47128476506,39.5349383081
 01/01  14:00:00,7.998913758110001,29.9978377968
 01/01  15:00:00,8.68663337876,43.7779928637
 01/01  16:00:00,8.235640207789999,34.743798395300004
 01/01  17:00:00,14.917182945499999,49.3838732262
 01/01  18:00:00,17.3359969675,38.2245888948
 01/01  19:00:00,18.0970229862,53.414964858000005
 01/01  20:00:00,17.4230231151,39.919458814
 01/01  21:00:00,18.140718468299998,54.2628738624
 01/01  22:00:00,17.4470841346,40.3852129325
 01/01  23:00:00,18.3698889605,58.7981824137
 01/01  24:00:00,17.749865226500003,46.3640510927
 01/02  01:00:00,18.5209026074,61.799485861
 01/02  02:00:00,17.6788825436,44.9596991358
 01/02  03:00:00,18.3506771776,58.4164818908
 01/02  04:00:00,17.5056436769,41.5373235404
 01/02  05:00:00,18.1453414624,54.3550346646
 01/02  06:00:00,17.388273317,39.2305696326
 01/02  07:00:00,26.1834707967,65.8193091367
 01/02  08:00:00,39.2377099649,54.425589819399995
 01/02  09:00:00,57.2290161216,54.4132282487
 01/02  10:00:00,69.2030649924,50.0210300128
 01/02  11:00:00,69.2030649924,43.005754556499994
 01/02  12:00:00,69.2030649924,38.5179102595
 01/02  13:00:00,62.710240718,37.2154633479
 01/02  14:00:00,69.2030649924,34.9903295114
 01/02  15:00:00,69.2030649924,40.1205117979
 01/02  16:00:00,69.2030649924,45.4343009132
 01/02  17:00:00,75.1517316591,52.3988494208
 01/02  18:00:00,32.092697326199996,51.5791543015
 01/02  19:00:00,18.103972737,52.546828759300006
 01/02  20:00:00,19.2728712489,75.6813895695
 01/02  21:00:00,18.4657145578,59.99963138060001
 01/02  22:00:00,19.5869050798,82.1581241113
 01/02  23:00:00,18.63556785,63.4939665566
 01/02  24:00:00,19.7918781117,86.3959281078
 01/03  01:00:00,18.791781623800002,66.6939427318
 01/03  02:00:00,20.2209105316,92.360816162
 01/03  03:00:00,19.209362674,75.5256990219
 01/03  04:00:00,20.4535206302,104.604312167
 01/03  05:00:00,19.3902373627,87.9772404231
 01/03  06:00:00,20.6828229646,117.11566594700001
 01/03  07:00:00,26.4047459952,141.604292473
 01/03  08:00:00,39.4589851634,120.246582876
 01/03  09:00:00,57.3517308905,93.6816785713
 01/03  10:00:00,69.1410599171,76.5715337083
 01/03  11:00:00,69.19066397739999,66.483668603
 01/03  12:00:00,69.2030649924,58.6850816022
 01/03  13:00:00,62.710240718,54.87028215
 01/03  14:00:00,69.2030649924,49.902008201499996
