Date/Time,Electricity:Facility [kW](Hourly),Gas:Facility [kW](Hourly)
 01/01  01:00:00,198.78337675400002,143.00662206299998
 01/01  02:00:00,152.336388315,147.282633666
 01/01  03:00:00,146.510903791,136.390061112
 01/01  04:00:00,152.989628988,129.483573672
 01/01  05:00:00,191.156566728,156.368252969
 01/01  06:00:00,151.700092964,197.462566283
 01/01  07:00:00,314.702203643,259.942612461
 01/01  08:00:00,365.761901257,426.675454802
 01/01  09:00:00,411.2425097,583.339215661
 01/01  10:00:00,359.649307562,455.362791823
 01/01  11:00:00,313.42506959900004,380.084416163
 01/01  12:00:00,308.941632972,315.461563017
 01/01  13:00:00,308.146384331,259.442133868
 01/01  14:00:00,288.244803642,245.964087624
 01/01  15:00:00,288.255688368,244.551832684
 01/01  16:00:00,288.86548555,246.752231517
 01/01  17:00:00,319.406818989,230.873052188
 01/01  18:00:00,359.15774246300003,218.050836883
 01/01  19:00:00,426.22617803300005,257.517625973
 01/01  20:00:00,428.655710236,290.01088678400004
 01/01  21:00:00,447.73494261800005,289.81345785400003
 01/01  22:00:00,419.223876336,288.712283417
 01/01  23:00:00,366.40878598800003,398.95609912
 01/01  24:00:00,304.24003027,241.381203754
 01/02  01:00:00,200.859947928,126.96810695100001
 01/02  02:00:00,143.931374345,97.91681206049999
 01/02  03:00:00,180.292843242,103.382971058
 01/02  04:00:00,156.67199647200002,113.050021567
 01/02  05:00:00,161.79829864799999,152.308508195
 01/02  06:00:00,202.530321166,252.302451752
 01/02  07:00:00,348.468985187,417.980701061
 01/02  08:00:00,428.511570357,560.145147073
 01/02  09:00:00,355.54926164,449.27990769999997
 01/02  10:00:00,312.475401413,383.445710916
 01/02  11:00:00,251.667221393,339.284150027
 01/02  12:00:00,231.82765229,311.417231716
 01/02  13:00:00,234.832847945,334.86944050200003
 01/02  14:00:00,210.083462172,408.245913351
 01/02  15:00:00,206.34166737200002,520.137806167
 01/02  16:00:00,210.34773702400003,451.608753256
 01/02  17:00:00,238.956057767,394.857149429
 01/02  18:00:00,282.567260093,408.14460112800003
 01/02  19:00:00,351.68255749599996,575.276759807
 01/02  20:00:00,361.227599133,483.74379869300003
 01/02  21:00:00,387.47040599900004,494.377111525
 01/02  22:00:00,374.75494730599996,612.151945857
 01/02  23:00:00,288.637726079,528.568896914
 01/02  24:00:00,198.366378401,417.370360445
 01/03  01:00:00,148.418434969,178.611273313
 01/03  02:00:00,135.838683146,141.313511237
 01/03  03:00:00,125.395377495,136.73338307
 01/03  04:00:00,123.603764343,134.469334521
 01/03  05:00:00,131.78320119100002,164.213874505
 01/03  06:00:00,167.12488944700002,261.141530695
 01/03  07:00:00,293.222733803,425.88555473300005
 01/03  08:00:00,344.82128383599996,774.63784497
 01/03  09:00:00,282.122146211,714.839926584
 01/03  10:00:00,264.09401351099996,631.14895202
 01/03  11:00:00,229.613408145,571.565705994
 01/03  12:00:00,260.275507238,505.841436966
 01/03  13:00:00,279.92113608,492.18140884400003
 01/03  14:00:00,272.353502337,459.690172121
 01/03  15:00:00,253.69250183900002,447.497733374
 01/03  16:00:00,245.50093666599997,443.644947245
 01/03  17:00:00,256.423580981,417.417974575
 01/03  18:00:00,275.029698806,456.904546252
 01/03  19:00:00,334.822423378,637.523407346
 01/03  20:00:00,338.639848111,537.836668054
 01/03  21:00:00,370.82659827,545.383271491
 01/03  22:00:00,365.520941672,659.985995795
 01/03  23:00:00,287.883851099,569.809731979
 01/03  24:00:00,200.856603531,451.415506099
 01/04  01:00:00,148.498839997,189.27629797900002
 01/04  02:00:00,134.98688404700002,144.631970595
 01/04  03:00:00,122.855806433,139.96106409799998
 01/04  04:00:00,119.844733544,135.766256053
 01/04  05:00:00,127.169708303,168.098074398
 01/04  06:00:00,162.620754997,263.073195315
 01/04  07:00:00,288.28923264,425.20610564300006
 01/04  08:00:00,368.96560253900003,785.46319583
 01/04  09:00:00,296.547027402,734.4287905
 01/04  10:00:00,266.30964591599997,629.94896749
 01/04  11:00:00,277.415592759,571.93946668
 01/04  12:00:00,277.15971176,479.75543474
 01/04  13:00:00,244.39451583599998,438.71367881099997
 01/04  14:00:00,226.96261183299998,383.041580628
 01/04  15:00:00,219.72161976900003,366.27127759900003
 01/04  16:00:00,215.387401483,375.863045769
 01/04  17:00:00,238.437616127,349.881120927
 01/04  18:00:00,272.46695488,465.03372960400003
 01/04  19:00:00,337.90093789,602.651167009
 01/04  20:00:00,341.91760757099996,510.46625682800004
 01/04  21:00:00,370.015451547,522.706763079
 01/04  22:00:00,370.72740785,628.40717248
 01/04  23:00:00,300.288700463,528.5339719130001
 01/04  24:00:00,215.20136437,403.635350192
 01/05  01:00:00,134.284800394,183.580429743
 01/05  02:00:00,126.064236635,139.456997779
 01/05  03:00:00,117.267972323,134.727338002
 01/05  04:00:00,117.021521444,131.316025476
 01/05  05:00:00,124.712379394,161.374331117
 01/05  06:00:00,159.68150607299998,257.734685882
 01/05  07:00:00,283.163645357,420.02530990199995
 01/05  08:00:00,365.978770424,723.7327548410001
 01/05  09:00:00,303.900982975,667.380227256
 01/05  10:00:00,346.501328214,576.847135763
 01/05  11:00:00,248.668645567,502.95856106
 01/05  12:00:00,212.39930874900003,396.29985457
 01/05  13:00:00,201.844811943,378.206208145
 01/05  14:00:00,188.503492175,392.502218272
 01/05  15:00:00,189.040889105,370.36855853699996
 01/05  16:00:00,189.469917267,360.400441499
 01/05  17:00:00,218.889119175,328.981927353
 01/05  18:00:00,267.996558509,380.403592939
 01/05  19:00:00,343.783787844,565.42143588
 01/05  20:00:00,358.723998348,458.160425102
 01/05  21:00:00,387.53378981699996,468.60569908300005
 01/05  22:00:00,374.795300986,583.522917313
 01/05  23:00:00,302.95492367400004,473.04826513
 01/05  24:00:00,214.908622858,344.72495794599996
 01/06  01:00:00,121.69490704299999,166.945198482
 01/06  02:00:00,117.509623657,131.22882901
 01/06  03:00:00,123.075600796,127.33660617299999
 01/06  04:00:00,125.479553664,124.992549741
 01/06  05:00:00,135.019755081,154.824311809
 01/06  06:00:00,171.584895,253.761846402
 01/06  07:00:00,315.009349665,411.160840543
 01/06  08:00:00,380.60363874800004,637.7161593330001
 01/06  09:00:00,309.636232105,538.741883842
 01/06  10:00:00,276.439213323,438.73277007800004
 01/06  11:00:00,228.98894082400003,364.382957121
 01/06  12:00:00,225.984924459,282.12710744
 01/06  13:00:00,232.27254913599998,266.642680612
 01/06  14:00:00,249.29265289900002,251.535752177
 01/06  15:00:00,278.78799249400004,246.060860522
 01/06  16:00:00,272.470489161,247.143591533
 01/06  17:00:00,286.68239856599996,229.931654453
 01/06  18:00:00,319.48400107599997,256.48625532
 01/06  19:00:00,377.954968979,433.041887683
 01/06  20:00:00,381.047467779,331.22923487400004
 01/06  21:00:00,411.216163929,337.542296749
 01/06  22:00:00,401.946218358,464.627345582
 01/06  23:00:00,320.585966763,382.477798675
 01/06  24:00:00,226.85645730099998,267.84078836
 01/07  01:00:00,130.490950065,214.558656189
 01/07  02:00:00,139.900129294,175.038269885
 01/07  03:00:00,125.95685042,160.187591081
 01/07  04:00:00,128.790445126,142.528591713
 01/07  05:00:00,139.112217518,168.71391557200002
 01/07  06:00:00,155.870710345,191.24180707099998
 01/07  07:00:00,311.824446134,263.544857016
 01/07  08:00:00,321.080944095,439.76074641099996
 01/07  09:00:00,377.71654718699995,617.788047672
 01/07  10:00:00,325.22959966900004,506.98679227199995
 01/07  11:00:00,247.65236799599998,424.97994597300004
 01/07  12:00:00,244.361994239,330.106715178
 01/07  13:00:00,299.60539254599996,264.686483924
 01/07  14:00:00,296.913115588,253.77875269999998
 01/07  15:00:00,301.766290599,245.92325219900002
 01/07  16:00:00,301.530083104,255.77186286900002
 01/07  17:00:00,322.197597379,233.400654475
 01/07  18:00:00,361.64369098599997,226.28854192
 01/07  19:00:00,440.975805215,258.029906651
 01/07  20:00:00,434.45241778,296.029227925
 01/07  21:00:00,444.023435214,299.851943834
 01/07  22:00:00,433.906960523,293.326338271
 01/07  23:00:00,380.31477478,402.723302881
 01/07  24:00:00,308.153910821,246.13177509099998
 01/08  01:00:00,150.22594045600002,133.225501082
 01/08  02:00:00,161.508616661,97.65079679450001
 01/08  03:00:00,147.14972808,97.66958535170001
 01/08  04:00:00,152.129690883,103.951145418
 01/08  05:00:00,170.08642002,132.478830344
 01/08  06:00:00,182.23463323,187.790042398
 01/08  07:00:00,309.07784169999996,264.000580388
 01/08  08:00:00,350.39313773099997,448.18432109099996
 01/08  09:00:00,405.130402836,635.954273088
 01/08  10:00:00,359.729260852,527.150431057
 01/08  11:00:00,268.266193031,459.306988454
 01/08  12:00:00,262.783525755,409.057336564
 01/08  13:00:00,259.712662727,338.217258994
 01/08  14:00:00,242.62076268299998,317.111211635
 01/08  15:00:00,240.706992804,316.490135953
 01/08  16:00:00,249.426180874,314.049120707
 01/08  17:00:00,277.15976381,299.698206767
 01/08  18:00:00,299.640209481,323.97508089
 01/08  19:00:00,366.183336203,418.39169544
 01/08  20:00:00,377.78088381199996,531.238794397
 01/08  21:00:00,405.112369585,486.958816506
 01/08  22:00:00,376.787693099,453.653556689
 01/08  23:00:00,316.309566499,580.116682833
 01/08  24:00:00,227.752656894,435.86430640099996
 01/09  01:00:00,143.5572271,172.887333993
 01/09  02:00:00,136.964128438,135.799033635
 01/09  03:00:00,129.333693969,130.97160991
