Date/Time,Electricity:Facility [kW](Hourly),Gas:Facility [kW](Hourly)
 01/02  01:00:00,12.569683660399999,0.0
 01/02  02:00:00,12.569683660399999,0.0
 01/02  03:00:00,12.569683660399999,0.0
 01/02  04:00:00,12.569683660399999,0.0
 01/02  05:00:00,12.569683660399999,0.0
 01/02  06:00:00,12.569683660399999,0.0
 01/02  07:00:00,27.0976014161,173.804931365
 01/02  08:00:00,32.181533895,141.841401437
 01/02  09:00:00,41.3471204217,115.637252569
 01/02  10:00:00,58.581462403,72.542624749
 01/02  11:00:00,58.338519292200004,46.966283726499995
 01/02  12:00:00,58.3324287259,24.6524026474
 01/02  13:00:00,58.3324287259,12.4646648047
 01/02  14:00:00,58.3324287259,5.711118139550001
 01/02  15:00:00,58.3324287259,3.52011852509
 01/02  16:00:00,58.3324287259,3.01683502074
 01/02  17:00:00,58.3324287259,2.8579364065599995
 01/02  18:00:00,63.843095392600006,4.722864620819999
 01/02  19:00:00,53.9911862855,12.914054093699999
 01/02  20:00:00,54.108623038599994,25.897165686199997
 01/02  21:00:00,49.155675181899994,32.9120641873
 01/02  22:00:00,20.693606815,0.0
 01/02  23:00:00,12.569683660399999,0.0
 01/02  24:00:00,12.569683660399999,0.0
 01/03  01:00:00,12.569683660399999,0.0
 01/03  02:00:00,12.569683660399999,0.0
 01/03  03:00:00,12.569683660399999,0.0
 01/03  04:00:00,12.569683660399999,0.0
 01/03  05:00:00,12.569683660399999,0.0
 01/03  06:00:00,12.569683660399999,0.0
 01/03  07:00:00,26.6523852546,117.898088966
 01/03  08:00:00,31.830599929699996,90.7631947142
 01/03  09:00:00,41.3114529936,80.5878334353
 01/03  10:00:00,58.8926090443,63.572436791899996
 01/03  11:00:00,58.849732244799995,59.6350843587
 01/03  12:00:00,58.8029977177,52.56751447520001
 01/03  13:00:00,58.791149507600004,51.27056826770001
 01/03  14:00:00,58.7964497957,51.8000611929
 01/03  15:00:00,58.7994812432,51.8331832602
 01/03  16:00:00,58.809333772600006,50.5855302632
 01/03  17:00:00,58.8542878697,55.6074411495
 01/03  18:00:00,64.4116611251,61.6478110134
 01/03  19:00:00,54.540070639899994,66.5366102958
 01/03  20:00:00,54.587632557700005,73.2582292287
 01/03  21:00:00,49.5939735963,76.2468676254
 01/03  22:00:00,20.693606815,0.0
 01/03  23:00:00,12.569683660399999,0.0
 01/03  24:00:00,12.569683660399999,0.0
 01/04  01:00:00,12.569683660399999,0.0
 01/04  02:00:00,12.569683660399999,0.0
 01/04  03:00:00,12.569683660399999,0.0
 01/04  04:00:00,12.569683660399999,0.0
 01/04  05:00:00,12.569683660399999,0.0
 01/04  06:00:00,12.569683660399999,0.0
 01/04  07:00:00,27.233412647199998,164.864378474
 01/04  08:00:00,32.229339981399995,127.18728741299999
 01/04  09:00:00,41.4597218889,108.35721767
 01/04  10:00:00,58.831318528699995,79.7216419034
 01/04  11:00:00,58.586932753199996,64.9228108194
 01/04  12:00:00,58.375719269300006,46.44301763479999
 01/04  13:00:00,58.3324287259,38.2678495514
 01/04  14:00:00,58.4546081087,36.3566481811
 01/04  15:00:00,58.4682387238,34.0830964908
 01/04  16:00:00,58.5028495062,31.965038338400003
 01/04  17:00:00,58.6580115913,40.7330774597
 01/04  18:00:00,64.2932982665,54.811568605
 01/04  19:00:00,54.4693762613,66.78227019149999
 01/04  20:00:00,54.549120959300005,78.0496019324
 01/04  21:00:00,49.5823227133,84.73190831630001
 01/04  22:00:00,20.693606815,0.0
 01/04  23:00:00,12.569683660399999,0.0
 01/04  24:00:00,12.569683660399999,0.0
 01/05  01:00:00,12.569683660399999,0.0
 01/05  02:00:00,12.569683660399999,0.0
 01/05  03:00:00,12.569683660399999,0.0
 01/05  04:00:00,12.569683660399999,0.0
 01/05  05:00:00,12.619580021900001,0.330685506205
 01/05  06:00:00,12.7004255696,1.1390570336
 01/05  07:00:00,27.428918494899996,207.29884412799998
 01/05  08:00:00,32.4839578561,169.51158330799998
 01/05  09:00:00,41.623638559899995,142.544185653
 01/05  10:00:00,58.8871705301,104.51812804
 01/05  11:00:00,58.59972594479999,83.185928958
 01/05  12:00:00,58.377517841899994,62.6172064729
 01/05  13:00:00,58.3324287259,48.5130482064
 01/05  14:00:00,58.3324287259,36.725468006
 01/05  15:00:00,58.3324287259,27.4205091324
 01/05  16:00:00,58.3324287259,19.9330174917
 01/05  17:00:00,58.3324287259,21.180873645
 01/05  18:00:00,63.954243627,33.2247627929
 01/05  19:00:00,54.267482926199996,48.952759911
 01/05  20:00:00,54.390595066,63.957764758900005
 01/05  21:00:00,49.4135847538,68.7319069248
 01/05  22:00:00,20.693606815,0.0
 01/05  23:00:00,12.569683660399999,0.0
 01/05  24:00:00,12.569683660399999,0.0
 01/06  01:00:00,12.569683660399999,0.0
 01/06  02:00:00,12.569683660399999,0.0
 01/06  03:00:00,12.569683660399999,0.0
 01/06  04:00:00,12.569683660399999,0.0
 01/06  05:00:00,12.569683660399999,0.0
