Date/Time,Electricity:Facility [kW](Hourly),Gas:Facility [kW](Hourly)
 01/01  01:00:00,42.7928756771,0.02
 01/01  02:00:00,42.3681893869,0.02
 01/01  03:00:00,44.7734702976,1.10300047408
 01/01  04:00:00,42.6069144733,0.02
 01/01  05:00:00,45.029281249899995,0.02
 01/01  06:00:00,42.733982952,1.10302141859
 01/01  07:00:00,45.221067452700005,0.02
 01/01  08:00:00,38.0960500474,1.1029982593799998
 01/01  09:00:00,30.3750817595,0.02
 01/01  10:00:00,27.566310561799998,1.10294884869
 01/01  11:00:00,29.3298895856,0.02
 01/01  12:00:00,26.9171417329,1.1030923457700001
 01/01  13:00:00,26.6393741445,0.02
 01/01  14:00:00,26.412047279099998,1.10320534201
 01/01  15:00:00,26.2264402546,0.02
 01/01  16:00:00,24.3030878084,1.1029855975799998
 01/01  17:00:00,24.3972954887,0.02
 01/01  18:00:00,38.265395317199996,0.02
 01/01  19:00:00,41.3857730269,1.1029885423299999
 01/01  20:00:00,43.44692075729999,0.02
 01/01  21:00:00,41.648934761999996,1.10298963273
 01/01  22:00:00,43.7306718475,0.02
 01/01  23:00:00,41.8272339509,0.02
 01/01  24:00:00,43.9360859187,1.10299156254
 01/02  01:00:00,46.607255598100004,0.02
 01/02  02:00:00,48.54784734890001,1.10299536367
 01/02  03:00:00,46.8321433546,0.02
 01/02  04:00:00,49.0275477528,1.10304807581
 01/02  05:00:00,47.2610499504,0.02
 01/02  06:00:00,52.0902620403,1.1031800697299998
 01/02  07:00:00,243.646864613,0.02
 01/02  08:00:00,204.11924103200002,6.720607085449999
 01/02  09:00:00,212.44980670599998,4.33794048536
 01/02  10:00:00,185.215908881,2.4972287645900004
 01/02  11:00:00,177.25941298400002,2.18914699827
 01/02  12:00:00,172.20722613799998,2.18940963693
 01/02  13:00:00,175.38788510700002,3.27596634912
 01/02  14:00:00,164.012366618,2.19032109151
 01/02  15:00:00,155.261306157,2.18884093471
 01/02  16:00:00,149.866466793,2.18833631022
 01/02  17:00:00,153.413250831,2.18937855101
 01/02  18:00:00,158.352166066,1.10394554796
 01/02  19:00:00,135.837335387,2.18746639775
 01/02  20:00:00,134.678266919,0.02
 01/02  21:00:00,128.680638862,1.1034722730700002
 01/02  22:00:00,128.954563359,1.10328665275
 01/02  23:00:00,41.6166002114,0.02
 01/02  24:00:00,38.9361841996,1.10299598534
 01/03  01:00:00,38.9361841996,0.02
 01/03  02:00:00,38.9361841996,1.10299484989
 01/03  03:00:00,38.9361841996,0.02
 01/03  04:00:00,38.9361841996,1.10299552465
 01/03  05:00:00,38.9361841996,0.02
 01/03  06:00:00,41.6166002114,1.10312203013
 01/03  07:00:00,172.156810984,0.02
 01/03  08:00:00,149.667775165,20.1029672149
 01/03  09:00:00,164.360106056,17.5560792917
 01/03  10:00:00,139.61457512299998,8.30935766073
 01/03  11:00:00,132.80167018,2.18893506582
 01/03  12:00:00,133.933777583,2.1894774515099997
 01/03  13:00:00,138.39917644,3.27608815865
 01/03  14:00:00,133.849791899,2.19040854688
 01/03  15:00:00,130.163049704,2.18892342398
 01/03  16:00:00,130.75975147,2.1884244038599996
 01/03  17:00:00,133.083677459,2.18913173942
 01/03  18:00:00,137.881658931,1.10399154775
 01/03  19:00:00,115.203236027,5.69801709774
 01/03  20:00:00,116.579228284,9.49271051666
 01/03  21:00:00,111.736629041,14.5607305665
 01/03  22:00:00,115.314377825,18.0535816271
 01/03  23:00:00,41.6166002114,1.10299620589
 01/03  24:00:00,38.9361841996,0.02
 01/04  01:00:00,38.9361841996,0.02
 01/04  02:00:00,38.9361841996,1.1029938738299998
 01/04  03:00:00,38.9361841996,0.02
 01/04  04:00:00,38.9361841996,1.10299658665
 01/04  05:00:00,38.9361841996,0.02
 01/04  06:00:00,47.299896849899994,1.3980686042299997
 01/04  07:00:00,184.80836179099998,0.02
 01/04  08:00:00,159.11751899700002,55.6132401651
 01/04  09:00:00,171.09162983,46.8943641184
 01/04  10:00:00,145.83564797,37.4080989536
 01/04  11:00:00,137.554814475,27.2712561242
 01/04  12:00:00,137.291478978,13.840861656900001
 01/04  13:00:00,139.34782098,6.11365963378
 01/04  14:00:00,134.3493745,2.6680701989099997
 01/04  15:00:00,126.55405652799999,2.1890776284599998
 01/04  16:00:00,123.25723813399999,2.1883638959200002
 01/04  17:00:00,125.456986538,2.18929983239
 01/04  18:00:00,130.24414512799999,2.58507385197
 01/04  19:00:00,108.145802466,9.19257265597
 01/04  20:00:00,112.18247270200001,15.9930246022
 01/04  21:00:00,107.175076,26.7108435721
 01/04  22:00:00,111.82212295,28.110755878699997
 01/04  23:00:00,41.6166002114,1.1029978823
 01/04  24:00:00,38.9361841996,0.02
 01/05  01:00:00,38.9361841996,1.1029967631
 01/05  02:00:00,38.9361841996,0.02
 01/05  03:00:00,38.9361841996,0.02
 01/05  04:00:00,38.9361841996,1.1029944171
 01/05  05:00:00,38.9361841996,0.02
 01/05  06:00:00,41.6166002114,1.10310617534
 01/05  07:00:00,172.433556846,0.150328787436
 01/05  08:00:00,149.721093036,44.1109396834
 01/05  09:00:00,164.683303218,38.3812905806
 01/05  10:00:00,141.919354209,27.649021483400002
 01/05  11:00:00,135.821673535,9.68944486925
 01/05  12:00:00,135.24638459,2.1898310506
 01/05  13:00:00,138.187181995,3.27567374351
 01/05  14:00:00,133.312033571,3.2754254669300003
 01/05  15:00:00,126.15053850700001,1.1041656501700001
 01/05  16:00:00,123.4987412,2.1883495581
 01/05  17:00:00,125.826032683,2.18953367091
 01/05  18:00:00,129.093626621,2.18797141373
 01/05  19:00:00,102.947716663,1.19040304831
 01/05  20:00:00,105.623473178,4.2469931063
 01/05  21:00:00,99.31821082879999,6.707711085240001
 01/05  22:00:00,101.45585319799999,5.70600204162
 01/05  23:00:00,41.6166002114,1.1030000647799998
 01/05  24:00:00,38.9361841996,0.02
 01/06  01:00:00,38.9361841996,1.10299642263
 01/06  02:00:00,38.9361841996,0.02
 01/06  03:00:00,38.9361841996,1.10299342397
 01/06  04:00:00,38.9361841996,0.02
 01/06  05:00:00,38.9361841996,0.02
 01/06  06:00:00,41.6166002114,1.10306770358
 01/06  07:00:00,138.43592349,1.10298179343
 01/06  08:00:00,125.554554171,12.5213287468
 01/06  09:00:00,156.74990635,11.6098405556
 01/06  10:00:00,147.585072782,15.888222796800001
 01/06  11:00:00,150.306334269,20.9796317628
 01/06  12:00:00,152.548926153,23.069759009499997
 01/06  13:00:00,151.871917354,24.031450348000003
 01/06  14:00:00,145.017939179,23.8211273754
 01/06  15:00:00,140.758112267,22.467429809400002
 01/06  16:00:00,141.14443734399998,22.6291319261
 01/06  17:00:00,144.821663651,24.544544125599998
 01/06  18:00:00,150.655618812,23.1399103414
 01/06  19:00:00,127.548510396,27.2847743818
 01/06  20:00:00,126.208245804,29.3230010891
 01/06  21:00:00,117.329732635,30.5232906585
 01/06  22:00:00,124.51506566399999,30.0898897431
 01/06  23:00:00,41.6166002114,1.1031719951
 01/06  24:00:00,38.9361841996,0.02
 01/07  01:00:00,33.5753521762,1.1029978356799999
 01/07  02:00:00,33.5753521762,0.02
 01/07  03:00:00,35.053379762,1.1354019159
 01/07  04:00:00,41.3782904254,0.02
 01/07  05:00:00,40.9155253034,1.1029951761599999
 01/07  06:00:00,42.2198441275,0.02
 01/07  07:00:00,192.442063543,1.10311615829
 01/07  08:00:00,155.016855716,50.8345798366
 01/07  09:00:00,148.643891578,50.8201861911
 01/07  10:00:00,143.570188949,48.555196028800005
 01/07  11:00:00,138.185340422,48.2369653497
 01/07  12:00:00,135.536145172,46.843276143400004
 01/07  13:00:00,128.677534092,43.374371511999996
 01/07  14:00:00,112.676025798,37.520199996
 01/07  15:00:00,94.2665494829,37.324463486599996
 01/07  16:00:00,104.038586347,39.9362120368
 01/07  17:00:00,110.63325534299999,44.2077990925
 01/07  18:00:00,121.99325387399999,49.1012245168
 01/07  19:00:00,33.5753521762,1.1030889177
 01/07  20:00:00,33.5753521762,0.02
 01/07  21:00:00,36.5125685767,1.15750361042
 01/07  22:00:00,40.4548899232,0.0894329280862
 01/07  23:00:00,44.2478018142,1.78206973903
 01/07  24:00:00,43.0684559601,1.10342321727
 01/08  01:00:00,51.639754664799995,3.61204429326
 01/08  02:00:00,58.414211558999995,2.45289760063
 01/08  03:00:00,67.1861057843,4.064877822780001
 01/08  04:00:00,60.995586411000005,4.334174804040001
 01/08  05:00:00,68.66536961359999,4.57311117285
 01/08  06:00:00,62.5119268238,4.76508671893
 01/08  07:00:00,71.956495171,5.17330795499
 01/08  08:00:00,61.102766888199994,5.28689110891
 01/08  09:00:00,54.0157234117,5.45783070707
 01/08  10:00:00,41.6579251295,3.582342033
 01/08  11:00:00,36.4118769951,5.05510767835
 01/08  12:00:00,29.933023608600003,2.0396183798900003
 01/08  13:00:00,28.6750415802,2.43326060789
 01/08  14:00:00,25.7698378749,0.16825370797699998
 01/08  15:00:00,26.6377325924,1.1307459562
 01/08  16:00:00,24.2109266038,0.02
 01/08  17:00:00,29.181353368299998,1.10295671733
 01/08  18:00:00,42.0961149002,0.02
 01/08  19:00:00,51.5267858105,1.16737381682
 01/08  20:00:00,53.6849204401,0.33466339095
 01/08  21:00:00,62.5060728301,1.8040959038799997
 01/08  22:00:00,65.3034848918,2.9719659257899997
 01/08  23:00:00,71.96489332680001,3.4910193571199994
 01/08  24:00:00,71.6042870057,4.24608540702
 01/09  01:00:00,80.7894142017,4.74822832364
 01/09  02:00:00,79.0498460372,4.993514391280001
 01/09  03:00:00,84.02535487,5.53913598253
 01/09  04:00:00,80.72244060119999,5.390439729110001
 01/09  05:00:00,85.7948954909,5.8372776567799995
 01/09  06:00:00,85.9456286997,5.61088360605
 01/09  07:00:00,272.278036742,1.38222640549
 01/09  08:00:00,244.096786353,74.9849485788
 01/09  09:00:00,241.834303073,66.0920219594
 01/09  10:00:00,205.08543280700002,54.3474077712
 01/09  11:00:00,182.112306871,42.068110653699996
 01/09  12:00:00,172.96202951400002,31.137257619499998
 01/09  13:00:00,174.26557784,24.1730537032
 01/09  14:00:00,159.549629012,16.3636155999
 01/09  15:00:00,147.766983912,12.8336191016
 01/09  16:00:00,141.354412229,10.2755232977
 01/09  17:00:00,141.46318919,9.83806319286
 01/09  18:00:00,153.36914350200001,11.7361946203
 01/09  19:00:00,136.84321550299998,15.2303337625
 01/09  20:00:00,138.850661165,16.341563989
 01/09  21:00:00,135.21438294,18.4029584116
 01/09  22:00:00,136.944371268,19.5445451088
 01/09  23:00:00,41.6166002114,1.10299881363
 01/09  24:00:00,38.9361841996,0.02
 01/10  01:00:00,38.9361841996,1.10299501776
 01/10  02:00:00,38.9361841996,0.02
 01/10  03:00:00,38.9361841996,0.02
 01/10  04:00:00,38.9361841996,1.10299862071
 01/10  05:00:00,44.6531461929,0.127497209507
 01/10  06:00:00,49.538887892,1.1584840298399999
 01/10  07:00:00,198.082237929,0.02
 01/10  08:00:00,167.144908656,33.0655403815
