Date/Time,Electricity:Facility [kW](Hourly),Gas:Facility [kW](Hourly)
 01/01  01:00:00,18.9305163921,99.07420348040002
 01/01  02:00:00,18.019568099,85.98446826280001
 01/01  03:00:00,17.6577337809,82.7860441659
 01/01  04:00:00,17.4058126723,78.8748991004
 01/01  05:00:00,19.4614331949,79.2888403625
 01/01  06:00:00,23.8077157321,78.1683227326
 01/01  07:00:00,28.789030544899997,81.922570275
 01/01  08:00:00,27.9947994574,85.9466281231
 01/01  09:00:00,24.3735693894,98.44890485209999
 01/01  10:00:00,21.7638944865,104.19594723
 01/01  11:00:00,18.9229800608,105.59925845
 01/01  12:00:00,19.1157249585,104.05832900600001
 01/01  13:00:00,19.1131845819,107.955686454
 01/01  14:00:00,18.8437636802,113.308672056
 01/01  15:00:00,18.8121887691,116.32959336
 01/01  16:00:00,20.2765344592,121.526039634
 01/01  17:00:00,33.3461357369,132.367053003
 01/01  18:00:00,40.383872918499996,129.154171828
 01/01  19:00:00,42.2342916753,118.295443241
 01/01  20:00:00,41.312833458,118.25793366799999
 01/01  21:00:00,40.9171833663,117.212561296
 01/01  22:00:00,35.5564499062,116.19728390600001
 01/01  23:00:00,28.859679405399998,120.69578931
 01/01  24:00:00,23.1821705474,121.129101676
 01/02  01:00:00,19.6574630175,121.22233337799999
 01/02  02:00:00,19.206132774,123.714953709
 01/02  03:00:00,18.970617883499997,124.26769399
 01/02  04:00:00,18.8499669566,124.57600507299999
 01/02  05:00:00,21.3996169909,138.320696574
 01/02  06:00:00,25.9004747449,141.085367903
 01/02  07:00:00,30.8208772966,144.086152033
 01/02  08:00:00,30.3497753113,150.614840635
 01/02  09:00:00,27.8115835725,152.26931245
 01/02  10:00:00,24.519111693400003,135.730333761
 01/02  11:00:00,21.206402350599998,122.706706576
 01/02  12:00:00,20.947939554,108.089429703
 01/02  13:00:00,20.3829871083,99.3580823665
 01/02  14:00:00,19.9752658425,93.53810632950001
 01/02  15:00:00,19.7990773145,91.6928214726
 01/02  16:00:00,21.359455494200002,101.112773346
 01/02  17:00:00,34.4852430812,115.3301433
 01/02  18:00:00,40.0284515616,113.227999072
 01/02  19:00:00,41.9922445555,112.05342006299999
 01/02  20:00:00,41.283855367600005,118.496572785
 01/02  21:00:00,41.127305586,122.42399970700001
 01/02  22:00:00,35.930005304699996,124.909753114
 01/02  23:00:00,29.3790583104,132.762164506
 01/02  24:00:00,23.8535274481,137.03957774100002
 01/03  01:00:00,20.4718647995,140.81616599
 01/03  02:00:00,19.9627488221,141.271878512
 01/03  03:00:00,19.8475409117,145.006532649
 01/03  04:00:00,19.8331616637,147.880988097
 01/03  05:00:00,21.8494977942,145.597396866
 01/03  06:00:00,26.3945031129,149.817112563
 01/03  07:00:00,31.4738199896,156.643552187
 01/03  08:00:00,30.540818709299998,149.68407359
 01/03  09:00:00,27.659835453400003,141.213103979
 01/03  10:00:00,24.5334906938,130.803942105
 01/03  11:00:00,21.4405738045,125.003011565
 01/03  12:00:00,21.3497158564,116.81361569299999
 01/03  13:00:00,20.8828384031,112.78551233
 01/03  14:00:00,20.2978020265,103.683714559
 01/03  15:00:00,20.2105275336,104.604459631
 01/03  16:00:00,21.6980518264,110.680943655
 01/03  17:00:00,34.532060015,113.828426736
 01/03  18:00:00,40.1358601701,114.255489161
 01/03  19:00:00,42.2534418698,116.66586239600001
 01/03  20:00:00,41.5451789262,122.050005335
 01/03  21:00:00,41.3838475011,127.23808465299999
 01/03  22:00:00,36.0499381324,126.747004117
 01/03  23:00:00,29.2443930632,128.04779601299998
 01/03  24:00:00,23.5899988773,128.84745395299998
 01/04  01:00:00,20.2219511556,133.129439861
 01/04  02:00:00,19.7825595224,135.977203636
 01/04  03:00:00,19.641196254300002,139.271049595
 01/04  04:00:00,19.585827550999998,141.379861976
 01/04  05:00:00,21.7224423304,143.18072193
 01/04  06:00:00,26.186272840500003,145.323656102
 01/04  07:00:00,31.433958348,157.245448975
 01/04  08:00:00,31.0166679664,164.95069805100002
 01/04  09:00:00,28.38458686,162.964016116
 01/04  10:00:00,25.200415984099998,149.19358166700002
 01/04  11:00:00,21.710794490100003,130.706957093
 01/04  12:00:00,21.3756160194,115.45859905299999
 01/04  13:00:00,20.6056243889,103.621028147
 01/04  14:00:00,20.148826266700002,98.00699258040001
 01/04  15:00:00,20.0636336422,99.1696062969
 01/04  16:00:00,21.426021174200002,100.527741339
 01/04  17:00:00,34.2600081562,103.36415499299999
 01/04  18:00:00,39.736301308099996,99.8417199283
 01/04  19:00:00,41.5927219197,94.9102068206
 01/04  20:00:00,40.6647326356,95.4785907586
 01/04  21:00:00,40.3088736757,96.9815134623
 01/04  22:00:00,34.8423410948,93.2085019721
 01/04  23:00:00,28.079939575999997,97.2444911424
 01/04  24:00:00,22.3019561192,95.39855862450001
 01/05  01:00:00,18.7984961053,97.7115643817
 01/05  02:00:00,18.4099199869,104.390470618
