Date/Time,Electricity:Facility [kW](Hourly),Gas:Facility [kW](Hourly)
 01/01  01:00:00,450.49767759300005,1764.82003856
 01/01  02:00:00,451.366163425,1701.15076326
 01/01  03:00:00,449.741387679,1629.31735389
 01/01  04:00:00,450.165721006,1617.44196154
 01/01  05:00:00,457.423981884,1619.4837908
 01/01  06:00:00,459.288052009,1629.33681388
 01/01  07:00:00,535.188030398,1565.45543089
 01/01  08:00:00,532.707605265,1604.19716737
 01/01  09:00:00,606.936200007,1581.21537838
 01/01  10:00:00,602.1856434580001,1475.44341696
 01/01  11:00:00,608.405595692,1355.98333313
 01/01  12:00:00,605.849036936,1201.83390787
 01/01  13:00:00,600.915762277,1093.77216819
 01/01  14:00:00,591.5621989159999,1076.84046532
 01/01  15:00:00,591.216938521,1108.76240159
 01/01  16:00:00,591.124740761,1140.11567283
 01/01  17:00:00,572.1554829830001,1318.14633956
 01/01  18:00:00,537.3848005369999,1335.4813164
 01/01  19:00:00,509.57959612400003,1382.92675832
 01/01  20:00:00,502.892557485,1330.35850855
 01/01  21:00:00,472.612138034,1363.83840701
 01/01  22:00:00,472.995323545,1396.81413359
 01/01  23:00:00,465.509435414,1354.52619499
 01/01  24:00:00,466.63230605800004,1329.97286197
 01/02  01:00:00,464.09577567900004,1292.03947946
 01/02  02:00:00,462.92266454099996,1253.24946173
 01/02  03:00:00,462.014325457,1242.88196096
 01/02  04:00:00,460.949145361,1214.05857883
 01/02  05:00:00,546.467797228,1132.0081579000002
 01/02  06:00:00,555.525175537,1517.41315341
 01/02  07:00:00,806.12724021,1259.83888667
 01/02  08:00:00,928.4128766189999,1204.20583983
 01/02  09:00:00,956.02709423,1173.9458740999999
 01/02  10:00:00,985.158859835,1015.61912501
 01/02  11:00:00,991.4784739439999,946.046280749
 01/02  12:00:00,1006.53835238,882.9249375989999
 01/02  13:00:00,984.147190078,836.3882814980001
 01/02  14:00:00,1041.14762795,789.146238958
 01/02  15:00:00,1071.94600426,713.154018861
 01/02  16:00:00,1100.18154107,660.164232002
 01/02  17:00:00,1132.39887073,664.2337994530001
 01/02  18:00:00,1165.25879857,641.511631215
 01/02  19:00:00,920.9643994439999,568.806360658
 01/02  20:00:00,928.052272887,537.2347768999999
 01/02  21:00:00,784.785311568,623.14941375
 01/02  22:00:00,719.639253414,675.264026296
 01/02  23:00:00,642.17347171,712.883620697
 01/02  24:00:00,638.851941743,719.413040125
 01/03  01:00:00,611.427737894,764.75241489
 01/03  02:00:00,605.788052271,777.60345914
 01/03  03:00:00,596.105849821,798.460915385
 01/03  04:00:00,621.84496692,729.575465537
 01/03  05:00:00,718.105130777,694.16851046
 01/03  06:00:00,699.08636457,1168.34604409
 01/03  07:00:00,908.678710043,847.9949155639999
 01/03  08:00:00,1019.03198926,834.728045187
 01/03  09:00:00,1044.58445251,850.707044213
 01/03  10:00:00,1083.69018662,795.928245737
 01/03  11:00:00,1105.28621282,757.8963864960001
 01/03  12:00:00,1120.48099167,728.445067922
 01/03  13:00:00,1097.15056042,680.795891716
 01/03  14:00:00,1148.46248983,649.609332955
