Date/Time,Electricity:Facility [kW](Hourly),Gas:Facility [kW](Hourly)
 01/02  01:00:00,13.356148959,13.7842986973
 01/02  02:00:00,13.630356689200001,17.2634810722
 01/02  03:00:00,14.3013339649,31.601873067399996
 01/02  04:00:00,14.404706396,30.5667580264
 01/02  05:00:00,14.8069542647,40.3182377686
 01/02  06:00:00,14.6596703289,34.6518128415
 01/02  07:00:00,27.940635548499998,325.459275535
 01/02  08:00:00,35.5842411958,272.679666311
 01/02  09:00:00,43.5144730302,247.416182268
 01/02  10:00:00,59.337718048199996,208.99683002400002
 01/02  11:00:00,59.2818639043,190.952265015
 01/02  12:00:00,59.2459673604,171.118146871
 01/02  13:00:00,59.1806428054,160.051020011
 01/02  14:00:00,59.067938223599995,149.549789326
 01/02  15:00:00,58.849897093900005,135.719514219
 01/02  16:00:00,58.551888508999994,119.950069284
 01/02  17:00:00,59.953570151,114.393938609
 01/02  18:00:00,67.022565548,113.70974752
 01/02  19:00:00,54.42133964479999,113.561404966
 01/02  20:00:00,54.4532935501,116.401782915
 01/02  21:00:00,49.493075091099996,124.65410871899999
 01/02  22:00:00,20.693606815,0.0
 01/02  23:00:00,12.573863658099999,0.0
 01/02  24:00:00,12.774458655999998,2.7757342940400003
 01/03  01:00:00,13.003712421,6.69225056388
 01/03  02:00:00,13.1732908585,10.190409437000001
 01/03  03:00:00,13.2043538475,10.1665675386
 01/03  04:00:00,13.2546280103,11.7445637172
 01/03  05:00:00,13.225356496,10.6107954291
 01/03  06:00:00,13.3911800757,14.350157115
 01/03  07:00:00,27.4563400852,264.41613127200003
 01/03  08:00:00,35.1472752679,216.972889909
 01/03  09:00:00,43.155505163,198.34872103400002
 01/03  10:00:00,59.28633006810001,172.236501559
 01/03  11:00:00,59.1692837712,157.79092944299998
 01/03  12:00:00,59.0704007716,143.263069074
 01/03  13:00:00,59.000169111999995,133.41138926899998
 01/03  14:00:00,58.922516611599995,124.571319692
 01/03  15:00:00,58.8953595908,122.380885031
 01/03  16:00:00,58.9059635026,120.54390345
 01/03  17:00:00,60.322323977399996,124.148091612
 01/03  18:00:00,67.31933978800001,140.00924932200002
 01/03  19:00:00,54.759424527700006,155.79513394100002
 01/03  20:00:00,54.8592584949,170.744454598
 01/03  21:00:00,49.8829318537,176.75628385599998
 01/03  22:00:00,20.693606815,0.0
 01/03  23:00:00,12.805511703099999,3.5633636769300003
 01/03  24:00:00,13.1723869314,9.83015557021
 01/04  01:00:00,13.309235168099999,12.1284998919
 01/04  02:00:00,13.329716169800001,12.555217091
 01/04  03:00:00,13.3861476706,13.465057776300002
