Date/Time,Electricity:Facility [kW](Hourly),Gas:Facility [kW](Hourly)
 01/01  01:00:00,748.1541223360001,676.7717667969999
 01/01  02:00:00,707.992198662,703.07753189
 01/01  03:00:00,698.404734137,709.9646373180001
 01/01  04:00:00,683.24330238,728.845899238
 01/01  05:00:00,684.457609714,727.5023507430001
 01/01  06:00:00,677.050453884,761.956479064
 01/01  07:00:00,736.6444374069999,734.6397342160001
 01/01  08:00:00,723.951333341,720.583079708
 01/01  09:00:00,828.767724424,634.565557604
 01/01  10:00:00,907.7748612830001,560.11292825
 01/01  11:00:00,1043.21648381,605.842011915
 01/01  12:00:00,1098.82678948,595.9273112559999
 01/01  13:00:00,1105.80845003,599.022019967
 01/01  14:00:00,1103.4990008,555.5754163180001
 01/01  15:00:00,1107.17895726,550.314541069
 01/01  16:00:00,1104.78556527,573.885016205
 01/01  17:00:00,1086.29366974,601.656512668
 01/01  18:00:00,1046.92683319,626.425442839
 01/01  19:00:00,1014.74880855,656.028054225
 01/01  20:00:00,994.1085266360001,635.567152214
 01/01  21:00:00,919.0537852260001,674.609969928
 01/01  22:00:00,884.403990942,665.888018159
 01/01  23:00:00,844.329825398,669.8142261830001
 01/01  24:00:00,811.72090856,661.397797166
 01/02  01:00:00,794.654383729,650.627430166
 01/02  02:00:00,779.346293103,664.225281964
 01/02  03:00:00,772.15506937,668.327058847
 01/02  04:00:00,774.127396212,671.78324012
 01/02  05:00:00,856.893933328,639.702502934
 01/02  06:00:00,911.6460421410001,1238.69222721
 01/02  07:00:00,1149.41083028,822.757038602
 01/02  08:00:00,1257.28788753,758.35400485
 01/02  09:00:00,1298.24096827,742.951579029
 01/02  10:00:00,1342.87707726,702.812050568
 01/02  11:00:00,1380.63154453,710.3540499110001
 01/02  12:00:00,1415.11971937,685.917907004
 01/02  13:00:00,1407.69864954,664.98910048
 01/02  14:00:00,1460.53441215,639.29063585
 01/02  15:00:00,1464.55966658,609.828515767
 01/02  16:00:00,1466.46004955,602.476749569
 01/02  17:00:00,1473.05509543,618.820931704
 01/02  18:00:00,1421.77929117,615.646243805
 01/02  19:00:00,1081.77166754,552.905916135
 01/02  20:00:00,1039.19863837,530.753640867
 01/02  21:00:00,879.946971738,589.1905964690001
 01/02  22:00:00,839.7303878260001,571.5569920209999
 01/02  23:00:00,762.665926939,592.102160876
 01/02  24:00:00,745.773355121,598.504395642
 01/03  01:00:00,713.413779892,613.56976821
 01/03  02:00:00,688.571754785,652.411188797
 01/03  03:00:00,673.907057226,673.318020596
 01/03  04:00:00,653.71819727,723.1414305689999
 01/03  05:00:00,730.6324609789999,719.4187392919999
 01/03  06:00:00,746.649940788,1068.43704536
 01/03  07:00:00,954.3111363689999,786.582910712
 01/03  08:00:00,1064.81515507,721.60266105
 01/03  09:00:00,1134.72651161,663.08148476
 01/03  10:00:00,1251.61691863,604.287171967
 01/03  11:00:00,1393.26603267,607.67137233
 01/03  12:00:00,1463.42940499,586.371994385
 01/03  13:00:00,1431.24757596,570.118107695
 01/03  14:00:00,1471.47428064,540.578265679
 01/03  15:00:00,1474.79141265,506.63739265199996
 01/03  16:00:00,1472.57491531,521.454921975
 01/03  17:00:00,1481.75256144,553.49579381
 01/03  18:00:00,1483.81665302,553.789866751
 01/03  19:00:00,1208.61274506,522.633456779
 01/03  20:00:00,1195.72316744,499.38498177099996
 01/03  21:00:00,1066.38918443,540.797368838
 01/03  22:00:00,1014.16926438,534.783722397
 01/03  23:00:00,933.4453831019999,539.45755997
 01/03  24:00:00,927.417862575,530.795154659
 01/04  01:00:00,908.593441381,527.45900903
 01/04  02:00:00,891.336226548,533.560627653
 01/04  03:00:00,870.397917909,538.7558252480001
 01/04  04:00:00,863.923674302,536.615992079
 01/04  05:00:00,940.120111467,527.587629676
 01/04  06:00:00,976.913817103,874.246115275
 01/04  07:00:00,1195.03835761,629.534655072
 01/04  08:00:00,1292.65276425,605.391567206
 01/04  09:00:00,1376.43646872,607.031767274
 01/04  10:00:00,1449.28796011,581.7356909609999
 01/04  11:00:00,1461.1895972999998,602.097064563
 01/04  12:00:00,1467.01901959,596.348816591
 01/04  13:00:00,1428.63891423,563.943791197
 01/04  14:00:00,1468.36845579,555.4749847019999
 01/04  15:00:00,1471.11786642,512.7600110330001
 01/04  16:00:00,1470.33807469,502.235745496
 01/04  17:00:00,1484.47512275,539.355593687
 01/04  18:00:00,1485.31481292,537.076637032
 01/04  19:00:00,1170.53665148,536.1441827269999
 01/04  20:00:00,1108.59355111,505.053065096
 01/04  21:00:00,935.192017877,549.052887059
 01/04  22:00:00,841.6082486560001,552.762339099
 01/04  23:00:00,750.902253,570.492516884
 01/04  24:00:00,739.0807737810001,569.047522341
 01/05  01:00:00,714.2567181769999,576.983717605
 01/05  02:00:00,699.0075816369999,597.109599106
 01/05  03:00:00,684.424481943,610.327403817
 01/05  04:00:00,675.677769522,633.401080647
 01/05  05:00:00,757.075689266,622.3540002340001
 01/05  06:00:00,776.3342242389999,922.578170518
 01/05  07:00:00,1006.93472388,673.377415979
 01/05  08:00:00,1143.88034605,616.435735565
 01/05  09:00:00,1258.77123125,593.296779794
 01/05  10:00:00,1408.09721687,557.278946005
 01/05  11:00:00,1459.70964013,571.902251484
 01/05  12:00:00,1471.46272821,557.897269075
 01/05  13:00:00,1442.61422593,522.988124278
 01/05  14:00:00,1487.97084625,509.670289735
 01/05  15:00:00,1495.09813817,462.851167921
 01/05  16:00:00,1501.73135357,458.726817687
 01/05  17:00:00,1515.03848245,514.361899066
 01/05  18:00:00,1515.55904994,504.88110776300005
 01/05  19:00:00,1234.04314545,512.562850732
 01/05  20:00:00,1197.43214191,486.89485947300005
 01/05  21:00:00,971.531632883,530.906799349
 01/05  22:00:00,901.43399105,525.004790869
 01/05  23:00:00,817.7510705510001,531.178475792
 01/05  24:00:00,808.715489554,523.382349128
 01/06  01:00:00,771.4628838389999,529.969468138
 01/06  02:00:00,749.4332723110001,540.7381716919999
 01/06  03:00:00,743.5932645319999,542.82332905
 01/06  04:00:00,792.921794423,541.846358904
 01/06  05:00:00,919.872523972,523.185782415
 01/06  06:00:00,900.415005295,849.005120643
 01/06  07:00:00,1181.09544553,615.1188210319999
 01/06  08:00:00,1382.87247395,584.528664335
 01/06  09:00:00,1443.27708223,577.151156083
 01/06  10:00:00,1500.19441664,536.664477035
 01/06  11:00:00,1526.96711468,541.777540744
 01/06  12:00:00,1530.26630736,533.646400779
 01/06  13:00:00,1485.22527442,498.81931914800003
 01/06  14:00:00,1516.80393848,488.47856212
 01/06  15:00:00,1514.78222397,445.688469446
 01/06  16:00:00,1517.64631551,442.210254981
 01/06  17:00:00,1538.64948905,495.634325565
 01/06  18:00:00,1551.79147084,486.446436859
 01/06  19:00:00,1277.01753583,497.302266103
 01/06  20:00:00,1265.74741496,466.98548433
 01/06  21:00:00,1125.61632139,509.231048022
 01/06  22:00:00,1077.6154394999999,502.47777761
 01/06  23:00:00,1008.03153695,508.924058399
 01/06  24:00:00,1001.80586669,502.45627110699996
 01/07  01:00:00,979.981833684,499.018526041
 01/07  02:00:00,972.77581679,503.94052133599996
 01/07  03:00:00,969.180221013,498.400015606
 01/07  04:00:00,974.2043924660001,510.22200321800005
 01/07  05:00:00,992.8051246860001,502.83946346199997
 01/07  06:00:00,996.360612759,514.98466442
 01/07  07:00:00,1066.39922271,471.79100723199997
 01/07  08:00:00,1172.73665401,765.6042119839999
 01/07  09:00:00,1174.38002974,650.665650978
 01/07  10:00:00,1275.74260454,617.543314453
 01/07  11:00:00,1285.69102437,620.4023534
 01/07  12:00:00,1284.97659616,618.694851334
 01/07  13:00:00,1250.11960985,613.543801288
 01/07  14:00:00,1242.39436627,599.204755642
 01/07  15:00:00,1242.19220294,586.657599316
 01/07  16:00:00,1159.90992515,469.23479154300003
 01/07  17:00:00,1175.78482663,514.000437903
 01/07  18:00:00,1139.6333534000003,510.198152745
 01/07  19:00:00,1104.40034815,535.876410162
 01/07  20:00:00,1095.92797375,513.282640896
 01/07  21:00:00,981.650507877,560.949032775
 01/07  22:00:00,980.6042774819999,553.5053627230001
 01/07  23:00:00,974.777050777,557.904174668
 01/07  24:00:00,973.52278224,549.315129246
 01/08  01:00:00,933.297384177,539.9212051659999
 01/08  02:00:00,917.419039657,554.370615753
 01/08  03:00:00,913.8661060060001,561.5648530880001
 01/08  04:00:00,891.7937238610001,569.700699081
 01/08  05:00:00,854.321581492,565.578730159
 01/08  06:00:00,842.8478322130001,577.709762019
 01/08  07:00:00,923.239441802,530.015268032
 01/08  08:00:00,939.941975172,536.0003503080001
 01/08  09:00:00,1071.95083121,527.9955785459999
 01/08  10:00:00,1091.75793446,496.945869838
 01/08  11:00:00,1106.88030834,522.27740232
 01/08  12:00:00,1114.70381762,510.555137499
 01/08  13:00:00,1119.85224512,493.93252557
 01/08  14:00:00,1118.53473424,478.804740902
 01/08  15:00:00,1122.60881363,446.711778821
 01/08  16:00:00,1122.71271069,448.862476415
 01/08  17:00:00,1101.83685007,510.342651055
 01/08  18:00:00,1054.76645001,536.762656836
 01/08  19:00:00,1014.40864159,571.839522039
 01/08  20:00:00,962.0470701319999,554.422858664
 01/08  21:00:00,866.6019782669999,595.832765892
 01/08  22:00:00,801.495916804,595.539649043
 01/08  23:00:00,771.883723218,595.159672051
 01/08  24:00:00,760.402102108,604.7994748
 01/09  01:00:00,733.326179503,623.356512696
 01/09  02:00:00,706.554762126,647.808372107
 01/09  03:00:00,693.7131783169999,659.086800561
 01/09  04:00:00,686.165756663,672.402363116
 01/09  05:00:00,769.539069067,649.777185348
 01/09  06:00:00,788.643926452,1116.41667102
 01/09  07:00:00,990.619547501,779.5060788019999
 01/09  08:00:00,1119.49897978,692.039192942
 01/09  09:00:00,1294.54774675,660.6790459619999
 01/09  10:00:00,1447.92496566,623.786572142
 01/09  11:00:00,1465.57856881,622.963490341
 01/09  12:00:00,1481.00744899,599.798083981
 01/09  13:00:00,1452.6480213,587.53870906
 01/09  14:00:00,1495.57295369,567.411860171
 01/09  15:00:00,1502.09089676,545.354670481
 01/09  16:00:00,1505.41401324,552.6157187819999
 01/09  17:00:00,1514.50305589,576.621860164
 01/09  18:00:00,1511.91713761,559.754577681
 01/09  19:00:00,1237.35059714,527.6524449369999
 01/09  20:00:00,1229.78316885,493.769534449
 01/09  21:00:00,1109.48005774,535.124523909
 01/09  22:00:00,1065.50175148,527.1881226419999
 01/09  23:00:00,994.70757563,532.332909134
 01/09  24:00:00,969.4489650610001,526.1111959819999
 01/10  01:00:00,955.8822578160001,523.461712335
 01/10  02:00:00,962.905786384,526.653935031
 01/10  03:00:00,961.144890739,522.964772015
 01/10  04:00:00,949.380374338,537.280913764
 01/10  05:00:00,1030.52669706,519.650070401
 01/10  06:00:00,1054.41923245,871.6824511269999
 01/10  07:00:00,1275.36371517,621.522843901
 01/10  08:00:00,1383.96202586,599.8941563999999
 01/10  09:00:00,1428.42112536,604.1928340659999
 01/10  10:00:00,1459.46560768,579.284876665
 01/10  11:00:00,1463.80220795,598.212098367
 01/10  12:00:00,1467.53757359,592.080844709
 01/10  13:00:00,1430.6071204000002,563.507103111
 01/10  14:00:00,1468.61288029,557.979853531
 01/10  15:00:00,1472.36371705,533.014161693
 01/10  16:00:00,1463.7876433000001,545.7756606080001
 01/10  17:00:00,1465.35355202,564.193279149
 01/10  18:00:00,1471.66981592,558.038119604
 01/10  19:00:00,1139.60735308,529.918907633
 01/10  20:00:00,1076.60703041,507.55825885699994
 01/10  21:00:00,927.87131061,559.538967849
 01/10  22:00:00,885.089031533,534.933314758
 01/10  23:00:00,816.877239638,548.9750242069999
 01/10  24:00:00,809.1352470410001,543.037195032
 01/11  01:00:00,784.954854325,540.021945413
 01/11  02:00:00,774.8263075660001,552.35343537
 01/11  03:00:00,765.44526978,562.9623024780001
 01/11  04:00:00,753.8157160569999,578.353183453
 01/11  05:00:00,832.4482303130001,563.821707596
 01/11  06:00:00,866.037632737,884.626737358
 01/11  07:00:00,1100.1564455999999,638.140237253
 01/11  08:00:00,1224.95672498,623.199305356
 01/11  09:00:00,1277.89128046,622.381071248
 01/11  10:00:00,1331.71021032,596.507522572
 01/11  11:00:00,1388.60084674,613.486152511
 01/11  12:00:00,1434.16944038,599.662559173
 01/11  13:00:00,1416.38576386,589.056814645
 01/11  14:00:00,1457.08835814,570.442917814
 01/11  15:00:00,1459.80130356,558.267166438
 01/11  16:00:00,1460.27586447,556.838273861
 01/11  17:00:00,1466.40896879,588.565020322
 01/11  18:00:00,1452.83666568,563.066818923
 01/11  19:00:00,1082.64761362,554.1294426669999
 01/11  20:00:00,1022.18652719,526.7586077469999
 01/11  21:00:00,860.0241367980001,587.324257568
 01/11  22:00:00,794.120870054,597.191559843
 01/11  23:00:00,708.956635272,617.566890865
 01/11  24:00:00,691.4890356230001,627.481233943
 01/12  01:00:00,661.455115364,658.749796427
 01/12  02:00:00,645.75452571,695.1431327060001
 01/12  03:00:00,644.6247494940001,692.76739083
 01/12  04:00:00,651.893681636,668.8860371769999
 01/12  05:00:00,759.815475042,614.914415114
 01/12  06:00:00,820.458862713,896.521465723
 01/12  07:00:00,1066.9027487,655.4430756730001
 01/12  08:00:00,1215.25853395,614.946369357
 01/12  09:00:00,1377.55074861,595.86493545
 01/12  10:00:00,1463.36318918,567.719582479
 01/12  11:00:00,1479.36315856,575.7296182719999
 01/12  12:00:00,1490.88643841,554.628443174
 01/12  13:00:00,1455.93183891,538.3911728180001
 01/12  14:00:00,1495.08295583,507.844903651
 01/12  15:00:00,1502.52159269,466.414771345
 01/12  16:00:00,1505.79047158,466.545063776
 01/12  17:00:00,1516.03037318,498.15488765
 01/12  18:00:00,1521.60343176,511.91392233199997
 01/12  19:00:00,1243.83132963,502.97304393800005
 01/12  20:00:00,1231.99583853,489.768554932
 01/12  21:00:00,1092.65956933,523.7538652869999
 01/12  22:00:00,1045.6845023,518.819006
 01/12  23:00:00,956.25948462,527.8685498359999
 01/12  24:00:00,857.758277635,525.744613535
 01/13  01:00:00,765.869098024,526.820020905
