Date/Time,Electricity:Facility [kW](Hourly),Gas:Facility [kW](Hourly)
 01/01  01:00:00,33.5753521762,0.02
 01/01  02:00:00,33.5753521762,0.02
 01/01  03:00:00,33.5753521762,1.10294646219
 01/01  04:00:00,33.5753521762,0.02
 01/01  05:00:00,33.5753521762,0.02
 01/01  06:00:00,33.5753521762,1.10300696439
 01/01  07:00:00,33.5753521762,0.02
 01/01  08:00:00,28.6406855095,1.1029414718500001
 01/01  09:00:00,18.7713521762,0.02
 01/01  10:00:00,18.7713521762,1.10294336276
 01/01  11:00:00,18.7713521762,0.02
 01/01  12:00:00,18.7713521762,0.02
 01/01  13:00:00,18.7713521762,1.1030286025
 01/01  14:00:00,18.7713521762,0.02
 01/01  15:00:00,18.7713521762,1.10309195684
 01/01  16:00:00,18.7713521762,0.02
 01/01  17:00:00,18.7713521762,1.1029463030700002
 01/01  18:00:00,26.173352176199998,0.02
 01/01  19:00:00,33.5753521762,1.10294648615
 01/01  20:00:00,33.5753521762,0.02
 01/01  21:00:00,33.5753521762,0.02
 01/01  22:00:00,33.5753521762,1.10305636974
 01/01  23:00:00,33.5753521762,0.02
 01/01  24:00:00,33.5753521762,1.10294204772
 01/02  01:00:00,38.9361841996,0.02
 01/02  02:00:00,38.9361841996,1.10298568491
 01/02  03:00:00,38.9361841996,0.02
 01/02  04:00:00,38.9361841996,0.02
 01/02  05:00:00,38.9361841996,1.1029848390700001
 01/02  06:00:00,41.6166002114,0.02
 01/02  07:00:00,124.066374506,1.10313926615
 01/02  08:00:00,122.418736366,1.10356474331
 01/02  09:00:00,144.850988646,2.1885842212299997
 01/02  10:00:00,136.51433413200002,1.10447229099
 01/02  11:00:00,137.573613879,2.18875747677
 01/02  12:00:00,142.144971942,2.18920020503
 01/02  13:00:00,144.339364222,3.27516166503
 01/02  14:00:00,148.221957615,2.19011736799
 01/02  15:00:00,145.498111082,2.18892514276
 01/02  16:00:00,146.908070133,2.1883162707799997
 01/02  17:00:00,149.36432142299998,2.18918695237
 01/02  18:00:00,132.913907693,1.1038398945399999
 01/02  19:00:00,96.2097208525,1.10372549811
 01/02  20:00:00,97.2759871901,1.10348490612
 01/02  21:00:00,87.09984307090001,1.10346181858
 01/02  22:00:00,87.6122250586,1.10310050296
 01/02  23:00:00,41.6166002114,0.02
 01/02  24:00:00,38.9361841996,1.1029863994700002
 01/03  01:00:00,38.9361841996,0.02
 01/03  02:00:00,38.9361841996,1.10298620479
 01/03  03:00:00,38.9361841996,0.02
 01/03  04:00:00,38.9361841996,0.02
 01/03  05:00:00,38.9361841996,1.10298523536
 01/03  06:00:00,41.6166002114,0.02
 01/03  07:00:00,83.6725572811,1.10314079927
 01/03  08:00:00,96.83956838549999,1.10356804044
 01/03  09:00:00,143.0319829,2.18847763289
 01/03  10:00:00,136.53189558100001,1.10446342384
 01/03  11:00:00,138.698376833,2.1887775510900003
 01/03  12:00:00,143.340796009,2.1892319910299998
 01/03  13:00:00,145.418059904,3.2752229351700004
 01/03  14:00:00,149.41124821399998,3.27503517696
 01/03  15:00:00,146.278014605,1.1042267106
 01/03  16:00:00,147.688989433,2.18816656215
 01/03  17:00:00,149.946074859,2.1889214887599997
 01/03  18:00:00,136.833865399,1.1038952452600002
 01/03  19:00:00,100.051270464,1.10371902713
 01/03  20:00:00,94.4416256124,1.10351233468
 01/03  21:00:00,80.7734557207,1.10348899892
 01/03  22:00:00,83.36322703409999,1.10311409075
 01/03  23:00:00,41.6166002114,0.02
 01/03  24:00:00,38.9361841996,1.10298459581
 01/04  01:00:00,38.9361841996,0.02
 01/04  02:00:00,38.9361841996,1.10298709312
 01/04  03:00:00,38.9361841996,0.02
 01/04  04:00:00,38.9361841996,0.02
 01/04  05:00:00,38.9361841996,1.10298678881
 01/04  06:00:00,41.6166002114,0.02
 01/04  07:00:00,65.6605019044,1.10316221998
 01/04  08:00:00,83.6563204896,1.10360183324
 01/04  09:00:00,137.072681597,2.1885491472
 01/04  10:00:00,128.354416473,1.10425019296
 01/04  11:00:00,128.00739318,2.18887788428
 01/04  12:00:00,131.608318233,2.18934194748
 01/04  13:00:00,132.44308334299998,3.27539796414
 01/04  14:00:00,137.51365582100001,3.2752224824000002
 01/04  15:00:00,134.685633727,1.10429041418
 01/04  16:00:00,134.303141799,2.1882920913999997
 01/04  17:00:00,134.892768174,2.18906072826
 01/04  18:00:00,124.23666384299999,1.1039339244600002
 01/04  19:00:00,89.8024299635,2.18736732442
 01/04  20:00:00,84.3533616863,0.02
 01/04  21:00:00,70.5074143901,1.10341527918
 01/04  22:00:00,71.994906338,1.10313634845
 01/04  23:00:00,41.6166002114,0.02
 01/04  24:00:00,38.9361841996,1.10298637991
 01/05  01:00:00,38.9361841996,0.02
 01/05  02:00:00,38.9361841996,1.10298767771
 01/05  03:00:00,38.9361841996,0.02
 01/05  04:00:00,38.9361841996,1.10298452966
 01/05  05:00:00,38.9361841996,0.02
 01/05  06:00:00,41.6166002114,1.1031161425799998
 01/05  07:00:00,96.09583529870001,0.02
 01/05  08:00:00,103.92915489200001,9.11536758692
 01/05  09:00:00,142.44751822700002,5.02467196435
 01/05  10:00:00,130.142166403,2.77014176114
 01/05  11:00:00,125.75590502,1.1045083949299999
 01/05  12:00:00,125.420170212,3.2741807296900003
 01/05  13:00:00,126.840782608,2.1904737182700003
 01/05  14:00:00,124.47311667,3.27521121054
 01/05  15:00:00,120.56915915200001,1.10417223792
 01/05  16:00:00,121.08498697899999,2.18827082132
 01/05  17:00:00,125.40050064200001,2.18927385706
 01/05  18:00:00,125.06628159700001,1.10391234023
 01/05  19:00:00,106.49420388899999,4.37695926483
 01/05  20:00:00,107.672376328,7.715848955419999
 01/05  21:00:00,97.6110430647,10.1869622627
 01/05  22:00:00,100.12006171899999,15.1254427226
 01/05  23:00:00,41.6166002114,1.10298507033
 01/05  24:00:00,38.9361841996,0.02
 01/06  01:00:00,38.9361841996,0.02
 01/06  02:00:00,38.9361841996,1.10298775677
 01/06  03:00:00,38.9361841996,0.02
 01/06  04:00:00,38.9361841996,1.10298757001
 01/06  05:00:00,38.9361841996,0.02
 01/06  06:00:00,41.6166002114,1.10310052192
 01/06  07:00:00,136.168873563,0.02
 01/06  08:00:00,129.999308303,24.462223959099997
 01/06  09:00:00,163.151023022,19.9064771052
 01/06  10:00:00,148.72075980399998,21.2893128042
 01/06  11:00:00,142.774600811,19.9688230376
 01/06  12:00:00,142.126306104,20.2562342204
 01/06  13:00:00,145.61042898600002,21.8653987733
 01/06  14:00:00,141.34495706200002,22.5843540293
 01/06  15:00:00,137.822653841,23.936007803699997
 01/06  16:00:00,138.777698618,24.6308316673
 01/06  17:00:00,143.018855365,25.3217850121
 01/06  18:00:00,142.155763941,23.7544872528
 01/06  19:00:00,123.785772521,26.6779143746
 01/06  20:00:00,123.744854066,27.5198606983
 01/06  21:00:00,115.760418601,28.7950489039
 01/06  22:00:00,118.48843447200001,28.4197528738
 01/06  23:00:00,41.6166002114,1.1029890592799998
 01/06  24:00:00,38.9361841996,0.02
 01/07  01:00:00,33.5753521762,1.1029882118
 01/07  02:00:00,33.5753521762,0.02
 01/07  03:00:00,33.5753521762,0.02
 01/07  04:00:00,33.5753521762,1.10298629715
 01/07  05:00:00,33.5753521762,0.02
 01/07  06:00:00,33.5753521762,1.10312038812
 01/07  07:00:00,164.267470149,0.0701185956792
 01/07  08:00:00,142.374572237,39.6950425969
 01/07  09:00:00,139.504746394,37.4588892934
 01/07  10:00:00,133.28345597,33.8143114844
 01/07  11:00:00,127.72768957299999,31.3647180772
 01/07  12:00:00,124.03997667700001,25.3602343645
 01/07  13:00:00,118.836703665,20.916451528099998
 01/07  14:00:00,115.05759289,17.7131239711
 01/07  15:00:00,100.609020372,16.6570470744
 01/07  16:00:00,101.971147665,16.8284618238
 01/07  17:00:00,104.010801394,16.751951779000002
 01/07  18:00:00,108.24086615899999,18.88610988
 01/07  19:00:00,33.5753521762,1.10312812186
 01/07  20:00:00,33.5753521762,0.02
 01/07  21:00:00,33.5753521762,1.10307221553
 01/07  22:00:00,33.5753521762,1.1031657662
 01/07  23:00:00,33.5753521762,0.02
 01/07  24:00:00,33.5753521762,0.02
 01/08  01:00:00,33.5753521762,1.1029645936599999
 01/08  02:00:00,37.8024686555,0.0656459947
 01/08  03:00:00,42.0526069051,1.10300137655
 01/08  04:00:00,40.8641776177,0.0387631725326
 01/08  05:00:00,43.315430131999996,0.159646401849
 01/08  06:00:00,41.8967610783,1.21475100419
 01/08  07:00:00,45.1847792034,0.384925557772
 01/08  08:00:00,37.6912922296,1.35319129018
 01/08  09:00:00,30.2782977185,0.672272679857
 01/08  10:00:00,27.607650117800002,1.493633367
 01/08  11:00:00,26.9246390369,0.6565899095350001
 01/08  12:00:00,23.8931971546,0.206480340355
 01/08  13:00:00,25.1014801044,1.28630009914
 01/08  14:00:00,23.5013112593,1.11710922759
 01/08  15:00:00,24.466300211100002,0.02
 01/08  16:00:00,23.0807015273,0.02
 01/08  17:00:00,24.6020194073,1.10299604359
 01/08  18:00:00,29.737633599000002,0.02
 01/08  19:00:00,43.3722839108,1.10300370903
 01/08  20:00:00,41.9263034631,0.02
 01/08  21:00:00,48.3752579998,0.0827558816047
 01/08  22:00:00,48.371001488599994,1.27015771082
 01/08  23:00:00,53.591990078100004,0.655283100847
 01/08  24:00:00,51.1171778513,1.694446219
 01/09  01:00:00,61.849232115,1.42369886599
 01/09  02:00:00,59.8716897512,2.38829869948
 01/09  03:00:00,68.6267298491,2.16418409575
 01/09  04:00:00,64.6337485087,2.8456773345599995
 01/09  05:00:00,72.5767735163,2.69453311485
 01/09  06:00:00,69.0343915558,3.03955040325
 01/09  07:00:00,244.75110487700002,0.531080356992
