Date/Time,Electricity:Facility [kW](Hourly),Gas:Facility [kW](Hourly)
 01/01  01:00:00,984.6360211260001,533.943894125
 01/01  02:00:00,999.854931462,548.2370779
 01/01  03:00:00,1008.88805253,549.985344331
 01/01  04:00:00,1010.8067925,572.565104233
 01/01  05:00:00,1018.72840588,565.632701155
 01/01  06:00:00,1013.58157492,593.387717825
 01/01  07:00:00,1080.65628052,542.01430072
 01/01  08:00:00,1082.3901543,556.480763841
 01/01  09:00:00,1167.36090373,527.3553719619999
 01/01  10:00:00,1169.8922744000001,497.05605365800005
 01/01  11:00:00,1183.15755038,523.734009794
 01/01  12:00:00,1181.03645418,511.762643389
 01/01  13:00:00,1167.0625217,498.548673062
 01/01  14:00:00,1150.36939505,463.586111571
 01/01  15:00:00,1153.97714648,422.858965727
 01/01  16:00:00,1169.48170701,418.38764020300005
 01/01  17:00:00,1157.84241864,441.72164996699996
 01/01  18:00:00,1128.54076798,466.293651618
 01/01  19:00:00,1114.64607061,513.527522041
 01/01  20:00:00,1095.9461536,486.016279268
 01/01  21:00:00,1055.47136583,534.620840339
 01/01  22:00:00,1047.76330292,522.0266856640001
 01/01  23:00:00,1036.63528547,540.1911741719999
 01/01  24:00:00,1029.48396619,536.3934359909999
 01/02  01:00:00,1015.19759215,546.718366103
 01/02  02:00:00,1007.52679857,553.029810644
 01/02  03:00:00,1004.3620758999999,576.140335306
 01/02  04:00:00,1004.13075362,581.0734630119999
 01/02  05:00:00,1086.43049332,567.7193695369999
 01/02  06:00:00,1086.44960362,1086.71696438
 01/02  07:00:00,1304.95962072,751.5999387539999
 01/02  08:00:00,1389.47601334,706.125397611
 01/02  09:00:00,1449.18079078,685.262571765
 01/02  10:00:00,1505.62391644,649.23599334
 01/02  11:00:00,1532.91804191,643.679752737
 01/02  12:00:00,1538.17058914,622.540018556
 01/02  13:00:00,1485.90563606,587.565874559
 01/02  14:00:00,1505.61505745,544.758093952
 01/02  15:00:00,1493.92632666,493.423693712
 01/02  16:00:00,1520.41250408,477.249666439
 01/02  17:00:00,1560.44334363,500.734535089
 01/02  18:00:00,1569.22211333,496.034398794
 01/02  19:00:00,1313.3891297,470.539544259
 01/02  20:00:00,1309.02040011,439.33903847
 01/02  21:00:00,1175.17398256,491.109260135
 01/02  22:00:00,1139.88325841,485.302119661
 01/02  23:00:00,1066.48079796,484.698856518
 01/02  24:00:00,1055.59167153,489.806150525
 01/03  01:00:00,1037.53337223,481.593743249
 01/03  02:00:00,1032.53453633,500.231702148
 01/03  03:00:00,1027.80772494,500.624831981
 01/03  04:00:00,1022.49776957,517.701765247
 01/03  05:00:00,1108.04829317,496.24493067599997
 01/03  06:00:00,1117.19558305,820.33440359
 01/03  07:00:00,1356.67383227,598.360721656
 01/03  08:00:00,1476.39381716,593.236125729
 01/03  09:00:00,1510.03132403,576.951743966
 01/03  10:00:00,1546.23616735,541.4612851769999
 01/03  11:00:00,1561.75529854,565.569773864
 01/03  12:00:00,1575.7618217,540.707233665
 01/03  13:00:00,1532.39224568,524.315716772
 01/03  14:00:00,1565.6696837000002,491.027894657
 01/03  15:00:00,1563.89476249,450.090624221
 01/03  16:00:00,1563.47046748,442.507537545
 01/03  17:00:00,1571.5657165999999,456.51321855
 01/03  18:00:00,1583.47913666,463.03882994
 01/03  19:00:00,1337.68806767,466.870744835
 01/03  20:00:00,1316.55955039,447.210594412
 01/03  21:00:00,1168.53297056,490.700534944
 01/03  22:00:00,1118.67322307,478.768076969
 01/03  23:00:00,1049.13767512,497.58574127099996
 01/03  24:00:00,1048.7930889,486.459501594
 01/04  01:00:00,1020.78178275,498.86888144
 01/04  02:00:00,1012.84642353,501.11838521199996
 01/04  03:00:00,1018.47940279,515.7742922269999
 01/04  04:00:00,1023.55524275,521.853788991
 01/04  05:00:00,1107.96977164,504.24402619800003
 01/04  06:00:00,1112.74814971,799.669875346
 01/04  07:00:00,1343.90624926,601.568546231
 01/04  08:00:00,1459.74978709,594.1908910880001
 01/04  09:00:00,1503.19377751,571.88470465
 01/04  10:00:00,1555.36337641,534.3753233069999
 01/04  11:00:00,1562.36344246,545.821929724
 01/04  12:00:00,1564.02559123,537.007431734
 01/04  13:00:00,1522.53522133,502.686273314
 01/04  14:00:00,1559.25706396,486.97171994800004
 01/04  15:00:00,1558.931971,438.89363277900003
 01/04  16:00:00,1560.15211323,435.17127068300005
 01/04  17:00:00,1570.70696241,451.51005986300004
 01/04  18:00:00,1584.76251503,458.915011384
 01/04  19:00:00,1329.3840040999999,469.536632306
 01/04  20:00:00,1304.21941112,450.752740704
 01/04  21:00:00,1158.77694769,494.208408411
 01/04  22:00:00,1112.08219653,483.99296663900003
 01/04  23:00:00,1037.54171037,503.48791049
 01/04  24:00:00,1031.63278192,493.20024702800004
 01/05  01:00:00,1009.09857712,506.758567325
 01/05  02:00:00,997.9056074660001,509.06146583099996
 01/05  03:00:00,999.5607395630001,527.370951946
 01/05  04:00:00,987.2173005010001,530.629668768
 01/05  05:00:00,1057.09859945,526.453170186
 01/05  06:00:00,1083.09447607,807.248280865
 01/05  07:00:00,1312.1588712,629.270157391
 01/05  08:00:00,1427.03011981,606.332757421
 01/05  09:00:00,1456.23383955,598.5257134780001
 01/05  10:00:00,1489.29818027,568.8655616780001
 01/05  11:00:00,1511.07234543,570.231433001
 01/05  12:00:00,1518.18962471,550.013121013
 01/05  13:00:00,1479.55622429,529.292707823
 01/05  14:00:00,1510.56514885,493.41576106800005
 01/05  15:00:00,1510.08167367,457.25347666199997
 01/05  16:00:00,1509.6455397,441.219135863
 01/05  17:00:00,1517.12834474,468.76315558699997
 01/05  18:00:00,1528.58904043,462.15229550199996
 01/05  19:00:00,1288.39350503,467.62192083199994
 01/05  20:00:00,1275.3194339000001,444.61446735199996
 01/05  21:00:00,1150.7773505,476.5478069
 01/05  22:00:00,1111.58072566,481.002489327
 01/05  23:00:00,1043.2311696000002,481.575446465
 01/05  24:00:00,1044.30210177,481.710250182
 01/06  01:00:00,1033.96061959,483.56647663300004
 01/06  02:00:00,1035.93336657,481.701780469
 01/06  03:00:00,1042.57591801,496.742141136
 01/06  04:00:00,1042.63973127,496.067597161
 01/06  05:00:00,1128.81714385,492.18513990800005
 01/06  06:00:00,1124.03329511,723.329091141
 01/06  07:00:00,1348.61417878,572.243305083
 01/06  08:00:00,1461.59043777,547.2445845359999
 01/06  09:00:00,1497.81275223,539.112977449
 01/06  10:00:00,1521.33387011,512.976149484
 01/06  11:00:00,1513.15948121,521.816525819
 01/06  12:00:00,1503.80285037,503.155586014
 01/06  13:00:00,1458.32813824,479.967854208
 01/06  14:00:00,1489.32322527,447.151528109
 01/06  15:00:00,1489.49742914,415.24078431699996
 01/06  16:00:00,1488.62903184,417.20732793199994
 01/06  17:00:00,1494.36002019,445.025637839
 01/06  18:00:00,1504.44536286,435.954965142
 01/06  19:00:00,1268.8780371,445.60803049699996
 01/06  20:00:00,1267.39880624,414.173249126
 01/06  21:00:00,1138.0678114,463.60884420699995
 01/06  22:00:00,1108.2722755,460.82997110599996
 01/06  23:00:00,1055.78964617,464.827590584
 01/06  24:00:00,1051.11418024,472.759399117
 01/07  01:00:00,1031.01423325,466.655262706
 01/07  02:00:00,1028.91232816,484.525865717
 01/07  03:00:00,1027.01633194,486.20233739599996
 01/07  04:00:00,1023.83759477,505.456902884
 01/07  05:00:00,1029.89511008,496.749901385
 01/07  06:00:00,1026.44107221,524.474783916
 01/07  07:00:00,1091.97070457,488.984102695
 01/07  08:00:00,1201.13586848,735.7736631610001
 01/07  09:00:00,1198.66453014,668.4430675030001
 01/07  10:00:00,1304.14308238,624.176257704
 01/07  11:00:00,1319.73310172,641.475897441
 01/07  12:00:00,1324.64008073,629.280809485
 01/07  13:00:00,1300.31710392,617.7186419
 01/07  14:00:00,1306.4942232,593.991263282
 01/07  15:00:00,1315.27137788,563.1167043219999
 01/07  16:00:00,1240.89814232,456.072413602
 01/07  17:00:00,1249.68071931,490.420175855
 01/07  18:00:00,1211.48811997,507.348735168
 01/07  19:00:00,1175.08210637,533.841043538
 01/07  20:00:00,1161.97589003,522.855936261
 01/07  21:00:00,1043.03051158,562.487636073
 01/07  22:00:00,1033.66452829,569.201455681
 01/07  23:00:00,1000.07960482,569.69487849
 01/07  24:00:00,956.620946558,575.534967675
 01/08  01:00:00,882.730468409,571.048805452
 01/08  02:00:00,869.94985839,591.450508383
 01/08  03:00:00,854.71145621,596.244234541
 01/08  04:00:00,803.1397621980001,630.77736898
 01/08  05:00:00,783.064023974,635.149085964
 01/08  06:00:00,751.627327315,686.4913499119999
 01/08  07:00:00,802.126030366,642.5704340130001
 01/08  08:00:00,780.8859476810001,685.015129481
 01/08  09:00:00,893.0222163110001,621.130603329
 01/08  10:00:00,1027.94016361,572.70739159
 01/08  11:00:00,1153.21876676,592.187687547
 01/08  12:00:00,1167.05831641,578.928521966
 01/08  13:00:00,1177.65964591,567.92209518
 01/08  14:00:00,1179.24233115,536.9810447790001
 01/08  15:00:00,1187.49962263,504.24280214699996
 01/08  16:00:00,1199.75349886,502.66809268599997
 01/08  17:00:00,1182.1168734999999,540.564239805
 01/08  18:00:00,1136.2179268,560.595536934
 01/08  19:00:00,1106.19279663,582.777298649
 01/08  20:00:00,1088.70332705,573.656774512
 01/08  21:00:00,1049.14995877,603.668465211
 01/08  22:00:00,1043.83928255,608.328340635
 01/08  23:00:00,1029.05016232,609.363167697
 01/08  24:00:00,1007.1425821,617.1648412559999
 01/09  01:00:00,987.652324132,614.661766259
 01/09  02:00:00,935.874466784,637.487332382
 01/09  03:00:00,904.492631802,639.563456614
 01/09  04:00:00,891.7915678910001,658.80418969
 01/09  05:00:00,965.601409456,629.279784813
 01/09  06:00:00,978.516819207,1113.28395794
 01/09  07:00:00,1182.7040221,781.838964835
 01/09  08:00:00,1321.64964479,753.426822075
 01/09  09:00:00,1406.58179831,737.452562605
 01/09  10:00:00,1465.85856394,705.323656965
 01/09  11:00:00,1492.15564159,694.3806307389999
 01/09  12:00:00,1513.09028945,664.599410858
 01/09  13:00:00,1483.0887569,648.519698443
 01/09  14:00:00,1518.22199709,610.628842303
 01/09  15:00:00,1515.78227284,578.296136929
 01/09  16:00:00,1515.30051024,569.452959257
 01/09  17:00:00,1525.67936185,582.619530339
 01/09  18:00:00,1535.36803376,577.514225907
 01/09  19:00:00,1287.47601285,525.336569566
 01/09  20:00:00,1286.14286868,492.032379876
 01/09  21:00:00,1152.93653432,541.073231987
 01/09  22:00:00,1116.08846365,531.974070428
 01/09  23:00:00,1049.03453679,527.154650259
 01/09  24:00:00,1048.33966672,526.764652856
 01/10  01:00:00,1034.76041855,513.591327258
 01/10  02:00:00,1035.76922612,526.36443011
 01/10  03:00:00,1037.79718897,522.38486919
 01/10  04:00:00,1039.02564456,535.16993228
 01/10  05:00:00,1130.7097187000002,507.994537602
 01/10  06:00:00,1128.99431012,839.847134885
 01/10  07:00:00,1355.67921784,612.298817318
