Date/Time,Electricity:Facility [kW](Hourly),Gas:Facility [kW](Hourly)
 01/02  01:00:00,12.569683660399999,0.0
 01/02  02:00:00,12.569683660399999,0.0
 01/02  03:00:00,12.5710376084,0.0
 01/02  04:00:00,12.590188565999998,0.0
 01/02  05:00:00,12.6228424101,0.0
 01/02  06:00:00,12.6493818702,0.0
 01/02  07:00:00,28.9794649093,163.415069264
 01/02  08:00:00,31.255721607399998,125.711254365
 01/02  09:00:00,43.410818938999995,108.795071326
 01/02  10:00:00,60.9439987546,88.70506142299999
 01/02  11:00:00,60.856909423999994,81.9227854252
 01/02  12:00:00,60.7689315405,71.9503560946
 01/02  13:00:00,60.7049482121,64.7575263186
 01/02  14:00:00,60.595410277,54.9741524322
 01/02  15:00:00,60.3351686582,43.513062240699995
 01/02  16:00:00,60.1571349768,34.4731257966
 01/02  17:00:00,60.3353403821,39.8177682327
 01/02  18:00:00,64.6665636923,51.6640048911
 01/02  19:00:00,56.238235879899996,62.05858977
 01/02  20:00:00,56.2946366762,70.2968116347
 01/02  21:00:00,51.3172921945,75.5183639178
 01/02  22:00:00,20.693606815,0.0
 01/02  23:00:00,12.569683660399999,0.0
 01/02  24:00:00,12.569683660399999,0.0
 01/03  01:00:00,12.569683660399999,0.0
 01/03  02:00:00,12.59982757,0.0
 01/03  03:00:00,12.7148317674,0.82532401449
 01/03  04:00:00,12.7799917742,1.08322944369
 01/03  05:00:00,12.8749969524,2.6289880552700002
 01/03  06:00:00,12.9054810872,2.80963514639
 01/03  07:00:00,29.2319972018,201.054041702
 01/03  08:00:00,31.4741923781,164.290940528
 01/03  09:00:00,43.311965916999995,141.052630317
 01/03  10:00:00,60.5785614473,108.115197077
 01/03  11:00:00,60.2648588697,88.09694312170001
 01/03  12:00:00,59.98911154,65.1708849982
 01/03  13:00:00,59.9259096201,48.254754462799994
 01/03  14:00:00,59.9259096201,37.2664008872
 01/03  15:00:00,59.9259096201,28.938724513
 01/03  16:00:00,59.9259096201,20.607309354
 01/03  17:00:00,59.9259096201,20.918633479500002
 01/03  18:00:00,64.0760465988,34.4249842719
 01/03  19:00:00,55.7046695589,47.28569862649999
 01/03  20:00:00,55.8255324283,59.614837638000004
 01/03  21:00:00,50.8921730549,68.581063308
 01/03  22:00:00,20.693606815,0.0
 01/03  23:00:00,12.569683660399999,0.0
 01/03  24:00:00,12.569683660399999,0.0
 01/04  01:00:00,12.569683660399999,0.0
 01/04  02:00:00,12.569683660399999,0.0
 01/04  03:00:00,12.569683660399999,0.0
 01/04  04:00:00,12.569683660399999,0.0
 01/04  05:00:00,12.569683660399999,0.0
 01/04  06:00:00,12.569683660399999,0.0
 01/04  07:00:00,28.6048500773,155.631724128
 01/04  08:00:00,30.879529742,120.199758117
 01/04  09:00:00,42.7325492537,88.81364186110001
 01/04  10:00:00,59.9941508024,47.1852142392
 01/04  11:00:00,59.9259096201,23.1979045446
 01/04  12:00:00,60.002600560699996,9.855173196339999
 01/04  13:00:00,60.560558995200005,7.15887447595
 01/04  14:00:00,61.2543342423,4.73064283379
 01/04  15:00:00,61.74201623810001,2.41928230324
 01/04  16:00:00,62.458830986,0.413409035527
 01/04  17:00:00,62.5511800411,0.0
 01/04  18:00:00,65.2607235185,0.0
 01/04  19:00:00,56.0599929861,0.9318104198980001
 01/04  20:00:00,55.731589748000005,2.1855679939900003
 01/04  21:00:00,50.51800690020001,3.72380469802
 01/04  22:00:00,20.693606815,0.0
 01/04  23:00:00,12.569683660399999,0.0
 01/04  24:00:00,12.569683660399999,0.0
 01/05  01:00:00,12.569683660399999,0.0
 01/05  02:00:00,12.569683660399999,0.0
 01/05  03:00:00,12.569683660399999,0.0
 01/05  04:00:00,12.569683660399999,0.0
 01/05  05:00:00,12.569683660399999,0.0
 01/05  06:00:00,12.569683660399999,0.0
 01/05  07:00:00,27.8060362979,76.6985910543
 01/05  08:00:00,30.318954001999998,54.6314473637
 01/05  09:00:00,42.5919591223,55.136268893
 01/05  10:00:00,60.209418149799994,49.5848888012
 01/05  11:00:00,59.956320884700006,39.7659770084
 01/05  12:00:00,59.9259096201,24.895257035900002
 01/05  13:00:00,59.9259096201,17.9431620043
 01/05  14:00:00,59.927389453800004,8.8151738584
 01/05  15:00:00,59.9882396901,4.48397946851
 01/05  16:00:00,60.023691789,3.8053006359300006
 01/05  17:00:00,59.92717920689999,3.8597313016300006
 01/05  18:00:00,64.0589096201,8.19140040404
 01/05  19:00:00,55.534409181099996,16.9910916027
 01/05  20:00:00,55.54578127479999,27.9705156649
 01/05  21:00:00,50.614989514099996,33.7933327155
 01/05  22:00:00,20.693606815,0.0
 01/05  23:00:00,12.569683660399999,0.0
 01/05  24:00:00,12.569683660399999,0.0
 01/06  01:00:00,12.569683660399999,0.0
 01/06  02:00:00,12.569683660399999,0.0
 01/06  03:00:00,12.569683660399999,0.0
 01/06  04:00:00,12.569683660399999,0.0
 01/06  05:00:00,12.569683660399999,0.0
 01/06  06:00:00,12.569683660399999,0.0
