Date/Time,Electricity:Facility [kW](Hourly),Gas:Facility [kW](Hourly)
 01/01  01:00:00,33.5753521762,0.02
 01/01  02:00:00,33.5753521762,0.02
 01/01  03:00:00,33.5753521762,1.1029237776899998
 01/01  04:00:00,33.5753521762,0.02
 01/01  05:00:00,33.5753521762,0.02
 01/01  06:00:00,33.5753521762,1.1030286811
 01/01  07:00:00,33.5753521762,0.02
 01/01  08:00:00,23.7060188429,1.1029620874200001
 01/01  09:00:00,18.7713521762,0.02
 01/01  10:00:00,18.7713521762,0.02
 01/01  11:00:00,18.7713521762,1.10296429437
 01/01  12:00:00,18.7713521762,0.02
 01/01  13:00:00,24.556568302600002,1.10304009269
 01/01  14:00:00,29.3993257504,0.02
 01/01  15:00:00,33.1205132715,1.1030641509899999
 01/01  16:00:00,28.0929230146,0.02
 01/01  17:00:00,19.9607581551,0.02
 01/01  18:00:00,23.7060188429,1.10293035983
 01/01  19:00:00,33.5753521762,0.02
 01/01  20:00:00,33.5753521762,1.10292876387
 01/01  21:00:00,33.5753521762,0.02
 01/01  22:00:00,33.5753521762,0.02
 01/01  23:00:00,33.5753521762,1.10298099948
 01/01  24:00:00,33.5753521762,0.02
 01/02  01:00:00,38.9361841996,1.1029649574299998
 01/02  02:00:00,38.9361841996,0.02
 01/02  03:00:00,38.9361841996,0.02
 01/02  04:00:00,38.9361841996,1.1029648499299998
 01/02  05:00:00,38.9361841996,0.02
 01/02  06:00:00,41.6166002114,1.10307872448
 01/02  07:00:00,170.660099171,0.02
 01/02  08:00:00,141.73618984,1.10346144339
 01/02  09:00:00,160.195654952,2.18824331444
 01/02  10:00:00,142.692776165,1.10423711048
 01/02  11:00:00,139.24931153,2.1885519433900003
 01/02  12:00:00,141.303014592,2.18907679803
 01/02  13:00:00,145.15613462,2.18975536633
 01/02  14:00:00,142.363599374,3.2742900134099995
 01/02  15:00:00,136.43256722,1.10410744615
 01/02  16:00:00,135.466969093,2.18812060901
 01/02  17:00:00,136.918719082,2.1886589862
 01/02  18:00:00,132.19011656799998,1.10376384174
 01/02  19:00:00,111.505048074,1.1034999924200002
 01/02  20:00:00,112.05220438,1.10331076764
 01/02  21:00:00,103.471337395,1.1033752892
 01/02  22:00:00,105.990042275,0.02
 01/02  23:00:00,41.6166002114,1.1029654389399999
 01/02  24:00:00,38.9361841996,0.02
 01/03  01:00:00,38.9361841996,0.02
 01/03  02:00:00,38.9361841996,1.10296425165
 01/03  03:00:00,38.9361841996,0.02
 01/03  04:00:00,38.9361841996,1.10296610122
 01/03  05:00:00,38.9361841996,0.02
 01/03  06:00:00,41.6166002114,1.10307438193
 01/03  07:00:00,135.395796466,0.02
 01/03  08:00:00,120.28015281399999,1.1035076989000001
 01/03  09:00:00,150.283053302,1.10410570162
 01/03  10:00:00,139.389639134,2.18841424201
 01/03  11:00:00,140.778565673,2.18855826955
 01/03  12:00:00,143.980277756,2.1891855756900003
 01/03  13:00:00,145.701751409,2.18961340073
 01/03  14:00:00,144.877462881,2.1896712374700003
 01/03  15:00:00,140.437517347,2.1885069954799996
 01/03  16:00:00,140.329670101,1.10404570395
 01/03  17:00:00,142.176692633,2.18865337743
 01/03  18:00:00,133.80698211200001,2.18766324295
 01/03  19:00:00,107.248059302,1.1035477340000002
 01/03  20:00:00,106.60402978,0.02
 01/03  21:00:00,95.23605648879999,1.10334947436
 01/03  22:00:00,97.2436638016,1.10308030832
 01/03  23:00:00,41.6166002114,0.02
 01/03  24:00:00,38.9361841996,1.1029661040799998
 01/04  01:00:00,38.9361841996,0.02
 01/04  02:00:00,38.9361841996,0.02
 01/04  03:00:00,38.9361841996,1.1029618913500001
 01/04  04:00:00,38.9361841996,0.02
 01/04  05:00:00,38.9361841996,1.1029657122
 01/04  06:00:00,41.6166002114,0.02
 01/04  07:00:00,105.067585409,1.10303880018
 01/04  08:00:00,104.983433839,1.1034430132100002
 01/04  09:00:00,152.734348522,1.1040944720499999
 01/04  10:00:00,138.983756169,2.18835407603
 01/04  11:00:00,133.243607068,2.18837447308
 01/04  12:00:00,133.71220733,1.10466504317
 01/04  13:00:00,135.675919015,3.27478780832
 01/04  14:00:00,136.685447399,2.18957192432
 01/04  15:00:00,133.188362983,2.18824350955
 01/04  16:00:00,132.753617564,1.1040471825799998
 01/04  17:00:00,134.76179923700002,2.18892936302
 01/04  18:00:00,130.813013224,1.10381454426
 01/04  19:00:00,106.34862379,1.10365434045
 01/04  20:00:00,106.155103241,1.1033791170899998
 01/04  21:00:00,97.2194320097,1.10341168795
 01/04  22:00:00,98.6801700608,1.10308225704
 01/04  23:00:00,41.6166002114,0.02
 01/04  24:00:00,38.9361841996,0.02
 01/05  01:00:00,38.9361841996,1.1029629568600001
 01/05  02:00:00,38.9361841996,0.02
 01/05  03:00:00,38.9361841996,1.10296617956
 01/05  04:00:00,38.9361841996,0.02
 01/05  05:00:00,38.9361841996,1.1029664405
 01/05  06:00:00,41.6166002114,0.02
 01/05  07:00:00,113.971132398,1.1030390486
 01/05  08:00:00,109.050857809,0.02
 01/05  09:00:00,154.032846603,2.1879273254
 01/05  10:00:00,141.12605705200002,2.18843703598
 01/05  11:00:00,138.054116389,1.10429421781
 01/05  12:00:00,138.60930162,2.18880789127
 01/05  13:00:00,139.71689046,3.27454300791
 01/05  14:00:00,139.40028819100002,2.18951492547
 01/05  15:00:00,135.221856827,1.10412370078
 01/05  16:00:00,136.30292913899999,2.18816961988
 01/05  17:00:00,140.353138318,2.18883064062
 01/05  18:00:00,137.549792628,1.1037984849
 01/05  19:00:00,113.516447434,1.1035775193200001
 01/05  20:00:00,113.286429385,1.1033228433
 01/05  21:00:00,102.382310957,1.10337324596
 01/05  22:00:00,102.349925203,0.02
 01/05  23:00:00,41.6166002114,1.10300835981
 01/05  24:00:00,38.9361841996,0.02
 01/06  01:00:00,38.9361841996,1.10296365315
 01/06  02:00:00,38.9361841996,0.02
 01/06  03:00:00,38.9361841996,0.02
 01/06  04:00:00,38.9361841996,1.10296650738
 01/06  05:00:00,38.9361841996,0.02
 01/06  06:00:00,41.6166002114,1.1030795579100001
 01/06  07:00:00,95.4377138574,0.02
 01/06  08:00:00,101.59578771,1.10346465093
 01/06  09:00:00,151.31975833799999,2.18824143029
 01/06  10:00:00,142.994825763,1.10425222865
 01/06  11:00:00,143.438018693,2.1883613185299997
 01/06  12:00:00,145.244086923,2.1891469183099996
 01/06  13:00:00,144.711389044,2.1898446104
 01/06  14:00:00,146.477459963,3.2744553045599996
 01/06  15:00:00,142.448078767,1.1039730793200002
 01/06  16:00:00,141.64142835,2.18786311777
 01/06  17:00:00,143.836627403,2.18880665977
 01/06  18:00:00,138.160531274,1.10380884385
 01/06  19:00:00,111.96339147799999,1.10356279434
 01/06  20:00:00,109.72721223299999,1.1033625252200001
 01/06  21:00:00,95.53018578049999,1.10343523933
 01/06  22:00:00,94.5342819574,0.02
 01/06  23:00:00,41.6166002114,1.1029670431
 01/06  24:00:00,38.9361841996,0.02
 01/07  01:00:00,33.5753521762,0.02
 01/07  02:00:00,33.5753521762,1.1029669044600001
 01/07  03:00:00,33.5753521762,0.02
 01/07  04:00:00,33.5753521762,1.1029635651899998
 01/07  05:00:00,33.5753521762,0.02
 01/07  06:00:00,33.5753521762,1.10307989955
 01/07  07:00:00,100.47171688,0.02
 01/07  08:00:00,83.43972782520001,1.10319052567
 01/07  09:00:00,93.16011527170001,1.1033323588
 01/07  10:00:00,87.5292113214,1.1035434680399998
 01/07  11:00:00,84.2412912849,1.10344684605
 01/07  12:00:00,87.96003675680001,1.1036426905399999
 01/07  13:00:00,88.8460691281,1.1035353903899998
 01/07  14:00:00,85.63869142109999,1.10347025786
 01/07  15:00:00,56.5536599304,0.02
 01/07  16:00:00,55.5891829315,1.10329279984
 01/07  17:00:00,55.696244061499996,1.10331747816
 01/07  18:00:00,60.7712673667,0.02
 01/07  19:00:00,33.5753521762,1.1030869079999999
 01/07  20:00:00,33.5753521762,0.02
 01/07  21:00:00,33.5753521762,1.10303830912
 01/07  22:00:00,33.5753521762,0.02
 01/07  23:00:00,33.5753521762,1.10302993248
 01/07  24:00:00,33.5753521762,0.02
 01/08  01:00:00,33.5753521762,1.10293063405
 01/08  02:00:00,33.5753521762,0.02
 01/08  03:00:00,33.5753521762,0.02
 01/08  04:00:00,33.5753521762,1.1029275270999999
 01/08  05:00:00,33.5753521762,0.02
 01/08  06:00:00,33.5753521762,1.10303310292
 01/08  07:00:00,33.5753521762,0.02
 01/08  08:00:00,23.7060188429,0.02
 01/08  09:00:00,18.7713521762,1.10293257394
 01/08  10:00:00,18.7713521762,0.02
 01/08  11:00:00,18.7713521762,1.10293189232
 01/08  12:00:00,18.7713521762,0.02
 01/08  13:00:00,18.7713521762,0.02
 01/08  14:00:00,18.7713521762,1.1030664856
 01/08  15:00:00,18.7713521762,1.1030017973200001
 01/08  16:00:00,18.7713521762,0.02
 01/08  17:00:00,18.7713521762,0.02
 01/08  18:00:00,23.7060188429,1.10292911725
 01/08  19:00:00,33.5753521762,0.02
 01/08  20:00:00,33.5753521762,0.02
 01/08  21:00:00,33.5753521762,1.10292488567
 01/08  22:00:00,33.5753521762,0.02
 01/08  23:00:00,33.5753521762,1.1029237106
 01/08  24:00:00,33.5753521762,0.02
 01/09  01:00:00,38.9361841996,0.02
 01/09  02:00:00,38.9361841996,1.10296600892
 01/09  03:00:00,38.9361841996,0.02
 01/09  04:00:00,38.9361841996,1.10296745789
 01/09  05:00:00,38.9361841996,0.02
 01/09  06:00:00,41.6166002114,1.10306799286
 01/09  07:00:00,137.193962132,0.02
 01/09  08:00:00,126.281581459,1.10350380524
 01/09  09:00:00,162.664098034,2.18822255973
 01/09  10:00:00,147.485631617,1.1042438262799998
