Date/Time,Electricity:Facility [kW](Hourly),Gas:Facility [kW](Hourly)
 01/01  01:00:00,22.6810275764,31.5442169107
 01/01  02:00:00,14.861755372000001,3.3598800000000004
 01/01  03:00:00,14.885253379000002,3.9319528613099997
 01/01  04:00:00,14.897157053299999,3.3598800000000004
 01/01  05:00:00,15.0535345834,3.9319587634400004
 01/01  06:00:00,22.8126149356,38.5585977158
 01/01  07:00:00,38.7815951728,46.7857099671
 01/01  08:00:00,44.1303108675,42.7553649458
 01/01  09:00:00,42.021224787600005,45.6822714675
 01/01  10:00:00,34.5872174629,32.2461017907
 01/01  11:00:00,42.2960890772,54.514367050299995
 01/01  12:00:00,45.2027457134,54.503508809399996
 01/01  13:00:00,48.545100148500005,52.741025167299995
 01/01  14:00:00,42.2642818303,43.8119903765
 01/01  15:00:00,41.8733846308,32.5569032114
 01/01  16:00:00,41.8616796379,41.4829030678
 01/01  17:00:00,50.05120104109999,58.18328782020001
 01/01  18:00:00,52.8001920354,60.512643275500004
 01/01  19:00:00,53.480756240699996,62.852988318
 01/01  20:00:00,43.0222428188,46.73311235520001
 01/01  21:00:00,40.7003075846,43.8124964004
 01/01  22:00:00,38.8788315555,37.8788653816
 01/01  23:00:00,38.701690993,28.1939136069
 01/01  24:00:00,39.4199725793,22.933816287600003
 01/02  01:00:00,22.6970152405,29.295152362899998
 01/02  02:00:00,14.8573162768,3.3598800000000004
 01/02  03:00:00,14.886200542000001,3.93192699935
 01/02  04:00:00,14.8799366076,3.3598800000000004
 01/02  05:00:00,15.012419286199998,3.93193294024
 01/02  06:00:00,22.7641893698,48.455886485600004
 01/02  07:00:00,38.729463585,56.9082440664
 01/02  08:00:00,44.0929785349,67.6227023993
 01/02  09:00:00,41.9786107612,70.52117310220001
 01/02  10:00:00,34.5174855312,53.2442811549
 01/02  11:00:00,42.056648357600004,62.0050773642
 01/02  12:00:00,42.8259696548,53.3320160917
 01/02  13:00:00,42.9035318828,52.1625292877
 01/02  14:00:00,34.986399103000004,42.6484721254
 01/02  15:00:00,35.218578258899996,33.1344301743
 01/02  16:00:00,35.5075008078,41.484285251799996
 01/02  17:00:00,43.3719562812,57.607063878999995
 01/02  18:00:00,46.7164150749,61.0919682104
 01/02  19:00:00,48.8366405608,64.0249104026
 01/02  20:00:00,40.1397757974,49.0853250116
 01/02  21:00:00,39.6135520497,46.152097914399995
 01/02  22:00:00,38.8530042686,39.622168915100005
