Date/Time,Electricity:Facility [kW](Hourly),Gas:Facility [kW](Hourly)
 01/01  01:00:00,989.408535895,534.309131237
 01/01  02:00:00,990.0163975260001,547.524615204
 01/01  03:00:00,987.642240751,551.603414791
 01/01  04:00:00,987.5738669230001,546.730188535
 01/01  05:00:00,997.552902041,548.668168323
 01/01  06:00:00,996.2004947439999,559.9451403119999
 01/01  07:00:00,1068.43181205,500.693343818
 01/01  08:00:00,1068.75552348,518.634360634
 01/01  09:00:00,1133.37702921,509.126158272
 01/01  10:00:00,1107.65513835,492.99325541400003
 01/01  11:00:00,1097.34444416,507.47883259
 01/01  12:00:00,1077.89430129,500.12558313
 01/01  13:00:00,1063.2575428,468.216475145
 01/01  14:00:00,1044.84604178,446.373722725
 01/01  15:00:00,1042.04034691,418.87962412
 01/01  16:00:00,1038.32919851,404.167057585
 01/01  17:00:00,1011.04414688,448.563237243
 01/01  18:00:00,983.891444087,478.15155105699995
 01/01  19:00:00,961.271857425,512.873787365
 01/01  20:00:00,972.1824918110001,497.483827383
 01/01  21:00:00,964.964690197,534.350614456
 01/01  22:00:00,978.228003871,543.454633749
 01/01  23:00:00,981.360925028,550.241096105
 01/01  24:00:00,995.659330737,536.291427619
 01/02  01:00:00,1002.64677367,539.10188133
 01/02  02:00:00,997.41890485,543.628526776
 01/02  03:00:00,996.5021644560001,546.376298542
 01/02  04:00:00,992.99419785,543.5853137180001
 01/02  05:00:00,1072.04480236,520.3689394859999
 01/02  06:00:00,1068.64008805,1057.8109036
 01/02  07:00:00,1294.42963335,679.164244826
 01/02  08:00:00,1410.3348316,637.48021288
 01/02  09:00:00,1448.50245999,627.525252907
 01/02  10:00:00,1485.29307039,591.329272313
 01/02  11:00:00,1468.21858393,589.0581068490001
 01/02  12:00:00,1457.95028758,570.8558417840001
 01/02  13:00:00,1410.38998597,540.659596508
 01/02  14:00:00,1440.11970555,519.203931241
 01/02  15:00:00,1439.88767799,480.98288594
 01/02  16:00:00,1439.62694257,476.00030831199996
 01/02  17:00:00,1447.41228528,499.019948586
 01/02  18:00:00,1458.77156117,489.07912065
 01/02  19:00:00,1201.30176817,464.79993201199994
 01/02  20:00:00,1192.72194198,447.708595587
 01/02  21:00:00,1055.44074828,488.487763251
 01/02  22:00:00,1030.04107259,473.093466967
 01/02  23:00:00,966.022560256,485.35320868699995
 01/02  24:00:00,954.469031605,470.38674624099997
 01/03  01:00:00,936.262678496,453.016930545
 01/03  02:00:00,927.990098528,460.384658217
 01/03  03:00:00,927.7332168180001,461.358931006
 01/03  04:00:00,933.176837706,465.15192626
 01/03  05:00:00,1034.03221889,438.620917395
 01/03  06:00:00,1021.32590367,745.680249917
 01/03  07:00:00,1267.34166624,527.108398233
 01/03  08:00:00,1406.34987621,517.76199013
 01/03  09:00:00,1434.56029553,514.170527589
 01/03  10:00:00,1453.52649254,493.14305904599996
 01/03  11:00:00,1446.43554536,505.70949044599996
 01/03  12:00:00,1438.31164867,468.483486445
 01/03  13:00:00,1386.22048073,468.117475988
 01/03  14:00:00,1414.23767791,427.324560782
