Date/Time,Electricity:Facility [kW](Hourly),Gas:Facility [kW](Hourly)
 01/01  01:00:00,16.9963415177,35.735615622
 01/01  02:00:00,16.467677538900002,36.6049050041
 01/01  03:00:00,16.2584174903,38.4046297997
 01/01  04:00:00,16.1694079116,39.9844497021
 01/01  05:00:00,18.2536171386,40.6818949293
 01/01  06:00:00,22.7388314853,43.1602644695
 01/01  07:00:00,27.9613456795,52.09597957020001
 01/01  08:00:00,27.9540814537,51.625943269
 01/01  09:00:00,23.0268471436,49.5678227514
 01/01  10:00:00,20.1998872623,47.379755486099995
 01/01  11:00:00,17.1450757353,42.2286966467
 01/01  12:00:00,17.0661492793,33.7252939814
 01/01  13:00:00,16.8046186011,29.453168593
 01/01  14:00:00,16.311757235199998,27.0695221977
 01/01  15:00:00,16.0649600793,23.3932019553
 01/01  16:00:00,17.3527880579,22.404378488699997
 01/01  17:00:00,24.7335552793,21.996620562399997
 01/01  18:00:00,35.5294688331,24.8494606489
 01/01  19:00:00,39.5747350714,26.9855169491
 01/01  20:00:00,38.6797174693,28.305844499899997
 01/01  21:00:00,38.3297672805,29.5413124237
 01/01  22:00:00,32.9863839546,30.2902149153
 01/01  23:00:00,26.233394543299998,33.753802797
 01/01  24:00:00,20.5534419834,35.4414199417
 01/02  01:00:00,17.0641182762,37.6172671399
 01/02  02:00:00,16.6152788154,40.7251152785
 01/02  03:00:00,16.445481538,43.603006634399996
 01/02  04:00:00,16.440429529,47.5012715082
 01/02  05:00:00,18.6202324255,50.8359839908
 01/02  06:00:00,23.176556194499998,55.26371294810001
 01/02  07:00:00,28.456895299099997,65.74729873529999
 01/02  08:00:00,28.6567928891,65.5871085591
 01/02  09:00:00,25.256958223,65.7816381037
 01/02  10:00:00,22.2763699614,58.5732593203
 01/02  11:00:00,19.1584927637,51.3900483411
 01/02  12:00:00,19.1968288013,45.7811112837
 01/02  13:00:00,18.819927309300002,42.7453086854
 01/02  14:00:00,18.5522288486,42.028036581100004
 01/02  15:00:00,18.3809390338,40.3137317738
 01/02  16:00:00,19.715195521,40.512558899
 01/02  17:00:00,27.1127298831,40.5637383188
 01/02  18:00:00,36.3809524827,42.337802689
 01/02  19:00:00,40.188571245700004,43.2700553591
 01/02  20:00:00,39.3166142488,45.195428184399994
 01/02  21:00:00,39.0296652133,48.1285877318
 01/02  22:00:00,33.7116291211,49.6429199721
 01/02  23:00:00,27.0373215963,55.3936021671
 01/02  24:00:00,21.4332988375,59.2303362598
 01/03  01:00:00,18.0255846458,63.690882586899995
 01/03  02:00:00,17.6154700112,67.874829516
 01/03  03:00:00,17.4441934804,70.7185421468
 01/03  04:00:00,17.401557056199998,73.5623177938
