Date/Time,Electricity:Facility [kW](Hourly),Gas:Facility [kW](Hourly)
 01/01  01:00:00,117.800126949,4.85426
 01/01  02:00:00,117.804761897,4.85426
 01/01  03:00:00,117.79872238600001,4.85426
 01/01  04:00:00,117.797763199,4.85426
 01/01  05:00:00,118.238581042,4.85426
 01/01  06:00:00,118.211843515,4.85426
 01/01  07:00:00,118.23323152399999,13.443146343599999
 01/01  08:00:00,109.12611643700001,4.85426
 01/01  09:00:00,100.17353825200001,4.85426
 01/01  10:00:00,100.227850679,4.85426
 01/01  11:00:00,100.24147475299999,4.85426
 01/01  12:00:00,101.087909841,13.4506332841
 01/01  13:00:00,100.249028292,4.85426
 01/01  14:00:00,100.36049198299999,4.85426
 01/01  15:00:00,100.40294249899999,4.85426
 01/01  16:00:00,100.37858219700001,13.4445973156
 01/01  17:00:00,100.16310481299999,4.85426
 01/01  18:00:00,109.096483743,4.85426
 01/01  19:00:00,118.00816082799999,4.85426
 01/01  20:00:00,118.43158923600001,4.85426
 01/01  21:00:00,118.38923056200001,4.85426
 01/01  22:00:00,118.13596556700001,4.85426
 01/01  23:00:00,117.80365917600001,13.4446101975
 01/01  24:00:00,118.65502656,4.85426
 01/02  01:00:00,117.769502356,4.85426
 01/02  02:00:00,117.78050532200001,4.85426
 01/02  03:00:00,117.795994765,13.450670761900001
 01/02  04:00:00,117.794937979,4.85426
 01/02  05:00:00,118.234615696,4.85426
 01/02  06:00:00,118.20763434,4.85426
 01/02  07:00:00,192.62784489900002,500.163755236
 01/02  08:00:00,397.811908115,369.000337905
 01/02  09:00:00,727.005626272,137.072624952
 01/02  10:00:00,999.58054326,72.85379912399999
 01/02  11:00:00,1040.27307234,83.8969466163
 01/02  12:00:00,1072.43135143,84.0122089178
 01/02  13:00:00,1106.74088786,93.0337307474
 01/02  14:00:00,1096.88629069,68.9409633786
 01/02  15:00:00,1104.19957059,59.694584661499995
 01/02  16:00:00,1119.15555738,40.4149024242
 01/02  17:00:00,1140.97193665,31.3538034882
 01/02  18:00:00,1025.69986962,40.1645536093
 01/02  19:00:00,960.853749883,40.2783609164
 01/02  20:00:00,901.465911184,13.511058908099999
 01/02  21:00:00,856.3178657880001,19.849005201300002
 01/02  22:00:00,118.386903867,13.5015957045
 01/02  23:00:00,118.07218598799999,4.85426
 01/02  24:00:00,118.96095106,13.4626029896
 01/03  01:00:00,118.08501472100001,4.85426
 01/03  02:00:00,118.07961367899999,4.85426
 01/03  03:00:00,118.07555066100001,4.85426
 01/03  04:00:00,118.081120488,13.4506022792
 01/03  05:00:00,120.571397643,4.85426
 01/03  06:00:00,120.15560152,4.85426
 01/03  07:00:00,641.64257404,85.4583584194
 01/03  08:00:00,784.256274046,95.8227193283
 01/03  09:00:00,936.559575106,63.088536077600004
 01/03  10:00:00,1053.88446277,71.7752039916
 01/03  11:00:00,1059.05756494,89.3057762825
 01/03  12:00:00,1078.13937885,87.50233149510001
 01/03  13:00:00,1112.83675338,93.0332319366
 01/03  14:00:00,1112.55363712,68.9414506351
 01/03  15:00:00,1122.50505859,59.6986617872
 01/03  16:00:00,1119.47623743,40.4160068989
 01/03  17:00:00,1132.58345211,31.3503620915
 01/03  18:00:00,825.343819552,40.1688335693
 01/03  19:00:00,687.357873982,31.4247352126
 01/03  20:00:00,562.6044984609999,13.510352205899999
 01/03  21:00:00,527.849364041,47.084882577100004
 01/03  22:00:00,117.818120979,13.502014651500001
 01/03  23:00:00,117.825875594,13.471752318
 01/03  24:00:00,118.75193654,4.85426
 01/04  01:00:00,117.813815584,13.4505733777
 01/04  02:00:00,117.785760956,4.85426
 01/04  03:00:00,117.74433279899999,4.85426
 01/04  04:00:00,117.69079969100001,4.85426
 01/04  05:00:00,118.074248596,13.4507008849
 01/04  06:00:00,118.02776968200001,4.85426
 01/04  07:00:00,193.888618001,1498.84941937
 01/04  08:00:00,362.461782005,1328.82355645
 01/04  09:00:00,445.915035214,1113.16364964
 01/04  10:00:00,446.19973943300005,956.6522585519999
 01/04  11:00:00,453.023672966,839.652565642
 01/04  12:00:00,454.470202547,663.097578785
 01/04  13:00:00,454.230806169,551.1423146669999
 01/04  14:00:00,449.11375650400004,465.557502147
 01/04  15:00:00,449.93726316,386.423065469
 01/04  16:00:00,442.20128774,291.451751773
 01/04  17:00:00,433.760431112,255.955900012
 01/04  18:00:00,361.334885159,516.464826971
 01/04  19:00:00,370.89427967800003,739.541587165
 01/04  20:00:00,371.67705395,754.2081207289999
 01/04  21:00:00,371.61801285300004,861.72202436
 01/04  22:00:00,117.68386366899999,13.502053273
 01/04  23:00:00,117.45201692100001,13.471576922799999
 01/04  24:00:00,118.562531765,4.85426
 01/05  01:00:00,117.520173901,4.85426
 01/05  02:00:00,117.534242439,13.450597098800001
 01/05  03:00:00,117.531385234,4.85426
 01/05  04:00:00,145.296859685,5.202393982109999
 01/05  05:00:00,192.07122316599998,5.8595169576499995
 01/05  06:00:00,210.17338581,14.9073617093
 01/05  07:00:00,194.347746826,1974.9679230999998
 01/05  08:00:00,362.60959314900003,1781.44689898
 01/05  09:00:00,445.913811253,1395.37432181
 01/05  10:00:00,446.00980601,1086.87915171
 01/05  11:00:00,452.014443591,847.134048826
 01/05  12:00:00,453.015514069,559.257651817
 01/05  13:00:00,453.256424868,369.066880755
 01/05  14:00:00,528.141184834,282.356447811
 01/05  15:00:00,516.8390221440001,215.26369675400002
 01/05  16:00:00,530.646048286,148.96896175
 01/05  17:00:00,488.656210139,73.9853063832
 01/05  18:00:00,361.124287044,245.269738456
 01/05  19:00:00,370.031834851,428.769289656
 01/05  20:00:00,370.631483693,550.680914317
 01/05  21:00:00,370.630198615,559.96688464
 01/05  22:00:00,117.83158664,13.5022674727
 01/05  23:00:00,117.586582158,13.471828074500001
 01/05  24:00:00,118.623201581,4.85426
 01/06  01:00:00,117.610702699,4.85426
 01/06  02:00:00,117.58849962299999,13.4507668154
 01/06  03:00:00,117.57553881,4.85426
 01/06  04:00:00,117.543035051,4.85426
 01/06  05:00:00,119.642692548,4.85426
 01/06  06:00:00,142.69868127799998,14.2165039925
 01/06  07:00:00,194.88785616400003,1737.97887043
 01/06  08:00:00,362.586271553,1554.14655211
 01/06  09:00:00,445.987224799,1269.5133853
 01/06  10:00:00,446.077035818,1087.94924351
 01/06  11:00:00,452.08370263,1048.74575703
 01/06  12:00:00,453.06010642300004,1024.07831612
 01/06  13:00:00,452.068060359,1001.72118781
 01/06  14:00:00,446.083735068,1056.06565464
 01/06  15:00:00,446.061958279,1047.91441238
 01/06  16:00:00,438.206009223,947.184048478
 01/06  17:00:00,433.162578938,858.2580973360001
 01/06  18:00:00,362.35603228300005,1058.20914354
 01/06  19:00:00,371.32137699699996,1169.32832382
 01/06  20:00:00,371.29495365099996,1195.61839483
 01/06  21:00:00,371.295541631,1236.63956926
 01/06  22:00:00,117.328574479,13.5023776767
 01/06  23:00:00,144.659939761,14.029532101600001
 01/06  24:00:00,145.19173147700002,5.50493720663
 01/07  01:00:00,210.632460545,7.28205492207
 01/07  02:00:00,204.28309396900002,7.52270466327
 01/07  03:00:00,225.525156355,17.9533741506
 01/07  04:00:00,201.468910907,10.0232558313
 01/07  05:00:00,221.10119656400002,15.7544388655
 01/07  06:00:00,201.52255827599998,19.9488749012
 01/07  07:00:00,218.96927952599998,27.7307624573
 01/07  08:00:00,192.47889633900002,24.0204358038
 01/07  09:00:00,197.90141381400002,38.1933807593
 01/07  10:00:00,178.222348058,24.1761255891
 01/07  11:00:00,198.96729166400002,36.7970319005
 01/07  12:00:00,179.793278315,31.4216045124
 01/07  13:00:00,199.35960201,34.4287631052
 01/07  14:00:00,179.17598003700002,22.020366953699998
 01/07  15:00:00,198.64880396,37.652036633899996
 01/07  16:00:00,177.51125862900003,26.6535223338
 01/07  17:00:00,196.51174703200002,45.0436544434
 01/07  18:00:00,184.531815593,36.6917957662
 01/07  19:00:00,211.787614038,51.43555656270001
 01/07  20:00:00,196.926032077,49.745310912200004
 01/07  21:00:00,212.70245041799998,67.37042510890001
 01/07  22:00:00,196.23093698,101.542733758
 01/07  23:00:00,214.399209033,97.3783862481
 01/07  24:00:00,196.270946208,98.41901457719999
 01/08  01:00:00,217.91543806299998,121.872623033
 01/08  02:00:00,195.30358337,90.19543366149999
 01/08  03:00:00,213.440094556,120.62583009
 01/08  04:00:00,200.624527534,95.51270346940001
 01/08  05:00:00,211.642004012,117.792668361
 01/08  06:00:00,201.97944703099998,107.067203853
 01/08  07:00:00,215.55851182799998,136.796057703
 01/08  08:00:00,186.298498365,104.473987901
 01/08  09:00:00,191.344498194,133.890634949
 01/08  10:00:00,173.538870002,95.3720363114
 01/08  11:00:00,192.94938449900002,117.92696252100001
 01/08  12:00:00,171.590748471,87.5573693642
 01/08  13:00:00,189.49469178200002,96.18108797459999
 01/08  14:00:00,171.378295484,68.366618863
 01/08  15:00:00,190.07668730700001,87.855913893
 01/08  16:00:00,171.61686250399998,65.3450207299
 01/08  17:00:00,189.591183785,90.7725917202
 01/08  18:00:00,179.898917765,70.5726529446
 01/08  19:00:00,212.21726097299998,91.8830483512
 01/08  20:00:00,189.03865980400002,77.67490545140001
 01/08  21:00:00,211.805875925,107.64428908299999
 01/08  22:00:00,197.07703613799998,149.452882361
 01/08  23:00:00,209.570628932,166.252839249
 01/08  24:00:00,198.226326602,167.770558832
 01/09  01:00:00,211.17560889400002,215.478704297
 01/09  02:00:00,206.064932295,200.492744435
 01/09  03:00:00,216.39631159099997,222.56546908200002
 01/09  04:00:00,207.115472741,214.313086226
 01/09  05:00:00,223.01324859099998,263.04988081700003
 01/09  06:00:00,207.10900137599998,235.282637523
 01/09  07:00:00,195.687200225,2941.17487375
 01/09  08:00:00,363.879803223,2408.40161351
 01/09  09:00:00,446.362949485,2062.12821911
 01/09  10:00:00,446.18831423,1769.21401851
 01/09  11:00:00,452.11888500599997,1419.52862737
 01/09  12:00:00,453.089220196,1166.8141109
 01/09  13:00:00,451.72476681300003,881.414268511
 01/09  14:00:00,445.13982747,743.440859318
 01/09  15:00:00,445.14335656699996,738.8429038319999
 01/09  16:00:00,437.425341483,714.4149087960001
 01/09  17:00:00,432.357464889,568.511049563
 01/09  18:00:00,361.63311977800004,696.907137453
