Date/Time,Electricity:Facility [kW](Hourly),Gas:Facility [kW](Hourly)
 01/01  01:00:00,4.2280187684,0.02
 01/01  02:00:00,4.2280187684,0.45307501762900004
 01/01  03:00:00,4.2280187684,0.02
 01/01  04:00:00,4.2280187684,0.45306001883
 01/01  05:00:00,4.2280187684,0.45308093571099994
 01/01  06:00:00,4.2280187684,0.02
 01/01  07:00:00,4.2280187684,0.453080110252
 01/01  08:00:00,3.0765187683999997,0.45306447066600003
 01/01  09:00:00,1.9250187684,0.02
 01/01  10:00:00,1.9250187684,0.45308762325199997
 01/01  11:00:00,1.9250187684,0.45308238481000007
 01/01  12:00:00,1.9250187684,0.02
 01/01  13:00:00,1.9250187684,0.453090304002
 01/01  14:00:00,1.9250187684,0.453081672408
 01/01  15:00:00,1.9250187684,0.02
 01/01  16:00:00,1.9250187684,0.453071669424
 01/01  17:00:00,1.9250187684,0.45308157629600004
 01/01  18:00:00,3.4603521017400003,0.02
 01/01  19:00:00,4.2280187684,0.45307937783299995
 01/01  20:00:00,4.2280187684,0.02
 01/01  21:00:00,4.2280187684,0.45308275421800004
 01/01  22:00:00,4.2280187684,0.453060310272
 01/01  23:00:00,4.2280187684,0.02
 01/01  24:00:00,4.2280187684,0.453082006615
 01/02  01:00:00,4.7780241307999995,0.453073660032
 01/02  02:00:00,4.7780241307999995,0.02
 01/02  03:00:00,4.7780241307999995,0.4530641551199999
 01/02  04:00:00,4.7780241307999995,0.45305590557899994
 01/02  05:00:00,4.7780241307999995,0.02
 01/02  06:00:00,5.053026812,0.45309125743
 01/02  07:00:00,7.18435339361,9.38839085467
 01/02  08:00:00,7.132864118410001,11.0305082095
 01/02  09:00:00,12.0314231048,3.39664856194
 01/02  10:00:00,12.0323936309,1.0481289892299999
 01/02  11:00:00,12.0337967541,0.465220906527
 01/02  12:00:00,12.090733466300001,0.886328986682
 01/02  13:00:00,11.655130918,0.453177589708
 01/02  14:00:00,12.3481627314,0.453161513961
 01/02  15:00:00,12.3311419111,0.45312433234800004
 01/02  16:00:00,12.2644623196,0.453129439568
 01/02  17:00:00,12.178867739400001,0.453156080325
 01/02  18:00:00,9.167107666289999,0.538694233645
 01/02  19:00:00,8.28436411841,0.592115786796
 01/02  20:00:00,8.28436411841,0.433177653036
 01/02  21:00:00,7.734358756010001,1.2508597250799998
 01/02  22:00:00,7.734358756010001,1.7285455754900003
 01/02  23:00:00,5.053026812,0.453078859063
 01/02  24:00:00,4.7780241307999995,0.02
 01/03  01:00:00,4.7780241307999995,0.45307065119999995
 01/03  02:00:00,4.7780241307999995,0.453062455555
 01/03  03:00:00,4.7780241307999995,0.02
 01/03  04:00:00,4.7780241307999995,0.45305425175499997
 01/03  05:00:00,4.7780241307999995,0.02
 01/03  06:00:00,5.053026812,0.453084302886
 01/03  07:00:00,7.18435339361,4.5600529090199995
 01/03  08:00:00,7.132864118410001,9.05254794459
 01/03  09:00:00,12.0314231048,2.5740600443
 01/03  10:00:00,12.0314231048,1.4032336084
 01/03  11:00:00,12.0314231048,0.836628620049
 01/03  12:00:00,12.0314231048,0.53483702736
 01/03  13:00:00,11.4835811573,0.604060619
 01/03  14:00:00,12.115942300799999,0.453168334652
 01/03  15:00:00,12.1607937053,0.453142977086
 01/03  16:00:00,12.1610909575,0.453131295931
 01/03  17:00:00,12.1229669207,0.45314871380099997
 01/03  18:00:00,8.78288020561,0.617026804346
 01/03  19:00:00,8.28436411841,1.33954242362
 01/03  20:00:00,8.28436411841,2.25486747845
 01/03  21:00:00,7.734358756010001,3.74842157769
 01/03  22:00:00,7.734358756010001,5.5348522865100005
 01/03  23:00:00,5.053026812,0.453080990026
 01/03  24:00:00,4.7780241307999995,0.02
 01/04  01:00:00,4.7780241307999995,0.453072780251
 01/04  02:00:00,4.7780241307999995,0.453064637656
 01/04  03:00:00,4.7780241307999995,0.02
 01/04  04:00:00,4.7780241307999995,0.453075433361
 01/04  05:00:00,4.7780241307999995,0.45308513481000007
 01/04  06:00:00,5.053026812,0.02
 01/04  07:00:00,7.18489751597,4.95396432177
 01/04  08:00:00,7.132864118410001,7.67819404322
 01/04  09:00:00,12.0314231048,1.7631825114200002
 01/04  10:00:00,12.0331628516,0.9137846047139999
 01/04  11:00:00,12.0317238383,0.491740190408
 01/04  12:00:00,12.0851831182,0.45316043155
 01/04  13:00:00,11.5758072091,0.45319059450800003
 01/04  14:00:00,12.2008050959,0.453143942988
 01/04  15:00:00,12.2190018556,0.453122334242
 01/04  16:00:00,12.1850119729,0.453128658517
 01/04  17:00:00,12.1263172051,0.45314201058200004
 01/04  18:00:00,8.78448222074,0.73490887795
 01/04  19:00:00,8.28436411841,1.81324056128
 01/04  20:00:00,8.28436411841,2.8787162171599996
 01/04  21:00:00,7.734358756010001,4.43346941333
 01/04  22:00:00,7.734358756010001,5.6277408716499995
 01/04  23:00:00,5.053026812,0.453088827038
 01/04  24:00:00,4.7780241307999995,0.453078544343
 01/05  01:00:00,4.7780241307999995,0.02
 01/05  02:00:00,4.7780241307999995,0.45307045256000006
 01/05  03:00:00,4.7780241307999995,0.453062346409
 01/05  04:00:00,4.7780241307999995,0.02
 01/05  05:00:00,4.7780241307999995,0.453054232641
 01/05  06:00:00,5.053026812,0.453058050936
 01/05  07:00:00,7.18435339361,6.339844777000001
 01/05  08:00:00,7.132864118410001,10.2924506092
 01/05  09:00:00,12.0314231048,3.0912782826300003
 01/05  10:00:00,12.0323683251,1.06251408985
 01/05  11:00:00,12.0314231048,0.522732712715
 01/05  12:00:00,12.0314231048,0.453156281242
 01/05  13:00:00,11.4814177424,0.45317743411899997
 01/05  14:00:00,12.0423874959,0.886318215439
 01/05  15:00:00,12.092139048,0.45312809804
 01/05  16:00:00,12.187345710599999,0.453114167748
 01/05  17:00:00,12.2982547599,0.453153045463
 01/05  18:00:00,8.78288020561,0.500613703842
 01/05  19:00:00,8.28436411841,0.0456881982258
 01/05  20:00:00,8.28436411841,0.45307493583700004
 01/05  21:00:00,7.734358756010001,0.45308214337999997
 01/05  22:00:00,7.734358756010001,0.453060899722
 01/05  23:00:00,5.053026812,0.02
 01/05  24:00:00,4.7780241307999995,0.453087057614
 01/06  01:00:00,4.7780241307999995,0.453079014856
 01/06  02:00:00,4.7780241307999995,0.02
 01/06  03:00:00,4.7780241307999995,0.453070963403
 01/06  04:00:00,4.7780241307999995,0.45306290070200006
 01/06  05:00:00,4.7780241307999995,0.02
 01/06  06:00:00,5.053026812,0.453063076267
 01/06  07:00:00,7.218658714439999,0.638137449618
 01/06  08:00:00,7.132864118410001,0.9673899302869999
 01/06  09:00:00,12.0854530725,0.453136488437
 01/06  10:00:00,12.0314231048,0.453140292869
 01/06  11:00:00,12.0314231048,0.45314907303199997
 01/06  12:00:00,12.034272599500001,0.45314142522399997
 01/06  13:00:00,11.4814177424,0.8863361184999999
 01/06  14:00:00,12.0400110921,0.45317263032
 01/06  15:00:00,12.0333162946,0.45310220452600003
 01/06  16:00:00,12.0499542488,0.45314396889700004
 01/06  17:00:00,12.049999606099998,0.453146712794
 01/06  18:00:00,8.78288020561,0.603389168008
 01/06  19:00:00,8.28436411841,0.519834890861
 01/06  20:00:00,8.28436411841,0.204636067211
 01/06  21:00:00,7.734358756010001,2.0025151601099997
 01/06  22:00:00,7.734358756010001,3.5498757899
 01/06  23:00:00,5.053026812,0.453062813159
 01/06  24:00:00,4.7780241307999995,0.02
 01/07  01:00:00,4.2280187684,0.45305476267899997
 01/07  02:00:00,4.2280187684,0.02
 01/07  03:00:00,4.2280187684,0.45308205729400003
 01/07  04:00:00,4.2280187684,0.453074052311
 01/07  05:00:00,4.2280187684,0.02
 01/07  06:00:00,4.2280187684,0.45306896189499996
 01/07  07:00:00,7.18435339361,8.29059261025
 01/07  08:00:00,6.032853393609999,14.693707861300002
 01/07  09:00:00,6.53136948081,12.1716248378
 01/07  10:00:00,6.53136948081,10.1883925736
 01/07  11:00:00,6.53136948081,8.883227552300001
 01/07  12:00:00,6.53136948081,7.67728024495
 01/07  13:00:00,4.88135339361,7.73406621903
 01/07  14:00:00,4.88135339361,6.47697348467
 01/07  15:00:00,4.88135339361,6.23008734483
 01/07  16:00:00,4.88135339361,5.82906923619
 01/07  17:00:00,4.88135339361,6.406323700290001
 01/07  18:00:00,5.2078453500099995,8.59844364644
 01/07  19:00:00,4.2280187684,0.453090013766
 01/07  20:00:00,4.2280187684,0.453086339044
 01/07  21:00:00,4.2280187684,0.02
 01/07  22:00:00,4.2280187684,0.453073623684
 01/07  23:00:00,4.2280187684,0.453071599245
 01/07  24:00:00,4.2280187684,0.02
 01/08  01:00:00,4.2280187684,0.453061536607
 01/08  02:00:00,4.2280187684,0.453082610048
 01/08  03:00:00,4.2280187684,0.02
 01/08  04:00:00,4.2280187684,0.45306922413199996
 01/08  05:00:00,4.2280187684,0.453055796917
 01/08  06:00:00,4.2280187684,0.02
 01/08  07:00:00,4.2280187684,0.453053306145
 01/08  08:00:00,3.0765187683999997,0.02
 01/08  09:00:00,1.9250187684,0.453075848424
 01/08  10:00:00,1.9250187684,0.453083975484
 01/08  11:00:00,1.9250187684,0.02
 01/08  12:00:00,1.9250187684,0.45308786639700005
 01/08  13:00:00,1.9250187684,0.45308604531499996
 01/08  14:00:00,1.9250187684,0.02
 01/08  15:00:00,1.9250187684,0.453077231662
 01/08  16:00:00,1.9250187684,0.45308203859499996
 01/08  17:00:00,1.9250187684,0.02
 01/08  18:00:00,3.0765187683999997,0.453087518517
 01/08  19:00:00,4.2280187684,0.453073868309
 01/08  20:00:00,4.2280187684,0.02
 01/08  21:00:00,4.2280187684,0.45307648625200003
 01/08  22:00:00,4.2280187684,0.45307691334399997
 01/08  23:00:00,4.2280187684,0.02
 01/08  24:00:00,4.2280187684,0.453060572425
 01/09  01:00:00,4.7780241307999995,0.02
 01/09  02:00:00,4.7780241307999995,0.453087047067
 01/09  03:00:00,4.7780241307999995,0.45307912993
 01/09  04:00:00,4.7780241307999995,0.02
 01/09  05:00:00,4.7780241307999995,0.45307119839500004
 01/09  06:00:00,5.053026812,0.453073479272
 01/09  07:00:00,7.18435339361,17.531286665899998
 01/09  08:00:00,7.132864118410001,17.2725297784
 01/09  09:00:00,12.0314231048,8.959938619310002
 01/09  10:00:00,12.0314231048,6.19115231408
 01/09  11:00:00,12.0314231048,4.33581413857
 01/09  12:00:00,12.0314231048,2.3120084101400002
 01/09  13:00:00,11.4814177424,1.9412439833700001
 01/09  14:00:00,12.0336211031,0.453149430613
 01/09  15:00:00,12.0314231048,0.453134802267
 01/09  16:00:00,12.0314231048,0.453122234585
 01/09  17:00:00,12.0314231048,0.45315527969499997
 01/09  18:00:00,8.78288020561,0.789999757125
 01/09  19:00:00,8.28436411841,2.3858200980400004
 01/09  20:00:00,8.28436411841,2.59437071193
 01/09  21:00:00,7.734358756010001,3.71836279685
 01/09  22:00:00,7.734358756010001,3.9385029553199993
 01/09  23:00:00,5.053026812,0.02
 01/09  24:00:00,4.7780241307999995,0.453079279749
 01/10  01:00:00,4.7780241307999995,0.453071371038
 01/10  02:00:00,4.7780241307999995,0.02
 01/10  03:00:00,4.7780241307999995,0.453063465964
 01/10  04:00:00,4.7780241307999995,0.45305555345299997
 01/10  05:00:00,4.7780241307999995,0.02
 01/10  06:00:00,5.053026812,0.453089249138
 01/10  07:00:00,7.185087717669999,4.60925976579
 01/10  08:00:00,7.132864118410001,5.69128072694
 01/10  09:00:00,12.039286806,0.36870238382700005
 01/10  10:00:00,12.0314231048,0.886247460227
 01/10  11:00:00,12.0314231048,0.453110896359
 01/10  12:00:00,12.0314231048,0.453159832015
 01/10  13:00:00,11.4814177424,0.4531787588600001
 01/10  14:00:00,12.046634653,0.453177777536
 01/10  15:00:00,12.0314231048,0.453120922063
 01/10  16:00:00,12.0314231048,0.45310941159999996
 01/10  17:00:00,12.0314231048,0.453128318433
 01/10  18:00:00,8.78288020561,0.605376104622
 01/10  19:00:00,8.28436411841,0.523227527402
 01/10  20:00:00,8.28436411841,0.45310821288
 01/10  21:00:00,7.734358756010001,0.02
 01/10  22:00:00,7.734358756010001,0.488539177648
 01/10  23:00:00,5.053026812,0.45306657947499995
 01/10  24:00:00,4.7780241307999995,0.02
 01/11  01:00:00,4.7780241307999995,0.45305865859899996
 01/11  02:00:00,4.7780241307999995,0.453086094277
 01/11  03:00:00,4.7780241307999995,0.02
 01/11  04:00:00,4.7780241307999995,0.453078247659
 01/11  05:00:00,4.7780241307999995,0.45307038736199995
 01/11  06:00:00,5.053026812,0.02
 01/11  07:00:00,7.19955907963,2.21968379916
 01/11  08:00:00,7.132864118410001,3.9335751166
 01/11  09:00:00,12.0480564627,0.453131554683
 01/11  10:00:00,12.0314231048,0.45313964258199996
 01/11  11:00:00,12.0314231048,0.45315089909100004
 01/11  12:00:00,12.0314231048,0.453131136317
 01/11  13:00:00,11.4814177424,0.49485071804200004
 01/11  14:00:00,12.0446414079,0.45314093022600005
 01/11  15:00:00,12.0314231048,0.453120984331
 01/11  16:00:00,12.0314231048,0.45312862852799995
 01/11  17:00:00,12.0314231048,0.45309871913099997
 01/11  18:00:00,8.78288020561,0.619135892956
 01/11  19:00:00,8.28436411841,0.741439283162
 01/11  20:00:00,8.28436411841,2.83594949291
 01/11  21:00:00,7.734358756010001,4.23536313025
 01/11  22:00:00,7.734358756010001,3.84139762456
 01/11  23:00:00,5.053026812,0.4530834468
 01/11  24:00:00,4.7780241307999995,0.453084464099
 01/12  01:00:00,4.7780241307999995,0.02
 01/12  02:00:00,4.7780241307999995,0.453076650964
 01/12  03:00:00,4.7780241307999995,0.453068822438
 01/12  04:00:00,4.7780241307999995,0.02
 01/12  05:00:00,4.7780241307999995,0.453060984467
 01/12  06:00:00,5.053026812,0.45306522347499995
 01/12  07:00:00,7.18435339361,5.639125794299999
 01/12  08:00:00,7.132864118410001,9.015406028
 01/12  09:00:00,12.0314231048,3.07244344986
 01/12  10:00:00,12.0314231048,1.93135873857
 01/12  11:00:00,12.0314231048,1.10344016461
 01/12  12:00:00,12.0314231048,0.5578322238100001
 01/12  13:00:00,11.4814177424,0.8987749864769999
 01/12  14:00:00,12.0425329208,0.886351693639
 01/12  15:00:00,12.0314231048,0.45312141342
 01/12  16:00:00,12.0314231048,0.45313533805399997
 01/12  17:00:00,12.0314231048,0.45314622573200003
 01/12  18:00:00,8.78415402145,0.824746389414
 01/12  19:00:00,8.28436411841,2.0639436861099996
 01/12  20:00:00,8.28436411841,3.12436275584
 01/12  21:00:00,7.734358756010001,3.54761568585
 01/12  22:00:00,7.734358756010001,3.6750350694400002
 01/12  23:00:00,5.053026812,0.02
 01/12  24:00:00,4.7780241307999995,0.45307673275300003
 01/13  01:00:00,4.7780241307999995,0.45306892829400003
 01/13  02:00:00,4.7780241307999995,0.02
 01/13  03:00:00,4.7780241307999995,0.453061123154
 01/13  04:00:00,4.7780241307999995,0.45308860885499996
 01/13  05:00:00,4.7780241307999995,0.02
 01/13  06:00:00,5.053026812,0.453089273345
 01/13  07:00:00,7.18435339361,5.90419621065
 01/13  08:00:00,7.132864118410001,8.02208993859
 01/13  09:00:00,12.0314231048,2.6659580651900003
 01/13  10:00:00,12.0314231048,1.28059466339
 01/13  11:00:00,12.0333817807,0.474941354261
 01/13  12:00:00,12.033614104100002,0.8863403772949999
 01/13  13:00:00,11.521413945199999,0.453179258868
 01/13  14:00:00,12.2063321416,0.453142417713
 01/13  15:00:00,12.2454687646,0.453141306234
 01/13  16:00:00,12.2977044543,0.45313117306100004
 01/13  17:00:00,12.3014501806,0.453158400515
 01/13  18:00:00,8.78327406702,0.5151901730399999
 01/13  19:00:00,8.28436411841,0.563549828638
 01/13  20:00:00,8.28436411841,0.8719631804350001
 01/13  21:00:00,7.734358756010001,0.859360218895
 01/13  22:00:00,7.734358756010001,1.6572814741600002
 01/13  23:00:00,5.053026812,0.45307113287
 01/13  24:00:00,4.7780241307999995,0.02
 01/14  01:00:00,4.2280187684,0.453063338202
 01/14  02:00:00,4.2280187684,0.45305556028000005
 01/14  03:00:00,4.2280187684,0.02
 01/14  04:00:00,4.2280187684,0.45308312938
 01/14  05:00:00,4.2280187684,0.45307537493
 01/14  06:00:00,4.2280187684,0.02
 01/14  07:00:00,7.18435339361,5.42681756694
 01/14  08:00:00,6.032853393609999,10.186118370700001
 01/14  09:00:00,6.53136948081,5.77560777012
 01/14  10:00:00,6.53136948081,2.9465538056200002
 01/14  11:00:00,6.53317049271,1.14708547564
 01/14  12:00:00,6.53166512416,0.537091173648
 01/14  13:00:00,4.91045093339,0.477943121172
 01/14  14:00:00,4.99435085053,0.453075939754
 01/14  15:00:00,4.9993981201899995,0.02
 01/14  16:00:00,5.00002534919,0.453074024155
 01/14  17:00:00,4.92118717874,0.45310273984300004
 01/14  18:00:00,5.2078453500099995,0.09129386917400001
 01/14  19:00:00,4.2280187684,0.45308955839299997
 01/14  20:00:00,4.2280187684,0.453082998469
 01/14  21:00:00,4.2280187684,0.02
 01/14  22:00:00,4.2280187684,0.453087560025
 01/14  23:00:00,4.2280187684,0.453090130399
 01/14  24:00:00,4.2280187684,0.02
 01/15  01:00:00,4.2280187684,0.453079739561
 01/15  02:00:00,4.2280187684,0.45306592923100003
 01/15  03:00:00,4.2280187684,0.02
 01/15  04:00:00,4.2280187684,0.453087294813
 01/15  05:00:00,4.2280187684,0.453074115635
 01/15  06:00:00,4.2280187684,0.02
 01/15  07:00:00,4.2280187684,0.45307227412100004
 01/15  08:00:00,3.0765187683999997,0.453058701061
