Date/Time,Electricity:Facility [kW](Hourly),Gas:Facility [kW](Hourly)
 01/02  01:00:00,15.1069992076,0.0
 01/02  02:00:00,15.1069992076,0.0
 01/02  03:00:00,15.1069992076,0.0
 01/02  04:00:00,15.1069992076,0.0
 01/02  05:00:00,15.1069992076,0.0
 01/02  06:00:00,15.1069992076,0.0
 01/02  07:00:00,24.204508593899998,22.575132543000002
 01/02  08:00:00,21.904325235399998,12.3207347571
 01/02  09:00:00,33.6326216063,1.59315692607
 01/02  10:00:00,50.0248984991,0.0
 01/02  11:00:00,50.0248984991,0.0
 01/02  12:00:00,50.1388006321,0.0
 01/02  13:00:00,50.99018272,0.0
 01/02  14:00:00,52.2708573031,0.0
 01/02  15:00:00,53.6732030179,0.0
 01/02  16:00:00,54.110320666599996,0.0
 01/02  17:00:00,51.75070082,0.0
 01/02  18:00:00,57.88262632520001,0.0
 01/02  19:00:00,49.6651092855,0.0
 01/02  20:00:00,49.6651092855,0.0
 01/02  21:00:00,45.1176216063,0.0
 01/02  22:00:00,22.3776491824,0.0
 01/02  23:00:00,15.1069992076,0.0
 01/02  24:00:00,15.1069992076,0.0
 01/03  01:00:00,15.1069992076,0.0
 01/03  02:00:00,15.1069992076,0.0
 01/03  03:00:00,15.1069992076,0.0
 01/03  04:00:00,15.1069992076,0.0
 01/03  05:00:00,15.1069992076,0.0
 01/03  06:00:00,15.1069992076,0.0
 01/03  07:00:00,24.204508593899998,27.1408658755
 01/03  08:00:00,21.904325235399998,15.9276798302
 01/03  09:00:00,33.6326216063,1.6811880548
 01/03  10:00:00,50.0248984991,0.0
 01/03  11:00:00,50.0248984991,0.0
 01/03  12:00:00,50.238263511899994,0.0
 01/03  13:00:00,51.377412121599995,0.0
 01/03  14:00:00,52.3125194063,0.0
 01/03  15:00:00,53.6785415004,0.0
 01/03  16:00:00,53.435268381899995,0.0
 01/03  17:00:00,51.3038810093,0.0
 01/03  18:00:00,57.884399503500006,0.0
 01/03  19:00:00,49.6651092855,0.0
 01/03  20:00:00,49.6651092855,0.0
 01/03  21:00:00,45.1176216063,0.0
 01/03  22:00:00,22.3776491824,0.0
 01/03  23:00:00,15.1069992076,0.0
 01/03  24:00:00,15.1069992076,0.0
 01/04  01:00:00,15.1069992076,0.0
 01/04  02:00:00,15.1069992076,0.0
 01/04  03:00:00,15.1069992076,0.0
 01/04  04:00:00,15.1069992076,0.0
 01/04  05:00:00,15.1069992076,0.0
 01/04  06:00:00,15.1069992076,0.0
 01/04  07:00:00,24.204508593899998,19.690740034
 01/04  08:00:00,21.904325235399998,12.309615813499999
 01/04  09:00:00,33.6326216063,3.99417347311
 01/04  10:00:00,50.0248984991,0.0
 01/04  11:00:00,50.0248984991,0.0
 01/04  12:00:00,50.0248984991,0.0
 01/04  13:00:00,50.0248984991,0.0
 01/04  14:00:00,50.0248984991,0.0
 01/04  15:00:00,50.0248984991,0.0
 01/04  16:00:00,50.0248984991,0.0
 01/04  17:00:00,50.0248984991,0.0
 01/04  18:00:00,57.6815651658,0.0
 01/04  19:00:00,49.6651092855,0.0
 01/04  20:00:00,49.6651092855,0.0
 01/04  21:00:00,45.1176216063,0.0
 01/04  22:00:00,22.3776491824,0.0
 01/04  23:00:00,15.1069992076,0.0
 01/04  24:00:00,15.1069992076,0.0
 01/05  01:00:00,15.1069992076,0.0
 01/05  02:00:00,15.1069992076,0.0
 01/05  03:00:00,15.1069992076,0.0
 01/05  04:00:00,15.1069992076,0.0
 01/05  05:00:00,15.1069992076,0.0
 01/05  06:00:00,15.1069992076,0.0
 01/05  07:00:00,24.204508593899998,18.9573067191
 01/05  08:00:00,21.904325235399998,9.29367131712
 01/05  09:00:00,33.6326216063,0.24583274142900002
 01/05  10:00:00,50.0248984991,0.0
 01/05  11:00:00,50.0248984991,0.0
 01/05  12:00:00,51.773650061000005,0.0
 01/05  13:00:00,56.5956687755,0.0
 01/05  14:00:00,59.552602503,0.0
 01/05  15:00:00,59.546801832700005,0.0
 01/05  16:00:00,58.3406664262,0.0
 01/05  17:00:00,54.7289451016,0.0
 01/05  18:00:00,57.254071295500005,0.0
 01/05  19:00:00,49.805310346700004,0.0
 01/05  20:00:00,49.6651092855,0.0
 01/05  21:00:00,45.1176216063,0.0
 01/05  22:00:00,22.3776491824,0.0
 01/05  23:00:00,15.1069992076,0.0
 01/05  24:00:00,15.1069992076,0.0
 01/06  01:00:00,15.1069992076,0.0
 01/06  02:00:00,15.1069992076,0.0
 01/06  03:00:00,15.1069992076,0.0
 01/06  04:00:00,15.1069992076,0.0
 01/06  05:00:00,15.1069992076,0.0
 01/06  06:00:00,15.1069992076,0.0
 01/06  07:00:00,24.204508593899998,7.33924690445
 01/06  08:00:00,21.904325235399998,4.47621127205
 01/06  09:00:00,33.6326216063,0.143647006699
 01/06  10:00:00,50.0248984991,0.0
 01/06  11:00:00,50.0248984991,0.0
 01/06  12:00:00,50.0248984991,0.0
 01/06  13:00:00,50.0248984991,0.0
 01/06  14:00:00,50.0248984991,0.0
 01/06  15:00:00,50.0248984991,0.0
 01/06  16:00:00,50.0248984991,0.0
 01/06  17:00:00,50.0472443238,0.0
 01/06  18:00:00,55.7673984991,0.0
 01/06  19:00:00,49.6651092855,0.0
 01/06  20:00:00,49.6651092855,0.0
 01/06  21:00:00,45.1176216063,0.0
 01/06  22:00:00,22.3776491824,0.0
 01/06  23:00:00,15.1069992076,0.0
 01/06  24:00:00,15.1069992076,0.0
 01/07  01:00:00,14.657580751600001,0.0
 01/07  02:00:00,14.657580751600001,0.0
 01/07  03:00:00,14.657580751600001,0.0
 01/07  04:00:00,14.657580751600001,0.0
 01/07  05:00:00,14.657580751600001,0.0
 01/07  06:00:00,14.657580751600001,0.0
 01/07  07:00:00,23.755090137899998,38.9108520555
 01/07  08:00:00,17.3568375562,41.1909679889
 01/07  09:00:00,24.5376462479,40.3845562938
 01/07  10:00:00,38.1801092855,27.8179933289
 01/07  11:00:00,50.0248984991,13.8890860971
 01/07  12:00:00,50.0248984991,3.6502471388199997
 01/07  13:00:00,50.0248984991,4.32117450629
 01/07  14:00:00,50.0248984991,2.83020279128
 01/07  15:00:00,50.0248984991,0.389141306555
 01/07  16:00:00,50.0248984991,0.476492994196
 01/07  17:00:00,50.0248984991,2.97611787722
 01/07  18:00:00,55.7673984991,17.4266313247
 01/07  19:00:00,45.1176216063,43.668622596300004
 01/07  20:00:00,36.0226462479,52.5606553054
 01/07  21:00:00,36.0226462479,56.7996901837
 01/07  22:00:00,26.927670889499996,65.3905204883
 01/07  23:00:00,14.657580751600001,0.0
 01/07  24:00:00,14.657580751600001,0.0
 01/08  01:00:00,14.657580751600001,0.0
 01/08  02:00:00,14.657580751600001,0.0
 01/08  03:00:00,14.657580751600001,0.0
 01/08  04:00:00,14.657580751600001,0.0
 01/08  05:00:00,14.657580751600001,0.0
 01/08  06:00:00,14.657580751600001,0.0
 01/08  07:00:00,14.657580751600001,0.0
 01/08  08:00:00,5.08674741827,0.0
 01/08  09:00:00,15.4426708895,120.513961257
 01/08  10:00:00,15.4426708895,86.7393738045
 01/08  11:00:00,29.0851339271,61.018188008900005
 01/08  12:00:00,29.0851339271,39.7764740964
 01/08  13:00:00,38.1801092855,12.2143109394
 01/08  14:00:00,38.1801092855,0.994107639571
 01/08  15:00:00,38.1801092855,0.0
 01/08  16:00:00,38.1801092855,0.0
 01/08  17:00:00,38.1801092855,0.15596813886
 01/08  18:00:00,34.8276339271,18.458743038199998
 01/08  19:00:00,31.4751585687,40.3064069048
 01/08  20:00:00,14.657580751600001,0.0
 01/08  21:00:00,14.657580751600001,0.0
 01/08  22:00:00,14.657580751600001,0.0
 01/08  23:00:00,14.657580751600001,0.0
 01/08  24:00:00,14.657580751600001,0.0
 01/09  01:00:00,15.1069992076,0.0
 01/09  02:00:00,15.1069992076,0.0
 01/09  03:00:00,15.1069992076,0.0
 01/09  04:00:00,15.1069992076,0.0
 01/09  05:00:00,15.1069992076,0.0
 01/09  06:00:00,15.1069992076,0.0
 01/09  07:00:00,24.204508593899998,132.309299893
 01/09  08:00:00,21.904325235399998,96.89602900690001
 01/09  09:00:00,33.6326216063,58.7515321666
 01/09  10:00:00,50.0248984991,18.9968023257
 01/09  11:00:00,50.0248984991,2.63223491311
 01/09  12:00:00,50.0248984991,0.0
 01/09  13:00:00,50.0248984991,0.0
 01/09  14:00:00,50.0248984991,0.0
 01/09  15:00:00,50.0248984991,0.0
 01/09  16:00:00,50.0248984991,0.0
 01/09  17:00:00,50.0248984991,0.0
 01/09  18:00:00,55.7673984991,0.0
 01/09  19:00:00,49.6651092855,0.0
 01/09  20:00:00,49.6651092855,0.276594374478
 01/09  21:00:00,45.1176216063,3.0367436717
 01/09  22:00:00,22.3776491824,0.0
 01/09  23:00:00,15.1069992076,0.0
 01/09  24:00:00,15.1069992076,0.0
 01/10  01:00:00,15.1069992076,0.0
 01/10  02:00:00,15.1069992076,0.0
 01/10  03:00:00,15.1069992076,0.0
 01/10  04:00:00,15.1069992076,0.0
 01/10  05:00:00,15.1069992076,0.0
 01/10  06:00:00,15.1069992076,0.0
 01/10  07:00:00,24.204508593899998,54.00826423
 01/10  08:00:00,21.904325235399998,32.9453854229
 01/10  09:00:00,33.6326216063,7.63892787508
 01/10  10:00:00,50.0248984991,0.0
 01/10  11:00:00,50.0248984991,0.0
 01/10  12:00:00,50.2609095941,0.0
 01/10  13:00:00,51.9661483083,0.0
 01/10  14:00:00,53.722413650600004,0.0
 01/10  15:00:00,54.7802856013,0.0
 01/10  16:00:00,55.360599806,0.0
 01/10  17:00:00,53.4933138508,0.0
 01/10  18:00:00,56.550953067200005,0.0
 01/10  19:00:00,49.6667225141,0.0
 01/10  20:00:00,49.6651092855,0.0
 01/10  21:00:00,45.1176216063,0.0
 01/10  22:00:00,22.3776491824,0.0
 01/10  23:00:00,15.1069992076,0.0
 01/10  24:00:00,15.1069992076,0.0
 01/11  01:00:00,15.1069992076,0.0
 01/11  02:00:00,15.1069992076,0.0
 01/11  03:00:00,15.1069992076,0.0
 01/11  04:00:00,15.1069992076,0.0
 01/11  05:00:00,15.1069992076,0.0
 01/11  06:00:00,15.1069992076,0.0
 01/11  07:00:00,24.204508593899998,32.9053070701
 01/11  08:00:00,21.904325235399998,21.300770492
 01/11  09:00:00,33.6326216063,3.42508922131
 01/11  10:00:00,50.0248984991,0.0
 01/11  11:00:00,50.0248984991,0.0
 01/11  12:00:00,50.433502744799995,0.0
 01/11  13:00:00,51.9193430917,0.0
 01/11  14:00:00,52.0897270699,0.0
 01/11  15:00:00,53.136006376800005,0.0
 01/11  16:00:00,53.2643805968,0.0
 01/11  17:00:00,51.336473793900005,0.0
 01/11  18:00:00,55.8262325642,0.0
 01/11  19:00:00,49.6651092855,0.0
 01/11  20:00:00,49.6651092855,0.0
 01/11  21:00:00,45.1176216063,0.0
 01/11  22:00:00,22.3776491824,0.0
 01/11  23:00:00,15.1069992076,0.0
 01/11  24:00:00,15.1069992076,0.0
 01/12  01:00:00,15.1069992076,0.0
 01/12  02:00:00,15.1069992076,0.0
 01/12  03:00:00,15.1069992076,0.0
 01/12  04:00:00,15.1069992076,0.0
 01/12  05:00:00,15.1069992076,0.0
 01/12  06:00:00,15.1069992076,0.0
 01/12  07:00:00,24.204508593899998,5.213193155930001
 01/12  08:00:00,21.904325235399998,0.0
 01/12  09:00:00,33.6326216063,0.0
 01/12  10:00:00,50.0248984991,0.0
 01/12  11:00:00,50.0248984991,0.0
 01/12  12:00:00,50.3391827253,0.0
 01/12  13:00:00,51.2511810131,0.0
 01/12  14:00:00,51.5238936969,0.0
 01/12  15:00:00,51.307385115200006,0.0
 01/12  16:00:00,52.573924078000005,0.0
 01/12  17:00:00,51.227263650299996,0.0
 01/12  18:00:00,55.822205216099995,0.0
 01/12  19:00:00,49.6651092855,0.0
 01/12  20:00:00,49.6651092855,0.0
 01/12  21:00:00,45.1176216063,0.0
 01/12  22:00:00,22.3776491824,0.0
 01/12  23:00:00,15.1069992076,0.0
 01/12  24:00:00,15.1069992076,0.0
 01/13  01:00:00,15.1069992076,0.0
 01/13  02:00:00,15.1069992076,0.0
 01/13  03:00:00,15.1069992076,0.0
 01/13  04:00:00,15.1069992076,0.0
 01/13  05:00:00,15.1069992076,0.0
 01/13  06:00:00,15.1069992076,0.0
 01/13  07:00:00,24.204508593899998,14.6309484026
 01/13  08:00:00,21.904325235399998,3.9609801405000002
 01/13  09:00:00,33.6326216063,0.160806455814
 01/13  10:00:00,50.0248984991,0.0
 01/13  11:00:00,50.0248984991,0.0
 01/13  12:00:00,50.0248984991,0.0
 01/13  13:00:00,50.0248984991,0.0
 01/13  14:00:00,50.0248984991,0.0
 01/13  15:00:00,50.0248984991,0.0
 01/13  16:00:00,50.0248984991,0.0
 01/13  17:00:00,50.0248984991,0.0
 01/13  18:00:00,55.7673984991,0.0
 01/13  19:00:00,49.6651092855,0.0
 01/13  20:00:00,49.6651092855,0.0
 01/13  21:00:00,45.1176216063,0.0
 01/13  22:00:00,22.3776491824,0.0
 01/13  23:00:00,15.1069992076,0.0
 01/13  24:00:00,15.1069992076,0.0
 01/14  01:00:00,14.657580751600001,0.0
