Date/Time,Electricity:Facility [kW](Hourly),Gas:Facility [kW](Hourly)
 01/01  01:00:00,237.928528888,0.02
 01/01  02:00:00,237.928529712,2.1883626088
 01/01  03:00:00,237.928530044,2.18839772844
 01/01  04:00:00,237.928529861,2.18843290287
 01/01  05:00:00,250.15072756200001,0.02
 01/01  06:00:00,274.59646492400003,4.36088678271
 01/01  07:00:00,323.483914738,0.02
 01/01  08:00:00,313.75364420799997,2.1884911333400003
 01/01  09:00:00,296.666311175,2.18852695118
 01/01  10:00:00,259.999717572,2.18845075025
 01/01  11:00:00,236.82905359900002,0.02
 01/01  12:00:00,515.4117352019999,2.18997617848
 01/01  13:00:00,508.27839985,4.3595733698500005
 01/01  14:00:00,211.11316095,2.19191379446
 01/01  15:00:00,211.111820403,2.18968868242
 01/01  16:00:00,211.11092657,2.18852944527
 01/01  17:00:00,259.999717825,2.1883414088900004
 01/01  18:00:00,330.84097741,2.18837694534
 01/01  19:00:00,347.928310623,0.02
 01/01  20:00:00,323.483915518,2.1884124422299998
 01/01  21:00:00,323.48391566099997,2.18844788625
 01/01  22:00:00,299.04086066400004,2.19062544122
 01/01  23:00:00,274.595124445,2.18847252175
 01/01  24:00:00,250.15072857,2.18850787465
 01/02  01:00:00,287.769706041,2.1890570028200003
 01/02  02:00:00,287.76970605900004,0.02
 01/02  03:00:00,287.76970605099996,2.1892011899
 01/02  04:00:00,287.769706142,2.18907418911
 01/02  05:00:00,299.991904015,2.18921846913
 01/02  06:00:00,349.358005666,4.36269983635
 01/02  07:00:00,976.2817317460001,17.0784512237
 01/02  08:00:00,1065.9829796,46.182885051499994
 01/02  09:00:00,1599.78025075,33.766190803899995
 01/02  10:00:00,1587.02846616,26.3846518837
 01/02  11:00:00,1571.64634268,20.407538630799998
 01/02  12:00:00,1590.33285508,21.718764055500003
 01/02  13:00:00,1542.92645214,26.8867326739
 01/02  14:00:00,1591.42942359,21.3449045423
 01/02  15:00:00,1588.10720257,11.5064271678
 01/02  16:00:00,1589.72650184,13.5388649249
 01/02  17:00:00,1640.20592706,15.839320900599999
 01/02  18:00:00,1548.78662006,15.931788701199999
 01/02  19:00:00,1344.86236061,28.9978056558
 01/02  20:00:00,1299.60142438,30.6416160285
 01/02  21:00:00,1131.70948523,48.47942113
 01/02  22:00:00,1093.16265642,58.575691713999994
 01/02  23:00:00,349.35666319,2.18902115234
 01/02  24:00:00,299.991904025,0.02
 01/03  01:00:00,287.76970745,2.18916789906
 01/03  02:00:00,287.76970755,2.18904287802
 01/03  03:00:00,287.769707535,2.18918962002
 01/03  04:00:00,287.769707596,2.18906474032
 01/03  05:00:00,299.991905401,2.1892115392299996
 01/03  06:00:00,349.35800750699997,2.19112840128
 01/03  07:00:00,985.2206346160001,89.3065257412
 01/03  08:00:00,1068.35849938,96.62300041639999
 01/03  09:00:00,1607.3708318,36.416799048200005
 01/03  10:00:00,1604.46489933,26.6649337254
 01/03  11:00:00,1576.49921424,19.1064905916
 01/03  12:00:00,1574.05458342,19.3189136679
 01/03  13:00:00,1523.96592743,23.398260634699998
 01/03  14:00:00,1569.998542,20.1734773143
 01/03  15:00:00,1566.71948156,10.9678728925
 01/03  16:00:00,1570.96205264,13.1540332132
 01/03  17:00:00,1625.80151395,15.398398905999999
 01/03  18:00:00,1551.61602116,10.8612501205
 01/03  19:00:00,1378.9742674000001,27.2527394462
 01/03  20:00:00,1349.88030621,29.0100806916
 01/03  21:00:00,1198.4054747999999,43.2384010142
 01/03  22:00:00,1172.42889902,46.300601441000005
 01/03  23:00:00,349.35666442800004,0.02
 01/03  24:00:00,299.991905262,2.1892292041599997
 01/04  01:00:00,287.769708707,2.18910656276
 01/04  02:00:00,287.769708787,2.18925543007
 01/04  03:00:00,287.76970876,2.1891325523900003
 01/04  04:00:00,287.769708869,2.18928150028
 01/04  05:00:00,299.99190658599997,2.1891587248900004
 01/04  06:00:00,349.358009381,2.1910804745299997
 01/04  07:00:00,1038.81149032,57.9317652167
 01/04  08:00:00,1125.83490645,68.1411291834
 01/04  09:00:00,1656.73325726,36.905702521500004
 01/04  10:00:00,1631.15828787,29.0962765188
 01/04  11:00:00,1579.45133064,19.559896391
 01/04  12:00:00,1575.56212654,22.0786365427
 01/04  13:00:00,1524.5026586,23.4533499162
 01/04  14:00:00,1575.8960281,23.0198593687
 01/04  15:00:00,1577.0979908,16.1545133658
 01/04  16:00:00,1580.27158679,20.0293742946
 01/04  17:00:00,1624.35616904,23.6265129684
 01/04  18:00:00,1541.90385001,31.6308775723
 01/04  19:00:00,1377.6093742,49.121203395600006
 01/04  20:00:00,1355.19782383,46.5312559233
 01/04  21:00:00,1206.83048031,62.4922060061
 01/04  22:00:00,1185.32518024,65.9302617315
 01/04  23:00:00,349.356665604,2.1891078678
 01/04  24:00:00,299.99190648900003,0.02
 01/05  01:00:00,287.76970981,2.18925903459
 01/05  02:00:00,287.769709806,2.18913801828
 01/05  03:00:00,287.769709938,2.18928915951
 01/05  04:00:00,287.769709876,2.18916827902
 01/05  05:00:00,299.991907778,2.189047381
 01/05  06:00:00,349.358011255,4.362396117019999
 01/05  07:00:00,1062.19700984,65.0402290585
 01/05  08:00:00,1143.58881904,76.9984862972
 01/05  09:00:00,1667.05498047,40.4481484346
 01/05  10:00:00,1615.12974351,25.9822196172
 01/05  11:00:00,1558.25195168,17.5615437917
 01/05  12:00:00,1555.70299045,17.8879182512
 01/05  13:00:00,1502.06125636,19.9354630633
 01/05  14:00:00,1548.1237669000002,19.859908876400002
 01/05  15:00:00,1545.95430887,13.1555489679
 01/05  16:00:00,1545.77383133,10.9668848883
 01/05  17:00:00,1596.6213742999998,15.3997477193
 01/05  18:00:00,1517.89486981,8.75565821612
 01/05  19:00:00,1351.64199027,9.22122889646
 01/05  20:00:00,1331.89216191,10.841910454
 01/05  21:00:00,1190.68115148,24.7121172917
 01/05  22:00:00,1179.0314057,34.7845484274
 01/05  23:00:00,349.35666665,2.18919262976
 01/05  24:00:00,299.99190757900004,2.18907182374
 01/06  01:00:00,287.769710839,2.18922655101
 01/06  02:00:00,287.76971078099996,2.18910740881
 01/06  03:00:00,287.769710819,0.02
 01/06  04:00:00,287.769710805,2.18926084158
 01/06  05:00:00,299.991908634,2.18914181394
 01/06  06:00:00,349.35801321900004,4.36231023804
 01/06  07:00:00,1053.1618391000002,38.832509780500004
 01/06  08:00:00,1139.32681877,37.7680462274
 01/06  09:00:00,1661.22821023,14.603775497300001
 01/06  10:00:00,1615.55593375,13.677066308699999
 01/06  11:00:00,1553.88840758,15.624220908599998
 01/06  12:00:00,1549.13633795,15.624480993499999
 01/06  13:00:00,1501.2686517999998,20.5960882058
 01/06  14:00:00,1549.28224793,19.8645775087
 01/06  15:00:00,1548.50918641,13.158644974200001
 01/06  16:00:00,1548.6139705,10.965496523399999
 01/06  17:00:00,1602.519505,15.461966155399999
 01/06  18:00:00,1531.37264409,17.5516309096
 01/06  19:00:00,1364.05922103,32.5261025142
 01/06  20:00:00,1350.06969117,38.2499242139
 01/06  21:00:00,1189.73963201,68.96539548060001
 01/06  22:00:00,1133.72248636,79.3786331556
 01/06  23:00:00,349.35666814900003,2.18918583804
 01/06  24:00:00,299.99190897200003,2.18906602771
 01/07  01:00:00,237.928985102,2.1892223126299997
 01/07  02:00:00,237.92898507900003,2.1891049343
 01/07  03:00:00,237.92898507200002,2.18926044802
 01/07  04:00:00,237.928984975,2.18914318067
 01/07  05:00:00,250.151182827,2.1892986739599998
 01/07  06:00:00,274.59692331400004,2.19124718428
 01/07  07:00:00,947.639877427,209.89242773400002
 01/07  08:00:00,853.1608734089999,258.624067767
 01/07  09:00:00,1023.54953371,237.200287425
 01/07  10:00:00,979.2114802839999,221.42058761599998
