Date/Time,Electricity:Facility [kW](Hourly),Gas:Facility [kW](Hourly)
 01/02  01:00:00,74.1116605496,56.4590541226
 01/02  02:00:00,82.9440329265,80.75548244069999
 01/02  03:00:00,69.3607491825,47.3545569977
 01/02  04:00:00,87.6160690757,83.8772550934
 01/02  05:00:00,130.266759277,106.65245290799999
 01/02  06:00:00,143.274659136,176.19460577099997
 01/02  07:00:00,204.986780346,142.21017515100002
 01/02  08:00:00,231.67350767,123.09127331399999
 01/02  09:00:00,240.268739035,117.41794213600001
 01/02  10:00:00,254.36119474,122.69322794600001
 01/02  11:00:00,256.785262218,111.09899590799999
 01/02  12:00:00,258.9519149,116.690363114
 01/02  13:00:00,247.087979368,103.572569089
 01/02  14:00:00,255.81526644,100.90380677700001
 01/02  15:00:00,254.07120753400002,108.15495610100001
 01/02  16:00:00,254.640531886,100.53459017799999
 01/02  17:00:00,254.060367807,110.234277906
 01/02  18:00:00,261.884801475,102.25984669399999
 01/02  19:00:00,167.606417051,74.1843132986
 01/02  20:00:00,170.431130984,79.4430994189
 01/02  21:00:00,143.60762186,93.00937211860001
 01/02  22:00:00,97.1169263207,68.9475436406
 01/02  23:00:00,90.0690049342,82.9406376675
 01/02  24:00:00,69.5372559781,56.4952707118
 01/03  01:00:00,90.4283706458,80.16704233899999
 01/03  02:00:00,66.8896579515,46.76984014399999
 01/03  03:00:00,87.7846377103,80.7895434754
 01/03  04:00:00,69.9142594243,49.0600930864
 01/03  05:00:00,134.07438178799998,107.812052965
 01/03  06:00:00,141.008476936,175.337773758
 01/03  07:00:00,207.458064537,141.612624591
 01/03  08:00:00,233.71215513799999,122.586658716
 01/03  09:00:00,242.544800375,116.953578851
 01/03  10:00:00,255.201534297,122.36737087799999
 01/03  11:00:00,257.34779625,111.056754134
 01/03  12:00:00,260.426028093,117.15402371299999
 01/03  13:00:00,250.89671903299998,103.450718501
 01/03  14:00:00,265.105839507,105.652784315
 01/03  15:00:00,265.039808499,95.0670119345
 01/03  16:00:00,264.274016134,99.8139598472
 01/03  17:00:00,263.606273021,102.449661137
 01/03  18:00:00,268.617930942,100.58032994
 01/03  19:00:00,169.607910754,73.2125158711
 01/03  20:00:00,170.689779347,78.8629750091
 01/03  21:00:00,142.434697992,101.345157919
 01/03  22:00:00,99.27209950139999,55.55822831850001
 01/03  23:00:00,87.28203895799999,82.80145289640001
 01/03  24:00:00,72.712718417,52.01829405310001
 01/04  01:00:00,88.4887665011,85.7910539442
 01/04  02:00:00,73.0760927074,53.281485535600005
 01/04  03:00:00,85.30312847399999,83.7059065134
 01/04  04:00:00,69.705280484,48.47985368609999
 01/04  05:00:00,133.376160583,106.928172321
 01/04  06:00:00,139.19483044,175.47615777099998
 01/04  07:00:00,201.80963345700002,141.961632359
 01/04  08:00:00,227.944848491,123.120312031
 01/04  09:00:00,237.92784798099999,117.523955532
 01/04  10:00:00,252.356936025,122.92378951399999
 01/04  11:00:00,255.54132776900002,111.577892785
 01/04  12:00:00,258.98432622900003,117.66496995799999
 01/04  13:00:00,249.507789865,106.876389587
 01/04  14:00:00,261.304984987,113.47349568700001
 01/04  15:00:00,258.692638516,104.093457449
 01/04  16:00:00,257.41244883400003,111.92801238700001
 01/04  17:00:00,257.367518507,102.782294225
 01/04  18:00:00,266.55707356,102.612256859
 01/04  19:00:00,170.089278416,74.4065619592
 01/04  20:00:00,171.22291866700002,88.3026247209
 01/04  21:00:00,144.239149869,93.26672189860001
 01/04  22:00:00,100.062251215,58.945087377200004
 01/04  23:00:00,88.4923791275,82.9176215613
 01/04  24:00:00,75.77783347020001,55.4402647897
 01/05  01:00:00,87.85857853569999,90.1672072809
 01/05  02:00:00,76.08129133199999,58.2532692105
 01/05  03:00:00,86.0792981199,86.8245705516
 01/05  04:00:00,69.2014190119,48.6807776096
 01/05  05:00:00,136.29829243700001,108.10160263
 01/05  06:00:00,142.713547296,175.258644572
 01/05  07:00:00,209.15039648,141.584436039
 01/05  08:00:00,235.52411513200002,122.450960272
 01/05  09:00:00,242.560216864,125.36676223799999
 01/05  10:00:00,255.343079418,112.75408367200001
 01/05  11:00:00,257.878010476,109.988079934
 01/05  12:00:00,259.650873879,115.836036691
 01/05  13:00:00,249.93192174,103.38163466200001
 01/05  14:00:00,261.793476877,110.308042468
 01/05  15:00:00,237.803473427,103.43953843
 01/05  16:00:00,220.809144819,112.84000079799999
 01/05  17:00:00,216.495727092,105.03733881299999
 01/05  18:00:00,224.022130023,106.27742479700001
 01/05  19:00:00,139.187896999,79.06107048220001
 01/05  20:00:00,140.74695759,93.73834899399999
 01/05  21:00:00,113.631020905,99.15092972209999
 01/05  22:00:00,97.0990809251,80.9377170802
 01/05  23:00:00,70.1314954961,76.4226698138
 01/05  24:00:00,88.00733906709999,98.0889500588
 01/06  01:00:00,77.8984927148,80.0139547683
