Date/Time,Electricity:Facility [kW](Hourly),Gas:Facility [kW](Hourly)
 01/01  01:00:00,56.7048298301,9.78475663982
 01/01  02:00:00,57.043919211,14.422656256700002
 01/01  03:00:00,58.079000035,36.0210401011
 01/01  04:00:00,58.971391000299995,48.5043191144
 01/01  05:00:00,58.6590554616,48.5270719847
 01/01  06:00:00,59.7255127928,67.4795517613
 01/01  07:00:00,59.276510197200004,67.0872182301
 01/01  08:00:00,58.278929213000005,68.4380534452
 01/01  09:00:00,49.8451288679,47.2961378236
 01/01  10:00:00,48.6344816994,20.988964907899998
 01/01  11:00:00,47.9678680423,8.311891374550001
 01/01  12:00:00,47.673703757700004,6.08971602514
 01/01  13:00:00,46.9779273828,3.22568
 01/01  14:00:00,47.0242005434,6.089784585249999
 01/01  15:00:00,47.047372197899996,3.22568
 01/01  16:00:00,47.04500165020001,6.0883060033500005
 01/01  17:00:00,46.945882861099996,3.22568
 01/01  18:00:00,49.779419365600006,3.22568
 01/01  19:00:00,55.463282257399996,6.0882944411199995
 01/01  20:00:00,55.663555125900004,3.22568
 01/01  21:00:00,55.64242657,3.22568
 01/01  22:00:00,55.515564809,6.088355125390001
 01/01  23:00:00,55.3517061689,3.22568
 01/01  24:00:00,57.670806486000004,10.7225539528
 01/02  01:00:00,56.7050919181,9.29831943726
 01/02  02:00:00,57.0455293545,17.4909541782
 01/02  03:00:00,57.9418601364,29.8159019573
 01/02  04:00:00,58.2831964396,38.1444442847
 01/02  05:00:00,58.5680034499,38.5328717364
 01/02  06:00:00,59.4069567493,54.554146655699995
 01/02  07:00:00,64.8874306447,641.8265501459999
 01/02  08:00:00,127.76014019799999,409.246641178
 01/02  09:00:00,165.626604205,305.085330603
 01/02  10:00:00,165.614181895,239.144653133
 01/02  11:00:00,169.619828585,201.684640745
 01/02  12:00:00,170.363441288,164.637856349
 01/02  13:00:00,169.280350641,113.534461444
 01/02  14:00:00,165.40186738,76.4749589457
 01/02  15:00:00,169.51963657299999,50.861261164700004
 01/02  16:00:00,173.871016899,28.627650995
 01/02  17:00:00,170.155982996,14.996554933199999
 01/02  18:00:00,125.154214592,23.2529540244
 01/02  19:00:00,128.375259812,36.087103871
 01/02  20:00:00,128.541354542,57.0439308482
 01/02  21:00:00,128.762986256,133.1817158
 01/02  22:00:00,55.5372218482,8.978581798839999
 01/02  23:00:00,55.4198866867,6.09491087278
 01/02  24:00:00,56.189011121099995,6.09263163651
 01/03  01:00:00,55.435280162299996,6.08983666608
 01/03  02:00:00,55.4275211881,3.22568
 01/03  03:00:00,55.4152839903,6.0896955657800005
 01/03  04:00:00,55.4137318194,3.22568
 01/03  05:00:00,56.476551889,6.08977162025
 01/03  06:00:00,56.297030650399996,6.089541176819999
 01/03  07:00:00,64.7886967093,368.027387754
 01/03  08:00:00,127.54870909200001,307.23828288
 01/03  09:00:00,165.580345226,229.596810885
 01/03  10:00:00,165.60830809700002,184.94430083400002
 01/03  11:00:00,169.595654933,163.409615896
 01/03  12:00:00,170.423528804,119.301289561
 01/03  13:00:00,170.226188789,104.59200335
 01/03  14:00:00,166.647354748,93.2997092683
 01/03  15:00:00,166.970848809,78.1209968575
 01/03  16:00:00,164.888254853,71.1304835345
 01/03  17:00:00,163.46039320100002,58.778982835600004
 01/03  18:00:00,122.64439156,79.90349991689999
 01/03  19:00:00,128.622605091,145.573474005
 01/03  20:00:00,128.796004949,138.91541130000002
 01/03  21:00:00,128.787778979,158.112761059
 01/03  22:00:00,55.3373055643,8.97864381789
 01/03  23:00:00,55.375071724399994,6.09477586857
 01/03  24:00:00,56.1634356064,6.0927506530499995
 01/04  01:00:00,55.3948706625,6.08966238767
 01/04  02:00:00,55.391819698999996,3.22568
 01/04  03:00:00,55.38361240810001,6.0897420347899995
 01/04  04:00:00,55.376861176599995,3.22568
 01/04  05:00:00,56.2653932991,6.433403715340001
 01/04  06:00:00,56.9265669108,4.07690357889
 01/04  07:00:00,64.610852177,432.54069493199995
 01/04  08:00:00,127.59225827799999,352.632501599
 01/04  09:00:00,165.580550798,268.644592596
 01/04  10:00:00,165.60505778,204.38230942799999
 01/04  11:00:00,169.340481425,132.45182854
 01/04  12:00:00,170.17135147,79.3127181994
 01/04  13:00:00,170.863053392,62.3658591691
 01/04  14:00:00,171.091082215,53.3735592599
 01/04  15:00:00,175.02719612,41.7284480675
 01/04  16:00:00,175.823796345,29.1198131367
 01/04  17:00:00,171.920859822,14.8513341197
 01/04  18:00:00,125.632310089,21.9141547558
 01/04  19:00:00,128.342597204,51.140947268699996
 01/04  20:00:00,128.63259464200002,91.9868508536
 01/04  21:00:00,128.656818091,102.748512856
 01/04  22:00:00,55.5689990859,11.8546598003
 01/04  23:00:00,55.4503462258,6.09491093555
 01/04  24:00:00,56.208884922299994,6.0927755147800005
 01/05  01:00:00,55.460919381800004,3.22568
 01/05  02:00:00,55.4377649084,6.08975716982
 01/05  03:00:00,55.4140454779,3.22568
 01/05  04:00:00,55.3966990267,6.089840003330001
 01/05  05:00:00,55.602526967399996,6.0897049475
 01/05  06:00:00,55.583865933199995,3.22568
 01/05  07:00:00,64.4367211111,392.74448043
 01/05  08:00:00,127.54433781600001,309.717521524
 01/05  09:00:00,165.589789047,227.69703295
 01/05  10:00:00,165.623772241,187.2012257
 01/05  11:00:00,169.44475665,148.84923925799998
 01/05  12:00:00,169.89943409100002,89.01988932629999
 01/05  13:00:00,169.16346830700002,73.8128680671
 01/05  14:00:00,165.514486842,65.2902347462
 01/05  15:00:00,169.849509088,47.004622060500004
 01/05  16:00:00,170.95095409,30.965249215
 01/05  17:00:00,168.41291819399999,17.8592194028
 01/05  18:00:00,125.009937585,23.6985100748
 01/05  19:00:00,128.338471322,41.8712082008
 01/05  20:00:00,128.563112918,61.433338148800004
 01/05  21:00:00,128.57456875,80.8269456666
 01/05  22:00:00,55.5757679481,11.8543888725
 01/05  23:00:00,55.4525455457,6.0948268287000005
 01/05  24:00:00,56.2126223349,6.09269178992
 01/06  01:00:00,55.4757817617,3.22568
 01/06  02:00:00,55.4544901716,6.0896719463
 01/06  03:00:00,55.451238922200005,3.22568
 01/06  04:00:00,55.441849974300005,6.089758064010001
 01/06  05:00:00,56.4820124158,6.0898440029400005
 01/06  06:00:00,56.300741053500005,3.22568
 01/06  07:00:00,64.7414576879,389.66653221800004
 01/06  08:00:00,127.53816054,287.3481347
 01/06  09:00:00,165.597351255,207.163038567
 01/06  10:00:00,165.389129145,135.155861292
 01/06  11:00:00,169.170280368,93.80770642540001
 01/06  12:00:00,171.405275897,60.5662774463
 01/06  13:00:00,174.66683958,53.3760475352
 01/06  14:00:00,173.359063815,47.7405035758
 01/06  15:00:00,175.78513047400003,40.2038112685
 01/06  16:00:00,175.815508262,29.6064031218
 01/06  17:00:00,170.55682091100002,16.0026439751
 01/06  18:00:00,124.632957744,23.2205135606
 01/06  19:00:00,128.32973996799998,47.7747804696
 01/06  20:00:00,128.373314149,78.4705871461
 01/06  21:00:00,128.353037135,72.69165316819999
 01/06  22:00:00,55.3984601135,11.854891663399998
 01/06  23:00:00,55.411868238400004,6.09497939076
 01/06  24:00:00,56.1822013796,6.0924785419
 01/07  01:00:00,55.4175355082,3.22568
 01/07  02:00:00,55.4225717802,6.0882591453999995
 01/07  03:00:00,55.411222645900004,3.22568
 01/07  04:00:00,55.393353821999995,3.22568
 01/07  05:00:00,55.599503456499995,6.08826509184
 01/07  06:00:00,55.579057762299996,3.22568
 01/07  07:00:00,55.8105115236,3.49832974451
 01/07  08:00:00,54.769265106599995,6.59965152266
 01/07  09:00:00,46.940147914200004,3.22568
 01/07  10:00:00,46.949875575200004,6.089836849809999
 01/07  11:00:00,46.94710632,3.22568
 01/07  12:00:00,47.6762387717,6.08970739778
 01/07  13:00:00,46.9658820546,3.22568
 01/07  14:00:00,47.018244728599996,6.088313043080001
 01/07  15:00:00,47.0337691891,3.22568
 01/07  16:00:00,47.0182361157,6.08831936648
 01/07  17:00:00,46.916242607600005,3.22568
 01/07  18:00:00,49.768347295699996,3.22568
 01/07  19:00:00,55.47807596810001,6.0883256591
 01/07  20:00:00,55.6845318042,3.22568
 01/07  21:00:00,55.6655244481,3.22568
 01/07  22:00:00,55.546668168400004,6.08833193135
 01/07  23:00:00,55.380820802200006,3.22568
 01/07  24:00:00,56.1057022476,6.08833818919
 01/08  01:00:00,56.387173349799994,4.400423551419999
 01/08  02:00:00,56.722757518,5.11984095102
 01/08  03:00:00,57.0605544179,8.58665913905
 01/08  04:00:00,56.7187169109,5.63502627426
 01/08  05:00:00,57.2703703612,7.2922599871300005
 01/08  06:00:00,56.9136527776,10.5667498009
 01/08  07:00:00,57.26964202520001,10.218861251
 01/08  08:00:00,55.8692951601,11.0283916542
 01/08  09:00:00,48.2842209276,7.8101190674000005
 01/08  10:00:00,48.2959622902,9.83247176702
 01/08  11:00:00,47.889841713100004,5.4789943148399995
 01/08  12:00:00,47.6396493246,6.08966912755
 01/08  13:00:00,46.9001084288,3.22568
 01/08  14:00:00,46.9381830396,6.08976106705
 01/08  15:00:00,46.95407301310001,3.22568
 01/08  16:00:00,46.944428032299996,6.08828865668
 01/08  17:00:00,46.8473109319,3.22568
 01/08  18:00:00,48.2761886099,6.08829743529
 01/08  19:00:00,55.7613589454,4.025227543500001
 01/08  20:00:00,56.6543967888,5.42891781533
 01/08  21:00:00,56.9793207524,9.21065354103
 01/08  22:00:00,56.8731469249,9.03753083141
 01/08  23:00:00,57.062936872899996,11.9326458405
 01/08  24:00:00,57.795655958400005,14.9266849158
 01/09  01:00:00,57.503851249300006,16.3405655189
 01/09  02:00:00,58.3522699055,31.5726652954
 01/09  03:00:00,58.2917597191,27.7550497711
 01/09  04:00:00,57.7221615321,25.8854205252
 01/09  05:00:00,59.106081636000006,39.8423038429
 01/09  06:00:00,58.4559705074,34.4748717246
 01/09  07:00:00,64.8941417414,610.156667158
 01/09  08:00:00,127.764805189,402.51891283300006
 01/09  09:00:00,165.629630604,302.760106382
 01/09  10:00:00,165.602145035,248.771133834
 01/09  11:00:00,169.60926411100002,210.715726938
 01/09  12:00:00,170.35916894,161.918582189
 01/09  13:00:00,169.730617583,131.19935822
 01/09  14:00:00,166.164106497,116.588632281
 01/09  15:00:00,166.450325328,102.089418548
 01/09  16:00:00,164.578918034,86.31234306360001
 01/09  17:00:00,163.41074347,72.4374223281
 01/09  18:00:00,121.276586653,101.427178814
 01/09  19:00:00,128.758178622,154.91946947600002
 01/09  20:00:00,128.986474241,171.777884566
 01/09  21:00:00,128.973374807,199.256637117
 01/09  22:00:00,55.4584479872,8.97875736482
 01/09  23:00:00,55.3523830389,6.09474073255
 01/09  24:00:00,56.1500005983,6.0928270732700005
 01/10  01:00:00,55.3820010966,6.08987517094
 01/10  02:00:00,55.3799004765,3.22568
 01/10  03:00:00,56.2754169674,6.68673456406
 01/10  04:00:00,56.7263718241,4.46922842775
 01/10  05:00:00,58.126396062,8.42464784841
 01/10  06:00:00,58.3352604235,20.639898461199998
 01/10  07:00:00,65.17546644810001,542.440440946
 01/10  08:00:00,127.719672366,440.273553087
 01/10  09:00:00,165.61218718,337.370516877
 01/10  10:00:00,165.584371089,265.311466812
 01/10  11:00:00,169.592284554,210.59503552099997
 01/10  12:00:00,170.310136984,150.194485855
 01/10  13:00:00,169.860805594,110.94151938
 01/10  14:00:00,166.40886721299998,84.9829844218
 01/10  15:00:00,166.817830869,71.2758664324
 01/10  16:00:00,165.066857117,58.3231043937
 01/10  17:00:00,163.69588584299999,36.696682754099996
 01/10  18:00:00,121.17857637899999,55.785828814700004
 01/10  19:00:00,128.454997657,113.515447055
 01/10  20:00:00,128.786704046,161.326691617
 01/10  21:00:00,128.770946275,174.81613473299998
 01/10  22:00:00,55.3098964469,8.97879097506
 01/10  23:00:00,55.359173445100005,8.96383616043
 01/10  24:00:00,56.15780475020001,6.0925473751400006
 01/11  01:00:00,55.3878830243,3.22568
 01/11  02:00:00,55.3863694932,6.0898115826
 01/11  03:00:00,56.0570838195,3.6146392864599997
 01/11  04:00:00,56.7298869307,7.14197246714
 01/11  05:00:00,57.279273593999996,5.34225256458
 01/11  06:00:00,57.746849409,23.0606007744
 01/11  07:00:00,64.8484759911,557.757431615
 01/11  08:00:00,127.738646948,455.787760305
 01/11  09:00:00,165.619779914,349.230841449
 01/11  10:00:00,165.589335151,268.387615493
 01/11  11:00:00,169.604855362,204.80750624799998
 01/11  12:00:00,170.243089816,139.32734298
 01/11  13:00:00,169.863530444,97.024851538
 01/11  14:00:00,166.72368022700002,69.87212395590001
 01/11  15:00:00,170.218018961,50.5142958422
 01/11  16:00:00,171.88498801,33.961647775900005
 01/11  17:00:00,170.213584754,17.4785136894
 01/11  18:00:00,123.204588556,23.8693602955
 01/11  19:00:00,128.33213420299998,54.0158436651
 01/11  20:00:00,128.694818293,111.43132249799999
 01/11  21:00:00,128.822205312,127.15052789200001
 01/11  22:00:00,55.5255192979,8.97920738035
 01/11  23:00:00,55.3946553574,6.095015098019999
 01/11  24:00:00,56.1687044743,6.09262291128
 01/12  01:00:00,55.3983422499,6.0898884608
 01/12  02:00:00,55.3984793396,3.22568
 01/12  03:00:00,55.390099444700006,6.08977095056
 01/12  04:00:00,55.3823023146,3.22568
 01/12  05:00:00,55.5894213653,6.08987300834
 01/12  06:00:00,57.152994907200004,4.14992979623
 01/12  07:00:00,64.63083752520001,460.894825459
 01/12  08:00:00,127.606428586,383.98517612
 01/12  09:00:00,165.58162630799998,286.695146159
 01/12  10:00:00,165.598594592,209.67538123900002
 01/12  11:00:00,169.321071791,127.56198648799999
 01/12  12:00:00,172.13641437400003,61.92574067
 01/12  13:00:00,180.238186673,55.4341388648
 01/12  14:00:00,182.56346637099998,36.547356354099996
 01/12  15:00:00,188.205742273,33.4867097729
 01/12  16:00:00,190.212932723,23.6015157401
 01/12  17:00:00,183.00649512400003,6.11540926209
 01/12  18:00:00,132.390024317,7.60627414481
 01/12  19:00:00,132.093618565,22.034985708
 01/12  20:00:00,128.619898845,32.9013003605
 01/12  21:00:00,128.54094187,47.596500208500004
 01/12  22:00:00,55.5791664809,8.978850574460001
 01/12  23:00:00,55.4647587381,8.96415124902
 01/12  24:00:00,56.2132979525,6.09270676052
 01/13  01:00:00,55.451549237200005,3.22568
 01/13  02:00:00,55.4365363251,6.08974843158
 01/13  03:00:00,55.419650703100004,3.22568
 01/13  04:00:00,55.405496427399996,6.089852691799999
 01/13  05:00:00,56.457592795500005,3.22568
 01/13  06:00:00,56.282575623,6.0897370837
 01/13  07:00:00,64.7526548573,399.73082111300005
 01/13  08:00:00,127.525601743,314.196100562
 01/13  09:00:00,165.569456923,246.086784829
 01/13  10:00:00,165.58389410200002,215.466399296
 01/13  11:00:00,169.610493563,193.519143815
 01/13  12:00:00,170.144361074,126.20801385700001
 01/13  13:00:00,169.30497045799999,70.8800199112
 01/13  14:00:00,170.514115973,50.4368916917
 01/13  15:00:00,176.44665345400003,36.0916336096
 01/13  16:00:00,176.113728128,25.676149934
 01/13  17:00:00,170.849725006,13.902176733
 01/13  18:00:00,125.51619930700001,18.6059955225
 01/13  19:00:00,128.712653487,40.4434748295
 01/13  20:00:00,128.367076125,72.47579083779999
 01/13  21:00:00,128.343321783,63.224940995699995
 01/13  22:00:00,55.4231328901,8.978475200930001
 01/13  23:00:00,55.458698706199996,6.09501525268
 01/13  24:00:00,56.218520212799994,6.09273374132
 01/14  01:00:00,55.4887051058,6.0883528406
 01/14  02:00:00,55.486171821800006,3.22568
 01/14  03:00:00,55.4680711754,3.22568
 01/14  04:00:00,55.4508297996,6.08837385022
 01/14  05:00:00,55.6536874926,3.22568
 01/14  06:00:00,55.6255588837,3.22568
 01/14  07:00:00,55.6196143996,6.088394953790001
 01/14  08:00:00,54.1350244663,3.22568
 01/14  09:00:00,47.0009626457,6.0882704351
 01/14  10:00:00,47.0380996334,3.22568
 01/14  11:00:00,47.0555641717,6.08987165159
 01/14  12:00:00,47.745933442799995,3.22568
 01/14  13:00:00,47.056108712299995,6.08975785037
 01/14  14:00:00,47.1100718386,3.22568
 01/14  15:00:00,47.131498559499995,6.08835993594
 01/14  16:00:00,47.132174484,3.22568
 01/14  17:00:00,47.0338286663,3.22568
 01/14  18:00:00,48.4404165975,6.08838116616
 01/14  19:00:00,55.5565848658,3.22568
 01/14  20:00:00,55.7458404285,6.08840239217
 01/14  21:00:00,55.7103747325,3.22568
 01/14  22:00:00,55.5797333813,3.22568
 01/14  23:00:00,55.4109302418,6.088277944319999
 01/14  24:00:00,56.12385799810001,3.22568
 01/15  01:00:00,55.374861081800006,3.22568
 01/15  02:00:00,55.3668930669,6.088300390580001
 01/15  03:00:00,55.701629241999996,3.5288541747800006
 01/15  04:00:00,57.0569584482,7.86420262981
 01/15  05:00:00,56.9277053258,5.3061587664
 01/15  06:00:00,57.251997941800006,6.84917037297
 01/15  07:00:00,57.6127837353,19.722783591
 01/15  08:00:00,56.179886138,13.540395076400001
 01/15  09:00:00,48.2803940616,10.2545622108
 01/15  10:00:00,48.633102363599995,7.498712627160001
 01/15  11:00:00,47.9539275792,7.57747097668
 01/15  12:00:00,47.655959262299994,3.22568
 01/15  13:00:00,46.931301476,6.08986801543
 01/15  14:00:00,46.9700101579,6.089755906719999
 01/15  15:00:00,46.9780585987,3.22568
 01/15  16:00:00,46.9610372482,3.22568
 01/15  17:00:00,46.8618122113,6.088354464939999
 01/15  18:00:00,48.2867871226,3.22568
 01/15  19:00:00,55.4250937949,3.22568
 01/15  20:00:00,55.9697456624,6.759418491900001
 01/15  21:00:00,56.9722851204,5.828167681009999
 01/15  22:00:00,56.860587431599996,10.923145926400002
 01/15  23:00:00,57.6001595117,19.7116139446
 01/15  24:00:00,59.078891848999994,30.473909805999998
 01/16  01:00:00,59.1337313438,43.2177273917
 01/16  02:00:00,58.29852733600001,34.3788938071
 01/16  03:00:00,59.389768716999995,51.771960550200006
 01/16  04:00:00,58.7415987498,48.6444316808
 01/16  05:00:00,59.8642189029,63.1224631787
 01/16  06:00:00,59.0472083901,58.444161415
 01/16  07:00:00,60.0785909908,82.0176531534
 01/16  08:00:00,57.56335006,59.2326531929
