Date/Time,Electricity:Facility [kW](Hourly),Gas:Facility [kW](Hourly)
 01/01  01:00:00,22.9064764288,63.0684647466
 01/01  02:00:00,14.710426276700002,3.3598800000000004
 01/01  03:00:00,14.7325532967,3.3598800000000004
 01/01  04:00:00,14.743714002699999,3.93197455246
 01/01  05:00:00,14.8936804778,3.3598800000000004
 01/01  06:00:00,23.035558186,66.6623424264
 01/01  07:00:00,38.9979687306,77.2363764999
 01/01  08:00:00,45.3903605627,78.9636045668
 01/01  09:00:00,42.2459353896,75.7947496739
 01/01  10:00:00,34.8209027546,54.6634667113
 01/01  11:00:00,42.3811860704,62.3757160494
 01/01  12:00:00,43.146760047700006,54.4982652846
 01/01  13:00:00,43.1244186447,51.58279673649999
 01/01  14:00:00,35.5299509754,43.2320913455
 01/01  15:00:00,35.5153132645,33.1321008767
 01/01  16:00:00,35.5279715673,40.9049555087
 01/01  17:00:00,44.17018398689999,57.605533773599994
 01/01  18:00:00,43.41415048020001,59.931403707600005
 01/01  19:00:00,46.774519294499996,64.3379101102
 01/01  20:00:00,39.127651943000004,61.6906795974
 01/01  21:00:00,39.096211161199996,62.108187648699996
 01/01  22:00:00,39.0261715863,63.509255866400004
 01/01  23:00:00,38.9053235683,60.7086791293
 01/01  24:00:00,39.6732909134,53.2307231075
 01/02  01:00:00,22.949749390500003,52.832238718
 01/02  02:00:00,14.7412687886,3.9319711162599997
 01/02  03:00:00,14.773938485,3.3598800000000004
 01/02  04:00:00,14.795496143,3.93192525075
 01/02  05:00:00,14.9478789838,3.3598800000000004
 01/02  06:00:00,23.092953829099997,46.5328458409
 01/02  07:00:00,39.073447461,53.1421641213
 01/02  08:00:00,45.48153140270001,68.59973928609999
 01/02  09:00:00,42.3003714104,75.26279781699999
 01/02  10:00:00,34.8464903489,53.6763472416
 01/02  11:00:00,42.4012324374,57.8015937997
 01/02  12:00:00,43.147613317799994,52.7489224675
 01/02  13:00:00,42.8264925035,52.158569261800004
 01/02  14:00:00,34.9587872033,42.1063771087
 01/02  15:00:00,34.9765229715,32.860268625100005
 01/02  16:00:00,34.9532714218,41.271839970100004
 01/02  17:00:00,42.3907738183,57.6051374847
 01/02  18:00:00,42.7225931217,59.932185778400004
 01/02  19:00:00,47.3017987717,64.0243737918
 01/02  20:00:00,39.2375988614,48.5713654483
 01/02  21:00:00,39.2032989191,46.149219581800004
 01/02  22:00:00,39.1000506158,47.612436629899996
 01/02  23:00:00,38.9570766155,48.4302417504
 01/02  24:00:00,39.705165553899995,43.609197423000005
 01/03  01:00:00,22.9670664085,51.0946638518
 01/03  02:00:00,14.752669731500001,3.93196160865
 01/03  03:00:00,14.7763039603,3.3598800000000004
 01/03  04:00:00,14.792465511,3.3598800000000004
 01/03  05:00:00,15.452452376400002,3.93196749689
 01/03  06:00:00,23.5742304254,60.6944503907
 01/03  07:00:00,39.2426987443,71.4684451194
 01/03  08:00:00,45.4450699358,80.24054536199999
 01/03  09:00:00,42.289140005300005,78.3499125357
 01/03  10:00:00,34.864427358,50.8920581915
 01/03  11:00:00,42.4088223977,54.845089020799996
 01/03  12:00:00,43.324549208,53.3356744423
 01/03  13:00:00,43.574697321,51.5811018658
 01/03  14:00:00,35.9018623405,42.0661246991
 01/03  15:00:00,35.3084259852,33.1327511158
 01/03  16:00:00,34.9896256085,40.9055357455
 01/03  17:00:00,43.097025602799995,57.605424593100004
 01/03  18:00:00,43.1056281384,60.509047098
 01/03  19:00:00,47.1988837126,64.0178910453
 01/03  20:00:00,39.0499350112,49.456835105399996
 01/03  21:00:00,39.038009523,47.1305551363
 01/03  22:00:00,38.9952514475,46.2046707713
 01/03  23:00:00,38.9613699899,46.9476747632
 01/03  24:00:00,39.7238942114,36.6357262999
 01/04  01:00:00,23.0300865217,33.1508687067
 01/04  02:00:00,14.826995961300002,3.3598800000000004
 01/04  03:00:00,14.8446283206,3.93195394425
 01/04  04:00:00,14.8380849802,3.3598800000000004
 01/04  05:00:00,14.986649048599999,3.3598800000000004
 01/04  06:00:00,23.1209413059,44.2602901787
 01/04  07:00:00,39.0993885598,50.7989089436
 01/04  08:00:00,45.5203171016,62.6534707437
 01/04  09:00:00,42.3441295372,65.79043674569999
 01/04  10:00:00,34.889562192199996,45.1772315364
 01/04  11:00:00,42.4451270027,53.0792659076
 01/04  12:00:00,43.9760556533,52.7504377378
 01/04  13:00:00,46.4241226554,52.15917930609999
 01/04  14:00:00,38.6462587636,42.066580651399995
 01/04  15:00:00,36.6764399589,33.1318430213
 01/04  16:00:00,35.5114371992,40.9061047031
 01/04  17:00:00,43.566960795,57.6058900899
 01/04  18:00:00,43.7566574236,60.5101098725
 01/04  19:00:00,48.0947839888,63.439358488100005
 01/04  20:00:00,39.5362816546,48.5135384968
 01/04  21:00:00,39.2262714107,46.161817191000004
 01/04  22:00:00,39.1594050887,39.0111240802
 01/04  23:00:00,39.0308667238,29.6626764249
 01/04  24:00:00,39.7728497544,21.8474473273
 01/05  01:00:00,23.051983725,25.7773096463
 01/05  02:00:00,14.8333288085,3.3598800000000004
 01/05  03:00:00,14.8424264202,3.9319389614399998
 01/05  04:00:00,14.824296283199999,3.3598800000000004
 01/05  05:00:00,14.9561457578,3.9319707231199996
 01/05  06:00:00,23.0938299066,47.2925260267
 01/05  07:00:00,39.0607723052,54.792318984
 01/05  08:00:00,45.4680136049,69.3344008693
 01/05  09:00:00,42.2875498745,74.6172071509
 01/05  10:00:00,34.8116085939,60.6997055533
 01/05  11:00:00,42.3318734749,70.6789828646
 01/05  12:00:00,43.0731353741,59.1857976795
 01/05  13:00:00,42.4220115326,51.582530909300004
 01/05  14:00:00,34.8817181044,43.5209020754
 01/05  15:00:00,34.8647750664,40.6993609409
 01/05  16:00:00,34.847854842800004,53.6330201733
 01/05  17:00:00,42.2731213068,70.5334696431
 01/05  18:00:00,42.2572891076,74.2197794125
 01/05  19:00:00,46.479823189399994,79.4155104954
 01/05  20:00:00,39.112819199200004,68.5932822747
 01/05  21:00:00,39.0852215654,68.9182135322
 01/05  22:00:00,39.0069461263,69.1701530235
 01/05  23:00:00,38.8997583729,60.445855406099994
 01/05  24:00:00,39.6671111929,51.3379667021
 01/06  01:00:00,22.9203045179,58.789086168000004
 01/06  02:00:00,14.6955684766,3.93196782805
 01/06  03:00:00,14.7153376341,3.3598800000000004
 01/06  04:00:00,14.722229486199998,3.9319565191400003
 01/06  05:00:00,15.3771072654,3.3598800000000004
 01/06  06:00:00,23.5031025021,77.9555017965
 01/06  07:00:00,39.179467136999996,87.97255167440001
 01/06  08:00:00,45.363931353699996,100.95954694299999
 01/06  09:00:00,42.1977985837,101.812439572
 01/06  10:00:00,34.7399804951,82.3292925384
 01/06  11:00:00,42.2711334532,86.1460956101
 01/06  12:00:00,43.020085593199994,71.5998514515
 01/06  13:00:00,42.3700605677,55.7375902019
 01/06  14:00:00,34.852891878600005,44.90974499439999
 01/06  15:00:00,34.8580197378,40.455131057399996
 01/06  16:00:00,34.8489935525,51.1090257607
 01/06  17:00:00,42.2741352498,67.5391511758
 01/06  18:00:00,42.270587204499996,68.7597233843
 01/06  19:00:00,46.4971351992,72.5387299052
 01/06  20:00:00,38.9750040761,66.1548168432
 01/06  21:00:00,38.9439604787,71.4555275906
 01/06  22:00:00,38.8734780946,79.8217338064
 01/06  23:00:00,38.839673024,81.9438089153
 01/06  24:00:00,39.6356316666,79.2531631019
 01/07  01:00:00,22.871618901799998,83.8555086434
 01/07  02:00:00,14.6537412148,3.93197094681
 01/07  03:00:00,14.674442301900001,3.3598800000000004
 01/07  04:00:00,14.6862019178,3.93192511193
 01/07  05:00:00,14.8363260646,3.3598800000000004
 01/07  06:00:00,22.984502304099998,86.2046540181
 01/07  07:00:00,38.9471933264,93.84031333909999
 01/07  08:00:00,45.3574261204,90.0167372433
 01/07  09:00:00,42.1987036762,87.8289363259
 01/07  10:00:00,34.7646314976,73.6694994905
 01/07  11:00:00,42.300646322,78.6451228889
 01/07  12:00:00,43.05213047,65.3455413337
 01/07  13:00:00,42.4087366686,56.4954590104
 01/07  14:00:00,34.909245966,44.410102424899996
 01/07  15:00:00,34.9189330021,35.4680840727
 01/07  16:00:00,34.9031161271,43.232601484499995
 01/07  17:00:00,42.342761797600005,59.3442865876
 01/07  18:00:00,42.3257435632,60.9724206205
 01/07  19:00:00,46.5043722076,71.67794829520001
 01/07  20:00:00,39.1072859164,66.1987661412
