Date/Time,Electricity:Facility [kW](Hourly),Gas:Facility [kW](Hourly)
 01/01  01:00:00,55.446982716899996,3.22568
 01/01  02:00:00,55.4567261996,3.22568
 01/01  03:00:00,55.445868933999996,6.0881306754299995
 01/01  04:00:00,55.434127356400005,3.22568
 01/01  05:00:00,55.6413821416,3.22568
 01/01  06:00:00,55.627575084300005,6.08809632865
 01/01  07:00:00,55.644101102200004,3.22568
 01/01  08:00:00,49.8603195941,3.22568
 01/01  09:00:00,46.9937515853,6.08939758682
 01/01  10:00:00,47.011827268199994,3.22568
 01/01  11:00:00,47.014086230299995,6.08948683775
 01/01  12:00:00,47.7077932579,3.22568
 01/01  13:00:00,47.0008365004,6.08937620827
 01/01  14:00:00,47.046143774399994,3.22568
 01/01  15:00:00,47.066007874499995,6.08806246294
 01/01  16:00:00,47.0573455603,3.22568
 01/01  17:00:00,46.961527435,3.22568
 01/01  18:00:00,49.817305569,6.08816211539
 01/01  19:00:00,55.5277948395,3.22568
 01/01  20:00:00,55.735746390500005,3.22568
 01/01  21:00:00,55.71852869,6.088128048150001
 01/01  22:00:00,55.6034937338,3.22568
 01/01  23:00:00,55.4482078949,6.08809398765
 01/01  24:00:00,56.1497651242,3.22568
 01/02  01:00:00,55.426933911800006,3.22568
 01/02  02:00:00,55.413333549300006,6.08946213461
 01/02  03:00:00,55.4030255804,3.22568
 01/02  04:00:00,58.90450924020001,6.13220630131
 01/02  05:00:00,58.65327313939999,3.33977477573
 01/02  06:00:00,59.1373189784,6.28039532767
 01/02  07:00:00,65.2134664627,406.72303785599996
 01/02  08:00:00,123.968140574,336.815355689
 01/02  09:00:00,166.278457393,236.07337913799998
 01/02  10:00:00,166.279476549,192.657009197
 01/02  11:00:00,169.949099613,154.60688223399998
 01/02  12:00:00,170.775506855,122.00745230700001
 01/02  13:00:00,170.098385551,108.12349818
 01/02  14:00:00,166.187136559,95.3139122645
 01/02  15:00:00,166.379680155,87.7295135707
 01/02  16:00:00,164.647689188,83.5809972387
 01/02  17:00:00,163.811535508,69.1682773682
 01/02  18:00:00,123.16048985,96.39911725450001
 01/02  19:00:00,128.95248383,126.319263783
 01/02  20:00:00,129.312420383,154.990954673
 01/02  21:00:00,129.655141432,186.39553868099998
 01/02  22:00:00,55.5139516897,8.975915632589999
 01/02  23:00:00,55.401301977299994,6.093794893659999
 01/02  24:00:00,56.1816973992,6.09209527089
