Date/Time,Electricity:Facility [kW](Hourly),Gas:Facility [kW](Hourly)
 01/01  01:00:00,58.8226231954,8.24660794009
 01/01  02:00:00,59.723266580200004,11.5330414521
 01/01  03:00:00,60.662265832299994,20.8497008546
 01/01  04:00:00,59.5471340294,20.0285617162
 01/01  05:00:00,62.4194937721,46.0255214008
 01/01  06:00:00,61.8123638349,53.605383537200005
 01/01  07:00:00,62.430170598000004,54.7716927061
 01/01  08:00:00,55.7506608741,28.280769988299998
 01/01  09:00:00,52.0698060371,20.071389675
 01/01  10:00:00,50.039323743100006,13.0831667027
 01/01  11:00:00,50.1158107573,7.0690290212199995
 01/01  12:00:00,47.668495546,6.089782855369999
 01/01  13:00:00,46.9529437399,3.22568
 01/01  14:00:00,47.0050165683,6.08993276258
 01/01  15:00:00,47.02855890439999,3.22568
 01/01  16:00:00,47.0214315913,6.088323289680001
 01/01  17:00:00,46.929134846000004,3.22568
 01/01  18:00:00,51.2171335428,6.08838263785
 01/01  19:00:00,55.4993655849,3.22568
 01/01  20:00:00,55.710931948,3.22568
 01/01  21:00:00,55.689938774,6.08844191283
 01/01  22:00:00,55.5639529512,3.22568
 01/01  23:00:00,55.400764235100006,6.08835307405
 01/01  24:00:00,56.1199514475,3.22568
 01/02  01:00:00,55.393745914600004,3.22568
 01/02  02:00:00,55.392457523800005,6.08995479796
 01/02  03:00:00,58.103993602299994,9.352586568889999
 01/02  04:00:00,58.060157260100006,6.578268390110001
 01/02  05:00:00,58.8511250414,10.1087338312
 01/02  06:00:00,58.5788437249,6.96603202747
 01/02  07:00:00,65.3076133419,638.89442761
 01/02  08:00:00,125.09900259,313.085046873
 01/02  09:00:00,165.708355211,216.185246206
 01/02  10:00:00,165.572050365,168.496016654
 01/02  11:00:00,169.479506865,143.094031243
 01/02  12:00:00,170.155721161,109.113255944
 01/02  13:00:00,169.435654853,98.7993932516
 01/02  14:00:00,165.455668996,95.9027348538
 01/02  15:00:00,165.462117698,75.8398444243
 01/02  16:00:00,163.51388304600002,68.2055552406
 01/02  17:00:00,163.334967106,74.9186262787
 01/02  18:00:00,124.397024601,112.469796195
 01/02  19:00:00,128.756733832,143.028790443
 01/02  20:00:00,129.014234866,145.035415534
 01/02  21:00:00,128.99854746,143.424425985
