Date/Time,Electricity:Facility [kW](Hourly),Gas:Facility [kW](Hourly)
 01/01  01:00:00,22.765976019,26.7664699923
 01/01  02:00:00,14.879897101700001,3.3598800000000004
 01/01  03:00:00,14.910997734,3.93197372764
 01/01  04:00:00,14.9271324201,3.3598800000000004
 01/01  05:00:00,15.0763644342,3.9319278767300005
 01/01  06:00:00,22.888286650799998,36.2191117509
 01/01  07:00:00,38.8542559686,43.5136093692
 01/01  08:00:00,43.1410551671,40.2805938993
 01/01  09:00:00,42.0851673469,43.6237411607
 01/01  10:00:00,34.6263480196,34.8850563445
 01/01  11:00:00,42.172419848400004,53.33466279939999
 01/01  12:00:00,43.490562682,53.3289971968
 01/01  13:00:00,44.4311861825,50.9965411716
 01/01  14:00:00,36.2114799671,42.646769584699996
 01/01  15:00:00,35.2521322145,31.975627656900002
 01/01  16:00:00,34.761309821,40.3587844459
 01/01  17:00:00,42.4127997057,57.025243317299996
 01/01  18:00:00,44.3514701015,59.347321788
 01/01  19:00:00,46.4258154979,61.679003781599995
 01/01  20:00:00,38.977130224,45.0530884596
 01/01  21:00:00,38.9601242221,42.6481560033
 01/01  22:00:00,38.8716986541,39.2058476441
 01/01  23:00:00,38.7472698196,32.1802459347
 01/01  24:00:00,39.5054977927,19.7991111002
 01/02  01:00:00,22.8025395737,20.2459095922
 01/02  02:00:00,14.9098490329,3.3598800000000004
 01/02  03:00:00,14.9409706778,3.3598800000000004
 01/02  04:00:00,14.960000459300002,3.9319519969099996
 01/02  05:00:00,15.129338043099999,3.3598800000000004
 01/02  06:00:00,22.9459568954,23.557503869899996
 01/02  07:00:00,38.9111572778,31.8863025827
 01/02  08:00:00,43.2002072239,41.5706220202
 01/02  09:00:00,42.1476103567,46.1496217558
 01/02  10:00:00,34.6827102036,35.474677923200005
 01/02  11:00:00,42.200367473600004,50.9978022485
 01/02  12:00:00,44.1415804008,52.161322472799995
 01/02  13:00:00,47.55314458,50.997102882700005
 01/02  14:00:00,39.0322509143,41.484682681500004
 01/02  15:00:00,36.1274995571,31.9757331896
 01/02  16:00:00,35.1040834128,40.3261248703
 01/02  17:00:00,43.3047293813,57.025360676400005
 01/02  18:00:00,45.1649713662,59.347397514099995
 01/02  19:00:00,47.3780639362,62.8491121117
 01/02  20:00:00,39.3231957336,47.3202028641
 01/02  21:00:00,39.151299752,44.976444101400006
 01/02  22:00:00,38.8955989754,37.3348252129
 01/02  23:00:00,38.754208633699996,28.8980196612
 01/02  24:00:00,39.5135938386,18.1187666326
 01/03  01:00:00,22.7865395613,21.3004709765
 01/03  02:00:00,14.8871947954,3.3598800000000004
 01/03  03:00:00,14.9198739556,3.93196825181
 01/03  04:00:00,14.9339516223,3.3598800000000004
 01/03  05:00:00,15.6423705239,3.9319741295199995
 01/03  06:00:00,23.4466081682,30.819929770199998
 01/03  07:00:00,39.1032575099,39.5228325785
 01/03  08:00:00,43.1407366183,49.2136360718
 01/03  09:00:00,42.078935349,52.388684193500005
 01/03  10:00:00,34.616170517,36.451039369200004
 01/03  11:00:00,42.1325606331,50.998171298900004
 01/03  12:00:00,43.039857973100005,52.16137595359999
 01/03  13:00:00,43.324863499799996,50.9979506414
 01/03  14:00:00,34.9755325551,41.4845473873
 01/03  15:00:00,34.654946749699995,32.0815443377
 01/03  16:00:00,34.6170515355,40.9190621925
 01/03  17:00:00,42.01757956,62.25158635
 01/03  18:00:00,44.1183240333,69.0596229462
 01/03  19:00:00,46.2204256674,73.4264995537
 01/03  20:00:00,38.708528105700005,62.796804779
 01/03  21:00:00,38.6937637319,63.330619910299994
 01/03  22:00:00,38.6459778119,64.501354177
 01/03  23:00:00,38.6340169064,59.252566451999996
 01/03  24:00:00,39.3964587607,51.50368483020001
 01/04  01:00:00,22.6708032507,55.4899079159
 01/04  02:00:00,14.773005980499999,3.3598800000000004
 01/04  03:00:00,14.7972728269,3.93194313755
 01/04  04:00:00,14.8066348261,3.3598800000000004
 01/04  05:00:00,14.960110097100001,3.3598800000000004
 01/04  06:00:00,22.7955433385,57.65372568
 01/04  07:00:00,38.7740842052,59.34748385
 01/04  08:00:00,43.0744813668,66.5695475956
 01/04  09:00:00,42.0277760026,64.7081574947
 01/04  10:00:00,34.5830206108,42.063914171
 01/04  11:00:00,42.1222471333,51.262252214899995
 01/04  12:00:00,43.4694023725,52.162005961800006
 01/04  13:00:00,44.6055732794,50.9970251122
 01/04  14:00:00,36.467197333499996,41.4844403421
 01/04  15:00:00,35.2608476716,31.976334439499997
 01/04  16:00:00,34.7100847345,40.3503528371
 01/04  17:00:00,42.3974578149,57.5779983735
 01/04  18:00:00,44.5863266351,59.3472804763
 01/04  19:00:00,47.080106562,62.8489653316
 01/04  20:00:00,39.032158126700004,46.7413114719
 01/04  21:00:00,38.952561834,44.997371030699995
 01/04  22:00:00,38.8516512356,37.8902544829
 01/04  23:00:00,38.717391176199996,31.5642031611
 01/04  24:00:00,39.4678073807,24.3727767854
 01/05  01:00:00,22.7474129392,29.7355648106
 01/05  02:00:00,14.8470041431,3.3598800000000004
 01/05  03:00:00,14.8676896371,3.93197521118
 01/05  04:00:00,14.873741846600002,3.3598800000000004
 01/05  05:00:00,15.0340901407,3.9319293678699996
 01/05  06:00:00,22.8738795898,34.952733818
