Date/Time,Electricity:Facility [kW](Hourly),Gas:Facility [kW](Hourly)
 01/01  01:00:00,16.2204745087,1.46960223346
 01/01  02:00:00,15.4652455046,0.877301116732
 01/01  03:00:00,15.120660416,0.43307527918300004
 01/01  04:00:00,14.942619558199999,0.543951535149
 01/01  05:00:00,16.9654503869,1.33550593673
 01/01  06:00:00,21.533326810100004,4.92475182065
 01/01  07:00:00,26.993462551900002,14.795293425899999
 01/01  08:00:00,26.2080613904,15.7347557929
 01/01  09:00:00,22.214073822399996,15.2605066254
 01/01  10:00:00,19.7786868343,13.097205448199999
 01/01  11:00:00,17.9115344412,11.5664799776
 01/01  12:00:00,19.4935493632,9.31759203017
 01/01  13:00:00,20.687044938,8.1329897967
 01/01  14:00:00,20.8409208321,7.2445381216
 01/01  15:00:00,21.0036085371,6.3560864465
 01/01  16:00:00,22.006644664499998,7.2445381216
 01/01  17:00:00,28.653029337800003,8.42914035507
 01/01  18:00:00,37.896102762699996,11.0944953804
 01/01  19:00:00,42.1526878579,13.0194740097
 01/01  20:00:00,40.5667279547,12.427172893
 01/01  21:00:00,39.8506953007,11.390645938699999
 01/01  22:00:00,34.0758233519,9.31759203017
 01/01  23:00:00,26.652366780300003,8.1329897967
 01/01  24:00:00,20.3354662918,4.5791830963099995
 01/02  01:00:00,16.369590514200002,1.47055347012
 01/02  02:00:00,15.607187290299999,0.8779071604530001
 01/02  03:00:00,15.2390995832,0.433237288006
 01/02  04:00:00,15.074100533900001,0.43324102437600004
 01/02  05:00:00,17.151218886800002,0.8779974536249999
 01/02  06:00:00,21.7408204078,4.30203861975
 01/02  07:00:00,27.240365292699998,14.2307856282
 01/02  08:00:00,26.7685884187,15.1195777016
 01/02  09:00:00,24.664894046,14.5398726582
 01/02  10:00:00,22.9778132545,12.7425444823
 01/02  11:00:00,21.505041801199997,11.5561116745
 01/02  12:00:00,23.5576531327,9.33155015979
 01/02  13:00:00,25.114603852,8.14511735195
 01/02  14:00:00,26.0092910519,7.25529274607
 01/02  15:00:00,25.646747720500002,6.365468140190001
 01/02  16:00:00,26.574591217,7.25529274607
 01/02  17:00:00,33.303517819,8.44172555391
 01/02  18:00:00,39.9131125739,11.111199371600001
 01/02  19:00:00,43.49338268060001,13.039152684300001
 01/02  20:00:00,41.82851842,12.4459362804
 01/02  21:00:00,40.8990310178,11.4078075735
 01/02  22:00:00,34.6784560706,9.33155015979
 01/02  23:00:00,26.9087067421,8.14511735195
 01/02  24:00:00,20.5317828596,4.585818928419999
 01/03  01:00:00,16.4176946045,1.47234704278
 01/03  02:00:00,15.5594031952,0.878799049569
 01/03  03:00:00,15.1719450437,0.433459864511
 01/03  04:00:00,14.9770444075,0.433463459766
 01/03  05:00:00,16.989958071700002,0.885794586841
 01/03  06:00:00,21.5516477029,4.4047436082499996
 01/03  07:00:00,27.0000145189,14.417270683599998
 01/03  08:00:00,26.483001527,15.376683968900002
 01/03  09:00:00,24.4692193967,14.8203542118
 01/03  10:00:00,22.665997279099997,12.940505511600001
 01/03  11:00:00,20.9516636123,11.5985320758
 01/03  12:00:00,22.2961765882,9.3449711387
 01/03  13:00:00,23.0092741951,8.15677820248
 01/03  14:00:00,23.046848948,7.26563350031
 01/03  15:00:00,22.649362990500002,6.37448879814
 01/03  16:00:00,23.7375023989,7.26563350031
 01/03  17:00:00,30.4565002263,8.453826436529999
 01/03  18:00:00,36.5636699729,11.127260543
 01/03  19:00:00,41.0161530227,13.058074064400001
 01/03  20:00:00,39.312911824400004,12.463977596300001
 01/03  21:00:00,38.5789138323,11.4243087771
 01/03  22:00:00,32.8543729838,9.49831031572
 01/03  23:00:00,25.6375573875,9.023658482010001
 01/03  24:00:00,19.6707529393,6.79590792361
 01/04  01:00:00,15.958227142,5.9702500483700005
 01/04  02:00:00,15.399949908,7.22851950253
 01/04  03:00:00,15.1903037005,8.77544601905
 01/04  04:00:00,15.1215334107,10.603255803
 01/04  05:00:00,17.2380530123,11.9793140618
 01/04  06:00:00,21.7514407196,14.7941164333
 01/04  07:00:00,27.0045933586,23.209491758000002
 01/04  08:00:00,26.371532469699996,23.2208742275
 01/04  09:00:00,24.016254395300002,20.8874027778
 01/04  10:00:00,21.792852754299997,16.107678871300003
 01/04  11:00:00,19.8881482834,13.1625716862
 01/04  12:00:00,21.175079073699997,9.76526916232
 01/04  13:00:00,21.627324694499997,8.172485078189998
 01/04  14:00:00,22.068239998400003,7.27555732202
 01/04  15:00:00,22.268643828400002,6.3831457489900005
 01/04  16:00:00,23.5662735122,7.27555732202
 01/04  17:00:00,30.527958313000003,8.46543941938
 01/04  18:00:00,36.976162179,11.142674138499999
 01/04  19:00:00,41.9080840137,13.0762325467
 01/04  20:00:00,40.2402815103,12.481291498
 01/04  21:00:00,39.3641727979,11.4401446628
 01/04  22:00:00,33.577634556,9.35785099241
 01/04  23:00:00,26.2454569663,8.16796889504
 01/04  24:00:00,19.9621346448,4.59832260295
 01/05  01:00:00,15.982051489100002,1.7133268567200002
 01/05  02:00:00,15.3350452492,1.62391325535
 01/05  03:00:00,15.0146578159,2.00425573053
 01/05  04:00:00,14.8602911746,3.0689014509099994
 01/05  05:00:00,16.949973752000002,4.09673329085
 01/05  06:00:00,21.5201696354,7.068702925529999
 01/05  07:00:00,26.8906431284,17.093991966199997
 01/05  08:00:00,26.299258174200002,18.3564343658
 01/05  09:00:00,24.0819788349,17.4379815312
 01/05  10:00:00,22.045367070500003,14.6450597502
 01/05  11:00:00,20.2355299962,12.4751994593
 01/05  12:00:00,21.309194544500002,9.691174023250001
 01/05  13:00:00,21.7466341294,8.213290394069999
 01/05  14:00:00,21.8116995217,7.28506127234
 01/05  15:00:00,21.875034631,6.3914364290600005
 01/05  16:00:00,23.161017725,7.28506127234
 01/05  17:00:00,30.230812436,8.47656106338
 01/05  18:00:00,36.7030966956,11.157435593199999
 01/05  19:00:00,41.3409225242,13.093622753599998
 01/05  20:00:00,40.2671371789,12.4978728581
 01/05  21:00:00,39.567840218,11.455310541
 01/05  22:00:00,33.8068853092,9.370185906649999
 01/05  23:00:00,26.4786050496,8.17868611562
 01/05  24:00:00,20.2232238391,4.60418674251
 01/06  01:00:00,16.2419740939,1.47730172007
 01/06  02:00:00,15.580973372699999,0.881261393453
 01/06  03:00:00,15.1968478843,0.48914513132299997
 01/06  04:00:00,14.9460978135,0.7827383786200001
