Date/Time,Electricity:Facility [kW](Hourly),Gas:Facility [kW](Hourly)
 01/01  01:00:00,4.2280187684,0.02
 01/01  02:00:00,4.2280187684,0.453069230858
 01/01  03:00:00,4.2280187684,0.02
 01/01  04:00:00,4.2280187684,0.453052529831
 01/01  05:00:00,4.2280187684,0.453070100773
 01/01  06:00:00,4.2280187684,0.02
 01/01  07:00:00,4.2280187684,0.453062977588
 01/01  08:00:00,2.6926854350700005,0.453080199909
 01/01  09:00:00,1.9250187684,0.02
 01/01  10:00:00,1.9250187684,0.45307664764399996
 01/01  11:00:00,1.9250187684,0.02
 01/01  12:00:00,1.9250187684,0.45308375039099996
 01/01  13:00:00,1.9250187684,0.453077701989
 01/01  14:00:00,1.9250187684,0.02
 01/01  15:00:00,1.9250187684,0.453079727567
 01/01  16:00:00,1.9250187684,0.453083565668
 01/01  17:00:00,1.9250187684,0.02
 01/01  18:00:00,3.0765187683999997,0.453084649776
 01/01  19:00:00,4.2280187684,0.453084491259
 01/01  20:00:00,4.2280187684,0.02
 01/01  21:00:00,4.2280187684,0.453083319922
 01/01  22:00:00,4.2280187684,0.45307846899099996
 01/01  23:00:00,4.2280187684,0.02
 01/01  24:00:00,4.2280187684,0.45305928260399997
 01/02  01:00:00,4.7780241307999995,0.02
 01/02  02:00:00,4.7780241307999995,0.45308129250600004
 01/02  03:00:00,4.7780241307999995,0.453069269651
 01/02  04:00:00,4.7780241307999995,0.02
 01/02  05:00:00,4.7780241307999995,0.453057215338
 01/02  06:00:00,5.053026812,0.45309027945
 01/02  07:00:00,7.40851890452,0.0926218316873
 01/02  08:00:00,6.9130035952,1.00117200921
 01/02  09:00:00,12.2926701724,0.487932956785
 01/02  10:00:00,12.5712724339,0.45314128157300004
 01/02  11:00:00,12.948416281199998,0.453142767839
 01/02  12:00:00,13.286288796600001,0.453154467551
 01/02  13:00:00,12.881190288099999,0.453165425149
 01/02  14:00:00,13.930580241600001,0.45314094403099997
 01/02  15:00:00,13.9848997883,0.45313611809199994
 01/02  16:00:00,13.9921624608,0.45313083170199997
 01/02  17:00:00,13.868048073699999,0.453145096839
 01/02  18:00:00,9.58010029231,0.453123139772
 01/02  19:00:00,8.72711238445,0.453110611685
 01/02  20:00:00,8.72432537292,0.02
 01/02  21:00:00,8.13575115533,0.453103193129
 01/02  22:00:00,8.05561033871,0.453085407867
 01/02  23:00:00,5.053026812,0.45307526723700003
 01/02  24:00:00,4.7780241307999995,0.02
 01/03  01:00:00,4.7780241307999995,0.453063244265
 01/03  02:00:00,4.7780241307999995,0.02
 01/03  03:00:00,4.7780241307999995,0.453085991293
 01/03  04:00:00,4.7780241307999995,0.453074017266
 01/03  05:00:00,4.7780241307999995,0.02
 01/03  06:00:00,5.053026812,0.45306449841799995
 01/03  07:00:00,7.40550718999,0.453065032512
 01/03  08:00:00,6.91515443849,1.2481498316
 01/03  09:00:00,12.3904436462,0.048560191282900005
 01/03  10:00:00,12.7397502952,0.45313074758999994
 01/03  11:00:00,13.0203605804,0.453132631476
 01/03  12:00:00,13.1980726281,0.45314674656900006
 01/03  13:00:00,12.658092126500001,0.886235663706
 01/03  14:00:00,13.4154254194,0.453147629018
 01/03  15:00:00,13.4082467749,0.453131017129
 01/03  16:00:00,13.3898807169,0.02
 01/03  17:00:00,13.217832088900002,0.453128284801
 01/03  18:00:00,8.88311352116,0.468127936683
 01/03  19:00:00,8.57598861398,0.467073487281
 01/03  20:00:00,8.52738040839,0.453086081263
 01/03  21:00:00,7.930149556310001,0.486175589345
 01/03  22:00:00,7.8983315661399995,0.266622709679
 01/03  23:00:00,5.053026812,0.453059928036
 01/03  24:00:00,4.7780241307999995,0.453082419669
 01/04  01:00:00,4.7780241307999995,0.02
 01/04  02:00:00,4.7780241307999995,0.45307047327100003
 01/04  03:00:00,4.7780241307999995,0.453058488933
 01/04  04:00:00,4.7780241307999995,0.02
 01/04  05:00:00,4.7780241307999995,0.45308130840599997
 01/04  06:00:00,5.053026812,0.02
 01/04  07:00:00,7.377353045660001,1.50888989782
 01/04  08:00:00,6.9130035952,2.81921077217
 01/04  09:00:00,12.2177653441,0.588069615335
 01/04  10:00:00,12.3524570657,0.453137179679
 01/04  11:00:00,12.6093255844,0.453142603376
 01/04  12:00:00,12.905590385999998,0.453146374734
 01/04  13:00:00,12.3882331074,0.45314831386200005
 01/04  14:00:00,13.2350765175,0.453153179381
 01/04  15:00:00,13.4263883553,0.453132256799
 01/04  16:00:00,13.4474204936,0.453136355692
 01/04  17:00:00,13.3101197677,0.453146895806
 01/04  18:00:00,8.9614267211,0.46120882070299996
 01/04  19:00:00,8.652469740419999,0.45309879343599996
 01/04  20:00:00,8.62736665161,0.02
 01/04  21:00:00,8.03533998529,0.45306872072899995
 01/04  22:00:00,7.993430183160001,0.453082354875
 01/04  23:00:00,5.053026812,0.02
 01/04  24:00:00,4.7780241307999995,0.45306938002400005
 01/05  01:00:00,4.7780241307999995,0.453057416351
 01/05  02:00:00,4.7780241307999995,0.02
 01/05  03:00:00,4.7780241307999995,0.453080279383
 01/05  04:00:00,4.7780241307999995,0.453068351975
 01/05  05:00:00,4.7780241307999995,0.02
 01/05  06:00:00,5.053026812,0.45306346158
 01/05  07:00:00,7.388998087689999,0.574980759814
 01/05  08:00:00,6.914601157010001,1.5772726602
 01/05  09:00:00,12.2676744547,0.48194187005000005
 01/05  10:00:00,12.4852748009,0.45313615635300003
 01/05  11:00:00,12.8072449421,0.453137772926
 01/05  12:00:00,12.995401238,0.45314549815
 01/05  13:00:00,12.451420951400001,0.453151369588
 01/05  14:00:00,13.311318768800001,0.453160603921
 01/05  15:00:00,13.511788369400001,0.453117833085
 01/05  16:00:00,13.5578009801,0.453132027474
 01/05  17:00:00,13.4554622476,0.453140095215
 01/05  18:00:00,9.0275036481,0.473001440564
 01/05  19:00:00,8.61826317647,0.456864177717
 01/05  20:00:00,8.62992242496,0.453073460787
 01/05  21:00:00,8.04206648134,0.02
 01/05  22:00:00,7.995940043119999,0.453069520726
 01/05  23:00:00,5.053026812,0.453058468573
 01/05  24:00:00,4.7780241307999995,0.02
 01/06  01:00:00,4.7780241307999995,0.453081319981
 01/06  02:00:00,4.7780241307999995,0.453069426279
 01/06  03:00:00,4.7780241307999995,0.02
 01/06  04:00:00,4.7780241307999995,0.45305750123000005
 01/06  05:00:00,4.7780241307999995,0.453080397409
 01/06  06:00:00,5.053026812,0.02
 01/06  07:00:00,7.406528272260001,0.482910198528
 01/06  08:00:00,6.9130035952,1.20604702844
