Date/Time,Electricity:Facility [kW](Hourly),Gas:Facility [kW](Hourly)
 01/01  01:00:00,237.92852888599998,0.02
 01/01  02:00:00,237.92852971,2.18836260526
 01/01  03:00:00,237.928530043,2.1883977244799997
 01/01  04:00:00,237.92852986,2.1884328985900003
 01/01  05:00:00,250.150727561,0.02
 01/01  06:00:00,274.596464923,4.3608867724
 01/01  07:00:00,323.483914737,0.02
 01/01  08:00:00,322.297310893,2.18849112857
 01/01  09:00:00,296.666311182,2.1885264035599996
 01/01  10:00:00,259.999717584,2.18833834408
 01/01  11:00:00,211.11092583200002,0.02
 01/01  12:00:00,417.075751114,2.18997615377
 01/01  13:00:00,689.3464607410001,4.35956793515
 01/01  14:00:00,766.009520671,2.19210266051
 01/01  15:00:00,683.332043432,2.18994540407
 01/01  16:00:00,211.110926575,2.18852980901
 01/01  17:00:00,562.073123885,2.1885209678799997
 01/01  18:00:00,313.75364410099996,2.18848906763
 01/01  19:00:00,347.928310626,0.02
 01/01  20:00:00,323.483915521,2.18841224694
 01/01  21:00:00,323.483915662,2.18844769189
 01/01  22:00:00,299.04086066599996,2.1906252482
 01/01  23:00:00,274.595124446,2.18847232848
 01/01  24:00:00,250.15072857,2.18850768189
 01/02  01:00:00,287.769706042,2.18905680993
 01/02  02:00:00,287.76970605900004,0.02
 01/02  03:00:00,287.769706052,2.18920099763
 01/02  04:00:00,287.769706143,2.1890739968
 01/02  05:00:00,299.991904015,2.18921827739
 01/02  06:00:00,349.358005665,4.362699452749999
 01/02  07:00:00,953.5817948539999,13.6773006216
 01/02  08:00:00,1013.0613367000001,38.946216976500004
 01/02  09:00:00,1537.33219519,34.0222748047
 01/02  10:00:00,1524.65257889,30.403991783400002
 01/02  11:00:00,1504.89422975,28.083721601599997
 01/02  12:00:00,1538.82461992,28.2614317315
 01/02  13:00:00,1529.25891388,30.4464245057
 01/02  14:00:00,1585.51021894,24.9466927232
 01/02  15:00:00,1583.32524382,14.903074437
 01/02  16:00:00,1582.05118161,15.987701961500001
 01/02  17:00:00,1626.88289914,19.9875118973
 01/02  18:00:00,1534.43899804,19.196607449800002
 01/02  19:00:00,1374.18504143,30.16480559
 01/02  20:00:00,1345.33625136,30.3641539396
 01/02  21:00:00,1191.18579194,42.6492542261
 01/02  22:00:00,1153.0344396,48.242661685200005
